"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28","CRBB2__seq.10000.28__ANML",-0.0283981983628284,-0.0261563945531791,0.0444539386720804,-0.638822997717054,0.52318267938452,0.0124676336358662,0.00255928213388501,598,-0.115703017692701,0.058906620967044,0.865850569059751,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7","c.Raf__seq.10001.7__ANML",-0.0385260038873962,-0.0283023354853034,0.0302685223213706,-1.27280755493622,0.203576045610892,0.706467984481844,0.703552103532988,604,-0.0979703347245467,0.0209183269497543,0.656565094132485,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15","ZNF41__seq.10003.15__ANML",0.0258462733978925,0.0345043143866026,0.0294616339835727,0.877285808801506,0.380683132075946,0.0893292379789096,0.080207327174024,599,-0.0320143796890681,0.0837069264848531,0.79425694811019,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25","ELK1__seq.10006.25__ANML",0.0045474380667402,0.0059292747284039,0.0304347909242699,0.149415781368615,0.881275935832942,0.0753885890723611,0.0661115515045253,598,-0.05522463168362,0.0643195078171004,0.978117405379893,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43","GUC1A__seq.10008.43__ANML",0.0291245198745029,0.0512378403521765,0.0223093178999559,1.30548679278807,0.192229174258516,0.0943639928248664,0.0852773439234437,598,-0.0146896173383065,0.0729386570873123,0.649136191022123,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10","BECN1__seq.10010.10__ANML",0.0443746032601261,0.0792761516437362,0.0220052156581939,2.01654934672739,0.0441898334086527,0.0933027364520656,0.0841902011400261,597,0.00115755746264946,0.0875916490576028,0.3928642403991,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65","OCRL__seq.10011.65__ANML",0.0614574873675849,0.0892453839885348,0.0241263366326908,2.54731948340267,0.0111038012145379,0.276707442209426,0.26947451663152,600,0.0140751566886154,0.108839818046555,0.261018218625159,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5","SPDEF__seq.10012.5__ANML",-0.00629944626708652,-0.0116132918789205,0.0220456331183847,-0.285745763492416,0.775170819082352,0.0194099127487926,0.00966895161715808,604,-0.0495948504724795,0.0369959579383065,0.94753736903656,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31","SLUG__seq.10014.31__ANML",0.0223845867570119,0.0419282130343899,0.0211208008111023,1.05983608089544,0.289646342970192,0.0792753300140378,0.0700527122846293,599,-0.0190952350794614,0.0638644085934852,0.722172969366996,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119","KCAB2__seq.10015.119__ANML",0.012486728999989,0.0156244367245997,0.0238869204292043,0.522743358106665,0.601345506852492,0.472165055125764,0.466895488288417,601,-0.0344252482941472,0.0593987062941252,0.898501378559482,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
