"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28","CRBB2__seq.10000.28__ANML",-0.0305665193570238,-0.0281535444680256,0.0446868235205459,-0.684016382210966,0.494230237753879,0.0128924155749339,0.0013182897944054,597,-0.118329008424568,0.0571959697105205,0.846651517287401,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7","c.Raf__seq.10001.7__ANML",-0.0419039481237052,-0.030783872664869,0.0303551826881832,-1.38045448627847,0.167958251490896,0.707329561921986,0.70393206098244,603,-0.101518669695407,0.017710773447997,0.621362632834563,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15","ZNF41__seq.10003.15__ANML",0.0250276209879569,0.033411428008326,0.0296032307678784,0.845435458859227,0.398205892266492,0.089473980139272,0.0788156488031095,598,-0.0331113154251931,0.0831665574011069,0.80402714112012,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25","ELK1__seq.10006.25__ANML",0.00217935450393605,0.00284159814708247,0.0305735024091394,0.0712824613540047,0.943196825857121,0.0764730654773601,0.0656444414544815,597,-0.0578653400961391,0.0622240491040112,0.989968546952282,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43","GUC1A__seq.10008.43__ANML",0.0297942073540881,0.0524160002089807,0.022401734424141,1.32999556150352,0.184027617534039,0.0945635649565057,0.0839470573429303,597,-0.0142015797169881,0.0737899944251643,0.634730997929436,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10","BECN1__seq.10010.10__ANML",0.0480063249565721,0.085764297988337,0.0220778392840734,2.17441228459359,0.0300668338783665,0.0975749951817415,0.0869760437828694,596,0.00464650252480474,0.0913661473883395,0.34512499737499,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65","OCRL__seq.10011.65__ANML",0.0598799297547496,0.0869545364294823,0.0242089839896592,2.47345901754189,0.0136574388522453,0.277523017035147,0.269080047284306,599,0.012335125383258,0.107424734126241,0.274708684994616,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5","SPDEF__seq.10012.5__ANML",-0.00851642750431431,-0.0157003892373879,0.0221148680276118,-0.385099630424248,0.700299397773724,0.0217470418987529,0.0103908715725362,603,-0.0519479467148455,0.0349150917062169,0.924746400638698,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31","SLUG__seq.10014.31__ANML",0.0212699563015077,0.0398404164759675,0.0212044659981362,1.00308851462599,0.316223866775295,0.07989298660321,0.0691225031687993,598,-0.0203743192847272,0.0629142318877427,0.745663192464896,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119","KCAB2__seq.10015.119__ANML",0.00976776191659338,0.01222223834656,0.0239493089898032,0.407851513409099,0.683528181385295,0.473846924557162,0.467708472010329,600,-0.0372668996386994,0.0568024234718862,0.919501790226598,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
