"apt_name","coef_x2m","coef_x2y","coef_m2y","acme","acme_p","ade","ade_p","total","total_p","prop_m","prop_m_p","prop_m_ci_lower","prop_m_ci_upper","p_adjusted","ade_p_adjusted","prop_m_p_adjusted","Protein_id","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10046.55",0.818685484684199,-0.151934430282523,0.0650463625823325,0.053252512877661,0.398,-0.151934430282524,0.038,-0.0986819174048626,0.028,-0.539638003375854,0.422,-4.93432495365777,1.10814584638158,0.699609756097561,0.0753469387755102,0.733666666666667,"cIAP.1__seq.10046.55__ANML","Q13490","BIRC2","BIRC2","BIRC2__seq.10046.55","BIRC2_1"
"seq.10082.251",-0.12139063431827,-0.093518741412483,0.0962882993680053,-0.0116884977377097,0.092,-0.093518741412483,0.044,-0.105207239150193,0.022,0.111099747813203,0.114,-0.0348918623812139,0.626347000514544,0.434875,0.0753469387755102,0.598428571428571,"NFL__seq.10082.251__ANML","P07196","NEFL","NEFL","NEFL__seq.10082.251","NEFL"
"seq.10833.64",0.129276157058882,-0.107752975530619,0.0676372781752378,0.00874388739641738,0.378,-0.107752975530619,0.032,-0.0990090881342017,0.038,-0.0883139877479277,0.412,-0.481455955528448,0.239858355250084,0.699609756097561,0.071,0.733666666666667,"HHIP__seq.10833.64__ANML","Q96QV1","HHIP","HHIP","HHIP__seq.10833.64","HHIP"
"seq.11402.17",0.10728974499763,-0.094141348028667,0.0168237803423109,0.00180501910282265,0.796,-0.0941413480286668,0.036,-0.0923363289258442,0.042,-0.019548309141381,0.81,-0.465179883720545,0.277928155175476,0.911548387096774,0.0751764705882353,0.9185625,"KMT2C__seq.11402.17__ANML","Q8NEZ4","KMT2C","KMT2C","KMT2C__seq.11402.17","KMT2C"
"seq.12500.88",0.458574779457141,-0.106972041635117,0.0173645692210588,0.00796295350091529,0.626,-0.106972041635117,0.028,-0.0990090881342017,0.03,-0.0804264906482313,0.636,-0.773947863061094,0.504907865894234,0.854730769230769,0.071,0.868384615384615,"SAE2__seq.12500.88__ANML","Q9UBT2","UBA2","UBA2","UBA2__seq.12500.88","UBA2"
"seq.12501.10",-0.262870569786855,-0.0721969480530411,0.101997496725864,-0.0268121400811606,0.038,-0.0721969480530409,0.136,-0.0990090881342015,0.03,0.27080483808535,0.068,-0.0362547900420631,1.5862253473551,0.385428571428571,0.14630303030303,0.568,"TBCA__seq.12501.10__ANML","O75347","TBCA","TBCA","TBCA__seq.12501.10","TBCA"
"seq.12540.25",-0.0519261487809171,-0.0997165849878926,0.0268991032524146,-0.00139676683755814,0.882,-0.0997165849878927,0.03,-0.101113351825451,0.026,0.0138138713863362,0.88,-0.299669678361265,0.245804571106754,0.950969696969697,0.071,0.946666666666667,"RHOG__seq.12540.25__ANML","P84095","RHOG","RHOG","RHOG__seq.12540.25","RHOG"
"seq.12587.65",-0.574410400699173,-0.0332217350723642,0.114530226092287,-0.0657873530618374,0.006,-0.033221735072364,0.512,-0.0990090881342015,0.026,0.664457721019168,0.032,0.078145710889489,3.74616336527448,0.0852,0.526840579710145,0.4544,"ARL2__seq.12587.65__ANML","P36404","ARL2","ARL2","ARL2__seq.12587.65","ARL2"
"seq.12616.45",-0.12674784237655,-0.10778739200578,-0.0787840392482573,0.00998570698842611,0.218,-0.10778739200578,0.024,-0.0978016850173538,0.028,-0.10210158430966,0.238,-0.799694216948541,0.127151799079229,0.589037037037037,0.071,0.656137931034483,"NRBP__seq.12616.45__ANML","Q9UHY1","NRBP1","NRBP1","NRBP1__seq.12616.45","NRBP1"
"seq.12650.43",0.161305883685008,-0.0787651488757367,-0.111820628938482,-0.0180373253651352,0.216,-0.0787651488757369,0.09,-0.0968024742408721,0.046,0.186331243148323,0.254,-0.30998808031574,0.976006982368708,0.589037037037037,0.101428571428571,0.656137931034483,"GNAI3__seq.12650.43__ANML","P08754","GNAI3","GNAI3","GNAI3__seq.12650.43","GNAI3"
