apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10000.28,CRBB2__seq.10000.28__ANML,0.0173497532594188,0.0223005535240975,0.0239821595313303,0.723444160095467,0.469540690470217,0.0134156684289534,0.0102984983450005,1266,-0.0296993964933775,0.064398903012215,0.707613686476208,P43320,CRYBB2,CRYBB2,CRYBB2__seq.10000.28,CRYBB2
seq.10001.7,c.Raf__seq.10001.7__ANML,-0.0142953067663825,-0.014459857014513,0.0161412894936514,-0.885635981685667,0.375980712457589,0.720441324756202,0.719564277931908,1275,-0.0459617134453797,0.0173710999126147,0.634914114569665,P04049,RAF1,RAF1,RAF1__seq.10001.7,RAF1
seq.10003.15,ZNF41__seq.10003.15__ANML,-0.000689841195124,-0.0013273015474572,0.0153757129798879,-0.0448656394683234,0.964221469264984,0.0840583181055635,0.081168912168988,1268,-0.0308544779413334,0.0294747955510853,0.985075797944263,P51814,ZNF41,ZNF41,ZNF41__seq.10003.15,ZNF41
seq.10006.25,ELK1__seq.10006.25__ANML,-0.0027449893320348,-0.0052448578904922,0.0151685257288725,-0.180966125587928,0.856423153375596,0.126035397517907,0.123271873083181,1265,-0.0325032259697184,0.0270132473056487,0.938900317364267,P19419,ELK1,ELK1,ELK1__seq.10006.25,ELK1
seq.10008.43,GUC1A__seq.10008.43__ANML,0.0047302026386429,0.0105586845662464,0.0131207629667144,0.360512772819908,0.718523610044967,0.102613034491044,0.0997888426247683,1271,-0.0210105325518769,0.0304709378291628,0.868130701316326,P43080,GUCA1A,GUCA1A,GUCA1A__seq.10008.43,GUCA1A
seq.10010.10,BECN1__seq.10010.10__ANML,0.0025774788222649,0.0063520317396863,0.0119270071024832,0.216104409104301,0.828941148941399,0.100675103784381,0.0978358775926984,1267,-0.0208213780949396,0.0259763357394695,0.925492148664842,Q14457,BECN1,BECN1,BECN1__seq.10010.10,BECN1_1
seq.10011.65,OCRL__seq.10011.65__ANML,-0.0128956334126382,-0.0276203310688351,0.0121938593539955,-1.05755143127945,0.29046079177347,0.285008709391473,0.28276030910654,1272,-0.0368179213294187,0.0110266545041423,0.549326808948527,Q01968,OCRL,OCRL,OCRL__seq.10011.65,OCRL
seq.10012.5,SPDEF__seq.10012.5__ANML,-0.0325604087377097,-0.081781999688053,0.0121197937918347,-2.68654807969143,0.0073134212208233,0.0281794890292299,0.0251258503458966,1273,-0.0563373747699067,-0.0087834427055127,0.0581240639971102,O95238,SPDEF,SPDEF,SPDEF__seq.10012.5,SPDEF
seq.10014.31,SLUG__seq.10014.31__ANML,-0.0139999690640979,-0.0280937993126049,0.0150140030614676,-0.932460783894995,0.351275815696696,0.048784594272873,0.0457862793612036,1269,-0.043454967870798,0.0154550297426022,0.608137908115596,O43623,SNAI2,SNAI2,SNAI2__seq.10014.31,SNAI2
seq.10015.119,KCAB2__seq.10015.119__ANML,-0.0308272043693533,-0.0497722963456893,0.0137546163057094,-2.24122604979953,0.0251835052382204,0.483463551413937,0.481837944966774,1271,-0.0578114534462293,-0.0038429552924772,0.126545809114773,Q13303,KCNAB2,KCNAB2,KCNAB2__seq.10015.119,KCNAB2
seq.10022.207,POLH__seq.10022.207__ANML,-0.0177521118251325,-0.0225878910322187,0.0233728747628125,-0.759517688999774,0.44768400094569,0.0763308669923461,0.0734193803634804,1269,-0.0636058388710958,0.0281016152208309,0.692005539060762,Q9Y253,POLH,POLH,POLH__seq.10022.207,POLH
seq.10023.32,VDR__seq.10023.32__ANML,-0.0071528934583283,-0.0187065239402092,0.0116809064493666,-0.612357738616779,0.540410890048289,0.0235966875565082,0.0205165509241942,1268,-0.0300689234578793,0.0157631365412227,0.764890875073205,P11473,VDR,VDR,VDR__seq.10023.32,VDR
seq.10024.44,HOGA1__seq.10024.44__ANML,-0.0330369223325693,-0.0540964614004261,0.0188486232119609,-1.75274989377499,0.0798873729705112,0.0107244998143895,0.007593881142916,1264,-0.0700149533449756,0.0039411086798369,0.25898623996942,Q86XE5,HOGA1,HOGA1,HOGA1__seq.10024.44,HOGA1
seq.10025.1,DLDH__seq.10025.1__ANML,0.0258631186525179,0.0413780716642483,0.0156417726621944,1.65346468146977,0.0984828848763113,0.342955008980765,0.340890452842449,1273,-0.004823368565021,0.0565496058700567,0.296343583776922,P09622,DLD,DLD,DLD__seq.10025.1,DLD_1
seq.10030.8,MutY_homolog__seq.10030.8__ANML,-0.012932912922166,-0.0181044411676161,0.0216156965380156,-0.598311180924514,0.549739508988133,0.0508902170923801,0.0478867051211536,1264,-0.0553395061225798,0.0294736802782478,0.772314358914755,Q9UIF7,MUTYH,MUTYH,MUTYH__seq.10030.8,MUTYH
seq.10035.6,DUS4__seq.10035.6__ANML,0.0070495490078591,0.0189609559902278,0.0107168333632443,0.657801494986113,0.510785183773183,0.135185033937484,0.132454757801533,1267,-0.0139751429636808,0.0280742409793992,0.742044172879475,Q13115,DUSP4,DUSP4,DUSP4__seq.10035.6,DUSP4
seq.10036.201,ZHX3__seq.10036.201__ANML,-0.0239902545280701,-0.0566463466222509,0.0127188080388944,-1.8862030510019,0.0594947050659977,0.0540124737410557,0.051044669737106,1275,-0.0489423469857477,0.0009618379296075,0.21613263184795,Q9H4I2,ZHX3,ZHX3,ZHX3__seq.10036.201,ZHX3
seq.10037.98,SIG12_Ig.like_V.type_2__seq.10037.98__ANML,-0.0185350356408983,-0.0242161121586431,0.0235380178493743,-0.787450997764922,0.431164373948816,0.0071287053531371,0.0040113700481234,1274,-0.0647125731813826,0.027642501899586,0.678089571576225,Q96PQ1,SIGLEC12,SIGLEC12,SIGLEC12__seq.10037.98,SIGLEC12_1
seq.10039.32,PNP__seq.10039.32__ANML,-0.000302847058541,-0.0001782521108616,0.0185774775389082,-0.0163018395746567,0.986996136452564,0.874385377906977,0.873991910022582,1277,-0.0367485773457434,0.0361428832286612,0.99533040615406,P00491,PNP,PNP,PNP__seq.10039.32,PNP_1
seq.10040.63,P73L__seq.10040.63__ANML,0.020414969002529,0.0303281078688394,0.0208343260285765,0.979871821844765,0.327336602666284,0.0023778523921714,-0.0007741923080113,1266,-0.0204586363972054,0.0612885744022634,0.586629065294926,Q9H3D4,TP63,TP63,TP63__seq.10040.63,TP63
