apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10000.28,CRBB2__seq.10000.28__ANML,0.0160757784169989,0.0206630464231643,0.0255130072556948,0.630101275631104,0.528742122193855,0.0134324727332337,0.0095329963408749,1265,-0.0339766868538193,0.0661282436878171,0.768719402393371,P43320,CRYBB2,CRYBB2,CRYBB2__seq.10000.28,CRYBB2
seq.10001.7,c.Raf__seq.10001.7__ANML,-0.0076324948534179,-0.0077203508849469,0.0171694241021137,-0.444539945429985,0.656727760574184,0.720724974877706,0.719628919049125,1274,-0.0413159481967473,0.0260509584899115,0.847687705299802,P04049,RAF1,RAF1,RAF1__seq.10001.7,RAF1
seq.10003.15,ZNF41__seq.10003.15__ANML,-0.0110902138533831,-0.021338328463523,0.0163420420815701,-0.678630846624135,0.497495724397485,0.0865649422857776,0.082960226193772,1267,-0.0431506545922826,0.0209702268855163,0.747609973980344,P51814,ZNF41,ZNF41,ZNF41__seq.10003.15,ZNF41
seq.10006.25,ELK1__seq.10006.25__ANML,0.0067730267065664,0.0129412388419434,0.0160854840603457,0.421064525080938,0.673779549465398,0.128186798151005,0.124738169979134,1264,-0.0247841603486438,0.0383302137617767,0.859571883216558,P19419,ELK1,ELK1,ELK1__seq.10006.25,ELK1
seq.10008.43,GUC1A__seq.10008.43__ANML,0.0081914293512234,0.0182847808590023,0.0139591086004065,0.586816077280535,0.557431531794552,0.102986807199585,0.0994552591964342,1270,-0.0191940198462214,0.0355768785486684,0.789595315792983,P43080,GUCA1A,GUCA1A,GUCA1A__seq.10008.43,GUCA1A
seq.10010.10,BECN1__seq.10010.10__ANML,-0.0043344399771455,-0.0106819501563936,0.0126657625949214,-0.342217055203888,0.732244353528115,0.102520976761595,0.0989764308562296,1266,-0.0291826343310911,0.0205137543768,0.890501547458628,Q14457,BECN1,BECN1,BECN1__seq.10010.10,BECN1_1
seq.10011.65,OCRL__seq.10011.65__ANML,-0.0153869468598778,-0.0329563157395502,0.0129650158878802,-1.18680509094182,0.235526287296156,0.285189364046928,0.28237736311871,1271,-0.0408221324171075,0.0100482386973518,0.523653382304148,Q01968,OCRL,OCRL,OCRL__seq.10011.65,OCRL
seq.10012.5,SPDEF__seq.10012.5__ANML,-0.0294748278877686,-0.0740319442713622,0.0128910332265618,-2.28645969409466,0.0223911172388641,0.0285575839158734,0.0247390209595678,1272,-0.054764852927261,-0.0041848028482761,0.141687632212136,O95238,SPDEF,SPDEF,SPDEF__seq.10012.5,SPDEF
seq.10014.31,SLUG__seq.10014.31__ANML,-0.0231959181033464,-0.0465473505750938,0.0159444205143927,-1.45479844077167,0.145972565793236,0.0509565283760811,0.047214243393337,1268,-0.0544762661154727,0.00808442990878,0.406657798012896,O43623,SNAI2,SNAI2,SNAI2__seq.10014.31,SNAI2
seq.10015.119,KCAB2__seq.10015.119__ANML,-0.0370529864935917,-0.059824180037723,0.0146197847106548,-2.53444132228485,0.0113819789162762,0.484102716729753,0.482071625063335,1270,-0.0657345723263404,-0.008371400660843,0.0960807837833979,Q13303,KCNAB2,KCNAB2,KCNAB2__seq.10015.119,KCNAB2
seq.10022.207,POLH__seq.10022.207__ANML,-0.010376483726722,-0.0132030986524635,0.0248665442841789,-0.417286922064358,0.676539193030172,0.0768813110368481,0.0732412531150691,1268,-0.0591605808574978,0.0384076134040537,0.861490652198008,Q9Y253,POLH,POLH,POLH__seq.10022.207,POLH
seq.10023.32,VDR__seq.10023.32__ANML,-0.0096869382741143,-0.025333656063486,0.0124195145775779,-0.779977205518407,0.435549970523478,0.0238756829698479,0.0200235743785687,1267,-0.034052015119032,0.0146781385708033,0.704658091351856,P11473,VDR,VDR,VDR__seq.10023.32,VDR
seq.10024.44,HOGA1__seq.10024.44__ANML,-0.0354773954855773,-0.0580926254616988,0.0200665341174265,-1.7679881975616,0.0773042689348314,0.0108234329579667,0.0069074528825825,1263,-0.0748448058082994,0.0038900148371448,0.289245813657035,Q86XE5,HOGA1,HOGA1,HOGA1__seq.10024.44,HOGA1
seq.10025.1,DLDH__seq.10025.1__ANML,0.0131328815277273,0.0210111286389463,0.0166085165377874,0.790731760891928,0.429247938880287,0.345564028679414,0.342991560238688,1272,-0.0194502164852389,0.0457159795406935,0.699285096468089,P09622,DLD,DLD,DLD__seq.10025.1,DLD_1
seq.10030.8,MutY_homolog__seq.10030.8__ANML,-0.022187429385625,-0.0310595928689982,0.0229714011310151,-0.965871835987765,0.334293220350752,0.05195109314307,0.0481979304080861,1263,-0.0672537357403017,0.0228788769690518,0.625806446412327,Q9UIF7,MUTYH,MUTYH,MUTYH__seq.10030.8,MUTYH
seq.10035.6,DUS4__seq.10035.6__ANML,0.0057437164664456,0.0154486982102271,0.0114125337824916,0.503281442658886,0.614853961388198,0.135261086696547,0.131845846122678,1266,-0.0166458440020276,0.0281332769349188,0.82724906125401,Q13115,DUSP4,DUSP4,DUSP4__seq.10035.6,DUSP4
seq.10036.201,ZHX3__seq.10036.201__ANML,-0.0201202746232649,-0.0475084601170353,0.01353236256013,-1.48682645279877,0.137308085645057,0.0545338209641976,0.0508232001673536,1274,-0.0466684395592711,0.0064278903127413,0.393803023123391,Q9H4I2,ZHX3,ZHX3,ZHX3__seq.10036.201,ZHX3
seq.10037.98,SIG12_Ig.like_V.type_2__seq.10037.98__ANML,-0.0261066530939137,-0.0341084663475922,0.0250382305938978,-1.04267164550662,0.297298361780794,0.007742675296152,0.0038453566602375,1273,-0.0752273863805234,0.023014080192696,0.59272538740369,Q96PQ1,SIGLEC12,SIGLEC12,SIGLEC12__seq.10037.98,SIGLEC12_1
seq.10039.32,PNP__seq.10039.32__ANML,-0.0126894358308723,-0.0074688482476713,0.0197302093688949,-0.643147550723789,0.520243919759803,0.87472152701521,0.874230623907903,1276,-0.05139665118289,0.0260177795211455,0.762264069881369,P00491,PNP,PNP,PNP__seq.10039.32,PNP_1
seq.10040.63,P73L__seq.10040.63__ANML,0.0175782750372576,0.026113966737448,0.0221504539448877,0.793585317980115,0.427585710729829,0.002490598557539,-0.0014521263493481,1265,-0.0258773950724225,0.0610339451469377,0.699011891324938,Q9H3D4,TP63,TP63,TP63__seq.10040.63,TP63
seq.10041.3,HNF4A__seq.10041.3__ANML,0.0098282200729235,0.0101538633942926,0.0304126274671325,0.323162478596928,0.746625145381037,0.0829116173770761,0.0793180108620959,1276,-0.0498360287336224,0.0694924688794694,0.897703662433926,P41235,HNF4A,HNF4A,HNF4A__seq.10041.3,HNF4A
seq.10042.8,SGK3__seq.10042.8__ANML,-0.0032582676085585,-0.0088903546295062,0.0100702401537082,-0.32355411180127,0.746328862212944,0.302606566518523,0.299863083302624,1271,-0.0230143889377173,0.0164978537206002,0.897703662433926,Q96BR1,SGK3,SGK3,SGK3__seq.10042.8,SGK3
seq.10043.31,BRD4__seq.10043.31__ANML,0.0018990997492091,0.0056373198090578,0.009667369638257,0.19644430908008,0.844293847607667,0.238671572395106,0.235674216380914,1270,-0.0170666714672782,0.0208648709656965,0.93774671136177,O60885,BRD4,BRD4,BRD4__seq.10043.31,BRD4
seq.10044.12,WN10A__seq.10044.12__ANML,0.0236486674414253,0.0278166659846767,0.027242178660694,0.868090167676142,0.385508461506717,0.0467505857012952,0.0430094184552249,1274,-0.0297957957176601,0.0770931306005107,0.665031764640405,Q9GZT5,WNT10A,WNT10A,WNT10A__seq.10044.12,WNT10A
seq.10045.47,CUL3__seq.10045.47__ANML,0.0264893112358302,0.031231054862944,0.0141603344188379,1.87066989043639,0.0616205030451369,0.742080870278438,0.741066239555694,1271,-0.0012908886968407,0.0542695111685011,0.25393308437027,Q13618,CUL3,CUL3,CUL3__seq.10045.47,CUL3
seq.10046.55,cIAP.1__seq.10046.55__ANML,0.0087983685774763,0.0169424069612941,0.0134101789123956,0.656096285885015,0.511881113713318,0.386069325324465,0.383650370735515,1269,-0.0175101916542703,0.0351069288092229,0.756721111990544,Q13490,BIRC2,BIRC2,BIRC2__seq.10046.55,BIRC2_1
seq.10047.12,NCF.2__seq.10047.12__ANML,-0.0138688492502195,-0.028942484738002,0.0154739778260516,-0.896269169189986,0.370278739141904,0.0331559461956701,0.0293524684072974,1271,-0.0442261971098548,0.0164884986094158,0.6548872577443,P19878,NCF2,NCF2,NCF2__seq.10047.12,NCF2
seq.10048.7,PEBB__seq.10048.7__ANML,0.0109927596275151,0.0426724729001933,0.0077288409158986,1.42230377712943,0.155183440869547,0.166820643800419,0.163542990943615,1271,-0.0041699292992264,0.0261554485542567,0.419042416268658,Q13951,CBFB,CBFB,CBFB__seq.10048.7,CBFB
seq.10049.112,TERF1__seq.10049.112__ANML,-0.0033926666468894,-0.0115749378223788,0.009187820770783,-0.369256946944151,0.71199805969192,0.0939848711495345,0.0904009505449045,1264,-0.0214177243700896,0.0146323910763108,0.881527169418022,P54274,TERF1,TERF1,TERF1__seq.10049.112,TERF1
seq.10053.5,ILK1__seq.10053.5__ANML,0.0973027701945496,0.0578953610606509,0.0280893151819739,3.4640492145922,0.0005497422924752,0.740516440576514,0.739499655469055,1276,0.0421964532005973,0.152409087188502,0.0162799699214729,Q13418,ILK,ILK,ILK__seq.10053.5,ILK
seq.10054.3,GAN__seq.10054.3__ANML,-0.0152314439799582,-0.0236895668595696,0.0210538305077106,-0.723452389073804,0.469535427468277,0.009893995732937,0.0059897922460795,1268,-0.0565356196114923,0.0260727316515759,0.730320005327382,Q9H2C0,GAN,GAN,GAN__seq.10054.3,GAN
seq.10056.5,FOXM1__seq.10056.5__ANML,0.0008302553909313,0.0005995211471923,0.0165921829548794,0.0500389486536597,0.960099182006883,0.866653051705751,0.866130532315883,1276,-0.0317207017117893,0.033381212493652,0.985177118036469,Q08050,FOXM1,FOXM1,FOXM1__seq.10056.5,FOXM1
