apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10000.28,CRBB2__seq.10000.28__ANML,0.0085560334901395,0.0108237764797022,0.022273748945035,0.384130821948893,0.700945995486486,0.013122832768882,0.0100047374537757,1266,-0.035141488757683,0.0522535557379622,0.921897739144078,P43320,CRYBB2,CRYBB2,CRYBB2__seq.10000.28,CRYBB2
seq.10001.7,c.Raf__seq.10001.7__ANML,-0.0205769079994657,-0.0204822578860388,0.0149990414309123,-1.37188153617988,0.170341654356085,0.720681655295916,0.719805362449786,1275,-0.0500024223571141,0.0088486063581827,0.607179621141395,P04049,RAF1,RAF1,RAF1__seq.10001.7,RAF1
seq.10003.15,ZNF41__seq.10003.15__ANML,0.0248638415397221,0.0470699184233126,0.0143084110202179,1.73770808684411,0.0825050479722755,0.0862329192214266,0.0833503732252797,1268,-0.0032069231399317,0.0529346062193759,0.472079385168915,P51814,ZNF41,ZNF41,ZNF41__seq.10003.15,ZNF41
seq.10006.25,ELK1__seq.10006.25__ANML,-0.024325741526802,-0.0457109271852666,0.0140994358291057,-1.72529892838592,0.0847178434336031,0.128064513014096,0.125307404754852,1265,-0.0519865936992529,0.0033351106456488,0.475843862308249,P19419,ELK1,ELK1,ELK1__seq.10006.25,ELK1
seq.10008.43,GUC1A__seq.10008.43__ANML,-0.0068497113912903,-0.0150394639331545,0.0122059330418347,-0.561178843748657,0.574774546380255,0.102743587293006,0.0999198062931416,1271,-0.0307957037836642,0.0170962810010835,0.867710318197216,P43080,GUCA1A,GUCA1A,GUCA1A__seq.10008.43,GUCA1A
seq.10010.10,BECN1__seq.10010.10__ANML,0.0176357438863715,0.0427380016057644,0.0110760420997893,1.59224240278998,0.111579687740694,0.102437954626001,0.0996042938671248,1267,-0.0040936574693086,0.0393651452420515,0.522738279865569,Q14457,BECN1,BECN1,BECN1__seq.10010.10,BECN1_1
seq.10011.65,OCRL__seq.10011.65__ANML,0.0019840151495566,0.0041792311731556,0.0113561727066018,0.174708081746874,0.861336820153527,0.284397219828894,0.282146896620809,1272,-0.0202948733658335,0.0242629036649467,0.965969625060694,Q01968,OCRL,OCRL,OCRL__seq.10011.65,OCRL
seq.10012.5,SPDEF__seq.10012.5__ANML,-0.0177609477716299,-0.0439102571276442,0.0112927043049612,-1.5727807345338,0.116018087657621,0.0245649724388276,0.021499976279955,1273,-0.0399153054515109,0.004393409908251,0.529991899605315,O95238,SPDEF,SPDEF,SPDEF__seq.10012.5,SPDEF
seq.10014.31,SLUG__seq.10014.31__ANML,0.0179869525046929,0.0355035825917603,0.0139826091977434,1.28638026353448,0.198545019267057,0.0493724651705422,0.0463760032798268,1269,-0.0094446215763788,0.0454185265857646,0.640661707548172,O43623,SNAI2,SNAI2,SNAI2__seq.10014.31,SNAI2
seq.10015.119,KCAB2__seq.10015.119__ANML,0.0053614903980824,0.0085138152614651,0.0128283297012623,0.41794142518452,0.676060541311085,0.481493416805969,0.479861610092533,1271,-0.0198055397978424,0.0305285205940074,0.912135298388308,Q13303,KCNAB2,KCNAB2,KCNAB2__seq.10015.119,KCNAB2
