"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label","Gender"
"seq.10082.251",-0.42105420107163,-0.55421620892087,0.0332619131233801,-12.6587487469465,2.05815170656071e-30,0.363142626439083,0.357588637716168,344,-0.48647652701081,-0.355631875132451,163.918673722414,"NFL__seq.10082.251__ANML",2.14635820827046e-29,"P07196","NEFL","NEFL","NEFL__seq.10082.251","NEFL","female"
"seq.11293.14",0.377115753717362,0.634485150017088,0.0252602270862157,14.9292305421574,4.12677496396992e-39,0.406681203606119,0.401446037755585,340,0.327429752603462,0.426801754831262,-31.1613578289168,"LRRN1_CD__seq.11293.14__ANML",7.53136430924509e-38,"Q6UXK5","LRRN1","LRRN1","LRRN1__seq.11293.14","LRRN1_1","female"
"seq.11563.51",-0.0497064650778984,-0.117637994613429,0.0214441697431352,-2.31794775331932,0.0210399645831198,0.146244937232379,0.138777691785432,343,-0.0918850943586202,-0.00752783579717672,-142.182982924101,"SYTL4_C2_2__seq.11563.51__ANML",0.0219416773509678,"Q96C24","SYTL4","SYTL4","SYTL4__seq.11563.51","SYTL4_1","female"
"seq.12501.10",-0.647792170038053,-0.63031191128414,0.0420096753026641,-15.4200708615563,3.76324612487526e-41,0.444858640662527,0.440017291598537,344,-0.730420329761016,-0.56516401031509,326.425600489784,"TBCA__seq.12501.10__ANML",9.15723223719647e-40,"O75347","TBCA","TBCA","TBCA__seq.12501.10","TBCA","female"
"seq.12587.65",-0.515996950779847,-0.518777816622538,0.0453660152949827,-11.3740858090509,1.16226826995431e-25,0.308813752777691,0.302785965737962,344,-0.605226642054097,-0.426767259505596,379.922462055846,"ARL2__seq.12587.65__ANML",1.06056979633331e-24,"P36404","ARL2","ARL2","ARL2__seq.12587.65","ARL2","female"
"seq.12893.159",-0.105340888008433,-0.130551363583723,0.0408234774155816,-2.5803996787453,0.0102862262478943,0.159679318220913,0.152286467648077,341,-0.185638428073211,-0.0250433479436548,299.929068788069,"IP16_HIN_2__seq.12893.159__ANML",0.0117327268140044,"Q16666","IFI16","IFI16","IFI16__seq.12893.159","IFI16_1","female"
"seq.13022.20",-0.51300451230181,-0.31943961319143,0.0824158829445265,-6.22458310186532,1.40510552318393e-09,0.124971297803482,0.11734023354014,344,-0.675106996802982,-0.350902027800637,795.444839117513,"P5I11__seq.13022.20__ANML",4.88441443773461e-09,"O14683","TP53I11","TP53I11","TP53I11__seq.13022.20","TP53I11","female"
"seq.13055.53",0.142504343584604,0.20932125222733,0.0359386280394739,3.96521379247092,8.93286205664411e-05,0.0788374120693725,0.0707570384910335,342,0.0718157703690087,0.213192916800199,215.151157790513,"PSD1__seq.13055.53__ANML",0.000186313980038577,"A5PKW4","PSD","PSD","PSD__seq.13055.53","PSD","female"
"seq.13658.31",-0.13014801756847,-0.147416336671164,0.041128567256107,-3.16441894895197,0.00169378820455329,0.284498983082353,0.278204252728239,341,-0.211045652609077,-0.049250382527864,306.162553168433,"PDGF.CC__seq.13658.31__ANML",0.00228975072097019,"Q9NRA1","PDGFC","PDGFC","PDGFC__seq.13658.31","PDGFC_1","female"
"seq.13732.79",0.230309454183486,0.582948852377521,0.0175748400122194,13.1044979085646,4.33745757511451e-32,0.344196258073679,0.338460365287151,343,0.19574142611699,0.264877482249982,-280.351386303619,"Cardiotrophin.1__seq.13732.79__ANML",6.33268805966718e-31,"Q16619","CTF1","CTF1","CTF1__seq.13732.79","CTF1_1","female"
"seq.14318.1",-0.174504264039224,-0.379911728346431,0.0211465599166801,-8.25213484967728,3.38546064264475e-15,0.295668306583114,0.289507971072179,343,-0.216097523278078,-0.13291100480037,-151.003837374448,"VPS29__seq.14318.1__ANML",2.05948855760889e-14,"Q9UBQ0","VPS29","VPS29","VPS29__seq.14318.1","VPS29","female"
"seq.14341.8",-0.0890999917843237,-0.26976061504052,0.0174457437812792,-5.10726243038922,5.43340996103976e-07,0.0752686906231031,0.0671806616781155,343,-0.123414099921459,-0.0547858836471882,-285.031173850589,"FA69C__seq.14341.8__ANML",1.80290421434501e-06,"Q0P6D2","DIPK1C","DIPK1C","DIPK1C__seq.14341.8","DIPK1C","female"
"seq.14685.17",-0.0697645453482888,-0.190593005316895,0.0177014429514739,-3.9411784417541,9.83367952515667e-05,0.224977248940318,0.218178803755584,342,-0.104581949750109,-0.0349471409464689,-274.762156822407,"PKB_beta__seq.14685.17__ANML",0.00019940516814901,"P31751","AKT2","AKT2","AKT2__seq.14685.17","AKT2_1","female"
"seq.15548.35",-0.209381661506449,-0.467704735532718,0.0210371075716442,-9.95296814418885,1.15810632552188e-20,0.268928952086156,0.262516048157087,342,-0.250760066858739,-0.168003256154159,-155.637804629288,"SERA__seq.15548.35__ANML",8.45417617630971e-20,"O43175","PHGDH","PHGDH","PHGDH__seq.15548.35","PHGDH_1","female"
"seq.15606.19",-0.126004763562487,-0.219920688480726,0.0304319652394536,-4.1405398097369,4.36348345769235e-05,0.0626893780134462,0.0545151574728657,344,-0.18586091018521,-0.0661486169397643,102.030737753746,"Keratin_19__seq.15606.19__ANML",9.95419663786067e-05,"P08727","KRT19","KRT19","KRT19__seq.15606.19","KRT19","female"
"seq.17692.2",-0.0467880767246644,-0.114015591923247,0.0212117098409737,-2.20576639391352,0.0280649666610009,0.117429303873997,0.109687455662366,342,-0.0885099115836555,-0.00506624186567334,-149.953548805739,"BT3A3__seq.17692.2__ANML",0.0284547578646259,"O00478","BTN3A3","BTN3A3","BTN3A3__seq.17692.2","BTN3A3_1","female"
