"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10082.251",-0.0461107069352631,-0.0563712499257982,0.0465516348078764,-0.990528197893951,0.322307469148464,0.376114383863078,0.371017279156078,612,-0.137531032153123,0.045309618282597,199.973237796359,"NFL__seq.10082.251__ANML",0.676707039158578,"P07196","NEFL","NEFL","NEFL__seq.10082.251","NEFL"
"seq.11293.14",0.0153611084094491,0.0239569182961694,0.0358652983479155,0.428300031424161,0.668584627640618,0.396898045633674,0.391930154741035,607,-0.0550740281976328,0.0857962450165311,-125.368939384109,"LRRN1_CD__seq.11293.14__ANML",0.880356259608409,"Q6UXK5","LRRN1","LRRN1","LRRN1__seq.11293.14","LRRN1_1"
"seq.11563.51",0.00950101720384146,0.0187332194100612,0.0325520181170972,0.291871833250525,0.770483852592684,0.211938526301843,0.205479006025629,610,-0.0544266070110773,0.0734286414187603,-244.288224028706,"SYTL4_C2_2__seq.11563.51__ANML",0.907182600633322,"Q96C24","SYTL4","SYTL4","SYTL4__seq.11563.51","SYTL4_1"
"seq.12501.10",-0.0820889600301875,-0.0740949791000148,0.0589324857146314,-1.3929322517921,0.164145219875044,0.455827303444508,0.451388700699357,613,-0.197823017854543,0.0336450977941679,493.157069709839,"TBCA__seq.12501.10__ANML",0.595172925670908,"O75347","TBCA","TBCA","TBCA__seq.12501.10","TBCA"
"seq.12587.65",-0.0877619569804972,-0.0821305654991798,0.0636302956245821,-1.3792479842981,0.168321285365831,0.318063264182489,0.312500974330797,613,-0.212721768600455,0.0371978546394609,588.108233598666,"ARL2__seq.12587.65__ANML",0.595172925670908,"P36404","ARL2","ARL2","ARL2__seq.12587.65","ARL2"
"seq.12893.159",0.00175774783460196,0.00168793638961449,0.0679863601400137,0.0258544189008205,0.979381911858526,0.182524223852991,0.175823602737032,610,-0.131757982807247,0.135273478476451,664.618228979643,"IP16_HIN_2__seq.12893.159__ANML",0.979381911858526,"Q16666","IFI16","IFI16","IFI16__seq.12893.159","IFI16_1"
"seq.13022.20",-0.17223683874179,-0.0877640441085938,0.13571775990851,-1.26908106100409,0.2048937969981,0.0802417244210707,0.0727396177687141,613,-0.43876500029096,0.0942913228073804,1525.87804496023,"P5I11__seq.13022.20__ANML",0.595172925670908,"O14683","TP53I11","TP53I11","TP53I11__seq.13022.20","TP53I11"
"seq.13055.53",0.0235474764969885,0.0304077875670082,0.0527090664665118,0.44674432835856,0.655218232187987,0.116627620859987,0.109386863653922,610,-0.0799657797831364,0.127060732777113,350.014902421115,"PSD1__seq.13055.53__ANML",0.880356259608409,"A5PKW4","PSD","PSD","PSD__seq.13055.53","PSD"
"seq.13658.31",-0.0184511745666463,-0.0176411670817263,0.0594500568979815,-0.310364287763579,0.756390307481488,0.383408070153927,0.378337412836114,608,-0.135203559528278,0.0983012103949858,493.44201786264,"PDGF.CC__seq.13658.31__ANML",0.905188400756535,"Q9NRA1","PDGFC","PDGFC","PDGFC__seq.13658.31","PDGFC_1"
"seq.13732.79",-0.078673844641023,-0.146789970068097,0.0314414604908244,-2.50223251124045,0.0126014875140991,0.339973274688741,0.334572073990613,611,-0.140420287640492,-0.0169274016415539,-286.631832943033,"Cardiotrophin.1__seq.13732.79__ANML",0.28139557128071,"Q16619","CTF1","CTF1","CTF1__seq.13732.79","CTF1_1"
"seq.14318.1",-0.047386755706363,-0.0818874474354716,0.0337182559701386,-1.40537386477905,0.160418383077036,0.348902436464742,0.343574305830247,611,-0.113604492980662,0.0188309815679361,-200.401541830949,"VPS29__seq.14318.1__ANML",0.595172925670908,"Q9UBQ0","VPS29","VPS29","VPS29__seq.14318.1","VPS29"
"seq.14341.8",-0.0208319066409072,-0.053426950785097,0.0266325315482477,-0.782197764533498,0.434400882668296,0.104642254461812,0.0973272402008791,612,-0.0731341449095355,0.0314703316277212,-489.960034752499,"FA69C__seq.14341.8__ANML",0.755030105590133,"Q0P6D2","DIPK1C","DIPK1C","DIPK1C__seq.14341.8","DIPK1C"
"seq.14685.17",0.0190061049843005,0.0374910278309398,0.0318340502683704,0.597036972175185,0.550704590016321,0.248945530619575,0.242779237767519,609,-0.0435117345782743,0.0815239445468753,-273.335618885848,"PKB_beta__seq.14685.17__ANML",0.824694541108749,"P31751","AKT2","AKT2","AKT2__seq.14685.17","AKT2_1"
"seq.15548.35",0.00564290080669879,0.0101747048387701,0.0333166913080606,0.169371584786799,0.865560431265068,0.307910970819538,0.302247394475999,611,-0.0597862220352384,0.071072023648636,-215.179890928161,"SERA__seq.15548.35__ANML",0.943238967454909,"O43175","PHGDH","PHGDH","PHGDH__seq.15548.35","PHGDH_1"
"seq.15606.19",-0.0325045596267778,-0.048133595344077,0.0463840803022608,-0.700769734248531,0.483713067037092,0.0966744929182511,0.089294382566276,612,-0.123595833298794,0.0585867140452384,194.362895473014,"Keratin_19__seq.15606.19__ANML",0.802523952129721,"P08727","KRT19","KRT19","KRT19__seq.15606.19","KRT19"
"seq.17692.2",0.0173216284020508,0.0355914412085143,0.0322666238501982,0.536828038857385,0.591581817664045,0.158201668609767,0.151312975226869,611,-0.0460453150938786,0.0806885718979803,-252.993851899435,"BT3A3__seq.17692.2__ANML",0.846773974303437,"O00478","BTN3A3","BTN3A3","BTN3A3__seq.17692.2","BTN3A3_1"
"seq.18275.5",0.00961716433028701,0.0126150582984998,0.0539260265309189,0.178339939894755,0.858514934855625,0.0377221970243592,0.0298732753035139,613,-0.0962850014630963,0.11551933012367,383.248357718859,"CRIP1__seq.18275.5__ANML",0.943238967454909,"P50238","CRIP1","CRIP1","CRIP1__seq.18275.5","CRIP1"
"seq.18308.30",-0.00979274493338709,-0.0114676681718697,0.0491655717789753,-0.199178908717071,0.842188952213545,0.363825868903647,0.358628367832599,612,-0.106346444499604,0.0867609546328303,267.787314014172,"STXB6__seq.18308.30__ANML",0.943238967454909,"Q8NFX7","STXBP6","STXBP6","STXBP6__seq.18308.30","STXBP6"
"seq.18336.31",-0.0610880181744024,-0.0658848693929185,0.0623796746598331,-0.979293632221164,0.327821236726998,0.129508181479546,0.122407921948384,613,-0.183591808513475,0.0614157721646702,563.53367669145,"CDA__seq.18336.31__ANML",0.676707039158578,"P32320","CDA","CDA","CDA__seq.18336.31","CDA"
"seq.19332.1",-0.0371300839439435,-0.0554496150057897,0.0305488062955015,-1.21543485479533,0.224669707010624,0.598456949613956,0.595170999938129,611,-0.0971234842879727,0.0228633164000856,-321.118578211382,"MOBL3__seq.19332.1__ANML",0.595172925670908,"Q9Y3A3","MOB4","MOB4","MOB4__seq.19332.1","MOB4"
