apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10000.28,CRBB2__seq.10000.28__ANML,0.0011307971250828,0.001294720253298,0.0359937503765989,0.0314164851745491,0.974947721353847,0.0043992992300746,-0.002161496162149,607,-0.0695566038323469,0.0718181980825126,0.997268144223403,P43320,CRYBB2,CRYBB2,CRYBB2__seq.10000.28,CRYBB2
seq.10001.7,c.Raf__seq.10001.7__ANML,-0.0419858602187439,-0.0412588785200158,0.0228509480029896,-1.83737936007079,0.0666385585981812,0.702052153917738,0.700104782374716,612,-0.0868616439928566,0.0028899235553688,0.672915847135024,P04049,RAF1,RAF1,RAF1__seq.10001.7,RAF1
seq.10003.15,ZNF41__seq.10003.15__ANML,0.0280963043218785,0.0495943685556423,0.0223133793856384,1.25916849421572,0.20845030720875,0.0856362040362,0.0796501890053403,611,-0.0157239186211024,0.0719165272648593,0.831860357469445,P51814,ZNF41,ZNF41,ZNF41__seq.10003.15,ZNF41
seq.10006.25,ELK1__seq.10006.25__ANML,-0.0316710938961441,-0.0600022554639609,0.0204935205297584,-1.54541987308403,0.122764197826236,0.114077755229617,0.108258889910928,609,-0.0719176417827872,0.0085754539904988,0.773205498802211,P19419,ELK1,ELK1,ELK1__seq.10006.25,ELK1
seq.10008.43,GUC1A__seq.10008.43__ANML,-0.0174585778799451,-0.0368697611939309,0.0183732946330439,-0.950214875918135,0.342378782979487,0.110661430242189,0.104839246479454,611,-0.053541048988524,0.0186238932286337,0.895027841089881,P43080,GUCA1A,GUCA1A,GUCA1A__seq.10008.43,GUCA1A
seq.10010.10,BECN1__seq.10010.10__ANML,0.0426468457984057,0.1070768190589,0.0155541747695517,2.74182632188817,0.0062899738555788,0.10561262391917,0.0997188026599887,607,0.0121003154426231,0.0731933761541882,0.263625625516504,Q14457,BECN1,BECN1,BECN1__seq.10010.10,BECN1_1
seq.10011.65,OCRL__seq.10011.65__ANML,0.003742062906378,0.0074254834543381,0.0177934034685399,0.210306190886657,0.833498700868176,0.262969277399841,0.25815208313448,612,-0.0312014732022892,0.0386855990150453,0.978098910409901,Q01968,OCRL,OCRL,OCRL__seq.10011.65,OCRL
seq.10012.5,SPDEF__seq.10012.5__ANML,-0.0111787785544236,-0.028421494034785,0.0160255864847415,-0.697558155832069,0.485718904812405,0.0182159678694972,0.0117885764971206,611,-0.0426506932481423,0.0202931361392951,0.922060650871268,O95238,SPDEF,SPDEF,SPDEF__seq.10012.5,SPDEF
seq.10014.31,SLUG__seq.10014.31__ANML,0.0554001962681803,0.109731174702319,0.0202494611495281,2.73588496301648,0.0064026316017222,0.0539782118756238,0.0477646040718512,609,0.0156329485349376,0.095167444001423,0.263625625516504,O43623,SNAI2,SNAI2,SNAI2__seq.10014.31,SNAI2
seq.10015.119,KCAB2__seq.10015.119__ANML,0.0203161387575193,0.0311826080147844,0.0201002615009117,1.01074002229263,0.312539660696506,0.436418580038832,0.432741050381663,613,-0.0191575878063956,0.0597898653214341,0.888096737298899,Q13303,KCNAB2,KCNAB2,KCNAB2__seq.10015.119,KCNAB2
