apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10082.251,NFL__seq.10082.251__ANML,0.0001167251358441,0.0103089116311119,0.001593628024785,0.0732449066085445,0.941635163836316,0.375119660697043,0.37001442916679,612,-0.0030129177414344,0.0032463680131226,0.968160098028888,P07196,NEFL,NEFL,NEFL__seq.10082.251,NEFL
seq.11293.14,LRRN1_CD__seq.11293.14__ANML,-0.0030388376701138,-0.343511971686554,0.0012196661151169,-2.49153242223378,0.0129852042075141,0.402823057041376,0.397903971844023,607,-0.0054341153728095,-0.000643559967418,0.189583981429705,Q6UXK5,LRRN1,LRRN1,LRRN1__seq.11293.14,LRRN1_1
seq.11563.51,SYTL4_C2_2__seq.11563.51__ANML,0.00042812720025,0.0608859072899446,0.0011129052980786,0.384693289706863,0.700598748176981,0.212019637888525,0.205560782461382,610,-0.0017574636109382,0.0026137180114383,0.843791157363604,Q96C24,SYTL4,SYTL4,SYTL4__seq.11563.51,SYTL4_1
seq.12501.10,TBCA__seq.12501.10__ANML,0.0017373944187678,0.113088720546549,0.0020184990350432,0.860735818350632,0.38972008764262,0.454763861913113,0.450316585093481,613,-0.0022266176402398,0.0057014064777755,0.730578295647987,O75347,TBCA,TBCA,TBCA__seq.12501.10,TBCA
seq.12587.65,ARL2__seq.12587.65__ANML,0.0026066320267217,0.175911844998904,0.0021781103229496,1.19674012801695,0.231870487308068,0.317541474428601,0.311974928543027,613,-0.0016708312943526,0.0068840953477961,0.571817797190437,P36404,ARL2,ARL2,ARL2__seq.12587.65,ARL2
seq.12893.159,IP16_HIN_2__seq.12893.159__ANML,0.0005609003503615,0.0388351860685419,0.00233748751741,0.239958650552716,0.810442924939361,0.182600485406153,0.175900489384892,610,-0.0040295991720495,0.0051513998727726,0.924411461258959,Q16666,IFI16,IFI16,IFI16__seq.12893.159,IFI16_1
seq.13022.20,P5I11__seq.13022.20__ANML,-0.0007932509485086,-0.0291486216904013,0.0046499254674319,-0.170594336202705,0.864599041887179,0.0778689742814749,0.0703475140390726,613,-0.0099249672913864,0.0083384653943692,0.938386987147512,O14683,TP53I11,TP53I11,TP53I11__seq.13022.20,TP53I11
seq.13055.53,PSD1__seq.13055.53__ANML,-0.0027853489937953,-0.258589200512996,0.0018021517530883,-1.54556850665998,0.122727423238022,0.119785549624408,0.112570677080346,610,-0.0063245237274558,0.000753825739865,0.407231904380708,A5PKW4,PSD,PSD,PSD__seq.13055.53,PSD
seq.13658.31,PDGF.CC__seq.13658.31__ANML,0.0028044317022114,0.192785123404458,0.0020319830272057,1.38014523973062,0.168049177106414,0.385236373557828,0.38018075162985,608,-0.0011861257001967,0.0067949891046197,0.471830381875702,Q9NRA1,PDGFC,PDGFC,PDGFC__seq.13658.31,PDGFC_1
seq.13732.79,Cardiotrophin.1__seq.13732.79__ANML,-0.0021867237789619,-0.294162874948025,0.0010802132305,-2.0243445619988,0.0433692570818014,0.337652071143155,0.332231875325996,611,-0.0043081050259878,-6.53425319359349e-05,0.31657346580849,Q16619,CTF1,CTF1,CTF1__seq.13732.79,CTF1_1
seq.14318.1,VPS29__seq.14318.1__ANML,0.0008267885935075,0.103210515243767,0.0011539505132693,0.716485311978532,0.473965497457806,0.347346092262238,0.342005225586806,611,-0.0014394019230744,0.0030929791100895,0.736159176902549,Q9UBQ0,VPS29,VPS29,VPS29__seq.14318.1,VPS29
seq.14341.8,FA69C__seq.14341.8__ANML,-0.0016187567315626,-0.299303583157009,0.0009092340248299,-1.78035212866723,0.0755143686535378,0.108365071828583,0.101080472742215,612,-0.0034043539633709,0.0001668405002456,0.344534306981766,Q0P6D2,DIPK1C,DIPK1C,DIPK1C__seq.14341.8,DIPK1C
seq.14685.17,PKB_beta__seq.14685.17__ANML,-0.0001253889100343,-0.0178386920834241,0.00108647467998,-0.115408957378254,0.908159021693485,0.248522367028402,0.242352599926829,609,-0.002259080638205,0.0020083028181363,0.960805921501803,P31751,AKT2,AKT2,AKT2__seq.14685.17,AKT2_1
seq.15548.35,SERA__seq.15548.35__ANML,0.000594010780784,0.0773715388246909,0.0011387954277062,0.521613247060942,0.602128658219247,0.308186543804826,0.302525222559367,611,-0.001642417357961,0.002830438919529,0.784917715178661,O43175,PHGDH,PHGDH,PHGDH__seq.15548.35,PHGDH_1
seq.15606.19,Keratin_19__seq.15606.19__ANML,-0.0030358242483475,-0.324170729058814,0.0015821745037194,-1.91876701413827,0.0554786593146687,0.101355710909552,0.0940138458026036,612,-0.0061429741535742,7.1325656879174e-05,0.31657346580849,P08727,KRT19,KRT19,KRT19__seq.15606.19,KRT19
seq.17692.2,BT3A3__seq.17692.2__ANML,0.000428543572609,0.0634647163656103,0.0011042133619523,0.388098520969979,0.698078304282411,0.158012188239657,0.151121944280898,611,-0.001739970432424,0.002597057577642,0.843791157363604,O00478,BTN3A3,BTN3A3,BTN3A3__seq.17692.2,BTN3A3_1
seq.18275.5,CRIP1__seq.18275.5__ANML,0.0010889987991348,0.103011679547173,0.0018447440590075,0.590325142296806,0.555190239157425,0.038219031749636,0.030374162514315,613,-0.0025337860368916,0.0047117836351612,0.764695989782868,P50238,CRIP1,CRIP1,CRIP1__seq.18275.5,CRIP1
seq.18308.30,STXB6__seq.18308.30__ANML,0.0009118821952165,0.0769854001807746,0.0016828647034786,0.541863046584545,0.588110075394092,0.364089716458347,0.358894371004575,612,-0.0023930079364538,0.0042167723268868,0.780582463704885,Q8NFX7,STXBP6,STXBP6,STXBP6__seq.18308.30,STXBP6
