apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10000.28,CRBB2__seq.10000.28__ANML,-0.0272575328275233,-0.029806962833419,0.0532484068348109,-0.51189386589692,0.609103152617956,0.0041646420623842,-0.0091575700839383,299,-0.132046652468227,0.0775315868131802,0.946628387087333,P43320,CRYBB2,CRYBB2,CRYBB2__seq.10000.28,CRYBB2
seq.10001.7,c.Raf__seq.10001.7__ANML,-0.0231600197700243,-0.021754055915989,0.030089999269104,-0.769691602944126,0.442082473374478,0.762812176722424,0.759680984335922,303,-0.0823718454331098,0.0360518058930613,0.906437044338045,P04049,RAF1,RAF1,RAF1__seq.10001.7,RAF1
seq.10003.15,ZNF41__seq.10003.15__ANML,0.0394513712316061,0.0744747724042659,0.0291582318265964,1.35300972522007,0.177061175548923,0.0989101791363488,0.0870146039434294,303,-0.017926900004612,0.0968296424678243,0.789048084358797,P51814,ZNF41,ZNF41,ZNF41__seq.10003.15,ZNF41
seq.10006.25,ELK1__seq.10006.25__ANML,-0.0061785621694939,-0.0108217071450098,0.0310028135408816,-0.19929036960941,0.842169723006796,0.1256320265024,0.114050993740843,302,-0.0671874558449041,0.0548303315059162,0.983108206958215,P19419,ELK1,ELK1,ELK1__seq.10006.25,ELK1
seq.10008.43,GUC1A__seq.10008.43__ANML,-6.26407135765986e-05,-0.0001477635636583,0.0220830118692885,-0.002836601906813,0.997738594974296,0.196690412560663,0.186050550475374,302,-0.0435187006414824,0.0433934192143292,0.999290275462431,P43080,GUCA1A,GUCA1A,GUCA1A__seq.10008.43,GUCA1A
seq.10010.10,BECN1__seq.10010.10__ANML,0.0487136666304375,0.110968831707884,0.0241818825014167,2.01446957769245,0.0448523947164339,0.105537112967278,0.0936109411401747,300,0.0011260672379377,0.0963012660229373,0.590512764555009,Q14457,BECN1,BECN1,BECN1__seq.10010.10,BECN1_1
seq.10011.65,OCRL__seq.10011.65__ANML,0.0052089534802451,0.0104714774694396,0.0238917031051444,0.218023531320526,0.82755753477408,0.313958591328429,0.304901939068738,303,-0.0418057156263963,0.0522236225868866,0.98251164859475,Q01968,OCRL,OCRL,OCRL__seq.10011.65,OCRL
seq.10012.5,SPDEF__seq.10012.5__ANML,0.0165235430323155,0.0419345700470232,0.0227625127044407,0.725910326635072,0.468454069750089,0.0070820011141299,-0.0060258272540003,303,-0.0282690779928709,0.061316164057502,0.915377158173279,O95238,SPDEF,SPDEF,SPDEF__seq.10012.5,SPDEF
seq.10014.31,SLUG__seq.10014.31__ANML,0.0045168158838564,0.0126942564949715,0.0193472468671847,0.233460394383941,0.815562611131976,0.123184724286804,0.111532694044768,301,-0.0335561771710671,0.0425898089387799,0.981545790750289,O43623,SNAI2,SNAI2,SNAI2__seq.10014.31,SNAI2
seq.10015.119,KCAB2__seq.10015.119__ANML,0.005938946047782,0.009167859020585,0.027420158910558,0.216590504349531,0.828673238338886,0.467093085285384,0.460058010503672,303,-0.0480191034206056,0.0598969955161697,0.98251164859475,Q13303,KCNAB2,KCNAB2,KCNAB2__seq.10015.119,KCNAB2
seq.10022.207,POLH__seq.10022.207__ANML,-0.0152093459188302,-0.0178283621712188,0.0480598483708509,-0.316466789521853,0.75186685957544,0.0572096840569771,0.0447223951040893,302,-0.109783929462586,0.0793652376249251,0.976031947686275,Q9Y253,POLH,POLH,POLH__seq.10022.207,POLH
seq.10023.32,VDR__seq.10023.32__ANML,-0.0024043295134557,-0.006760177172479,0.0204012369307474,-0.11785214404486,0.906262897446621,0.0208357229641549,0.0079094618811735,303,-0.0425503751697303,0.0377417161428188,0.990566422790492,P11473,VDR,VDR,VDR__seq.10023.32,VDR
seq.10024.44,HOGA1__seq.10024.44__ANML,0.0778293647825622,0.101057845874397,0.0446880815025774,1.74161347199641,0.0826010968557878,0.0127336782772723,-0.0004298726790308,300,-0.0101124453738407,0.165771174938965,0.677761198718181,Q86XE5,HOGA1,HOGA1,HOGA1__seq.10024.44,HOGA1
