apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10000.28,CRBB2__seq.10000.28__ANML,0.0342083733395211,0.0404980085043299,0.049129144035704,0.696294918443126,0.486777927752648,0.0124354155163645,-0.0006017407144425,303,-0.0624691401958705,0.130885886874913,0.884913979848066,P43320,CRYBB2,CRYBB2,CRYBB2__seq.10000.28,CRYBB2
seq.10001.7,c.Raf__seq.10001.7__ANML,-0.0554133628229152,-0.0568244841796363,0.0343100305538043,-1.6150776297333,0.10733123801867,0.635900951531802,0.631110174578273,304,-0.122928577154636,0.0121018515088057,0.613033340277347,P04049,RAF1,RAF1,RAF1__seq.10001.7,RAF1
seq.10003.15,ZNF41__seq.10003.15__ANML,0.0209016677071684,0.0369582998217788,0.0321403810326623,0.650324203870741,0.515977237478051,0.0598722792703568,0.0474202564792358,302,-0.0423457884155866,0.0841491238299233,0.890183532313039,P51814,ZNF41,ZNF41,ZNF41__seq.10003.15,ZNF41
seq.10006.25,ELK1__seq.10006.25__ANML,-0.0526901759652518,-0.107204751327852,0.0273617366504599,-1.92568829377891,0.0550819924146805,0.099173523951159,0.0872420474472008,302,-0.106533975653988,0.0011536237234847,0.483757573885596,P19419,ELK1,ELK1,ELK1__seq.10006.25,ELK1
seq.10008.43,GUC1A__seq.10008.43__ANML,-0.0080332470957374,-0.0141842879802338,0.0321942219073179,-0.249524499112414,0.803123609505899,0.0514224047092677,0.0389411205607055,304,-0.0713849771067895,0.0553184829153147,0.963700586143732,P43080,GUCA1A,GUCA1A,GUCA1A__seq.10008.43,GUCA1A
seq.10010.10,BECN1__seq.10010.10__ANML,0.0527340826126007,0.128622432190536,0.0228672763242378,2.30609373258442,0.0217802124663317,0.0884107813863077,0.0763766002824967,303,0.0077353052118098,0.0977328600133915,0.342155644637172,Q14457,BECN1,BECN1,BECN1__seq.10010.10,BECN1_1
seq.10011.65,OCRL__seq.10011.65__ANML,-0.0024817391091461,-0.0048877928722882,0.0264708202862353,-0.0937537666876393,0.92536651861643,0.201247980839925,0.190738085850977,304,-0.054570970051655,0.0496074918333627,0.98400863285439,Q01968,OCRL,OCRL,OCRL__seq.10011.65,OCRL
seq.10012.5,SPDEF__seq.10012.5__ANML,-0.0327192680400014,-0.0824547303912441,0.0226019575762219,-1.44762983160464,0.14875446512969,0.0478628724376757,0.03529340540715,303,-0.0771959448148612,0.0117574087348584,0.671011363688284,O95238,SPDEF,SPDEF,SPDEF__seq.10012.5,SPDEF
seq.10014.31,SLUG__seq.10014.31__ANML,0.0591099410059513,0.10143213157065,0.0334842134145481,1.765307736937,0.0785226184984493,0.0343139789638025,0.0215234356388196,302,-0.0067819759750394,0.125001857986942,0.548453763912947,O43623,SNAI2,SNAI2,SNAI2__seq.10014.31,SNAI2
seq.10015.119,KCAB2__seq.10015.119__ANML,0.0171657397100882,0.0269296827230102,0.0274709336896271,0.624869176418634,0.532525647013114,0.454091930842742,0.446908929932778,304,-0.0368915125281212,0.0712229919482976,0.895429418058209,Q13303,KCNAB2,KCNAB2,KCNAB2__seq.10015.119,KCNAB2
seq.10022.207,POLH__seq.10022.207__ANML,-0.021295844644585,-0.0248017977508303,0.048156287271554,-0.442223556905402,0.658641885462831,0.0753921472660015,0.06322625446687,304,-0.116057697201385,0.0734660079122149,0.929158813593587,Q9Y253,POLH,POLH,POLH__seq.10022.207,POLH
seq.10023.32,VDR__seq.10023.32__ANML,0.0293694865232644,0.0670494505119555,0.0251381319735046,1.16832414414164,0.243594460289096,0.0342072218408383,0.021457482195173,303,-0.0200979353466703,0.0788369083931991,0.768997137635317,P11473,VDR,VDR,VDR__seq.10023.32,VDR
seq.10024.44,HOGA1__seq.10024.44__ANML,-0.0429711725700875,-0.0897914328584631,0.0278090158308029,-1.54522449954846,0.123335732818877,0.0122551102273665,-0.0007844262712819,303,-0.0976944240567106,0.0117520789165357,0.63561851818031,Q86XE5,HOGA1,HOGA1,HOGA1__seq.10024.44,HOGA1
seq.10025.1,DLDH__seq.10025.1__ANML,0.0368015311949141,0.0595795854656882,0.0314068804659486,1.17176652532602,0.242211354064231,0.239733516647659,0.229696995415285,303,-0.0250016850211988,0.0986047474110271,0.768656304837979,P09622,DLD,DLD,DLD__seq.10025.1,DLD_1
seq.10030.8,MutY_homolog__seq.10030.8__ANML,0.0493060199813502,0.0705638355014453,0.0400158213138161,1.23216313854157,0.218843442874069,0.0391965604756295,0.026512686686529,303,-0.0294380774913187,0.128050117454019,0.743867563471498,Q9UIF7,MUTYH,MUTYH,MUTYH__seq.10030.8,MUTYH
seq.10035.6,DUS4__seq.10035.6__ANML,-0.0036292933474966,-0.0112381142566859,0.0163871909063705,-0.221471353341333,0.824875114306674,0.248803426275067,0.238853802782022,302,-0.0358768306984882,0.0286182440034949,0.967928724080233,Q13115,DUSP4,DUSP4,DUSP4__seq.10035.6,DUSP4
seq.10036.201,ZHX3__seq.10036.201__ANML,0.0015599056813655,0.0043201430586726,0.0209391927552449,0.0744969349868935,0.940663976224122,0.0122796818553449,-0.0007166381202425,304,-0.0396441988905213,0.0427640102532523,0.987088342590949,Q9H4I2,ZHX3,ZHX3,ZHX3__seq.10036.201,ZHX3
seq.10037.98,SIG12_Ig.like_V.type_2__seq.10037.98__ANML,0.0020965445047619,0.0028548885524747,0.0427680920505962,0.0490212306474112,0.96093467365389,0.0068786545125825,-0.0062318582991325,303,-0.0820635376472806,0.0862566266568046,0.991278546809486,Q96PQ1,SIGLEC12,SIGLEC12,SIGLEC12__seq.10037.98,SIGLEC12_1
seq.10039.32,PNP__seq.10039.32__ANML,0.0866903862693873,0.0511084545607826,0.0385606724950273,2.24815545632838,0.0252802893553087,0.847658259789155,0.845660335327373,305,0.010811760960555,0.16256901157822,0.369813068179567,P00491,PNP,PNP,PNP__seq.10039.32,PNP_1
seq.10040.63,P73L__seq.10040.63__ANML,-0.0069840465032413,-0.0120289949718284,0.0337316129246808,-0.207047511153292,0.836111826760753,0.0129346023851506,-9.59639199960005e-05,303,-0.073361927272474,0.0593938342659913,0.969916346807657,Q9H3D4,TP63,TP63,TP63__seq.10040.63,TP63
seq.10041.3,HNF4A__seq.10041.3__ANML,0.0038590766843701,0.0040555986770845,0.0520318941457684,0.0741675225883349,0.940925706482031,0.11860924172537,0.10705001866603,305,-0.098527846170897,0.106245999539637,0.987131879568203,P41235,HNF4A,HNF4A,HNF4A__seq.10041.3,HNF4A
seq.10042.8,SGK3__seq.10042.8__ANML,0.0038229578106697,0.0106830824625093,0.0182581094858485,0.20938409935776,0.834289109687391,0.238139429246813,0.228081863956342,303,-0.0321057900149788,0.0397517056363183,0.969597756324208,Q96BR1,SGK3,SGK3,SGK3__seq.10042.8,SGK3
seq.10043.31,BRD4__seq.10043.31__ANML,-0.0177393785255323,-0.0558823723701797,0.0165614162743964,-1.07112690313551,0.284967634210148,0.20632752893098,0.195815310771126,302,-0.0503297653066066,0.0148510082555419,0.787915450723935,O60885,BRD4,BRD4,BRD4__seq.10043.31,BRD4
seq.10044.12,WN10A__seq.10044.12__ANML,-0.0551418321330121,-0.0636878718048792,0.0492010543543704,-1.12074492826624,0.263278128077409,0.0481116728955174,0.0356278915564422,305,-0.151958306706587,0.0416746424405628,0.781267699871822,Q9GZT5,WNT10A,WNT10A,WNT10A__seq.10044.12,WNT10A
seq.10045.47,CUL3__seq.10045.47__ANML,0.0011214996193128,0.0014138131555697,0.0220870779257514,0.0507762784684751,0.95953713970961,0.772167900830239,0.769170110051689,304,-0.0423414112568533,0.044584410495479,0.991278546809486,Q13618,CUL3,CUL3,CUL3__seq.10045.47,CUL3
seq.10046.55,cIAP.1__seq.10046.55__ANML,-0.0368151468955797,-0.0809414899651006,0.0202435585643471,-1.81861043741679,0.0699547653335843,0.417129097683479,0.40945974370563,304,-0.0766503837999986,0.0030200900088391,0.524331459344407,Q13490,BIRC2,BIRC2,BIRC2__seq.10046.55,BIRC2_1
seq.10047.12,NCF.2__seq.10047.12__ANML,0.0027781715419719,0.0055579062884945,0.0287673278411349,0.0965738478496924,0.923128670121301,0.0318543999358872,0.0190735999350409,303,-0.0538308694117477,0.0593872124956917,0.983881075242874,P19878,NCF2,NCF2,NCF2__seq.10047.12,NCF2
seq.10048.7,PEBB__seq.10048.7__ANML,0.0159891095146022,0.0677221074121157,0.0125813722105101,1.27085577368464,0.204751584927838,0.16452611786661,0.153533040470118,304,-0.0087684913289086,0.0407467103581129,0.731662221934425,Q13951,CBFB,CBFB,CBFB__seq.10048.7,CBFB
seq.10049.112,TERF1__seq.10049.112__ANML,-0.0032188371074589,-0.0106912883605913,0.0169981335734709,-0.189364149513602,0.849934204660722,0.0648116616258309,0.052465940987228,303,-0.0366681739701437,0.0302304997552259,0.973270531380777,P54274,TERF1,TERF1,TERF1__seq.10049.112,TERF1
seq.10053.5,ILK1__seq.10053.5__ANML,0.0057812492737623,0.0035570047987356,0.0556230644046915,0.103936187904001,0.917288299339168,0.654759746987061,0.650232005963941,305,-0.10367227913752,0.115234777685045,0.983408385932171,Q13418,ILK,ILK,ILK__seq.10053.5,ILK
seq.10054.3,GAN__seq.10054.3__ANML,0.0277184864524506,0.035177837324117,0.0456019375571138,0.607835717895426,0.54375173883271,0.0182296258212845,0.005268960815625,303,-0.0620181051766238,0.117455078081525,0.898354101720285,Q9H2C0,GAN,GAN,GAN__seq.10054.3,GAN
seq.10056.5,FOXM1__seq.10056.5__ANML,-0.0131979528082376,-0.0100357866588046,0.0296785067017607,-0.444697334029097,0.656853895140881,0.849872628307004,0.847903744743817,305,-0.07159849782049,0.0452025922040147,0.929158813593587,Q08050,FOXM1,FOXM1,FOXM1__seq.10056.5,FOXM1
seq.10058.1,RD23A__seq.10058.1__ANML,0.0434452390793248,0.0399351383473667,0.0305242780598492,1.423301117692,0.15567097299188,0.767938605369672,0.764895177243372,305,-0.0166195914296501,0.1035100695883,0.678115318865496,P54725,RAD23A,RAD23A,RAD23A__seq.10058.1,RAD23A
seq.10063.10,FANCL__seq.10063.10__ANML,0.0446951429153409,0.124908993028655,0.0205586715301707,2.17402874741925,0.0304767945316902,0.0356344296428776,0.0229035310243018,303,0.0042392936605011,0.0851509921701807,0.396700742233892,Q9NW38,FANCL,FANCL,FANCL__seq.10063.10,FANCL
seq.10064.12,RBBP9__seq.10064.12__ANML,0.017967121055116,0.0664097177550304,0.0144301979880178,1.24510565066641,0.214058172659998,0.164485620444918,0.153419204821672,302,-0.0104293473365415,0.0463635894467735,0.73724553964958,O75884,RBBP9,RBBP9,RBBP9__seq.10064.12,RBBP9
seq.10069.2,PIN1__seq.10069.2__ANML,-0.0105070229179607,-0.0308899590034075,0.0186590975488819,-0.56310456014473,0.573781502542742,0.120538491561394,0.108889994760882,302,-0.0472253322719726,0.0262112864360512,0.909916411758746,Q13526,PIN1,PIN1,PIN1__seq.10069.2,PIN1_1
seq.10070.22,PLCG2__seq.10070.22__ANML,-0.0138850082042527,-0.0112413898914255,0.0289704359945199,-0.479281989642104,0.632081493272319,0.837839940483492,0.835713251178357,305,-0.0708922312537254,0.0431222148452199,0.923502146842145,P16885,PLCG2,PLCG2,PLCG2__seq.10070.22,PLCG2
seq.10073.22,TYDP1__seq.10073.22__ANML,-0.0055905730496266,-0.0144126228232186,0.0171182531993225,-0.32658548652896,0.74420764002952,0.434726811248762,0.427239749146097,302,-0.0392767315000226,0.0280955854007693,0.949483827953599,Q9NUW8,TDP1,TDP1,TDP1__seq.10073.22,TDP1
