apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10000.28,CRBB2__seq.10000.28__ANML,0.0125049142952806,0.016402752690008,0.0302346015156713,0.413596133846811,0.67930590769159,0.0095594539790197,0.0034831316107929,652,-0.0468640239562859,0.0718738525468471,0.998293205451073,P43320,CRYBB2,CRYBB2,CRYBB2__seq.10000.28,CRYBB2
seq.10001.7,c.Raf__seq.10001.7__ANML,0.0087147886463859,0.0078523360954855,0.0224729287365634,0.387790516694292,0.698296477706689,0.738969796006076,0.737382986255354,658,-0.0354125101052899,0.0528420873980617,0.998293205451073,P04049,RAF1,RAF1,RAF1__seq.10001.7,RAF1
seq.10003.15,ZNF41__seq.10003.15__ANML,0.026424260419817,0.0484131298088343,0.0207925377416737,1.27085306989035,0.204234162357744,0.0843389780068934,0.0787214257247271,652,-0.0144041556133481,0.0672526764529822,0.998293205451073,P51814,ZNF41,ZNF41,ZNF41__seq.10003.15,ZNF41
seq.10006.25,ELK1__seq.10006.25__ANML,-0.024207209613904,-0.0389769091279862,0.0230327917900787,-1.05098894804108,0.293653040603001,0.13155986053883,0.126232006922504,652,-0.0694346088517474,0.0210201896239394,0.998293205451073,P19419,ELK1,ELK1,ELK1__seq.10006.25,ELK1
seq.10008.43,GUC1A__seq.10008.43__ANML,0.0115963548158405,0.024896155114915,0.0175095865065281,0.662286046076357,0.508021225073354,0.1050255474697,0.0995516976071292,654,-0.0227854328061597,0.0459781424378406,0.998293205451073,P43080,GUCA1A,GUCA1A,GUCA1A__seq.10008.43,GUCA1A
seq.10010.10,BECN1__seq.10010.10__ANML,-0.006773082770181,-0.0142118374712273,0.0178414780376205,-0.379625654102164,0.704346363366418,0.111201649958003,0.10577387377454,655,-0.0418064727475434,0.0282603072071812,0.998293205451073,Q14457,BECN1,BECN1,BECN1__seq.10010.10,BECN1_1
seq.10011.65,OCRL__seq.10011.65__ANML,0.0113026489457808,0.022901041175429,0.0164207123148709,0.688316604605813,0.491497127439861,0.298789648164727,0.294507447542833,655,-0.0209409363121181,0.0435462342036797,0.998293205451073,Q01968,OCRL,OCRL,OCRL__seq.10011.65,OCRL
seq.10012.5,SPDEF__seq.10012.5__ANML,-0.007076088922759,-0.0157423612796426,0.017710688719482,-0.399537761339302,0.689627051309707,0.0147508374322104,0.0087432205872848,656,-0.0418525638574316,0.0277003860119135,0.998293205451073,O95238,SPDEF,SPDEF,SPDEF__seq.10012.5,SPDEF
seq.10014.31,SLUG__seq.10014.31__ANML,-0.012074871007905,-0.0213523567775335,0.0219472379026522,-0.550177250616388,0.582385368440306,0.0461547820948636,0.0403297731305573,655,-0.0551702996909036,0.0310205576750937,0.998293205451073,O43623,SNAI2,SNAI2,SNAI2__seq.10014.31,SNAI2
seq.10015.119,KCAB2__seq.10015.119__ANML,0.0151289421960041,0.0216182407323758,0.0196037487323899,0.771737202028487,0.440548849139129,0.502925014224942,0.499884800244667,654,-0.0233649380141763,0.0536228224061844,0.998293205451073,Q13303,KCNAB2,KCNAB2,KCNAB2__seq.10015.119,KCNAB2
seq.10022.207,POLH__seq.10022.207__ANML,-0.0181410921912651,-0.0216906999597056,0.0317829018945548,-0.57078149287473,0.568344131526314,0.0884877194573968,0.0829041832825569,653,-0.0805501093964324,0.0442679250139023,0.998293205451073,Q9Y253,POLH,POLH,POLH__seq.10022.207,POLH
seq.10023.32,VDR__seq.10023.32__ANML,0.003543264503986,0.0082039489815213,0.0169546798579146,0.208984453477134,0.834525649198706,0.0289044768731165,0.0229468356269393,652,-0.02974909891737,0.0368356279253421,0.998293205451073,P11473,VDR,VDR,VDR__seq.10023.32,VDR
seq.10024.44,HOGA1__seq.10024.44__ANML,-0.0137448969701074,-0.0204043069527615,0.0266784898095305,-0.515205210948532,0.606584791531017,0.0120713120123655,0.0059917508555184,650,-0.0661313217303054,0.0386415277900906,0.998293205451073,Q86XE5,HOGA1,HOGA1,HOGA1__seq.10024.44,HOGA1
seq.10025.1,DLDH__seq.10025.1__ANML,0.0457237003149718,0.0633963239098981,0.0225193024121058,2.03042258939566,0.0427158929240639,0.380151166478388,0.376377353184497,657,0.0015052193143878,0.0899421813155557,0.87715274547638,P09622,DLD,DLD,DLD__seq.10025.1,DLD_1
seq.10030.8,MutY_homolog__seq.10030.8__ANML,0.0263672084368593,0.0340072918825023,0.0302403174824995,0.871922341824566,0.383572195197182,0.0399120998232444,0.0340129422184718,651,-0.0330131233714871,0.0857475402452057,0.998293205451073,Q9UIF7,MUTYH,MUTYH,MUTYH__seq.10030.8,MUTYH
seq.10035.6,DUS4__seq.10035.6__ANML,0.0042918650208309,0.0093106732834993,0.0174839524119411,0.245474531142037,0.80616627261121,0.0965608511906173,0.0910182797255291,652,-0.0300397827966485,0.0386235128383104,0.998293205451073,Q13115,DUSP4,DUSP4,DUSP4__seq.10035.6,DUSP4
seq.10036.201,ZHX3__seq.10036.201__ANML,-0.0105277252297288,-0.0208276993542909,0.0191884362428484,-0.548649462441343,0.583432423546202,0.0833341394605979,0.077753220979384,657,-0.048205779723068,0.0271503292636104,0.998293205451073,Q9H4I2,ZHX3,ZHX3,ZHX3__seq.10036.201,ZHX3
seq.10037.98,SIG12_Ig.like_V.type_2__seq.10037.98__ANML,0.053467132818121,0.0615988910783861,0.0343022636834532,1.55870566769366,0.119547604220624,0.00707800784041,0.0010328206735327,657,-0.0138881505386318,0.120822416174874,0.998293205451073,Q96PQ1,SIGLEC12,SIGLEC12,SIGLEC12__seq.10037.98,SIGLEC12_1
seq.10039.32,PNP__seq.10039.32__ANML,0.0228944383024842,0.0118483926367781,0.0259737783807711,0.881444276872453,0.378399257428887,0.88496856911746,0.884269289902369,658,-0.0281070440478479,0.0738959206528162,0.998293205451073,P00491,PNP,PNP,PNP__seq.10039.32,PNP_1
seq.10040.63,P73L__seq.10040.63__ANML,0.0101353571595413,0.012663951371499,0.0318318171096791,0.318403348593615,0.750281118169338,0.0093461179550831,0.0032591509379102,651,-0.0523700667047822,0.0726407810238649,0.998293205451073,Q9H3D4,TP63,TP63,TP63__seq.10040.63,TP63
seq.10041.3,HNF4A__seq.10041.3__ANML,-0.023356133388677,-0.0212556251007499,0.0422169413157232,-0.553240776351041,0.580286465431659,0.0602620396854818,0.0545493469176124,658,-0.106252297197977,0.059540030420623,0.998293205451073,P41235,HNF4A,HNF4A,HNF4A__seq.10041.3,HNF4A
seq.10042.8,SGK3__seq.10042.8__ANML,0.0006703971385149,0.0016667881534965,0.012893445748103,0.0519951882229474,0.958548380206445,0.34875174066025,0.344774652053595,655,-0.0246470744349052,0.0259878687119351,0.998293205451073,Q96BR1,SGK3,SGK3,SGK3__seq.10042.8,SGK3
