apt_name,coef_x2m,coef_x2y,coef_m2y,acme,acme_p,ade,ade_p,total,total_p,prop_m,prop_m_p,prop_m_ci_lower,prop_m_ci_upper,p_adjusted,ade_p_adjusted,prop_m_p_adjusted,Protein_id,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10082.251,-0.494692442154025,1.47254030444159,-0.434583569969465,0.0392047008215118,0.024,0.281854420422126,0,0.321059121243638,0,0.122110534251917,0.024,0.0159790170546209,0.242420083111145,0.0977560975609756,0,0.0977560975609756,NFL__seq.10082.251__ANML,P07196,NEFL,NEFL,NEFL__seq.10082.251,NEFL
seq.10390.21,-0.0510253104458056,1.65897553154101,-0.361788376894482,0.0033065637536549,0.15,0.3164402679969,0,0.319746831750554,0,0.0103411931732117,0.15,-0.0030532486363265,0.031071967685146,0.334,0,0.334,ZNRF3__seq.10390.21__ANML,Q9ULT6,ZNRF3,ZNRF3,ZNRF3__seq.10390.21,ZNRF3_1
seq.10939.16,-0.0514413112525032,1.64071971172456,-0.309294851832909,0.0028637567251267,0.242,0.314193433759159,0,0.317057190484285,0,0.0090323033543333,0.242,-0.0062709590823604,0.0276542793387858,0.44410989010989,0,0.44410989010989,PKHA4__seq.10939.16__ANML,Q9H4M7,PLEKHA4,PLEKHA4,PLEKHA4__seq.10939.16,PLEKHA4
seq.10990.21,-0.0408725597515852,1.65512324400746,-0.584451469499046,0.0042962466594147,0.12,0.317140901520473,0,0.321437148179888,0,0.0133657440770051,0.12,-0.0029802579861127,0.0354055470564459,0.29910447761194,0,0.29910447761194,LRRK2__seq.10990.21__ANML,Q5S007,LRRK2,LRRK2,LRRK2__seq.10990.21,LRRK2
seq.11160.56,-0.0447297501878669,1.66599864096508,-0.229305307004252,0.0018438330211214,0.536,0.319345264446073,0,0.321189097467194,0,0.0057406463533831,0.536,-0.0128530034267753,0.0277898164872024,0.710412698412698,0,0.710412698412698,RN122__seq.11160.56__ANML,Q9H9V4,RNF122,RNF122,RNF122__seq.11160.56,RNF122
seq.11180.17,-0.0901555327204372,1.64954862714781,-0.252138605323098,0.0040709552215587,0.094,0.31412933968495,0,0.318200294906509,0,0.0127936877706379,0.094,-0.0017818421421207,0.0332983268402937,0.253193548387097,0,0.253193548387097,SMRC1__seq.11180.17__ANML,Q92922,SMARCC1,SMARCC1,SMARCC1__seq.11180.17,SMARCC1
seq.11192.168,0.0676878909161691,1.65158521889312,0.798639905701461,0.0095755926729512,0.002,0.310838424901561,0,0.320414017574512,0,0.0298850616631478,0.002,0.0102533091751612,0.0576364396769617,0.0167,0,0.0167,TINAL__seq.11192.168__ANML,Q9GZM7,TINAGL1,TINAGL1,TINAGL1__seq.11192.168,TINAGL1
seq.11219.95,0.0449171223543957,1.65942266665687,0.689777135021143,0.0055391561713172,0.02,0.315833882150504,0,0.321373038321822,0,0.01723590815285,0.02,0.0024187923148019,0.0365897980483414,0.0878947368421053,0,0.0878947368421053,FGFP3__seq.11219.95__ANML,Q8TAT2,FGFBP3,FGFBP3,FGFBP3__seq.11219.95,FGFBP3
seq.11286.78,-0.0634108166230034,1.6654874194651,-0.328057299592366,0.0037365684239878,0.106,0.318983157952573,0,0.322719726376561,0,0.0115783700796395,0.106,-0.0022470189840959,0.0333297664313926,0.272338461538462,0,0.272338461538462,SELS__seq.11286.78__ANML,Q9BQE4,SELENOS,SELENOS,SELENOS__seq.11286.78,SELENOS
seq.11293.14,0.379352006814358,1.54130277251851,0.357347329835263,0.0246660107617534,0.188,0.296079826907174,0,0.320745837668927,0,0.0769020447498792,0.188,-0.0366227274016107,0.197217372174534,0.391728395061728,0,0.391728395061728,LRRN1_CD__seq.11293.14__ANML,Q6UXK5,LRRN1,LRRN1,LRRN1__seq.11293.14,LRRN1_1
seq.11416.23,0.0277647357931097,1.65985410115742,0.663466130910089,0.0033050584407417,0.23,0.317241893850111,0,0.320546952290853,0,0.010310684338508,0.23,-0.0053839050789375,0.0293073554488888,0.436477272727273,0,0.436477272727273,FBXL4_LRR4_and_LRR5__seq.11416.23__ANML,Q9UKA2,FBXL4,FBXL4,FBXL4__seq.11416.23,FBXL4_1
seq.11556.19,-0.0804827628935503,1.64769879253859,-0.466973218294879,0.0067521910408515,0.01,0.315032584816972,0,0.321784775857824,0,0.0209835627644326,0.01,0.0038582992570501,0.0445091096092779,0.0556666666666667,0,0.0556666666666667,ARFG1__seq.11556.19__ANML,Q8N6T3,ARFGAP1,ARFGAP1,ARFGAP1__seq.11556.19,ARFGAP1
seq.11563.51,-0.0584990320778655,1.64761851892964,-0.644511944966471,0.0067701088035988,0.042,0.314809275156032,0,0.321579383959631,0,0.0210526829184073,0.042,0.0009185124568745,0.0483437966795264,0.146125,0,0.146125,SYTL4_C2_2__seq.11563.51__ANML,Q96C24,SYTL4,SYTL4,SYTL4__seq.11563.51,SYTL4_1
seq.11814.29,0.0371718681878952,1.66465447519062,0.392202291586164,0.0026141401505178,0.246,0.318108199249627,0,0.320722339400144,0,0.0081507891075101,0.246,-0.0054617139273904,0.0271419133563591,0.445333333333333,0,0.445333333333333,Met__seq.11814.29__ANML,P08581,MET,MET,MET__seq.11814.29,MET_1
seq.12384.92,0.145383468023188,1.65056050825057,0.190381062614718,0.0049559537313684,0.086,0.314435413267474,0,0.319391366998842,0,0.0155168681543808,0.086,-0.0018060549641031,0.0409495832905252,0.2505,0,0.2505,CSN7B__seq.12384.92__ANML,Q9H9Q2,COPS7B,COPS7B,COPS7B__seq.12384.92,COPS7B
seq.12482.5,-0.040690010350035,1.68604623235037,0.0346626905634452,-0.0002522817983618,0.962,0.321904185979911,0,0.321651904181549,0,-0.0007843317421165,0.962,-0.0230799006185083,0.0225585473402168,0.987743902439024,0,0.987743902439024,BPTF__seq.12482.5__ANML,Q12830,BPTF,BPTF,BPTF__seq.12482.5,BPTF
seq.12501.10,-0.727216864687852,1.35320540893002,-0.457792512088055,0.0613085816722344,0.004,0.259090893425073,0,0.320399475097307,0,0.191350443547433,0.004,0.0484425492026676,0.342757460934243,0.0290434782608696,0,0.0290434782608696,TBCA__seq.12501.10__ANML,O75347,TBCA,TBCA,TBCA__seq.12501.10,TBCA
seq.12514.16,-0.0609579350071212,1.65050133918492,-0.45301088700208,0.0049769884963275,0.198,0.316903799757641,0,0.321880788253969,0,0.0154622104765092,0.198,-0.00695223833689,0.0442344328067307,0.393642857142857,0,0.393642857142857,METTL1__seq.12514.16__ANML,Q9UBP6,METTL1,METTL1,METTL1__seq.12514.16,METTL1
seq.12587.65,-0.541166256306738,1.6664548932297,-0.0137934870633133,0.0013388493112529,0.986,0.318595937507934,0,0.319934786819187,0,0.0041847569142571,0.986,-0.0914866966316188,0.100959258552134,0.991939759036145,0,0.991939759036145,ARL2__seq.12587.65__ANML,P36404,ARL2,ARL2,ARL2__seq.12587.65,ARL2
seq.12616.45,0.0924908846887355,1.6691861560003,0.0980154930207218,0.0016254332098677,0.614,0.319081797962664,0,0.320707231172531,0,0.0050682773940737,0.614,-0.0157628602283236,0.0321590178676147,0.765208955223881,0,0.765208955223881,NRBP__seq.12616.45__ANML,Q9UHY1,NRBP1,NRBP1,NRBP1__seq.12616.45,NRBP1
seq.12881.17,-0.0569646745405788,1.69824335101053,0.257646455133249,-0.0026235632732255,0.382,0.324411358739187,0,0.321787795465961,0,-0.0081530850771594,0.382,-0.0293020440989414,0.0112619680250694,0.574720720720721,0,0.574720720720721,RDH16__seq.12881.17__ANML,O75452,RDH16,RDH16,RDH16__seq.12881.17,RDH16
seq.12893.159,-0.157108939276457,1.59450358649493,-0.662917010253331,0.0186559845395312,0.002,0.302265608023638,0,0.320921592563169,0,0.0581325313467621,0.002,0.0265284079754276,0.101095338767343,0.0167,0,0.0167,IP16_HIN_2__seq.12893.159__ANML,Q16666,IFI16,IFI16,IFI16__seq.12893.159,IFI16_1
seq.13022.20,-0.655096390454149,1.59420981519472,-0.131688431404584,0.0155914611219053,0.09,0.305365361178811,0,0.320956822300716,0,0.0485780642085779,0.09,-0.0080691589035937,0.11148666815953,0.2505,0,0.2505,P5I11__seq.13022.20__ANML,O14683,TP53I11,TP53I11,TP53I11__seq.13022.20,TP53I11
seq.13055.53,0.125319218326702,1.68704590647366,0.0066938323777606,0.0001497675943861,0.97,0.321384703409371,0,0.321534471003758,0,0.0004657901652616,0.97,-0.0278934564511905,0.0282959199476884,0.987743902439024,0,0.987743902439024,PSD1__seq.13055.53__ANML,A5PKW4,PSD,PSD,PSD__seq.13055.53,PSD
seq.13408.23,0.0581712197103014,1.66692505798257,0.0926541394127824,0.0009666197870669,0.678,0.318617976449852,0,0.319584596236919,0,0.0030246131961578,0.678,-0.0125753829320494,0.0187869206631807,0.817482517482518,0,0.817482517482518,WFKN2__seq.13408.23__ANML,Q8TEU8,WFIKKN2,WFIKKN2,WFIKKN2__seq.13408.23,WFIKKN2_1
seq.13468.5,-0.04180999479419,1.64390804779149,-0.482956039891305,0.0036348793278757,0.314,0.314915821175963,0,0.318550700503839,0,0.0114106775534526,0.314,-0.0116505681718493,0.0355788938683307,0.514098039215686,0,0.514098039215686,NEUL4__seq.13468.5__ANML,Q96JN8,NEURL4,NEURL4,NEURL4__seq.13468.5,NEURL4
seq.13507.51,-0.0926119283431785,1.68091593344856,0.0068799692664528,-0.0001140505416609,0.968,0.321031730242526,0,0.320917679700865,0,-0.0003553887768579,0.968,-0.0182154922599024,0.017912590236357,0.987743902439024,0,0.987743902439024,TRADD__seq.13507.51__ANML,Q15628,TRADD,TRADD,TRADD__seq.13507.51,TRADD
seq.13524.25,0.093565853441093,1.64933304834918,0.627621895333156,0.0104752882711694,0.0,0.312898303159683,0,0.323373591430852,0,0.032393765442684,0.0,0.0114603354797407,0.0619651567736061,0.0,0,0.0,H6ST2__seq.13524.25__ANML,Q96MM7,HS6ST2,HS6ST2,HS6ST2__seq.13524.25,HS6ST2
seq.13658.31,-0.0750648183866311,1.72971012521586,0.303191230397355,-0.0040230679937475,0.09,0.326967577509955,0,0.322944509516207,0,-0.0124574590222152,0.09,-0.0297052232605276,0.0023414590729034,0.2505,0,0.2505,PDGF.CC__seq.13658.31__ANML,Q9NRA1,PDGFC,PDGFC,PDGFC__seq.13658.31,PDGFC_1
seq.13691.10,0.0728207734528769,1.66188525321922,0.2280908241334,0.002976125630123,0.19,0.317228008052214,0,0.320204133682337,0,0.0092944634908291,0.19,-0.0043494255181161,0.0251359449352924,0.391728395061728,0,0.391728395061728,SC5A8__seq.13691.10__ANML,Q8N695,SLC5A8,SLC5A8,SLC5A8__seq.13691.10,SLC5A8
seq.13723.6,-0.142658643972692,1.65719725322513,-0.150455457701962,0.0038631730963071,0.398,0.317846901694705,0,0.321710074791012,0,0.0120082440651469,0.398,-0.0172507836194668,0.0396256837974714,0.585964912280702,0,0.585964912280702,IL.10__seq.13723.6__ANML,P22301,IL10,IL10,IL10__seq.13723.6,IL10_1
seq.13732.79,0.269298493444145,1.43983434481286,0.944623617369461,0.0462071823169833,0.0,0.273416672608447,0,0.319623854925431,0,0.144567376949269,0.0,0.0460304827193158,0.264751587048799,0.0,0,0.0,Cardiotrophin.1__seq.13732.79__ANML,Q16619,CTF1,CTF1,CTF1__seq.13732.79,CTF1_1
seq.14029.42,-0.0459406830191958,1.67185146715312,-0.121404554528713,0.0010014721927854,0.69,0.320207776565427,0,0.321209248758213,0,0.0031178186700948,0.69,-0.01485074730171,0.0194903229184357,0.817482517482518,0,0.817482517482518,CSN2__seq.14029.42__ANML,P61201,COPS2,COPS2,COPS2__seq.14029.42,COPS2
seq.14101.2,0.0438557279367317,1.65083337282379,0.877830444784579,0.0068834663132777,0.004,0.31395066410806,0,0.320834130421338,0,0.0214549066342722,0.004,0.005235253513955,0.0465988836194283,0.0290434782608696,0,0.0290434782608696,CNTFR_alpha__seq.14101.2__ANML,P26992,CNTFR,CNTFR,CNTFR__seq.14101.2,CNTFR_1
seq.14125.5,0.0607584165960518,1.65735947736064,0.57140533645883,0.0062073550532018,0.046,0.315399982246997,0,0.321607337300199,0,0.0193010368025519,0.046,0.0005062093428267,0.0428048355434608,0.15364,0,0.15364,ApoM__seq.14125.5__ANML,O95445,APOM,APOM,APOM__seq.14125.5,APOM_2
seq.14283.12,-0.0657796482166243,1.67998212561245,0.116880290087073,-0.0013788429804599,0.696,0.321584186371995,0,0.320205343391535,0,-0.0043061210842255,0.696,-0.0271595752987775,0.0172536431909911,0.817482517482518,0,0.817482517482518,RAB14__seq.14283.12__ANML,P61106,RAB14,RAB14,RAB14__seq.14283.12,RAB14
seq.14318.1,-0.199097700117098,1.58490603497887,-0.487006081052468,0.0175742162408761,0.104,0.30436767972774,0,0.321941895968616,0,0.0545881615935732,0.104,-0.0070908052464121,0.129756189401825,0.271375,0,0.271375,VPS29__seq.14318.1__ANML,Q9UBQ0,VPS29,VPS29,VPS29__seq.14318.1,VPS29
seq.14341.8,-0.123766025536657,1.51224515287896,-1.41457339793698,0.0318113796708258,0.002,0.289308384109302,0,0.321119763780128,0,0.0990639109108438,0.002,0.0466325917016372,0.159063206338618,0.0167,0,0.0167,FA69C__seq.14341.8__ANML,Q0P6D2,DIPK1C,DIPK1C,DIPK1C__seq.14341.8,DIPK1C
seq.14663.44,-0.0402808750895381,1.67111296288996,-0.687149664502201,0.0049647459843659,0.156,0.319746348142249,0,0.324711094126615,0,0.0152897331633208,0.156,-0.0050133790586562,0.040453608735485,0.338337662337662,0,0.338337662337662,RNF8__seq.14663.44__ANML,O76064,RNF8,RNF8,RNF8__seq.14663.44,RNF8
seq.14685.17,-0.0730100581020182,1.68291557086526,-0.010387322362702,0.0001361268248026,0.986,0.322530061795565,0,0.322666188620368,0,0.0004218812804177,0.986,-0.0300955735749611,0.0325555433885121,0.991939759036145,0,0.991939759036145,PKB_beta__seq.14685.17__ANML,P31751,AKT2,AKT2,AKT2__seq.14685.17,AKT2_1
seq.15326.64,-0.0762085097749582,1.66345138226867,-0.18230178722362,0.0024888300568645,0.314,0.31746791819974,0,0.319956748256604,0,0.0077786453026099,0.314,-0.0052396107433904,0.0250257113367646,0.514098039215686,0,0.514098039215686,GBP1__seq.15326.64__ANML,P32455,GBP1,GBP1,GBP1__seq.15326.64,GBP1
seq.15460.9,-0.0406555594611222,1.67086117368696,-0.178746738310808,0.0013046168460818,0.582,0.319928781073925,0,0.321233397920007,0,0.0040612739974402,0.582,-0.0131012866896979,0.0251355122154112,0.74193893129771,0,0.74193893129771,CD26__seq.15460.9__ANML,P27487,DPP4,DPP4,DPP4__seq.15460.9,DPP4
seq.15468.14,-0.0597358638617961,1.64629874393737,-0.953695136491269,0.0101066994438105,0.0,0.310191695489753,0,0.320298394933563,0,0.0315540121451649,0.0,0.0118365493889305,0.0596806903129411,0.0,0,0.0,FHR1__seq.15468.14__ANML,Q03591,CFHR1,CFHR1,CFHR1__seq.15468.14,CFHR1_1
seq.15548.35,-0.242641226436362,1.57087526726057,-0.450220187403383,0.0198329940823711,0.148,0.301843443758442,0,0.321676437840813,0,0.0616551035428521,0.148,-0.0229782713416764,0.159678184584349,0.334,0,0.334,SERA__seq.15548.35__ANML,O43175,PHGDH,PHGDH,PHGDH__seq.15548.35,PHGDH_1
seq.15606.19,-0.154594730770801,1.6631824324736,-0.0735099363817915,0.002040618353898,0.802,0.318274782509448,0,0.320315400863346,0,0.0063706532636207,0.802,-0.0368073384022038,0.0461650440334723,0.886980132450331,0,0.886980132450331,Keratin_19__seq.15606.19__ANML,P08727,KRT19,KRT19,KRT19__seq.15606.19,KRT19
seq.15626.223,0.0518508232885108,1.66406534404531,0.49945457437149,0.0046284651759633,0.03,0.316689889422977,0,0.32131835459894,0,0.0144046087306168,0.03,0.0008467364820339,0.035808281432128,0.119285714285714,0,0.119285714285714,Perlecan__seq.15626.223__ANML,P98160,HSPG2,HSPG2,HSPG2__seq.15626.223,HSPG2
seq.16302.11,-0.0783092374401574,1.66896169084719,-0.0790730718814459,0.0011106279230248,0.684,0.319149171784871,0,0.320259799707895,0,0.0034678967639329,0.684,-0.0167309911668191,0.0228721744503169,0.817482517482518,0,0.817482517482518,SPLC2__seq.16302.11__ANML,Q96DR5,BPIFA2,BPIFA2,BPIFA2__seq.16302.11,BPIFA2_1
seq.16760.2,0.0776494857201035,1.65093093391107,0.340853117135227,0.0047436241318873,0.054,0.314906657834139,0,0.319650281966026,0,0.0148400436336593,0.054,-0.000405251016032,0.0352627208767375,0.170150943396226,0,0.170150943396226,IL.26__seq.16760.2__ANML,Q9NPH9,IL26,IL26,IL26__seq.16760.2,IL26
seq.17138.8,-0.0785653366735222,1.64529844271631,-0.322650394477241,0.0045405085470063,0.048,0.313404751029262,0,0.317945259576269,0,0.0142807870545311,0.048,0.0001480355583278,0.0367478396698914,0.157176470588235,0,0.157176470588235,GST_A1.1__seq.17138.8__ANML,P08263,GSTA1,GSTA1,GSTA1__seq.17138.8,GSTA1_2
seq.17467.1,-0.0435005653667805,1.67205917737946,-0.153895723098323,0.001203000089314,0.614,0.320562478892401,0,0.321765478981715,0,0.0037387481501159,0.614,-0.012443090932424,0.0212602000319783,0.765208955223881,0,0.765208955223881,DHRS9__seq.17467.1__ANML,Q9BPW9,DHRS9,DHRS9,DHRS9__seq.17467.1,DHRS9
seq.17468.1,-0.0311343241854679,1.65856968041117,-0.628459525989146,0.003512776019682,0.13,0.317229674461968,0,0.32074245048165,0,0.0109520146597589,0.13,-0.0039707692242297,0.0293016238697079,0.319264705882353,0,0.319264705882353,SUFU__seq.17468.1__ANML,Q9UMX1,SUFU,SUFU,SUFU__seq.17468.1,SUFU
