apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10000.28,CRBB2__seq.10000.28__ANML,0.0164371580788094,0.0171084119482954,0.0318384241912214,0.516267952838619,0.605783150547534,0.0133010477316798,0.0092941484331281,985,-0.0460417789387121,0.078916095096331,0.807378384877202,P43320,CRYBB2,CRYBB2,CRYBB2__seq.10000.28,CRYBB2
seq.10001.7,c.Raf__seq.10001.7__ANML,-0.0255058587908421,-0.0222709019299201,0.0203942531623384,-1.25063951044519,0.211361228643858,0.713283246491399,0.712125963934351,991,-0.0655267392280144,0.0145150216463302,0.487291407827606,P04049,RAF1,RAF1,RAF1__seq.10001.7,RAF1
seq.10003.15,ZNF41__seq.10003.15__ANML,-0.0061829080424202,-0.0100034191982001,0.0197456878002201,-0.313127002967774,0.754250395380031,0.0818714056023062,0.0781467459901453,986,-0.0449313095878616,0.0325654935030211,0.89272366049448,P51814,ZNF41,ZNF41,ZNF41__seq.10003.15,ZNF41
seq.10006.25,ELK1__seq.10006.25__ANML,-0.0324366663325423,-0.0545278077511666,0.0186480709639742,-1.73941135226298,0.0822748141461009,0.117563559768214,0.11398006153377,985,-0.0690311800640876,0.0041578473990029,0.293681654948611,P19419,ELK1,ELK1,ELK1__seq.10006.25,ELK1
seq.10008.43,GUC1A__seq.10008.43__ANML,0.0021876722520326,0.0040758967169902,0.0169013400341439,0.12943779887353,0.897037585559134,0.105246110981839,0.101623625601199,988,-0.0309789759612319,0.0353543204652973,0.956516219379141,P43080,GUCA1A,GUCA1A,GUCA1A__seq.10008.43,GUCA1A
seq.10010.10,BECN1__seq.10010.10__ANML,-0.0136195928848473,-0.0282425059768239,0.0152891845906279,-0.890799166176328,0.373254011336131,0.0954134205881341,0.0917474162136179,987,-0.043622636188418,0.0163834504187234,0.644044403738445,Q14457,BECN1,BECN1,BECN1__seq.10010.10,BECN1_1
seq.10011.65,OCRL__seq.10011.65__ANML,-0.0340082102899162,-0.062536278968653,0.0155654571389,-2.18485136584428,0.0291340956663647,0.260252758875156,0.257257830773436,988,-0.0645533647073539,-0.0034630558724786,0.162762183228119,Q01968,OCRL,OCRL,OCRL__seq.10011.65,OCRL
seq.10012.5,SPDEF__seq.10012.5__ANML,-0.0282624455425757,-0.0611590048558287,0.0152134218745346,-1.85773100724194,0.0635042594450936,0.0214580607190348,0.0175003582345818,989,-0.058116740211381,0.0015918491262296,0.2548917520978,O95238,SPDEF,SPDEF,SPDEF__seq.10012.5,SPDEF
seq.10014.31,SLUG__seq.10014.31__ANML,-0.0308345055198652,-0.0554075470372055,0.0180034331637468,-1.71270141863587,0.0870825128786848,0.0575680625738575,0.0537370384379788,984,-0.0661640421300756,0.004495031090345,0.300804223006742,O43623,SNAI2,SNAI2,SNAI2__seq.10014.31,SNAI2
seq.10015.119,KCAB2__seq.10015.119__ANML,-0.0178936363406077,-0.0243724187009724,0.0181688631095494,-0.984851734129856,0.324938016227113,0.44695704181234,0.444718001495791,988,-0.0535476312292983,0.0177603585480828,0.602469762531537,Q13303,KCNAB2,KCNAB2,KCNAB2__seq.10015.119,KCNAB2
seq.10022.207,POLH__seq.10022.207__ANML,-0.0045457191914674,-0.0050865307482771,0.0285902519780292,-0.158995422459401,0.873705073369328,0.0798609325108525,0.0761243271606427,985,-0.0606505233087165,0.0515590849257815,0.948010345471486,Q9Y253,POLH,POLH,POLH__seq.10022.207,POLH
seq.10023.32,VDR__seq.10023.32__ANML,-0.0015703707865445,-0.0036131721524348,0.0143136810546988,-0.10971117635942,0.912660738316466,0.0243247159284161,0.0203706114336984,987,-0.0296591148246589,0.0265183732515698,0.962608003277176,P11473,VDR,VDR,VDR__seq.10023.32,VDR
seq.10024.44,HOGA1__seq.10024.44__ANML,-0.0510012332932953,-0.0720574414010957,0.0234695071440006,-2.17308497278489,0.0300116520661623,0.0108362024206847,0.0068192935980274,985,-0.0970572142638168,-0.0049452523227737,0.166262270191629,Q86XE5,HOGA1,HOGA1,HOGA1__seq.10024.44,HOGA1
seq.10025.1,DLDH__seq.10025.1__ANML,-0.0039125522548794,-0.0054687146305814,0.0194484100316961,-0.201175944383265,0.840602283243856,0.331510037308415,0.328811793261224,991,-0.0420773473261184,0.0342522428163596,0.932987123133349,P09622,DLD,DLD,DLD__seq.10025.1,DLD_1
seq.10030.8,MutY_homolog__seq.10030.8__ANML,-0.0154004583289188,-0.0180068078247453,0.0278365284019559,-0.553246371334032,0.580220389560334,0.0495099189717245,0.0456461381545363,984,-0.0700262422187616,0.039225325560924,0.789193838515738,Q9UIF7,MUTYH,MUTYH,MUTYH__seq.10030.8,MUTYH
seq.10035.6,DUS4__seq.10035.6__ANML,0.0004464843507297,0.0010700705892338,0.0129310407232335,0.0345281064599473,0.972463025511165,0.136809117432258,0.133303773746704,985,-0.0249290704840686,0.0258220391855281,0.987663935830573,Q13115,DUSP4,DUSP4,DUSP4__seq.10035.6,DUSP4
seq.10036.201,ZHX3__seq.10036.201__ANML,-0.0219936673357386,-0.0446480815823027,0.0159864586478049,-1.37576856890432,0.169203831021506,0.0470141115780623,0.0431714265441027,992,-0.0533648264764948,0.0093774918050174,0.435495199839019,Q9H4I2,ZHX3,ZHX3,ZHX3__seq.10036.201,ZHX3
seq.10037.98,SIG12_Ig.like_V.type_2__seq.10037.98__ANML,-0.0352133853619144,-0.0387046700848226,0.0301521071194419,-1.16785819387094,0.243144862938043,0.0062850143751708,0.0022740558055448,991,-0.0943826946938399,0.023955923970011,0.521513930858784,Q96PQ1,SIGLEC12,SIGLEC12,SIGLEC12__seq.10037.98,SIGLEC12_1
seq.10039.32,PNP__seq.10039.32__ANML,0.0103330663368665,0.0052944776627616,0.0236913607987917,0.436153348244711,0.662820277513072,0.8664864654486,0.865948646578303,993,-0.0361578139736009,0.0568239466473339,0.844485512698092,P00491,PNP,PNP,PNP__seq.10039.32,PNP_1
seq.10040.63,P73L__seq.10040.63__ANML,0.0037653465408308,0.0047329842986895,0.026488063440684,0.142152579378358,0.886988527877468,0.002499916195715,-0.0015467372882778,986,-0.0482141098723972,0.0557448029540589,0.952713689714743,Q9H3D4,TP63,TP63,TP63__seq.10040.63,TP63
seq.10041.3,HNF4A__seq.10041.3__ANML,0.0853503627379158,0.0767759791081557,0.0351426663650569,2.42868204282819,0.0153304630657693,0.0945449862195609,0.0908976347038291,993,0.0163879460306462,0.154312779445185,0.109237690501997,P41235,HNF4A,HNF4A,HNF4A__seq.10041.3,HNF4A
seq.10042.8,SGK3__seq.10042.8__ANML,-0.0163647101982506,-0.0357206092460208,0.0134087526535129,-1.22044985250461,0.222585003909121,0.225704937637297,0.222576472738862,990,-0.0426775516298864,0.0099481312333851,0.501091394770688,Q96BR1,SGK3,SGK3,SGK3__seq.10042.8,SGK3
seq.10043.31,BRD4__seq.10043.31__ANML,0.0007509817797296,0.0019883376708657,0.0111161865669356,0.0675575005158123,0.946151556467592,0.218806098121601,0.215643369773915,988,-0.0210630666089635,0.0225650301684227,0.978224263737755,O60885,BRD4,BRD4,BRD4__seq.10043.31,BRD4
seq.10044.12,WN10A__seq.10044.12__ANML,0.0482157233178,0.0484899147885831,0.0323564891224267,1.49014076080278,0.136505100797108,0.0418122414407074,0.037948581123936,992,-0.0152793003055319,0.111710746941132,0.387544684063498,Q9GZT5,WNT10A,WNT10A,WNT10A__seq.10044.12,WNT10A
seq.10045.47,CUL3__seq.10045.47__ANML,0.0162168079188782,0.0168083108054993,0.0166112384079894,0.976255202687262,0.329176498735022,0.731856704676706,0.730773297422874,990,-0.0163804733873747,0.048814089225131,0.60648730229758,Q13618,CUL3,CUL3,CUL3__seq.10045.47,CUL3
seq.10046.55,cIAP.1__seq.10046.55__ANML,-0.0067331353049721,-0.0108052679451656,0.0165453309992904,-0.40695077694492,0.684132196068294,0.36396298804826,0.361390543106089,989,-0.0392011225283162,0.0257348519183721,0.8554588136556,Q13490,BIRC2,BIRC2,BIRC2__seq.10046.55,BIRC2_1
seq.10047.12,NCF.2__seq.10047.12__ANML,-0.0109104082009044,-0.0198757453197358,0.0180358085261919,-0.604930363119575,0.545364173815202,0.0258673644114966,0.0219235075872517,988,-0.0463033010378956,0.0244824846360869,0.766096800278394,P19878,NCF2,NCF2,NCF2__seq.10047.12,NCF2
seq.10048.7,PEBB__seq.10048.7__ANML,-0.0153078859479261,-0.0505907566053602,0.0092219881173854,-1.65993338454508,0.0972451832864766,0.162486325930307,0.159095582310591,988,-0.0334048199838268,0.0027890480879745,0.319689151733746,Q13951,CBFB,CBFB,CBFB__seq.10048.7,CBFB
seq.10049.112,TERF1__seq.10049.112__ANML,-0.0098184815936942,-0.0300361254879242,0.0103735068231636,-0.946495891993824,0.344128081295444,0.0950990929354965,0.0914206339636895,984,-0.0301752205418646,0.0105382573544761,0.620384328690252,P54274,TERF1,TERF1,TERF1__seq.10049.112,TERF1
seq.10053.5,ILK1__seq.10053.5__ANML,0.0908324930910692,0.0465660029413169,0.0333406070875078,2.72438029855499,0.0065553721563965,0.735296347070985,0.734230068509337,993,0.0254063579379252,0.156258628244213,0.0644478895537769,Q13418,ILK,ILK,ILK__seq.10053.5,ILK
seq.10054.3,GAN__seq.10054.3__ANML,-0.0157050319971222,-0.0200068080307037,0.0260339995253838,-0.603250836730228,0.546480428836714,0.0084340539640683,0.0044155496234972,987,-0.0667933820981496,0.0353833181039052,0.767221029885424,Q9H2C0,GAN,GAN,GAN__seq.10054.3,GAN
seq.10056.5,FOXM1__seq.10056.5__ANML,-0.0146244222645437,-0.0092048522769752,0.0191487809792601,-0.763726018924299,0.445211949733565,0.868381799935076,0.867851615846194,993,-0.0522011445203433,0.022952299991256,0.699233238253162,Q08050,FOXM1,FOXM1,FOXM1__seq.10056.5,FOXM1
seq.10058.1,RD23A__seq.10058.1__ANML,0.0311007961716081,0.0247847868884534,0.0197215210117128,1.57699784682616,0.115114520916774,0.77619713006774,0.775295607933068,993,-0.0075998458338384,0.0698014381770546,0.352449323760338,P54725,RAD23A,RAD23A,RAD23A__seq.10058.1,RAD23A
seq.10063.10,FANCL__seq.10063.10__ANML,-0.0056790775839015,-0.0128329703361142,0.0146522960024087,-0.387589602542016,0.698403416309473,0.0134443906711132,0.0094421366778926,986,-0.0344323453762583,0.0230741902084551,0.862221811692667,Q9NW38,FANCL,FANCL,FANCL__seq.10063.10,FANCL
seq.10064.12,RBBP9__seq.10064.12__ANML,-0.0062702193452178,-0.0220635214941258,0.0083415338711629,-0.751686613285151,0.452418381051143,0.22153122585038,0.218382717158168,989,-0.0226393578752133,0.0100989191847775,0.703643874030226,O75884,RBBP9,RBBP9,RBBP9__seq.10064.12,RBBP9
seq.10069.2,PIN1__seq.10069.2__ANML,-0.014267839646085,-0.0393637875043648,0.0110557827694726,-1.29053183692082,0.19716921599875,0.165471701118529,0.162079309659661,984,-0.0359634617286081,0.0074277824364381,0.471487002855212,Q13526,PIN1,PIN1,PIN1__seq.10069.2,PIN1_1
seq.10070.22,PLCG2__seq.10070.22__ANML,-0.0142808816496172,-0.0097496009254214,0.0187828013506387,-0.760316918814221,0.447245654708044,0.851015240737924,0.850415100720756,993,-0.0511394216424894,0.022577658343255,0.700233095755019,P16885,PLCG2,PLCG2,PLCG2__seq.10070.22,PLCG2
seq.10073.22,TYDP1__seq.10073.22__ANML,-0.014041440578064,-0.0279042359788293,0.012882921841156,-1.08992670693748,0.276011186690767,0.408769163319183,0.406375516207115,988,-0.0393224736678316,0.0112395925117035,0.555611255889272,Q9NUW8,TDP1,TDP1,TDP1__seq.10073.22,TDP1
seq.10074.128,BRD2__seq.10074.128__ANML,2.16328108174671e-05,4.01578936228769e-05,0.0176537051611673,0.0012253977632442,0.999022521908291,0.0334404510899999,0.029523289797558,987,-0.0346214756740949,0.0346647412957298,0.999100612900651,P25440,BRD2,BRD2,BRD2__seq.10074.128,BRD2_1
seq.10075.75,ACBD6__seq.10075.75__ANML,0.0135459564784162,0.0060803757362916,0.0246692864741011,0.549102078515215,0.583058848249837,0.888900492575634,0.888452961830722,993,-0.0348639619957712,0.0619558749526035,0.790983931005598,Q9BR61,ACBD6,ACBD6,ACBD6__seq.10075.75,ACBD6_1
seq.10076.1,AP4M1__seq.10076.1__ANML,-0.0384205103388961,-0.0320515902684443,0.0236409679770698,-1.62516654885542,0.104444396532901,0.647579721865936,0.646160103424308,993,-0.0848125020011732,0.007971481323381,0.333425691823918,O00189,AP4M1,AP4M1,AP4M1__seq.10076.1,AP4M1
seq.10078.5,BAG3__seq.10078.5__ANML,0.0058607895254444,0.015393185008587,0.0106665180938661,0.549456671227588,0.582816258845901,0.293189756054507,0.290328176119505,988,-0.015070843857766,0.026792422908655,0.790982465908637,O95817,BAG3,BAG3,BAG3__seq.10078.5,BAG3
seq.10080.9,EI2BA__seq.10080.9__ANML,-0.0018744561667558,-0.0009868803888721,0.0317748767821272,-0.0589917682327619,0.952970533865253,0.746426605872225,0.745405162189938,993,-0.0642280713053622,0.0604791589718506,0.979456876299149,Q14232,EIF2B1,EIF2B1,EIF2B1__seq.10080.9,EIF2B1
seq.10081.17,SATB2__seq.10081.17__ANML,0.0020367561806745,0.0040971568933896,0.0160532260622583,0.126875194604217,0.899064969402894,0.0590700242354789,0.0552644429381501,989,-0.029465541277455,0.033539053638804,0.957293214894839,Q9UPW6,SATB2,SATB2,SATB2__seq.10081.17,SATB2
seq.10082.251,NFL__seq.10082.251__ANML,-0.129917705404777,-0.143772507702861,0.0295036628514418,-4.40344326258554,1.18134393014961e-05,0.0374878930082063,0.0335989552021788,990,-0.187814604715471,-0.0720208060940833,0.0007069065041573,P07196,NEFL,NEFL,NEFL__seq.10082.251,NEFL
seq.10085.25,STAR__seq.10085.25__ANML,0.0055168281071447,0.0103433201441471,0.0148264239134052,0.372094318857078,0.709902338464748,0.302979464029258,0.300160371871641,989,-0.0235780351028429,0.0346116913171325,0.867463097708992,P49675,STAR,STAR,STAR__seq.10085.25,STAR
seq.10086.39,CBS__seq.10086.39__ANML,-0.0068908263800923,-0.008980348287226,0.0255059245830289,-0.270165716112771,0.787089474860477,0.0079963106368803,0.0039596730402857,983,-0.0569431479043956,0.043161495144211,0.90755726881269,P35520,CBS,CBS,CBS__seq.10086.39,CBS
seq.10087.10,Alpha_crystallin_A_chain__seq.10087.10__ANML,-0.0044026177073736,-0.0106654862193316,0.0125230975312945,-0.35155980350482,0.725243757006457,0.172287834554646,0.168919728082844,983,-0.0289776964141314,0.0201724609993842,0.875750169035644,P02489,CRYAA,CRYAA,CRYAA__seq.10087.10,CRYAA
seq.10088.37,APT__seq.10088.37__ANML,0.0658152166987554,0.0293131842330552,0.0247227571396034,2.66213093981035,0.0078902415689702,0.890143782035976,0.889701259506413,993,0.017300369751649,0.114330063645862,0.0710496323839825,P07741,APRT,APRT,APRT__seq.10088.37,APRT
seq.10089.7,ASML__seq.10089.7__ANML,0.0427894499872629,0.0324965668392852,0.0253502897457757,1.68792745236347,0.0917394853807863,0.664423495237997,0.663070364170409,992,-0.0069569004333916,0.0925358004079175,0.309982444804744,O95671,ASMTL,ASMTL,ASMTL__seq.10089.7,ASMTL
seq.10336.3,CHIP__seq.10336.3__ANML,-0.0011713245010265,-0.0006212174221755,0.0311161187161236,-0.0376436570291023,0.969979373075609,0.753516999407264,0.752523116340358,992,-0.0622322970147988,0.0598896480127456,0.986362330102709,Q9UNE7,STUB1,STUB1,STUB1__seq.10336.3,STUB1_1
seq.10339.48,NSE__seq.10339.48__ANML,0.0099469049065215,0.0115196991094122,0.0237799832159729,0.41828897927229,0.675826289514945,0.312794066305174,0.310025865162396,993,-0.0367178841221908,0.0566116939352338,0.851209287537408,P09104,ENO2,ENO2,ENO2__seq.10339.48,ENO2_1
seq.10342.55,PIAS4__seq.10342.55__ANML,0.0149109140614801,0.0275923490526188,0.0178430919991815,0.835668731751432,0.40354312914039,0.0161638563345692,0.0121847414966907,989,-0.0201037546132793,0.0499255827362396,0.666775163481002,Q8N2W9,PIAS4,PIAS4,PIAS4__seq.10342.55,PIAS4
