apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10000.28,CRBB2__seq.10000.28__ANML,0.0063868562073514,0.0076141108509707,0.0267997170847741,0.238318045938628,0.811683993855325,0.0130909609775257,0.0090832085347948,985,-0.0462042464731848,0.0589779588878877,0.951181122119068,P43320,CRYBB2,CRYBB2,CRYBB2__seq.10000.28,CRYBB2
seq.10001.7,c.Raf__seq.10001.7__ANML,-0.0245710245092796,-0.024585494568369,0.0171437594846087,-1.43323432245645,0.152106282599699,0.713424738093861,0.71226802664318,991,-0.0582132639732963,0.009071214954737,0.538171087294224,P04049,RAF1,RAF1,RAF1__seq.10001.7,RAF1
seq.10003.15,ZNF41__seq.10003.15__ANML,0.0249410124315247,0.0462115708963421,0.0166029380557479,1.50220475121813,0.133364417618051,0.0838768011115201,0.0801602769780984,986,-0.0076401423566634,0.0575221672197129,0.509165842572062,P51814,ZNF41,ZNF41,ZNF41__seq.10003.15,ZNF41
seq.10006.25,ELK1__seq.10006.25__ANML,-0.0255582282366718,-0.0491762101155394,0.015701769948633,-1.62772912354998,0.103902135361764,0.117227570123667,0.113642707464271,985,-0.0563709936484332,0.0052545371750895,0.463042144837223,P19419,ELK1,ELK1,ELK1__seq.10006.25,ELK1
seq.10008.43,GUC1A__seq.10008.43__ANML,-0.0015763615293884,-0.0033658878808884,0.014218551949728,-0.110866530921148,0.911744703093692,0.105242069464937,0.10161956772188,988,-0.0294783923545167,0.0263256692957398,0.977912094727013,P43080,GUCA1A,GUCA1A,GUCA1A__seq.10008.43,GUCA1A
seq.10010.10,BECN1__seq.10010.10__ANML,0.0235575673018082,0.055856954457571,0.0128637165027412,1.83131891135724,0.0673542548183012,0.0977519060606225,0.0940953788308784,987,-0.0016858092163342,0.0488009438199506,0.387427444987726,Q14457,BECN1,BECN1,BECN1__seq.10010.10,BECN1_1
seq.10011.65,OCRL__seq.10011.65__ANML,-0.0056080300272886,-0.0118307789779688,0.0131115183522445,-0.427717818533859,0.668949783770113,0.256816241283186,0.253807400154778,988,-0.0313376535868494,0.0201215935322721,0.906154550904662,Q01968,OCRL,OCRL,OCRL__seq.10011.65,OCRL
seq.10012.5,SPDEF__seq.10012.5__ANML,-0.0281253495464194,-0.0698135403588834,0.0127719566312814,-2.20211752657648,0.0278871950569953,0.0228346832470022,0.0188825484977483,989,-0.0531885969809575,-0.0030621021118812,0.283400550542985,O95238,SPDEF,SPDEF,SPDEF__seq.10012.5,SPDEF
seq.10014.31,SLUG__seq.10014.31__ANML,0.0245589447607326,0.0506241761261048,0.0151345900405255,1.62270300648856,0.104973221117912,0.0572813296039135,0.0534491398868562,984,-0.0051408379448229,0.0542587274662881,0.463303080389345,O43623,SNAI2,SNAI2,SNAI2__seq.10014.31,SNAI2
seq.10015.119,KCAB2__seq.10015.119__ANML,0.0133893816503836,0.0209520010006224,0.0152481834725902,0.878096835236277,0.38010465430166,0.446845804163265,0.444606313491861,988,-0.0165331650888124,0.0433119283895796,0.749121353426843,Q13303,KCNAB2,KCNAB2,KCNAB2__seq.10015.119,KCNAB2
seq.10022.207,POLH__seq.10022.207__ANML,-0.0200500480164343,-0.0257147277352005,0.0240438261901382,-0.833895897345073,0.404541824120766,0.080486468348732,0.0767524032455796,985,-0.0672330584936952,0.0271329624608267,0.767245330796568,Q9Y253,POLH,POLH,POLH__seq.10022.207,POLH
seq.10023.32,VDR__seq.10023.32__ANML,0.0030131587110124,0.007938287656616,0.0120393720756014,0.25027540407351,0.802426460342882,0.024374733397514,0.0204208316078383,987,-0.0206125487026774,0.0266388661247024,0.949706016022914,P11473,VDR,VDR,VDR__seq.10023.32,VDR
seq.10024.44,HOGA1__seq.10024.44__ANML,0.0024953248966092,0.0040437035012462,0.0197891187022928,0.126095807203385,0.899681819148094,0.0061099856533796,0.0020738840722764,985,-0.0363383527253415,0.0413290025185599,0.974744505129962,Q86XE5,HOGA1,HOGA1,HOGA1__seq.10024.44,HOGA1
seq.10025.1,DLDH__seq.10025.1__ANML,0.0377682303837919,0.0604936203823297,0.0163082442081832,2.3158980146275,0.0207671823256885,0.335081337905078,0.332397508794705,991,0.0057655732430449,0.0697708875245389,0.260337023234407,P09622,DLD,DLD,DLD__seq.10025.1,DLD_1
seq.10030.8,MutY_homolog__seq.10030.8__ANML,0.0184251103154934,0.0248009563757601,0.0232804630857296,0.79144088533134,0.428877488396863,0.0498191116252427,0.0459565876887599,984,-0.0272599523838901,0.064110173014877,0.779481403965487,Q9UIF7,MUTYH,MUTYH,MUTYH__seq.10030.8,MUTYH
seq.10035.6,DUS4__seq.10035.6__ANML,0.001312739844558,0.003614916924575,0.0108469569863294,0.121023790009721,0.903696874719907,0.136820907977841,0.133315612172675,985,-0.0199730605553091,0.0225985402444252,0.975433075632909,Q13115,DUSP4,DUSP4,DUSP4__seq.10035.6,DUSP4
seq.10036.201,ZHX3__seq.10036.201__ANML,-0.0228453598779359,-0.0531364092446536,0.0134342615678131,-1.70052963183855,0.0893447773339167,0.0479710918910908,0.044132265648716,992,-0.0492081940031957,0.0035174742473239,0.437827316523803,Q9H4I2,ZHX3,ZHX3,ZHX3__seq.10036.201,ZHX3
seq.10037.98,SIG12_Ig.like_V.type_2__seq.10037.98__ANML,0.0086275787986742,0.0108630053821684,0.0253840288966159,0.339882168973753,0.734017287562286,0.0050333673109648,0.0010173566845711,991,-0.041185041325176,0.0584401989225244,0.93303516188102,Q96PQ1,SIGLEC12,SIGLEC12,SIGLEC12__seq.10037.98,SIGLEC12_1
seq.10039.32,PNP__seq.10039.32__ANML,0.0440025885204658,0.0258462854340531,0.0198666539330086,2.21489681497674,0.0269934939992951,0.867117374886157,0.866582097443604,993,0.0050171440787905,0.0829880329621411,0.282803448447125,P00491,PNP,PNP,PNP__seq.10039.32,PNP_1
seq.10040.63,P73L__seq.10040.63__ANML,0.0205723811520307,0.0296552090125566,0.022240212140901,0.925008314745207,0.355187910533043,0.0033443603878236,-0.0006988673590817,986,-0.0230712072208101,0.0642159695248715,0.728249604569766,Q9H3D4,TP63,TP63,TP63__seq.10040.63,TP63
seq.10041.3,HNF4A__seq.10041.3__ANML,-0.0381883817959485,-0.0393801400479246,0.0296019553443191,-1.2900628134782,0.197329189883163,0.0906905109805918,0.0870276328777947,993,-0.0962779518530103,0.0199011882611134,0.586273714640637,P41235,HNF4A,HNF4A,HNF4A__seq.10041.3,HNF4A
seq.10042.8,SGK3__seq.10042.8__ANML,0.0032432022635202,0.0081304750278986,0.0112610155226645,0.288002645675499,0.773404994150655,0.224604942409482,0.221472033085884,990,-0.0188549990728608,0.0253414035999013,0.942746738673421,Q96BR1,SGK3,SGK3,SGK3__seq.10042.8,SGK3
seq.10043.31,BRD4__seq.10043.31__ANML,0.0008511076094403,0.0025825463189874,0.0093489483582737,0.0910377912920132,0.927481015925266,0.218809042489119,0.215646326061949,988,-0.017494969135743,0.0191971843546237,0.981792967308277,O60885,BRD4,BRD4,BRD4__seq.10043.31,BRD4
seq.10044.12,WN10A__seq.10044.12__ANML,-0.037052738834634,-0.0427095599356197,0.027207652217444,-1.36184991407961,0.173554433996968,0.0414594877849059,0.037594405074361,992,-0.0904438998393246,0.0163384221700566,0.562430627966153,Q9GZT5,WNT10A,WNT10A,WNT10A__seq.10044.12,WNT10A
seq.10045.47,CUL3__seq.10045.47__ANML,-0.0117066790426671,-0.0139160785051306,0.0139681250217496,-0.838099531929931,0.402177099503928,0.731788860177578,0.730705178804558,990,-0.0391172121691971,0.0157038540838629,0.765376219928452,Q13618,CUL3,CUL3,CUL3__seq.10045.47,CUL3
seq.10046.55,cIAP.1__seq.10046.55__ANML,-0.0346707524611834,-0.0638223113482759,0.0138515003881373,-2.50303227012694,0.0124737589309383,0.367860991370123,0.365304311861003,989,-0.0618524593515126,-0.0074890455708543,0.216283909184283,Q13490,BIRC2,BIRC2,BIRC2__seq.10046.55,BIRC2_1
seq.10047.12,NCF.2__seq.10047.12__ANML,0.000836978520809,0.001748042513454,0.0151746614047466,0.055156322667422,0.95602507660268,0.0255095605578493,0.0215642551350067,988,-0.0289412908678837,0.0306152479095019,0.991267105472605,P19878,NCF2,NCF2,NCF2__seq.10047.12,NCF2
seq.10048.7,PEBB__seq.10048.7__ANML,0.0148102219166646,0.0561327186829509,0.0077459158479792,1.9120039782679,0.0561646776921616,0.163246751981613,0.159859087009879,988,-0.0003901151868123,0.0300105590201415,0.367421338701195,Q13951,CBFB,CBFB,CBFB__seq.10048.7,CBFB
seq.10049.112,TERF1__seq.10049.112__ANML,0.0058704902191245,0.0205868924103233,0.0087249280945619,0.672841100293242,0.501206362829635,0.0946917628798463,0.0910116480948049,984,-0.0112511145178538,0.0229920949561028,0.82696765497934,P54274,TERF1,TERF1,TERF1__seq.10049.112,TERF1
seq.10053.5,ILK1__seq.10053.5__ANML,0.063540059490572,0.0373423247830571,0.0280566053957243,2.26470945413287,0.023745380575066,0.734688153849021,0.733619425365029,993,0.0084830159358111,0.118597103045333,0.27071220264375,Q13418,ILK,ILK,ILK__seq.10053.5,ILK
seq.10054.3,GAN__seq.10054.3__ANML,0.0048025894990947,0.007010241920591,0.0219112470784674,0.219183759002669,0.826552223287137,0.0081167381156318,0.004096947793912,987,-0.0381953932274319,0.0478005722256214,0.955238566397811,Q9H2C0,GAN,GAN,GAN__seq.10054.3,GAN
seq.10056.5,FOXM1__seq.10056.5__ANML,0.0048986932564749,0.0035346332518001,0.0160994732246758,0.304276617508618,0.760980909263196,0.868316766570505,0.867786320514394,993,-0.0266942021076509,0.0364915886206007,0.938504473333736,Q08050,FOXM1,FOXM1,FOXM1__seq.10056.5,FOXM1
seq.10058.1,RD23A__seq.10058.1__ANML,-0.0024402534772724,-0.0022293313857799,0.016597478010977,-0.147025558681782,0.883141690972983,0.775641510250004,0.774737749969038,993,-0.0350104114440238,0.0301299044894788,0.969292432054135,P54725,RAD23A,RAD23A,RAD23A__seq.10058.1,RAD23A
seq.10063.10,FANCL__seq.10063.10__ANML,0.0268516426146125,0.0696322774914634,0.0122731496559358,2.18783632297892,0.0289156738869962,0.0180609936278909,0.0140774682470711,986,0.0027671470069085,0.0509361382223165,0.28609720417577,Q9NW38,FANCL,FANCL,FANCL__seq.10063.10,FANCL
seq.10064.12,RBBP9__seq.10064.12__ANML,0.0083586537679964,0.0337262783086661,0.0070109503606417,1.19222834823085,0.233457702432553,0.222204335005889,0.219058548696509,989,-0.0053993935471392,0.022116701083132,0.624812403461112,O75884,RBBP9,RBBP9,RBBP9__seq.10064.12,RBBP9
seq.10069.2,PIN1__seq.10069.2__ANML,-0.0060204402415611,-0.0190274516026129,0.0093019892010511,-0.64722073004351,0.517640051293089,0.164414931064965,0.161018243792872,984,-0.0242744568525754,0.012233576369453,0.835072207033122,Q13526,PIN1,PIN1,PIN1__seq.10069.2,PIN1_1
seq.10070.22,PLCG2__seq.10070.22__ANML,0.001355113785712,0.0010605559645134,0.0157924095905432,0.0858079179078232,0.931636409894566,0.850929613572494,0.850329128632202,993,-0.0296352134615632,0.0323454410329873,0.983192572962224,P16885,PLCG2,PLCG2,PLCG2__seq.10070.22,PLCG2
seq.10073.22,TYDP1__seq.10073.22__ANML,-0.0163319032487601,-0.0371576695911972,0.0108467620462011,-1.50569388165753,0.132465400057657,0.409413475184694,0.407022436622689,988,-0.0376172415895413,0.004953435092021,0.507882960594393,Q9NUW8,TDP1,TDP1,TDP1__seq.10073.22,TDP1
seq.10074.128,BRD2__seq.10074.128__ANML,0.0140688889237803,0.0299038529545149,0.0148538165428944,0.947156502381229,0.343790864752967,0.0343181785104506,0.0304045743706753,987,-0.0150798010091636,0.0432175788567242,0.719895501501974,P25440,BRD2,BRD2,BRD2__seq.10074.128,BRD2_1
seq.10075.75,ACBD6__seq.10075.75__ANML,-0.0257215240623328,-0.0132355943233479,0.0207228336770317,-1.24121654708069,0.214818893140101,0.889038912263782,0.888591939100696,993,-0.0663870978280128,0.0149440497033472,0.605599315951624,Q9BR61,ACBD6,ACBD6,ACBD6__seq.10075.75,ACBD6_1
seq.10076.1,AP4M1__seq.10076.1__ANML,-0.0135153130654056,-0.0129252386638846,0.0198931889126261,-0.679393993832106,0.497046584330228,0.646806534686758,0.645383801694559,993,-0.0525528285793978,0.0255222024485865,0.824262318881337,O00189,AP4M1,AP4M1,AP4M1__seq.10076.1,AP4M1
