apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10000.28,CRBB2__seq.10000.28__ANML,0.0043082261763228,0.0051360654776943,0.0271513011380032,0.158674759431424,0.873957684066352,0.013326293823274,0.0083127079179043,984,-0.0489728829790988,0.0575893353317444,0.969455428055726,P43320,CRYBB2,CRYBB2,CRYBB2__seq.10000.28,CRYBB2
seq.10001.7,c.Raf__seq.10001.7__ANML,-0.021707502868795,-0.0217202865786918,0.0173644873864924,-1.25010905220738,0.211555129238571,0.713735132252812,0.712289350092473,990,-0.0557829321759878,0.0123679264383979,0.652430203289796,P04049,RAF1,RAF1,RAF1__seq.10001.7,RAF1
seq.10003.15,ZNF41__seq.10003.15__ANML,0.0264012924613745,0.0489172282674366,0.0168158021915992,1.57002872420585,0.11672958705137,0.0841633126625638,0.0795143954679576,985,-0.0065976223001704,0.0594002072229195,0.546860013999943,P51814,ZNF41,ZNF41,ZNF41__seq.10003.15,ZNF41
seq.10006.25,ELK1__seq.10006.25__ANML,-0.0218321194712464,-0.0420068591783332,0.015885898210713,-1.37430815567756,0.169658956267838,0.119254093273368,0.114778758381464,984,-0.0530062526111202,0.0093420136686273,0.603929104229941,P19419,ELK1,ELK1,ELK1__seq.10006.25,ELK1
seq.10008.43,GUC1A__seq.10008.43__ANML,-0.0019214055526871,-0.0041026347975963,0.0144125942609424,-0.133314344239471,0.893971959172301,0.105262222348574,0.100729609493197,987,-0.0302042539390504,0.0263614428336762,0.973390649841812,P43080,GUCA1A,GUCA1A,GUCA1A__seq.10008.43,GUCA1A
seq.10010.10,BECN1__seq.10010.10__ANML,0.0259988152093629,0.0616453566064405,0.0130223278578651,1.99647985315164,0.0461563067766973,0.0990555131679906,0.0944868291576864,986,0.0004441526421102,0.0515534777766156,0.406588506491221,Q14457,BECN1,BECN1,BECN1__seq.10010.10,BECN1_1
seq.10011.65,OCRL__seq.10011.65__ANML,-0.001072105681511,-0.0022617292163669,0.0132578293698804,-0.0808658530442916,0.935565030267733,0.260257659976338,0.256510231708741,987,-0.027088877624974,0.0249446662619519,0.985932200455518,Q01968,OCRL,OCRL,OCRL__seq.10011.65,OCRL
seq.10012.5,SPDEF__seq.10012.5__ANML,-0.0250042863102297,-0.0620663486717993,0.0129248022853873,-1.93459719987356,0.0533249578926524,0.0251509097703495,0.0202174629574463,988,-0.0503675042420292,0.0003589316215698,0.431825495815425,O95238,SPDEF,SPDEF,SPDEF__seq.10012.5,SPDEF
seq.10014.31,SLUG__seq.10014.31__ANML,0.0294264527940146,0.0606577336088388,0.0153065147958372,1.92247896967489,0.0548342416750738,0.0610981857203744,0.056322489818647,983,-0.0006107488562841,0.0594636544443134,0.434567690529594,O43623,SNAI2,SNAI2,SNAI2__seq.10014.31,SNAI2
seq.10015.119,KCAB2__seq.10015.119__ANML,0.0162449476015364,0.0254204538558879,0.0154494978384559,1.05148709501098,0.293292299237907,0.447575860455288,0.444777359241789,987,-0.0140726896745388,0.0465625848776116,0.719916066980957,Q13303,KCNAB2,KCNAB2,KCNAB2__seq.10015.119,KCNAB2
seq.10022.207,POLH__seq.10022.207__ANML,-0.0199480041541253,-0.0255838537276085,0.0243686633012834,-0.818592464736248,0.413217161320705,0.0804871110915647,0.0758147895015828,984,-0.0677685267407967,0.027872518432546,0.804389484758034,Q9Y253,POLH,POLH,POLH__seq.10022.207,POLH
seq.10023.32,VDR__seq.10023.32__ANML,0.003314274525941,0.0087315893662549,0.0122067028532668,0.271512673469729,0.786053588907516,0.0243976576705174,0.0194503841292929,986,-0.0206398276805668,0.0272683767324489,0.952653534385502,P11473,VDR,VDR,VDR__seq.10023.32,VDR
seq.10024.44,HOGA1__seq.10024.44__ANML,0.0097045932160234,0.01572640805978,0.020014384768151,0.484880915823424,0.627868741208439,0.011072489265285,0.0060474511009825,984,-0.0295711900729717,0.0489803765050186,0.901640800256944,Q86XE5,HOGA1,HOGA1,HOGA1__seq.10024.44,HOGA1
seq.10025.1,DLDH__seq.10025.1__ANML,0.0392752305187056,0.0629073923052184,0.0165224251397002,2.37708630462092,0.0176392096707412,0.335303867228142,0.331946816052527,990,0.0068522330929827,0.0716982279444285,0.291386944334126,P09622,DLD,DLD,DLD__seq.10025.1,DLD_1
seq.10030.8,MutY_homolog__seq.10030.8__ANML,0.0209208933177112,0.0281603829572834,0.0235709535513978,0.887570936495715,0.374988702259728,0.0502710375275896,0.0454402696615043,983,-0.0253342793559345,0.0671760659913569,0.780289259058017,Q9UIF7,MUTYH,MUTYH,MUTYH__seq.10030.8,MUTYH
seq.10035.6,DUS4__seq.10035.6__ANML,0.0012859363584306,0.0035411076499948,0.0110026752704081,0.116874880592835,0.90698305343407,0.136821099949915,0.13243502830332,984,-0.0203054687497293,0.0228773414665907,0.977020514353497,Q13115,DUSP4,DUSP4,DUSP4__seq.10035.6,DUSP4
seq.10036.201,ZHX3__seq.10036.201__ANML,-0.0204423065777946,-0.0475471068972502,0.0136018444601286,-1.50290695042997,0.133181624028189,0.0491812580493062,0.0443839889173653,991,-0.0471340312774308,0.0062494181218416,0.560825509274771,Q9H4I2,ZHX3,ZHX3,ZHX3__seq.10036.201,ZHX3
seq.10037.98,SIG12_Ig.like_V.type_2__seq.10037.98__ANML,0.0136734628409798,0.0172162902131091,0.0257029545256496,0.531980198126043,0.594859066468862,0.0065689980978793,0.0015516698054445,990,-0.0367650666952318,0.0641119923771913,0.889799095863955,Q96PQ1,SIGLEC12,SIGLEC12,SIGLEC12__seq.10037.98,SIGLEC12_1
seq.10039.32,PNP__seq.10039.32__ANML,0.0437220574592829,0.0256815068125164,0.0201296167663064,2.17202632155751,0.0300899653482508,0.867118416282396,0.866448650235432,992,0.0042205377712475,0.0832235771473184,0.352420253315124,P00491,PNP,PNP,PNP__seq.10039.32,PNP_1
seq.10040.63,P73L__seq.10040.63__ANML,0.0205799344628322,0.0296660971547166,0.0225274356353635,0.913549806375912,0.361177005273977,0.0033443650597928,-0.001714800599802,985,-0.0236273486544091,0.0647872175800734,0.76800996037004,Q9H3D4,TP63,TP63,TP63__seq.10040.63,TP63
seq.10041.3,HNF4A__seq.10041.3__ANML,-0.0507965905902235,-0.0523818176451854,0.0298867735424013,-1.69963447269263,0.0895131980708978,0.097174063891302,0.0926235299391411,992,-0.109445147450635,0.0078519662701884,0.513063452357585,P41235,HNF4A,HNF4A,HNF4A__seq.10041.3,HNF4A
seq.10042.8,SGK3__seq.10042.8__ANML,0.0055908137042362,0.0140157682174863,0.0114051222659431,0.490201996424977,0.624099695254842,0.225893022931821,0.22197943861904,989,-0.0167902050875426,0.0279718324960152,0.900076321329411,Q96BR1,SGK3,SGK3,SGK3__seq.10042.8,SGK3
seq.10043.31,BRD4__seq.10043.31__ANML,0.0007709784194105,0.0023394074462296,0.0094710188582208,0.0814039577950274,0.935137205441399,0.218811342932289,0.214853953585441,987,-0.0178146686599191,0.0193566254987401,0.985743675537635,O60885,BRD4,BRD4,BRD4__seq.10043.31,BRD4
seq.10044.12,WN10A__seq.10044.12__ANML,-0.0446234269243568,-0.0514360607798613,0.0275303743381713,-1.62087977359922,0.105361540187929,0.0443457870677306,0.0395241210085365,991,-0.098647950941407,0.0094010970926934,0.531918794365254,Q9GZT5,WNT10A,WNT10A,WNT10A__seq.10044.12,WNT10A
