apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10082.251,NFL__seq.10082.251__ANML,-0.0751319604564481,-0.0741123085599037,0.0490502908262425,-1.53173323115653,0.125908394263838,0.400190795413698,0.396548229393943,988,-0.171386679745321,0.0211227588324246,0.53085701365294,P07196,NEFL,NEFL,NEFL__seq.10082.251,NEFL
seq.10390.21,ZNRF3__seq.10390.21__ANML,0.052962052363277,0.0570303123577708,0.0413214090269602,1.28170973861811,0.200246408572609,0.486870844081648,0.483742007765073,984,-0.0281261611860795,0.134050265912633,0.617401828407903,Q9ULT6,ZNRF3,ZNRF3,ZNRF3__seq.10390.21,ZNRF3_1
seq.10731.10,HS3S5__seq.10731.10__ANML,0.0037975971375375,0.0078619169176521,0.0295178928558744,0.128654072839139,0.897657614382097,0.0491450660112185,0.0433589305102726,986,-0.0541275142451101,0.0617227085201852,0.953031288638599,Q8IZT8,HS3ST5,HS3ST5,HS3ST5__seq.10731.10,HS3ST5
seq.10892.8,OSMR__seq.10892.8__ANML,0.0081219882102349,0.0101972153292437,0.0492642574600196,0.164865738955394,0.869083555434137,0.0287958786968596,0.0228678779564538,983,-0.0885532154671747,0.104797191887644,0.953031288638599,Q99650,OSMR,OSMR,OSMR__seq.10892.8,OSMR
seq.10939.16,PKHA4__seq.10939.16__ANML,0.0464432897059461,0.0708081925161334,0.0400199241617722,1.16050419081777,0.246125921829839,0.0418599993320423,0.0359998158417184,981,-0.0320912146729453,0.124977794084838,0.65077362382127,Q9H4M7,PLEKHA4,PLEKHA4,PLEKHA4__seq.10939.16,PLEKHA4
seq.11160.56,RN122__seq.11160.56__ANML,-0.0122768195976367,-0.020936322074538,0.0268990145182486,-0.456404066004274,0.648199855566117,0.456749863148646,0.453447430705781,987,-0.0650626495175073,0.040509010322234,0.870808713308851,Q9H9V4,RNF122,RNF122,RNF122__seq.11160.56,RNF122
seq.11180.17,SMRC1__seq.11180.17__ANML,0.0602515492193969,0.0539391712983973,0.0686423467797593,0.877760625124247,0.380288772315163,0.0258535482304407,0.0198893862808311,980,-0.0744513416955886,0.194954440134382,0.72715470740444,Q92922,SMARCC1,SMARCC1,SMARCC1__seq.11180.17,SMARCC1
seq.11293.14,LRRN1_CD__seq.11293.14__ANML,0.0387280763369912,0.0464357939792456,0.0418809948828664,0.924717200374696,0.355339511752342,0.350467118211921,0.3465105727391,985,-0.0434581532892612,0.120914305963244,0.710679023504683,Q6UXK5,LRRN1,LRRN1,LRRN1__seq.11293.14,LRRN1_1
seq.11556.19,ARFG1__seq.11556.19__ANML,-0.0442018763707883,-0.0513087237215464,0.0520766429661713,-0.848785057045662,0.396206090572932,0.0569467184341058,0.051231244000373,990,-0.146395158928043,0.057991406186466,0.72715470740444,Q8N6T3,ARFGAP1,ARFGAP1,ARFGAP1__seq.11556.19,ARFGAP1
seq.11563.51,SYTL4_C2_2__seq.11563.51__ANML,0.0302955262649938,0.0513857773499765,0.0332812178223649,0.910288993230148,0.362892591295532,0.181079219515603,0.176095928762149,986,-0.0350146318388896,0.0956056843688773,0.716598028381051,Q96C24,SYTL4,SYTL4,SYTL4__seq.11563.51,SYTL4_1
seq.11814.29,Met__seq.11814.29__ANML,0.0210263545987486,0.036745315253731,0.030841769275654,0.681749299491275,0.49555678128301,0.249541494416825,0.244997850588874,991,-0.0394963206287604,0.0815490298262576,0.773068578801495,P08581,MET,MET,MET__seq.11814.29,MET_1
seq.12384.92,CSN7B__seq.12384.92__ANML,0.110773687369639,0.071482836897646,0.0950943297417764,1.16488215091729,0.244347025314219,0.027226553107656,0.0213369055987216,991,-0.0758356858961933,0.297383060635471,0.65077362382127,Q9H9Q2,COPS7B,COPS7B,COPS7B__seq.12384.92,COPS7B
seq.12482.5,BPTF__seq.12482.5__ANML,0.0025313478589294,0.0063203868191916,0.0237344026161882,0.106653110249462,0.915085900147543,0.103689336314696,0.0982295759267648,985,-0.0440444574415789,0.0491071531594378,0.964550002858221,Q12830,BPTF,BPTF,BPTF__seq.12482.5,BPTF
seq.12501.10,TBCA__seq.12501.10__ANML,-0.0878818829733127,-0.0651186020540796,0.0588342810879367,-1.49371899083733,0.135567393846153,0.509041863655289,0.506069362325251,991,-0.203335962624314,0.0275721966776889,0.556539827368416,O75347,TBCA,TBCA,TBCA__seq.12501.10,TBCA
seq.12514.16,METTL1__seq.12514.16__ANML,-0.0210165349817652,-0.0419026368740207,0.0291426813042043,-0.72115996336731,0.470981883120033,0.131602154465622,0.126323140207054,987,-0.0782052701932024,0.036172200229672,0.765003307296321,Q9UBP6,METTL1,METTL1,METTL1__seq.12514.16,METTL1
seq.12587.65,ARL2__seq.12587.65__ANML,0.0098036567421832,0.0077458890594695,0.0639531253186559,0.153294412014035,0.878197346375202,0.341148427210691,0.337155387375605,990,-0.115695596547903,0.135302910032269,0.953031288638599,P36404,ARL2,ARL2,ARL2__seq.12587.65,ARL2
seq.12616.45,NRBP__seq.12616.45__ANML,0.0100942630881079,0.01090385811032,0.0459715843635394,0.21957614095445,0.826246722360025,0.369726002462237,0.365890663734826,986,-0.0801191257095567,0.100307651885773,0.953031288638599,Q9UHY1,NRBP1,NRBP1,NRBP1__seq.12616.45,NRBP1
seq.12881.17,RDH16__seq.12881.17__ANML,0.0184834623202643,0.0274269362045949,0.0316668437875592,0.583685019077454,0.559565875860005,0.431152741024274,0.427687681578737,985,-0.0436587695522581,0.0806256941927867,0.837985600912625,O75452,RDH16,RDH16,RDH16__seq.12881.17,RDH16
seq.12893.159,IP16_HIN_2__seq.12893.159__ANML,0.014960663780175,0.0140826202973284,0.0602214663938867,0.248427424239768,0.803855448161244,0.174334669710252,0.169310337071572,986,-0.103216306558615,0.133137634118965,0.953031288638599,Q16666,IFI16,IFI16,IFI16__seq.12893.159,IFI16_1
seq.13022.20,P5I11__seq.13022.20__ANML,-0.184606487721195,-0.0785391133990134,0.135602424809546,-1.36138043239622,0.173702939461114,0.14022441146006,0.135018908401292,991,-0.450707353837503,0.0814943783951128,0.617401828407903,O14683,TP53I11,TP53I11,TP53I11__seq.13022.20,TP53I11
seq.13055.53,PSD1__seq.13055.53__ANML,0.0543898645267648,0.0595461095445316,0.0548605145831696,0.991420968979589,0.321723049762952,0.0798695050049632,0.0742760065551453,987,-0.0532667855017776,0.162046514555307,0.70355791737135,A5PKW4,PSD,PSD,PSD__seq.13055.53,PSD
seq.13468.5,NEUL4__seq.13468.5__ANML,-0.0125840118502526,-0.030779923541292,0.0241908657299004,-0.520196837548419,0.603043520862613,0.0971035187161439,0.091592451688979,983,-0.0600556879121301,0.0348876642116249,0.862144740569064,Q96JN8,NEURL4,NEURL4,NEURL4__seq.13468.5,NEURL4
seq.13507.51,TRADD__seq.13507.51__ANML,0.0157855093570852,0.0156901777084623,0.0615361848539101,0.256524017446983,0.797599642453221,0.036571563039003,0.0307207830574585,988,-0.104971128359981,0.136542147074151,0.953031288638599,Q15628,TRADD,TRADD,TRADD__seq.13507.51,TRADD
seq.13524.25,H6ST2__seq.13524.25__ANML,-0.203738599830216,-0.166179074668083,0.0747946535749637,-2.72397277201127,0.0065637496978944,0.0363022363145379,0.0304616438073533,990,-0.350512868124034,-0.0569643315363977,0.222491929532545,Q96MM7,HS6ST2,HS6ST2,HS6ST2__seq.13524.25,HS6ST2
seq.13625.19,LA_HTH__seq.13625.19__ANML,0.0386300001853302,0.0519679584486175,0.0453841109614117,0.851178955960505,0.394877035713027,0.0408811806355441,0.0350328951516145,984,-0.0504307692329041,0.127690769603564,0.72715470740444,P05455,SSB,SSB,SSB__seq.13625.19,SSB_2
seq.13658.31,PDGF.CC__seq.13658.31__ANML,0.0849324139542059,0.0707163488362176,0.0590886307756406,1.43737319412078,0.150930533171161,0.381339091762838,0.377559086213528,982,-0.031022091013501,0.200886918921913,0.588629079367527,Q9NRA1,PDGFC,PDGFC,PDGFC__seq.13658.31,PDGFC_1
seq.13723.6,IL.10__seq.13723.6__ANML,-0.0796665503436538,-0.0787502900859174,0.060822943840381,-1.30981082653159,0.190565236769813,0.0690636896619124,0.0633930116293963,985,-0.199023992615285,0.0396908919279773,0.617401828407903,P22301,IL10,IL10,IL10__seq.13723.6,IL10_1
seq.13732.79,Cardiotrophin.1__seq.13732.79__ANML,-0.0370362557801863,-0.0578896475586333,0.0330987289343491,-1.11896308325456,0.263427858195921,0.310785071251691,0.306599555490062,988,-0.10198814105402,0.027915629493647,0.673684358664979,Q16619,CTF1,CTF1,CTF1__seq.13732.79,CTF1_1
seq.14029.42,CSN2__seq.14029.42__ANML,-0.0527313769099808,-0.0585593681150945,0.0333858845259728,-1.57945124589879,0.114552348202251,0.645564919236134,0.643414655854351,989,-0.118246685867887,0.0127839320479252,0.52559312704562,P61201,COPS2,COPS2,COPS2__seq.14029.42,COPS2
seq.14125.5,ApoM__seq.14125.5__ANML,0.053558291644688,0.0762227103334714,0.0420926880362366,1.27238943729564,0.203534150616022,0.0923092894964559,0.0867969977322643,988,-0.0290430508304188,0.136159634119795,0.617401828407903,O95445,APOM,APOM,APOM__seq.14125.5,APOM_2
seq.14283.12,RAB14__seq.14283.12__ANML,0.0005686502189894,0.0006543685588655,0.0383692537180805,0.0148204659691221,0.988178413114377,0.496249658569784,0.493181128571224,985,-0.0747262253082435,0.0758635257462223,0.995324092690795,P61106,RAB14,RAB14,RAB14__seq.14283.12,RAB14
seq.14318.1,VPS29__seq.14318.1__ANML,-0.0165364767700534,-0.0248138325826661,0.0325210416714784,-0.508485458033658,0.611226337072472,0.385973651983369,0.382248517415017,989,-0.0803546479220655,0.0472816943819587,0.862144740569064,Q9UBQ0,VPS29,VPS29,VPS29__seq.14318.1,VPS29
seq.14341.8,FA69C__seq.14341.8__ANML,-0.0095562465095327,-0.0212021681052992,0.0252110157825733,-0.379050435410792,0.704731773791748,0.193551448192342,0.188658939283498,989,-0.0590294748390974,0.0399169818200319,0.901132432061579,Q0P6D2,DIPK1C,DIPK1C,DIPK1C__seq.14341.8,DIPK1C
seq.14663.44,RNF8__seq.14663.44__ANML,0.0241443254794684,0.0501074256289057,0.0229282761592335,1.05303710195174,0.292582234967416,0.428827524504845,0.42534830130386,985,-0.0208495571784577,0.0691382081373944,0.700152349249502,O76064,RNF8,RNF8,RNF8__seq.14663.44,RNF8
seq.14685.17,PKB_beta__seq.14685.17__ANML,0.0142630830002756,0.0260261312806124,0.0287531582984604,0.496052741484031,0.619967753822812,0.292718697068916,0.288414754049052,986,-0.0421613340532526,0.0706875000538038,0.862144740569064,P31751,AKT2,AKT2,AKT2__seq.14685.17,AKT2_1
seq.15326.64,GBP1__seq.15326.64__ANML,0.0625694805010082,0.0621258893975909,0.0602937034365799,1.03774485451573,0.299642248389731,0.075029767174217,0.0694238869752729,990,-0.0557486583183518,0.180887619320368,0.700152349249502,P32455,GBP1,GBP1,GBP1__seq.15326.64,GBP1
seq.15460.9,CD26__seq.15460.9__ANML,-0.0275620103496944,-0.0567326061354912,0.0296496682232213,-0.929589165794043,0.352811822976705,0.0467946447581173,0.0409824169822522,984,-0.0857458594769952,0.0306218387776063,0.710679023504683,P27487,DPP4,DPP4,DPP4__seq.15460.9,DPP4
seq.15468.14,FHR1__seq.15468.14__ANML,0.0059616036513273,0.0082870385197803,0.043453494133254,0.137195035065433,0.89090453105276,0.0583394714286897,0.052632437922197,990,-0.079309929825672,0.0912331371283267,0.953031288638599,Q03591,CFHR1,CFHR1,CFHR1__seq.15468.14,CFHR1_1
seq.15548.35,SERA__seq.15548.35__ANML,0.0084349987966428,0.0136864795532503,0.0302320287022813,0.279008692394049,0.780296543546489,0.380280537598151,0.37651705908154,988,-0.0508913657825118,0.0677613633757976,0.943614424753894,O43175,PHGDH,PHGDH,PHGDH__seq.15548.35,PHGDH_1
seq.15606.19,Keratin_19__seq.15606.19__ANML,-0.0501351372056858,-0.0665940190942493,0.0438834399003038,-1.1424614232518,0.25353877250702,0.124138592671878,0.118824974427218,989,-0.136250486971766,0.0359802125603942,0.659200808518251,P08727,KRT19,KRT19,KRT19__seq.15606.19,KRT19
seq.16302.11,SPLC2__seq.16302.11__ANML,-0.0564232822532376,-0.0709368492704457,0.0484502297183775,-1.16456170757506,0.244476716110027,0.0415026692365048,0.0356994563358177,991,-0.151500107831409,0.0386535433249341,0.65077362382127,Q96DR5,BPIFA2,BPIFA2,BPIFA2__seq.16302.11,BPIFA2_1
seq.17138.8,GST_A1.1__seq.17138.8__ANML,0.0291436678248125,0.0278848943365306,0.0639430720843592,0.455775221221208,0.648651778665534,0.0293654043705719,0.0234708622918507,988,-0.096336168283626,0.154623503933251,0.870808713308851,P08263,GSTA1,GSTA1,GSTA1__seq.17138.8,GSTA1_2
seq.17467.1,DHRS9__seq.17467.1__ANML,0.0003591170081896,0.0003333455405698,0.0315519636604291,0.0113817641289957,0.990921162289647,0.779305098503023,0.777963488159576,987,-0.061557522587936,0.0622757566043153,0.995324092690795,Q9BPW9,DHRS9,DHRS9,DHRS9__seq.17467.1,DHRS9
