"apt_name","UniProt","symbol","label","standardized_beta.x","p.x","p_adjusted.x","standardized_beta.y","p.y","p_adjusted.y","standardized_beta.x","p.x","p_adjusted.x","standardized_beta.y","p.y","p_adjusted.y","acme.x","acme_p.x","p_adjusted.x","ade.x","ade_p.x","ade_p_adjusted.x","prop_m.x","prop_m_p.x","prop_m_p_adjusted.x","acme.y","acme_p.y","p_adjusted.y","ade.y","ade_p.y","ade_p_adjusted.y","prop_m.y","prop_m_p.y","prop_m_p_adjusted.y","standardized_beta.x","p.x","p_adjusted.x","standardized_beta.y","p.y","p_adjusted.y","standardized_beta.x","p.x","p_adjusted.x","standardized_beta.y","p.y","p_adjusted.y","standardized_beta.x","p.x","p_adjusted.x","standardized_beta.y","p.y","p_adjusted.y"
"seq.10000.28","P43320","CRYBB2","CRYBB2",0.0076141108509707,0.811683993855325,0.951181122119068,0.0051360654776943,0.873957684066352,0.969455428055726,0.0171084119482954,0.605783150547534,0.807378384877202,0.0162664672759043,0.628171911097631,0.828282379421635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0033008641925334,0.928737488527666,0.979125316019518,NA,NA,NA,0.0601257748631958,0.249153219982834,0.776671462376955,-0.0777970300392421,0.142457933130576,0.610675785684174,0.0139742908435733,0.82953721932026,0.999015344583192,NA,NA,NA
"seq.10001.7","P04049","RAF1","RAF1",-0.024585494568369,0.152106282599699,0.538171087294224,-0.0217202865786918,0.211555129238571,0.652430203289796,-0.0222709019299201,0.211361228643858,0.487291407827606,-0.0186829184289045,0.300421103443684,0.594357002715988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0257685556182631,0.176854458339885,0.559437572299637,NA,NA,NA,-0.0542855753732863,0.0812715091592313,0.592637094433621,-0.0076332828673441,0.746129690431811,0.940712978908968,-0.0234132617673205,0.549456377973542,0.999015344583192,NA,NA,NA
"seq.10003.15","P51814","ZNF41","ZNF41",0.0462115708963421,0.133364417618051,0.509165842572062,0.0489172282674366,0.11672958705137,0.546860013999943,-0.0100034191982001,0.754250395380031,0.89272366049448,-0.0179417969796197,0.578944485872813,0.801046402315269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0314536386843083,0.374400933143756,0.730380371822901,NA,NA,NA,0.0525613171986965,0.302081811241161,0.807351740930063,0.0302414443501818,0.548697531430907,0.874121852932837,0.0814324593754302,0.205531819795364,0.999015344583192,NA,NA,NA
"seq.10006.25","P19419","ELK1","ELK1",-0.0491762101155394,0.103902135361764,0.463042144837223,-0.0420068591783332,0.169658956267838,0.603929104229941,-0.0545278077511666,0.0822748141461009,0.293681654948611,-0.0477319946653499,0.132723817338026,0.402212681819968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0308196758522725,0.381431579470879,0.735463340456219,NA,NA,NA,-0.0126304667564625,0.805403781866645,0.975242719402451,-0.0504031963643823,0.299324180077626,0.743973349403461,-0.0931021821240994,0.11994856189088,0.984941977112995,NA,NA,NA
"seq.10008.43","P43080","GUCA1A","GUCA1A",-0.0033658878808884,0.911744703093692,0.977912094727013,-0.0041026347975963,0.893971959172301,0.973390649841812,0.0040758967169902,0.897037585559134,0.956516219379141,0.0047591469136846,0.881504738922467,0.955761575093045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0190437128878777,0.586480911307375,0.847720920411553,NA,NA,NA,-0.0187922678969986,0.712537255611887,0.958889119462758,0.0779338256956528,0.100621164666945,0.54648106905765,0.0980495572277696,0.107955027929475,0.984941977112995,NA,NA,NA
"seq.10010.10","Q14457","BECN1","BECN1_1",0.055856954457571,0.0673542548183012,0.387427444987726,0.0616453566064405,0.0461563067766973,0.406588506491221,-0.0282425059768239,0.373254011336131,0.644044403738445,-0.0382865567290638,0.232594801402958,0.525411822704045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104037156515099,0.0033407720387485,0.0918756141084815,NA,NA,NA,0.105031171609342,0.0373534886957379,0.470796133474827,0.100991198552146,0.0465313570568572,0.436831103297944,-0.0852921073733841,0.152909390802379,0.991007466608523,NA,NA,NA
"seq.10011.65","Q01968","OCRL","OCRL",-0.0118307789779688,0.668949783770113,0.906154550904662,-0.0022617292163669,0.935565030267733,0.985932200455518,-0.062536278968653,0.0291340956663647,0.162762183228119,-0.0621617309882959,0.0323710040855639,0.187458477554318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0057401365934387,0.855317405874672,0.955086956130745,NA,NA,NA,-0.0035800400040925,0.938213673190096,0.991425385725246,-0.0168477247954371,0.699860794420007,0.926673148890882,0.0324262787137666,0.587239235179356,0.999015344583192,NA,NA,NA
"seq.10012.5","O95238","SPDEF","SPDEF",-0.0698135403588834,0.0278871950569953,0.283400550542985,-0.0620663486717993,0.0533249578926524,0.431825495815425,-0.0611590048558287,0.0635042594450936,0.2548917520978,-0.0510080411298446,0.125806408989955,0.390498376434522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0605576788785638,0.0967701751575201,0.442542828639381,NA,NA,NA,-0.0840190254683475,0.101746626679454,0.625859641246017,-0.0446283020453947,0.395549071244898,0.806250209209147,-0.042561434507802,0.513545217407228,0.999015344583192,NA,NA,NA
"seq.10014.31","O43623","SNAI2","SNAI2",0.0506241761261048,0.104973221117912,0.463303080389345,0.0606577336088388,0.0548342416750738,0.434567690529594,-0.0554075470372055,0.0870825128786848,0.300804223006742,-0.0654151800696321,0.0458799235352271,0.229987681030197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0743778766380278,0.0391399862740405,0.307478396949852,NA,NA,NA,0.0868487101876769,0.0914186472108782,0.615300860706493,-0.0003426302263726,0.994661527829993,0.999463949680953,0.0042091708604393,0.947872272637934,0.999015344583192,NA,NA,NA
"seq.10015.119","Q13303","KCNAB2","KCNAB2",0.0209520010006224,0.38010465430166,0.749121353426843,0.0254204538558879,0.293292299237907,0.719916066980957,-0.0243724187009724,0.324938016227113,0.602469762531537,-0.0286396782102294,0.253693490859296,0.548155179181214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0302637714322875,0.274284551278625,0.651643033500884,NA,NA,NA,0.0327513734001515,0.413843997653383,0.86782271184037,0.0393555064606622,0.328836324283361,0.764032351353906,-0.0188089606946074,0.658330576540567,0.999015344583192,NA,NA,NA
"seq.10022.207","Q9Y253","POLH","POLH",-0.0257147277352005,0.404541824120766,0.767245330796568,-0.0255838537276085,0.413217161320705,0.804389484758034,-0.0050865307482771,0.873705073369328,0.948010345471486,-0.00085007015278,0.979082145010514,0.994025870872026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0360334296732428,0.311691040117568,0.679528865181617,NA,NA,NA,-0.0153016638123048,0.765747079463497,0.968854499094896,-0.0710646653892443,0.163022888960142,0.624292696612971,0.0134613180560391,0.829663073455829,0.999015344583192,NA,NA,NA
"seq.10023.32","P11473","VDR","VDR",0.007938287656616,0.802426460342882,0.949706016022914,0.0087315893662549,0.786053588907516,0.952653534385502,-0.0036131721524348,0.912660738316466,0.962608003277176,-0.0050824254006761,0.87905061111164,0.954521344753062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0105312014299418,0.77384535909286,0.926881627434712,NA,NA,NA,0.0541220129325514,0.297342693222758,0.806965082543794,-0.0373117772795797,0.479290969368662,0.845973584920791,0.0061067234346752,0.921700785523318,0.999015344583192,NA,NA,NA
"seq.10024.44","Q86XE5","HOGA1","HOGA1",0.0040437035012462,0.899681819148094,0.974744505129962,0.01572640805978,0.627868741208439,0.901640800256944,-0.0720574414010957,0.0300116520661623,0.166262270191629,-0.0746996753918173,0.0265025617132288,0.167887967026845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0043190466133913,0.90720688460313,0.97280603913165,NA,NA,NA,-0.0570593696530485,0.275562966471058,0.7949749116871,0.0420492360074317,0.429322485153799,0.821115841492948,0.0545039309879323,0.402741983725973,0.999015344583192,NA,NA,NA
"seq.10025.1","P09622","DLD","DLD_1",0.0604936203823297,0.0207671823256885,0.260337023234407,0.0629073923052184,0.0176392096707412,0.291386944334126,-0.0054687146305814,0.840602283243856,0.932987123133349,-0.0158129267784284,0.564945748988208,0.790977763284412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0596370652481396,0.0487746363293009,0.330510964850581,NA,NA,NA,0.0421409162782113,0.36940723855105,0.845758649591603,0.0561995432618081,0.149589934438691,0.613254845720443,0.0666588686011188,0.200969047658762,0.999015344583192,NA,NA,NA
"seq.10030.8","Q9UIF7","MUTYH","MUTYH",0.0248009563757601,0.428877488396863,0.779481403965487,0.0281603829572834,0.374988702259728,0.780289259058017,-0.0180068078247453,0.580220389560334,0.789193838515738,-0.0225342743946993,0.494181671836697,0.744341437448889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0190561152131502,0.594391321442892,0.851938471448208,NA,NA,NA,0.0535104951570697,0.301753818928111,0.807351740930063,-0.0001364191332368,0.997867011941399,0.999463949680953,-0.0109794024866854,0.865723894393816,0.999015344583192,NA,NA,NA
"seq.10035.6","Q13115","DUSP4","DUSP4",0.003614916924575,0.903696874719907,0.975433075632909,0.0035411076499948,0.90698305343407,0.977020514353497,0.0010700705892338,0.972463025511165,0.987663935830573,0.0004650431455233,0.988200053544183,0.99709334380247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0170653427305606,0.611993576060911,0.862047963321778,NA,NA,NA,0.0069880991668658,0.882981282585231,0.986266735011279,0.01600537661711,0.733352168146988,0.937604518243385,-0.0913093379168935,0.15288475127715,0.991007466608523,NA,NA,NA
"seq.10036.201","Q9H4I2","ZHX3","ZHX3",-0.0531364092446536,0.0893447773339167,0.437827316523803,-0.0475471068972502,0.133181624028189,0.560825509274771,-0.0446480815823027,0.169203831021506,0.435495199839019,-0.0368836353440119,0.261675774113246,0.555562643480528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0469608615372622,0.190975972177343,0.576329725481334,NA,NA,NA,-0.0514137336183289,0.321803627914915,0.818388970225539,-0.043947072546441,0.388389735880948,0.80321708738164,-0.0446329924893346,0.484003300016114,0.999015344583192,NA,NA,NA
"seq.10037.98","Q96PQ1","SIGLEC12","SIGLEC12_1",0.0108630053821684,0.734017287562286,0.93303516188102,0.0172162902131091,0.594859066468862,0.889799095863955,-0.0387046700848226,0.243144862938043,0.521513930858784,-0.041539497522845,0.216356697580987,0.509918648294238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0187692365154029,0.610549894761973,0.861640432373351,NA,NA,NA,0.0182337854008893,0.727684926640489,0.959727472525346,0.020205626469414,0.701788222303021,0.926990260086081,0.0248492944995291,0.702042765095948,0.999015344583192,NA,NA,NA
