apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10000.28,CRBB2__seq.10000.28__ANML,-0.0027486577668741,-0.0033008641925334,0.0307237115535884,-0.0894637277817148,0.928737488527666,0.0105762636976225,0.0052496217794401,743,-0.0630642786857268,0.0575669631519785,0.979125316019518,P43320,CRYBB2,CRYBB2,CRYBB2__seq.10000.28,CRYBB2
seq.10001.7,c.Raf__seq.10001.7__ANML,-0.0263120840918463,-0.0257685556182631,0.0194647496151723,-1.35178127702894,0.176854458339885,0.734098645169511,0.732674809266805,747,-0.0645242056942104,0.0119000375105179,0.559437572299637,P04049,RAF1,RAF1,RAF1__seq.10001.7,RAF1
seq.10003.15,ZNF41__seq.10003.15__ANML,0.0176743228536706,0.0314536386843083,0.0198857305500653,0.888794244152752,0.374400933143756,0.0882573495394961,0.0833555073327191,744,-0.0213645007319212,0.0567131464392624,0.730380371822901,P51814,ZNF41,ZNF41,ZNF41__seq.10003.15,ZNF41
seq.10006.25,ELK1__seq.10006.25__ANML,-0.0170986809214864,-0.0308196758522725,0.0195239159345849,-0.875781322700614,0.381431579470879,0.0989073765441965,0.0940627925471224,744,-0.0554272053853603,0.0212298435423876,0.735463340456219,P19419,ELK1,ELK1,ELK1__seq.10006.25,ELK1
seq.10008.43,GUC1A__seq.10008.43__ANML,-0.0085830887260726,-0.0190437128878777,0.0157725377782059,-0.544179310062112,0.586480911307375,0.106454828035682,0.101657270065404,745,-0.0395469988315244,0.022380821379379,0.847720920411553,P43080,GUCA1A,GUCA1A,GUCA1A__seq.10008.43,GUCA1A
seq.10010.10,BECN1__seq.10010.10__ANML,0.0434392028759204,0.104037156515099,0.0147550325408085,2.9440262334752,0.0033407720387485,0.0916264223090655,0.0867361204103255,743,0.0144726846925795,0.0724057210592612,0.0918756141084815,Q14457,BECN1,BECN1,BECN1__seq.10010.10,BECN1_1
seq.10011.65,OCRL__seq.10011.65__ANML,-0.0027321868929138,-0.0057401365934387,0.0149789928247281,-0.182401241851415,0.855317405874672,0.27595908650157,0.272076829592731,746,-0.0321381824368516,0.0266738086510239,0.955086956130745,Q01968,OCRL,OCRL,OCRL__seq.10011.65,OCRL
seq.10012.5,SPDEF__seq.10012.5__ANML,-0.0231458321194352,-0.0605576788785638,0.0139196950038242,-1.66281172921363,0.0967701751575201,0.0300588082620766,0.0248580512018196,746,-0.0504722681518831,0.0041806039130126,0.442542828639381,O95238,SPDEF,SPDEF,SPDEF__seq.10012.5,SPDEF
seq.10014.31,SLUG__seq.10014.31__ANML,0.0368721138890749,0.0743778766380278,0.0178439457028159,2.0663655058789,0.0391399862740405,0.0565621593702154,0.0514830862039715,743,0.0018415589761242,0.0719026688020255,0.307478396949852,O43623,SNAI2,SNAI2,SNAI2__seq.10014.31,SNAI2
seq.10015.119,KCAB2__seq.10015.119__ANML,0.0191617912727412,0.0302637714322875,0.0175144886514267,1.09405370913757,0.274284551278625,0.440715514127169,0.437716669698896,746,-0.0152217604963712,0.0535453430418536,0.651643033500884,Q13303,KCNAB2,KCNAB2,KCNAB2__seq.10015.119,KCNAB2
