apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10000.28,CRBB2__seq.10000.28__ANML,0.0118647585989313,0.0139742908435733,0.0550482178206023,0.215533927684954,0.82953721932026,0.0277792948533991,0.0113009778170161,236,-0.096583910651783,0.120313427849646,0.999015344583192,P43320,CRYBB2,CRYBB2,CRYBB2__seq.10000.28,CRYBB2
seq.10001.7,c.Raf__seq.10001.7__ANML,-0.0229667582873192,-0.0234132617673205,0.038314558399104,-0.599426412490148,0.549456377973542,0.642015043612283,0.636023663589058,239,-0.0984441166980207,0.0525106001233823,0.999015344583192,P04049,RAF1,RAF1,RAF1__seq.10001.7,RAF1
seq.10003.15,ZNF41__seq.10003.15__ANML,0.0396339544058315,0.0814324593754302,0.0312217789034049,1.26943293424928,0.205531819795364,0.0440239885544556,0.0278893723275266,237,-0.0218736996813873,0.10114160849305,0.999015344583192,P51814,ZNF41,ZNF41,ZNF41__seq.10003.15,ZNF41
seq.10006.25,ELK1__seq.10006.25__ANML,-0.0468083136131352,-0.0931021821240994,0.0299934756556042,-1.56061652042614,0.11994856189088,0.171103665221328,0.157113853663882,237,-0.10589618081013,0.0122795535838595,0.984941977112995,P19419,ELK1,ELK1,ELK1__seq.10006.25,ELK1
seq.10008.43,GUC1A__seq.10008.43__ANML,0.0490243786969936,0.0980495572277696,0.0303828707158055,1.6135532140974,0.107955027929475,0.140184221487812,0.125672562778746,237,-0.0108306061181301,0.108879363512117,0.984941977112995,P43080,GUCA1A,GUCA1A,GUCA1A__seq.10008.43,GUCA1A
seq.10010.10,BECN1__seq.10010.10__ANML,-0.0348523256214352,-0.0852921073733841,0.0243054057968782,-1.43393308931759,0.152909390802379,0.176952453216886,0.163061355380884,237,-0.0827345586238869,0.0130299073810165,0.991007466608523,Q14457,BECN1,BECN1,BECN1__seq.10010.10,BECN1_1
seq.10011.65,OCRL__seq.10011.65__ANML,0.0157253882654047,0.0324262787137666,0.0289291263906671,0.543583240400855,0.587239235179356,0.173956601981628,0.160014941255579,237,-0.0412656853242084,0.0727164618550179,0.999015344583192,Q01968,OCRL,OCRL,OCRL__seq.10011.65,OCRL
seq.10012.5,SPDEF__seq.10012.5__ANML,-0.0209169394104512,-0.042561434507802,0.0319680371485943,-0.654307904899658,0.513545217407228,0.010805450243823,-0.005819668239474,238,-0.083893382128509,0.0420595033076067,0.999015344583192,O95238,SPDEF,SPDEF,SPDEF__seq.10012.5,SPDEF
seq.10014.31,SLUG__seq.10014.31__ANML,0.0019597251963952,0.0042091708604393,0.0299429866413,0.0654485546105218,0.947872272637934,0.0421288746199286,0.0258937707999274,236,-0.0570299602685096,0.0609494106613001,0.999015344583192,O43623,SNAI2,SNAI2,SNAI2__seq.10014.31,SNAI2
seq.10015.119,KCAB2__seq.10015.119__ANML,-0.0124248830821414,-0.0188089606946074,0.0280610878603297,-0.442779807539343,0.658330576540567,0.580206483229031,0.57309133887698,236,-0.0677071021377632,0.0428573359734805,0.999015344583192,Q13303,KCNAB2,KCNAB2,KCNAB2__seq.10015.119,KCNAB2
seq.10022.207,POLH__seq.10022.207__ANML,0.0114261919761683,0.0134613180560391,0.053053458082393,0.215371295089251,0.829663073455829,0.0909680380528973,0.0756257264588533,237,-0.0930903942810842,0.115942778233421,0.999015344583192,Q9Y253,POLH,POLH,POLH__seq.10022.207,POLH
