apt_name,coef_x2m,coef_x2y,coef_m2y,acme,acme_p,ade,ade_p,total,total_p,prop_m,prop_m_p,prop_m_ci_lower,prop_m_ci_upper,p_adjusted,ade_p_adjusted,prop_m_p_adjusted,Protein_id,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10082.251,-0.48839236098163,0.692027815434183,-0.416525435085421,0.0315634875575675,0.17,0.107884334027808,0.004,0.139447821585375,0,0.226346221824936,0.17,-0.0763969613478456,0.6687407194538,0.4128,0.0041052631578947,0.4128,NFL__seq.10082.251__ANML,P07196,NEFL,NEFL,NEFL__seq.10082.251,NEFL
seq.10390.21,-0.0649677396602329,0.878979256067439,0.0979990022425781,-0.0009909885337684,0.764,0.137992090655864,0.0,0.137001102122095,0,-0.0072334347564974,0.764,-0.059373482279907,0.0545062134622434,0.902909090909091,0.0,0.902909090909091,ZNRF3__seq.10390.21__ANML,Q9ULT6,ZNRF3,ZNRF3,ZNRF3__seq.10390.21,ZNRF3_1
seq.10731.10,-0.038849594887277,0.884194758085657,-0.559556221564995,0.0033801123042116,0.22,0.138666773782506,0.0,0.142046886086718,0,0.0237957508068718,0.22,-0.0144190952880378,0.0880270438037245,0.46,0.0,0.46,HS3S5__seq.10731.10__ANML,Q8IZT8,HS3ST5,HS3ST5,HS3ST5__seq.10731.10,HS3ST5
seq.10892.8,-0.0671698414787146,0.895474237046234,0.103223231362693,-0.0010827343307616,0.696,0.141108478590399,0.0,0.140025744259637,0,-0.0077323947570244,0.696,-0.0555983039806861,0.0462634330454423,0.874095238095238,0.0,0.874095238095238,OSMR__seq.10892.8__ANML,Q99650,OSMR,OSMR,OSMR__seq.10892.8,OSMR
seq.10939.16,-0.0743300493804453,0.838481776903821,-0.246970945737797,0.0028705182381968,0.386,0.132170727047702,0.0,0.135041245285898,0,0.0212566037296208,0.386,-0.0309540457517299,0.0950036753667483,0.657913043478261,0.0,0.657913043478261,PKHA4__seq.10939.16__ANML,Q9H4M7,PLEKHA4,PLEKHA4,PLEKHA4__seq.10939.16,PLEKHA4
seq.11160.56,-0.0495434241987608,0.851918735015053,-0.598497223732264,0.0046211036721403,0.226,0.133857430915827,0.0,0.138478534587967,0,0.0333705414047749,0.226,-0.021194261810785,0.105409892687089,0.46,0.0,0.46,RN122__seq.11160.56__ANML,Q9H9V4,RNF122,RNF122,RNF122__seq.11160.56,RNF122
seq.11180.17,-0.0987354112235882,0.839826315125621,-0.322060566513552,0.0049400422753924,0.114,0.131517391289923,0.0,0.136457433565315,0,0.0362020752283008,0.114,-0.0049503701403828,0.112453197665964,0.354,0.0,0.354,SMRC1__seq.11180.17__ANML,Q92922,SMARCC1,SMARCC1,SMARCC1__seq.11180.17,SMARCC1
seq.11293.14,0.37840361861826,0.772522708032871,0.293496353370584,0.0173282416117533,0.26,0.121345650655852,0.0,0.138673892267606,0,0.12495676964424,0.26,-0.119407180532183,0.400307251262098,0.507,0.0,0.507,LRRN1_CD__seq.11293.14__ANML,Q6UXK5,LRRN1,LRRN1,LRRN1__seq.11293.14,LRRN1_1
seq.11556.19,-0.0890685085599399,0.853000322551281,-0.331991961658284,0.0046111599547374,0.228,0.134102742678165,0.0,0.138713902632903,0,0.0332422335988958,0.228,-0.0171942513476009,0.113492579032716,0.46,0.0,0.46,ARFG1__seq.11556.19__ANML,Q8N6T3,ARFGAP1,ARFGAP1,ARFGAP1__seq.11556.19,ARFGAP1
seq.11563.51,-0.0611852939944655,0.858057806726085,-0.401237812961694,0.003836037359161,0.342,0.13522345842431,0.0,0.139059495783471,0,0.0275855836924229,0.342,-0.0255492527141589,0.0973717389306555,0.613241379310345,0.0,0.613241379310345,SYTL4_C2_2__seq.11563.51__ANML,Q96C24,SYTL4,SYTL4,SYTL4__seq.11563.51,SYTL4_1
