"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28",0.0158111115181112,0.0131270038778626,0.0423696852673875,0.373170379206975,0.709099945142914,0.0157625690921391,0.0108901065628922,1010,-0.0673315801927147,0.098953803228937,953.979484475788,"CRBB2__seq.10000.28__ANML",0.906663172167144,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7",0.0141736990281897,0.00886356869543832,0.0285313631010001,0.496776090858865,0.619454320934695,0.744733339561268,0.743478341230694,1017,-0.0418133757443102,0.0701607738006896,155.529007160567,"c.Raf__seq.10001.7__ANML",0.864010095349272,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15",-0.00669460564050194,-0.00813767648592014,0.0275321583377189,-0.243155860081278,0.807933935455471,0.103409276785306,0.0989794807219927,1012,-0.0607212596203365,0.0473320483393326,79.4396292799476,"ZNF41__seq.10003.15__ANML",0.940195329118418,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25",0.00849210773230517,0.010404426635575,0.026815043144385,0.316691928727454,0.751542817420089,0.138217840603534,0.13395159228969,1010,-0.0441274680633676,0.0611116835279779,29.4259393497212,"ELK1__seq.10006.25__ANML",0.922855598570782,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43",0.0121800462514368,0.0181649829675961,0.022441549658187,0.542745328952511,0.587424429450341,0.105584712826555,0.101174381035759,1014,-0.0318571469040671,0.0562172394069408,-344.908094006402,"GUC1A__seq.10008.43__ANML",0.850350440992311,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10",-0.0359825002816472,-0.0571348618476847,0.0210559468322099,-1.70889965520827,0.087776450225686,0.107219740114335,0.10280440747395,1011,-0.0773008628700035,0.00533586230670902,-468.580528508333,"BECN1__seq.10010.10__ANML",0.430824083772022,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65",-0.0151090795150335,-0.0204069704471171,0.0216947463550748,-0.696439555814357,0.486312892952921,0.310335746055216,0.306941729057456,1016,-0.0576807157348119,0.0274625567047449,-402.641158079635,"OCRL__seq.10011.65__ANML",0.792215882191867,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5",-0.0435434746023026,-0.0723174704813835,0.0209170664753989,-2.08171995119465,0.0376179181600962,0.0317885090816659,0.0270236887523434,1016,-0.0845890683235356,-0.00249788088106954,-477.594373025803,"SPDEF__seq.10012.5__ANML",0.317183488190163,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31",-0.00449798429081699,-0.00560267128402463,0.0275824246384705,-0.163074289145104,0.87049243660227,0.0528148831964745,0.0481443451451752,1014,-0.0586231485509568,0.0496271799693228,84.2357303292029,"SLUG__seq.10014.31__ANML",0.959514879947881,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119",-0.0273520512819132,-0.0276936338987778,0.0252825904646107,-1.08185319539148,0.279574722330275,0.475421881747303,0.47283775308596,1015,-0.0769641781567432,0.0222600755929168,-91.3607425860602,"KCAB2__seq.10015.119__ANML",0.655822099341691,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207",-0.0200281078172866,-0.0161017903011775,0.0422690292432957,-0.473824645983873,0.635727059844908,0.0801066641748547,0.0755662232280376,1013,-0.102972985935374,0.0629167703008006,934.139821531948,"POLH__seq.10022.207__ANML",0.872547538550538,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32",-0.00463936209428751,-0.00773589547736679,0.0209802896682701,-0.22112955386426,0.825036254764559,0.0242525493266803,0.019422116402555,1010,-0.0458093104874482,0.0365305862988732,-475.942336377677,"VDR__seq.10023.32__ANML",0.947263848063013,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
"seq.10024.44",-0.0531057956465113,-0.0542518638369027,0.034567705318027,-1.53628350964959,0.124782054028913,0.00896060834255018,0.00405447274028559,1010,-0.120938540880982,0.0147269495879592,536.008498296178,"HOGA1__seq.10024.44__ANML",0.491256053072624,"Q86XE5","HOGA1","HOGA1","HOGA1__seq.10024.44","HOGA1"
"seq.10025.1",0.023910232664312,0.0239778064421235,0.0282065524799615,0.847683625331323,0.396813832616858,0.356703724060896,0.353537895931275,1016,-0.0314395313540223,0.0792599966826463,130.960881464955,"DLDH__seq.10025.1__ANML",0.736694385987209,"P09622","DLD","DLD","DLD__seq.10025.1","DLD_1"
"seq.10030.8",0.000756841555695272,0.000709400245976877,0.0366479444612518,0.0206516781997279,0.983527607140749,0.0651550399793826,0.0605133073079793,1007,-0.071158246315897,0.0726719294272876,652.945650227869,"MutY_homolog__seq.10030.8__ANML",0.995000502433045,"Q9UIF7","MUTYH","MUTYH","MUTYH__seq.10030.8","MUTYH"
"seq.10035.6",0.00712926833264722,0.0130472087490957,0.0176044621348278,0.404969392307819,0.685585679898421,0.174745484635534,0.170664107210388,1011,-0.0274162002447665,0.0416747369100609,-840.566566849384,"DUS4__seq.10035.6__ANML",0.894268877002686,"Q13115","DUSP4","DUSP4","DUSP4__seq.10035.6","DUSP4"
