"apt_name","coef_x2m","coef_x2y","coef_m2y","acme","acme_p","ade","ade_p","total","total_p","prop_m","prop_m_p","prop_m_ci_lower","prop_m_ci_upper","p_adjusted","ade_p_adjusted","prop_m_p_adjusted","Protein_id","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10041.3",0.161490645421419,-0.105226894622848,0.0149089885954264,0.00240766219085598,0.762,-0.105226894622849,0,-0.102819232431993,0,-0.0234164575430814,0.762,-0.2067426739978,0.152625898310299,0.912716417910448,0,0.912716417910448,"HNF4A__seq.10041.3__ANML","P41235","HNF4A","HNF4A","HNF4A__seq.10041.3","HNF4A"
"seq.10082.251",0.161836257382312,-0.466873923248504,-0.0673942337349178,-0.0109068305568078,0.042,-0.466873923248505,0,-0.477780753805313,0,0.022828107808738,0.042,0.00105504138665602,0.0474865114351321,0.20475,0,0.20475,"NFL__seq.10082.251__ANML","P07196","NEFL","NEFL","NEFL__seq.10082.251","NEFL"
"seq.10390.21",0.162487513249629,-0.0565308889981237,-0.00379690732879038,-0.000616950029894424,0.922,-0.0565308889981253,0,-0.0571478390280197,0,0.0107956843231103,0.922,-0.189695163050079,0.159358343962321,0.978448979591837,0,0.978448979591837,"ZNRF3__seq.10390.21__ANML","Q9ULT6","ZNRF3","ZNRF3","ZNRF3__seq.10390.21","ZNRF3_1"
"seq.10575.31",0.159536414003665,-0.0428683268712513,-0.0547529212457059,-0.00873508471176497,0.016,-0.0428683268712504,0.002,-0.0516034115830154,0,0.16927339576595,0.016,0.0314739052431798,0.394549745733668,0.113454545454545,0.00224460431654676,0.113454545454545,"PUF60__seq.10575.31__ANML","Q9UHX1","PUF60","PUF60","PUF60__seq.10575.31","PUF60"
"seq.10647.18",0.162246025398274,0.0395132639211734,0.00116145039832822,0.000188440710826006,0.986,0.0395132639211732,0,0.0397017046319992,0,0.00474641360044084,0.986,-0.184973875413467,0.171180850548123,0.996,0,0.996,"ASCC1__seq.10647.18__ANML","Q8N9N2","ASCC1","ASCC1","ASCC1__seq.10647.18","ASCC1"
"seq.10734.339",0.161490645421419,-0.167817022630624,0.0463698556594097,0.00748829791853608,0.62,-0.167817022630626,0.002,-0.16032872471209,0.004,-0.0467059033369297,0.624,-0.278707923779102,0.132656705244866,0.819661016949153,0.00224460431654676,0.824949152542373,"G3ST2__seq.10734.339__ANML","Q9H3Q3","GAL3ST2","GAL3ST2","GAL3ST2__seq.10734.339","GAL3ST2"
"seq.10970.3",0.161490645421419,0.0597176858489366,0.0595353746256359,0.00961440607369991,0.072,0.0597176858489367,0.004,0.0693320919226366,0,0.138671801284,0.072,-0.0113161092457657,0.396848257922002,0.267428571428571,0.00430344827586207,0.267428571428571,"NAR3__seq.10970.3__ANML","Q13508","ART3","ART3","ART3__seq.10970.3","ART3_1"
"seq.11160.56",0.161940589718703,-0.0358809115681815,-0.0110758740327935,-0.00179363357252066,0.524,-0.0358809115681815,0.004,-0.0376745451407022,0.002,0.0476086324552034,0.526,-0.124455080747484,0.239523860038361,0.7488,0.00430344827586207,0.7488,"RN122__seq.11160.56__ANML","Q9H9V4","RNF122","RNF122","RNF122__seq.11160.56","RNF122"
"seq.11180.17",0.161416172792913,-0.0821109910209814,-0.0757997910345895,-0.0122353121673061,0.116,-0.082110991020981,0.002,-0.0943463031882871,0,0.129685125477445,0.116,-0.038261208548365,0.361790430220018,0.335111111111111,0.00224460431654676,0.340888888888889,"SMRC1__seq.11180.17__ANML","Q92922","SMARCC1","SMARCC1","SMARCC1__seq.11180.17","SMARCC1"
"seq.11192.168",0.161490645421419,0.0669119040913898,0.0839004705969664,0.0135491411478649,0.02,0.0669119040913912,0,0.0804610452392562,0,0.168393799851539,0.02,0.0231301087871401,0.405013363813157,0.1248,0,0.1248,"TINAL__seq.11192.168__ANML","Q9GZM7","TINAGL1","TINAGL1","TINAGL1__seq.11192.168","TINAGL1"
