"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28",0.00848321011777965,0.0108628446994367,0.024599478278845,0.34485325345599,0.730276422166056,0.015626865035192,0.0117322136604548,1011,-0.0397886710333864,0.0567550912689457,952.119558215578,"CRBB2__seq.10000.28__ANML",0.920904229787038,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7",-0.0189646921185056,-0.0183330887466842,0.0165278884796005,-1.14743587131004,0.251471111382428,0.74467139623607,0.743668140425603,1018,-0.0513973186918025,0.0134679344547913,153.777219497936,"c.Raf__seq.10001.7__ANML",0.675006280921514,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15",0.0250473228104884,0.0470810749621524,0.0159748818714046,1.56791912529405,0.117212306384419,0.103356894648598,0.0998163493165093,1013,-0.00630032471053095,0.0563949703315079,77.4991028570518,"ZNF41__seq.10003.15__ANML",0.512534997614962,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25",-0.0148002753843676,-0.0279514642451548,0.0156084674085723,-0.948220923742912,0.343243590105633,0.138132264971515,0.134722303606417,1011,-0.0454289771461608,0.0158284263774256,27.5268239231875,"ELK1__seq.10006.25__ANML",0.732433964241223,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43",-0.0129933482293327,-0.0300371560654854,0.0129565748758301,-1.00283820020762,0.316177945751402,0.105324880341235,0.101799067061791,1015,-0.0384180861533473,0.0124313896946819,-346.611821514103,"GUC1A__seq.10008.43__ANML",0.717260936617443,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10",0.0279929973033496,0.0686945578006105,0.0122263654888894,2.28955999465155,0.0222519894869975,0.104640887347985,0.101101918523273,1012,0.00400106722664826,0.051984927380051,-467.647093763809,"BECN1__seq.10010.10__ANML",0.251326733973298,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65",0.00163623445687406,0.00341471350581334,0.012589210647899,0.129971171556107,0.896614936486991,0.31000650736267,0.307292668650232,1017,-0.0230675651960058,0.0263400341097539,-404.153382106206,"OCRL__seq.10011.65__ANML",0.975380820230686,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5",-0.0118385486621338,-0.0303819233914323,0.0121529135595323,-0.974132548885614,0.330222368806478,0.027658784073017,0.0238344331745826,1017,-0.0356862028296773,0.0120091055054098,-475.244493411119,"SPDEF__seq.10012.5__ANML",0.723727423813235,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31",0.0320080500755081,0.0616843702875014,0.0159909108307448,2.00164020763396,0.0455892259014166,0.0527900422637602,0.0490571951396764,1015,0.000629022752754782,0.0633870773982615,82.2624805585624,"SLUG__seq.10014.31__ANML",0.352566359545457,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119",0.0111717192470225,0.0174640958034926,0.0146739910683243,0.761327930145604,0.446637891589549,0.474816985635452,0.4727493359726,1016,-0.0176230774022987,0.0399665158963436,-92.1840958626017,"KCAB2__seq.10015.119__ANML",0.789514819238168,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
