"apt_name","coef_x2m","coef_x2y","coef_m2y","acme","acme_p","ade","ade_p","total","total_p","prop_m","prop_m_p","prop_m_ci_lower","prop_m_ci_upper","p_adjusted","ade_p_adjusted","prop_m_p_adjusted","Protein_id","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10041.3",-0.102819232431992,0.162087779372333,0.00580760949863497,-0.000597133950914378,0.752,0.162087779372333,0,0.161490645421419,0,-0.00369763802328069,0.752,-0.0304930538183826,0.023437364494422,0.923716535433071,0,0.923716535433071,"HNF4A__seq.10041.3__ANML","P41235","HNF4A","HNF4A","HNF4A__seq.10041.3","HNF4A"
"seq.10082.251",-0.477780753805312,0.132084144457614,-0.0622714763785173,0.0297521129246977,0.066,0.132084144457614,0,0.161836257382312,0,0.183840836447504,0.066,-0.0111418785264099,0.360987986674012,0.2574,0,0.2574,"NFL__seq.10082.251__ANML","P07196","NEFL","NEFL","NEFL__seq.10082.251","NEFL"
"seq.10390.21",-0.0571478390280182,0.162172012412339,-0.00552078333418097,0.000315500837290345,0.9,0.162172012412339,0,0.162487513249629,0,0.00194169281676212,0.9,-0.0252245404578951,0.0311280721590948,0.974204081632653,0,0.974204081632653,"ZNRF3__seq.10390.21__ANML","Q9ULT6","ZNRF3","ZNRF3","ZNRF3__seq.10390.21","ZNRF3_1"
"seq.10575.31",-0.0516034115830163,0.154654089953229,-0.0946124277574522,0.00488232405043623,0.02,0.154654089953229,0,0.159536414003665,0,0.030603195395404,0.02,0.00398297346199266,0.0666736224246872,0.141818181818182,0,0.141818181818182,"PUF60__seq.10575.31__ANML","Q9UHX1","PUF60","PUF60","PUF60__seq.10575.31","PUF60"
"seq.10647.18",0.0397017046319994,0.162112535381009,0.00336232457780827,0.000133490017265051,0.942,0.162112535381009,0,0.162246025398274,0,0.000822762942496534,0.942,-0.0243172989376269,0.0271778089489696,0.977324503311258,0,0.977324503311258,"ASCC1__seq.10647.18__ANML","Q8N9N2","ASCC1","ASCC1","ASCC1__seq.10647.18","ASCC1"
"seq.10734.339",-0.160328724712088,0.16257373019134,0.00675540064244094,-0.00108308476992177,0.602,0.16257373019134,0,0.161490645421419,0,-0.00670679572241103,0.602,-0.0341461677380793,0.0224111972343671,0.831079646017699,0,0.831079646017699,"G3ST2__seq.10734.339__ANML","Q9H3Q3","GAL3ST2","GAL3ST2","GAL3ST2__seq.10734.339","GAL3ST2"
"seq.10970.3",0.0693320919226365,0.157779692248514,0.0535243214216863,0.00371095317290512,0.064,0.157779692248514,0,0.161490645421419,0,0.0229793692583318,0.064,-0.00114803149036006,0.0552993740026603,0.2574,0,0.2574,"NAR3__seq.10970.3__ANML","Q13508","ART3","ART3","ART3__seq.10970.3","ART3_1"
"seq.11160.56",-0.0376745451407022,0.160671720864729,-0.0336797391776063,0.00126886885397382,0.582,0.160671720864729,0,0.161940589718703,0,0.00783539726623134,0.582,-0.0161139405617899,0.0396614453127669,0.810642857142857,0,0.810642857142857,"RN122__seq.11160.56__ANML","Q9H9V4","RNF122","RNF122","RNF122__seq.11160.56","RNF122"
"seq.11180.17",-0.0943463031882874,0.158415530072887,-0.0318045606306148,0.00300064272002624,0.094,0.158415530072887,0,0.161416172792913,0,0.0185894800261177,0.094,-0.00227696948983045,0.054022794306772,0.3055,0,0.3055,"SMRC1__seq.11180.17__ANML","Q92922","SMARCC1","SMARCC1","SMARCC1__seq.11180.17","SMARCC1"
"seq.11192.168",0.0804610452392547,0.156378287192639,0.063538302461496,0.00511235822877981,0.01,0.156378287192639,0,0.161490645421418,0,0.0316573025975519,0.01,0.00601181070993433,0.0661231215737389,0.104,0,0.104,"TINAL__seq.11192.168__ANML","Q9GZM7","TINAGL1","TINAGL1","TINAGL1__seq.11192.168","TINAGL1"
