"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28","CRBB2__seq.10000.28__ANML",-0.0311230403585649,-0.023076820161183,0.0421669194021136,-0.738091394862601,0.460596028513025,0.0136301126930839,0.0105062175630541,1263,-0.113847959790793,0.0516018790736631,0.703692606014973,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7","c.Raf__seq.10001.7__ANML",0.0109987617346946,0.00645014681838277,0.0279976252901665,0.39284623680415,0.694498876405056,0.725368988744443,0.724505369212193,1272,-0.0439278397401733,0.0659253632095625,0.85120507216142,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15","ZNF41__seq.10003.15__ANML",-0.00793915309865527,-0.00878549200307568,0.0271462107834785,-0.292458979338919,0.76998367912935,0.0837210922835313,0.0808237676741512,1265,-0.0611957041142585,0.045317397916948,0.891885462790702,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25","ELK1__seq.10006.25__ANML",0.0336791899739307,0.036210472098333,0.0273931310842476,1.22947573500635,0.219122479062762,0.122055856576436,0.11927535255926,1263,-0.0200618609273892,0.0874202408752506,0.48118308740816,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43","GUC1A__seq.10008.43__ANML",-0.0286838333462457,-0.0368528607185297,0.0231180148448816,-1.24075676647454,0.214925129487118,0.104142267106789,0.101316217476211,1268,-0.0740376013959932,0.0166699347035017,0.475472082694702,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10","BECN1__seq.10010.10__ANML",-0.00608920957099313,-0.00863274641471679,0.0210405932118103,-0.289402941718164,0.772320504778024,0.0995800619606154,0.0967306317769465,1264,-0.04736754059583,0.0351891214538437,0.892930467752405,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65","OCRL__seq.10011.65__ANML",0.0183838226913141,0.0226214351665399,0.0215431169733029,0.853350177418432,0.393626183208614,0.284443450154453,0.282187952755412,1269,-0.0238802212244471,0.0606478666070753,0.652589826383409,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5","SPDEF__seq.10012.5__ANML",0.0528163756211261,0.076209925721175,0.0213938475908289,2.46876469493816,0.0136888917607055,0.0275216552810268,0.024458731360652,1270,0.0108452051755101,0.0947875460667421,0.0904212883995912,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31","SLUG__seq.10014.31__ANML",-0.00509353501853936,-0.00588213245157695,0.0264891560001261,-0.192287554141594,0.84754780530301,0.0475805553026626,0.0445713311488004,1266,-0.0570610096676407,0.046873939630562,0.930999059353503,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119","KCAB2__seq.10015.119__ANML",0.039152177789885,0.0363139549120029,0.024329130388824,1.60927156721846,0.107805889968034,0.481984373800661,0.480350255106026,1268,-0.00857760108215705,0.086881956661927,0.319414556808431,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207","POLH__seq.10022.207__ANML",0.029949696047663,0.0219359806330778,0.041204210059248,0.726860095232939,0.467446040668075,0.0760558784395244,0.0731366237110552,1266,-0.0508863540582756,0.110785746153602,0.708596757328069,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32","VDR__seq.10023.32__ANML",0.0143800280905865,0.021665460515155,0.0205852563674525,0.6985595823486,0.484955709050984,0.0236845955273879,0.0205974321930872,1265,-0.0260049731402198,0.0547650293213927,0.722320906680409,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
"seq.10024.44","HOGA1__seq.10024.44__ANML",0.0794152434956508,0.0763322314517002,0.0325371328737115,2.44075726659415,0.0147933527311883,0.0138464594455079,0.0107182959544548,1261,0.0155823662396348,0.143248120751667,0.09396078216158,"Q86XE5","HOGA1","HOGA1","HOGA1__seq.10024.44","HOGA1"
"seq.10025.1","DLDH__seq.10025.1__ANML",-0.0434277621753489,-0.0399769564796159,0.0276067824303774,-1.57308307423624,0.115948657719185,0.342048031311874,0.339975741646714,1270,-0.097587677352884,0.0107321530021862,0.334473677219876,"P09622","DLD","DLD","DLD__seq.10025.1","DLD_1"
"seq.10030.8","MutY_homolog__seq.10030.8__ANML",0.00705598668769679,0.0055614018144354,0.0389692118532741,0.181065676007608,0.85634509973734,0.0494949949487394,0.0464823007964376,1262,-0.0693955873631969,0.0835075607385905,0.93558399093979,"Q9UIF7","MUTYH","MUTYH","MUTYH__seq.10030.8","MUTYH"
"seq.10035.6","DUS4__seq.10035.6__ANML",-0.0275858491968114,-0.042684018580808,0.0188877887414789,-1.46051237518508,0.144397817316373,0.135526768747968,0.132791093965525,1264,-0.0646407168114907,0.00946901841786802,0.377038745214975,"Q13115","DUSP4","DUSP4","DUSP4__seq.10035.6","DUSP4"
"seq.10036.201","ZHX3__seq.10036.201__ANML",0.0346530563192515,0.0470638500552769,0.0224478419102161,1.54371437832876,0.122906275993032,0.05322599984547,0.0502487231154243,1272,-0.00938580961293629,0.0786919222514394,0.344373931003554,"Q9H4I2","ZHX3","ZHX3","ZHX3__seq.10036.201","ZHX3"
"seq.10037.98","SIG12_Ig.like_V.type_2__seq.10037.98__ANML",0.045532297700193,0.0342846856049632,0.0414473606565965,1.0985572296736,0.272169296171665,0.00759541749627122,0.00447219300373392,1271,-0.035780468768797,0.126845064169183,0.535589768398319,"Q96PQ1","SIGLEC12","SIGLEC12","SIGLEC12__seq.10037.98","SIGLEC12_1"
"seq.10039.32","PNP__seq.10039.32__ANML",-0.0181429787674326,-0.00614508025130489,0.0327802599745828,-0.553472693062848,0.580036888960964,0.87420073881434,0.873805764681889,1274,-0.0824522037518708,0.0461662462170056,0.785051786116523,"P00491","PNP","PNP","PNP__seq.10039.32","PNP_1"
"seq.10040.63","P73L__seq.10040.63__ANML",-0.0501638662182833,-0.0428020961696809,0.0367828866397587,-1.3637827479277,0.172878955994092,0.00303163976213344,-0.000125821394597825,1263,-0.122326153074987,0.0219984206384201,0.419607448035423,"Q9H3D4","TP63","TP63","TP63__seq.10040.63","TP63"
"seq.10041.3","HNF4A__seq.10041.3__ANML",0.0548503195305288,0.0326197932115895,0.0504839219603167,1.08649085492297,0.277467408360288,0.0801317544268671,0.0772436280671398,1274,-0.0441904415238424,0.1538910805849,0.541481400992419,"P41235","HNF4A","HNF4A","HNF4A__seq.10041.3","HNF4A"
"seq.10042.8","SGK3__seq.10042.8__ANML",0.0152400523725447,0.0238944584620393,0.0166925404545526,0.912985798299397,0.361423427877296,0.302971712682782,0.300774618002507,1269,-0.0175079600766801,0.0479880648217695,0.623721170383276,"Q96BR1","SGK3","SGK3","SGK3__seq.10042.8","SGK3"
"seq.10043.31","BRD4__seq.10043.31__ANML",-0.0146017539985188,-0.0249361285927747,0.0160200809533193,-0.91146568117019,0.362223303022014,0.239162122943159,0.236762003457175,1268,-0.0460305354302379,0.0168270274332003,0.62427176780586,"O60885","BRD4","BRD4","BRD4__seq.10043.31","BRD4"
"seq.10044.12","WN10A__seq.10044.12__ANML",0.00672672049874457,0.00454934321625892,0.0452694993721914,0.148592774208515,0.881898527582579,0.0449141614079656,0.041910746821198,1272,-0.0820843741999354,0.0955378151974245,0.946375594568295,"Q9GZT5","WNT10A","WNT10A","WNT10A__seq.10044.12","WNT10A"
"seq.10045.47","CUL3__seq.10045.47__ANML",-0.0285303785182353,-0.0193778471293996,0.0234994180067954,-1.21408872806914,0.224939735949559,0.740903711643623,0.740087017275281,1269,-0.0746323625470468,0.0175716055105763,0.486690221678806,"Q13618","CUL3","CUL3","CUL3__seq.10045.47","CUL3"
"seq.10046.55","cIAP.1__seq.10046.55__ANML",-0.00981081910751535,-0.0108825050572679,0.0222743701724343,-0.440453266762026,0.659683985615991,0.38214480034065,0.380194191975506,1267,-0.0535095270991564,0.0338878888841257,0.831452912666522,"Q13490","BIRC2","BIRC2","BIRC2__seq.10046.55","BIRC2_1"
"seq.10047.12","NCF.2__seq.10047.12__ANML",0.0142784902267248,0.0171201668611117,0.0257068235613874,0.5554358045298,0.578694507825612,0.0329333309633086,0.0298850514706792,1269,-0.0361540595885874,0.0647110400420371,0.785051786116523,"P19878","NCF2","NCF2","NCF2__seq.10047.12","NCF2"
"seq.10048.7","PEBB__seq.10048.7__ANML",-0.0199442039744659,-0.0445417112420687,0.0128513560244438,-1.55191436114065,0.120932059864939,0.163643373828742,0.161007103927493,1269,-0.0451564458272706,0.00526803787833888,0.341625276054292,"Q13951","CBFB","CBFB","CBFB__seq.10048.7","CBFB"
"seq.10049.112","TERF1__seq.10049.112__ANML",0.000542564312096628,0.00106504063140739,0.0152729174858994,0.0355246018056174,0.971667047333804,0.0933077246917881,0.090433898145645,1262,-0.0294205405754949,0.0305056691996881,0.98821645118341,"P54274","TERF1","TERF1","TERF1__seq.10049.112","TERF1"
"seq.10053.5","ILK1__seq.10053.5__ANML",-0.176872534653177,-0.0606205715496995,0.0465770067494637,-3.79742166783212,0.000153092298860558,0.739937474680446,0.739120951837999,1274,-0.26824860087338,-0.0854964684329732,0.0049348557398193,"Q13418","ILK","ILK","ILK__seq.10053.5","ILK"
"seq.10054.3","GAN__seq.10054.3__ANML",0.0388552155057823,0.0347206100748095,0.0349795561568564,1.11079784236102,0.266866295027759,0.010486297261197,0.00735987166012642,1266,-0.0297690622103367,0.107479493221901,0.530455923404428,"Q9H2C0","GAN","GAN","GAN__seq.10054.3","GAN"
"seq.10056.5","FOXM1__seq.10056.5__ANML",0.00110835582218022,0.000460722621660977,0.027532253872049,0.040256632360398,0.967894835585623,0.866334428104373,0.865914755979112,1274,-0.052905184947757,0.0551218965921174,0.987602545256435,"Q08050","FOXM1","FOXM1","FOXM1__seq.10056.5","FOXM1"
"seq.10058.1","RD23A__seq.10058.1__ANML",-0.0461657936201193,-0.0242888093875491,0.0272390585137677,-1.69483807954615,0.0903505197418909,0.790409594814209,0.789751540166844,1274,-0.0996041355882555,0.00727254834801688,0.288309543401862,"P54725","RAD23A","RAD23A","RAD23A__seq.10058.1","RAD23A"
"seq.10063.10","FANCL__seq.10063.10__ANML",0.0208638420612589,0.0333623091836741,0.0194814885951054,1.07095728128808,0.284392762056914,0.0157996876455758,0.012690050007805,1266,-0.0173557133178585,0.0590833974403764,0.548903488166332,"Q9NW38","FANCL","FANCL","FANCL__seq.10063.10","FANCL"
"seq.10064.12","RBBP9__seq.10064.12__ANML",-0.0152813673110823,-0.035259895028971,0.0118001946616955,-1.29500976460049,0.195552787071169,0.246584652440049,0.244206072021549,1267,-0.0384314387507722,0.0078687041286076,0.4525419484795,"O75884","RBBP9","RBBP9","RBBP9__seq.10064.12","RBBP9"
"seq.10069.2","PIN1__seq.10069.2__ANML",0.0228749153031002,0.0418693579457483,0.0154657445765865,1.47906977189643,0.139370631190101,0.188015354216078,0.185447813834153,1265,-0.00746641747467935,0.0532162480808798,0.369339777453578,"Q13526","PIN1","PIN1","PIN1__seq.10069.2","PIN1_1"
"seq.10070.22","PLCG2__seq.10070.22__ANML",-0.0515332628729027,-0.0232009723993824,0.0261522548407163,-1.97050935710029,0.0489962672643664,0.858527918923612,0.858083736565445,1274,-0.102839483192877,-0.000227042552928249,0.200526857876915,"P16885","PLCG2","PLCG2","PLCG2__seq.10070.22","PLCG2"
