"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28","CRBB2__seq.10000.28__ANML",-0.0276100926660389,-0.0204720726428784,0.0456190966816969,-0.605231025477901,0.54513431870239,0.0136620819141456,0.00975424547164994,1262,-0.117107713537286,0.0618875282052079,0.794502054735105,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7","c.Raf__seq.10001.7__ANML",-0.00217173238176197,-0.00127359725126273,0.0303076274322075,-0.0716562979606281,0.942886709295544,0.725646627809811,0.724567346251234,1271,-0.0616302115848768,0.0572867468213529,0.982398409213106,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15","ZNF41__seq.10003.15__ANML",0.011899006152045,0.0131674779531643,0.0293598056725472,0.405282183566055,0.685338684918819,0.0859741379332377,0.0823585293016446,1264,-0.0457003098546929,0.0694983221587829,0.867539933906794,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25","ELK1__seq.10006.25__ANML",0.0152440475145755,0.0163897693982388,0.0295720499997599,0.515488358591957,0.60630208914894,0.123941106713217,0.120470191922065,1262,-0.0427717465668083,0.0732598415959594,0.827426622972411,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43","GUC1A__seq.10008.43__ANML",-0.038732471885056,-0.0497633065439338,0.0250414864625383,-1.54673213760689,0.122177577204029,0.104912033188427,0.10137972077007,1267,-0.0878598140335366,0.0103948702634246,0.382920946671392,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10","BECN1__seq.10010.10__ANML",0.00734314664657542,0.0104104682466405,0.022749644178919,0.322780725220307,0.746914737831258,0.101284446401775,0.0977265859362233,1263,-0.0372881071537342,0.051974400446885,0.895761163550986,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65","OCRL__seq.10011.65__ANML",0.0233125275629259,0.0286862444056355,0.023318322444871,0.999751488042984,0.317621531647869,0.284616093878631,0.281795179422316,1268,-0.0224342112712716,0.0690592663971234,0.62000880440909,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5","SPDEF__seq.10012.5__ANML",0.0470190474421034,0.067844831662584,0.0231657052162165,2.0296834049839,0.0425970398447216,0.0278486168517179,0.0240182331513702,1269,0.00157175289270933,0.0924663419914976,0.212839118840053,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31","SLUG__seq.10014.31__ANML",0.00900346251807205,0.0103974074707147,0.0286426437015988,0.314337692144301,0.753316406655868,0.0488352012641446,0.0450756566051096,1265,-0.0471888520440887,0.0651957770802328,0.897074022336791,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119","KCAB2__seq.10015.119__ANML",0.0507631899687895,0.0470832606453966,0.0263297669626669,1.92797718417967,0.0540812343998657,0.482526838680806,0.480484718865024,1267,-0.000891549944504841,0.102417929882084,0.243499253771954,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207","POLH__seq.10022.207__ANML",0.0161569093624008,0.0118337645330351,0.0446099007439507,0.362182141025986,0.717276418623517,0.0765318333630941,0.0728817615582051,1265,-0.0713606257264054,0.103674444451207,0.882309567751418,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32","VDR__seq.10023.32__ANML",0.0206363185665615,0.0310914097153036,0.0222716518486416,0.926573327690562,0.354324986605413,0.0241036128306111,0.0202432631978209,1264,-0.0230571556726589,0.064329792805782,0.656474447461962,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
"seq.10024.44","HOGA1__seq.10024.44__ANML",0.0935007518587753,0.0898709204635618,0.0352665147823652,2.65126147099542,0.00811973646257239,0.0146845503661269,0.0107745684231354,1260,0.0243131920767033,0.162688311640847,0.0849889082325286,"Q86XE5","HOGA1","HOGA1","HOGA1__seq.10024.44","HOGA1"
"seq.10025.1","DLDH__seq.10025.1__ANML",-0.0179012964588908,-0.0164788447209467,0.0298210996928943,-0.600289615179961,0.548420420565475,0.34464507793013,0.342062907236395,1269,-0.0764053777670258,0.0406027848492442,0.796547672615765,"P09622","DLD","DLD","DLD__seq.10025.1","DLD_1"
"seq.10030.8","MutY_homolog__seq.10030.8__ANML",0.0197163858924519,0.0155401007866956,0.0421973004610737,0.467242825418178,0.64040688232201,0.0499567098774266,0.04618968652246,1261,-0.0630682623837711,0.102501034168675,0.844868550835901,"Q9UIF7","MUTYH","MUTYH","MUTYH__seq.10030.8","MUTYH"
"seq.10035.6","DUS4__seq.10035.6__ANML",-0.0275853616509677,-0.0426832641934516,0.0204824199079213,-1.34678235164485,0.178291951287027,0.135526768750571,0.132104467755917,1263,-0.0677686750322844,0.012597951730349,0.466153123746897,"Q13115","DUSP4","DUSP4","DUSP4__seq.10035.6","DUSP4"
"seq.10036.201","ZHX3__seq.10036.201__ANML",0.0261284584800713,0.0354862163023249,0.02430961725149,1.07481982170945,0.282659399231674,0.0538478854560627,0.0501258079008152,1271,-0.0215629312539657,0.0738198482141083,0.589008502117489,"Q9H4I2","ZHX3","ZHX3","ZHX3__seq.10036.201","ZHX3"
"seq.10037.98","SIG12_Ig.like_V.type_2__seq.10037.98__ANML",0.0625577670656752,0.0471044398004564,0.0448619653099568,1.39444998972863,0.163425635518211,0.00836345325428505,0.00445937236158533,1270,-0.0254539467953076,0.150569480926658,0.443740497484222,"Q96PQ1","SIGLEC12","SIGLEC12","SIGLEC12__seq.10037.98","SIGLEC12_1"
"seq.10039.32","PNP__seq.10039.32__ANML",0.0036445267193052,0.00123441191522293,0.0354405934536374,0.10283481071142,0.918110273254512,0.874456786404806,0.873963686587072,1273,-0.0658838663525105,0.0731729197911209,0.971873487454101,"P00491","PNP","PNP","PNP__seq.10039.32","PNP_1"
"seq.10040.63","P73L__seq.10040.63__ANML",-0.0482310111078284,-0.0411528961267703,0.0397759869457605,-1.21256604326619,0.225522718035879,0.00304457878179023,-0.000905323837933292,1262,-0.126265353266988,0.0298033310513317,0.525220682806785,"Q9H3D4","TP63","TP63","TP63__seq.10040.63","TP63"
"seq.10041.3","HNF4A__seq.10041.3__ANML",0.00851335156536351,0.00506293800978049,0.0545305154277208,0.156120871012998,0.87596250079482,0.0837022380841094,0.0801032680844398,1273,-0.0984662089216,0.115492912052327,0.953288066097336,"P41235","HNF4A","HNF4A","HNF4A__seq.10041.3","HNF4A"
"seq.10042.8","SGK3__seq.10042.8__ANML",0.0111698240038072,0.0175128594812497,0.0180841767046793,0.617657313695513,0.536912162478017,0.303160395911539,0.300412605674597,1268,-0.0243083760552373,0.0466480240628517,0.788605545688479,"Q96BR1","SGK3","SGK3","SGK3__seq.10042.8","SGK3"
"seq.10043.31","BRD4__seq.10043.31__ANML",-0.0157734941614889,-0.02693716650809,0.017339123101021,-0.909705414142894,0.363150907066663,0.23918094356198,0.236178500561041,1267,-0.0497900464301732,0.0182430581071953,0.66362265154031,"O60885","BRD4","BRD4","BRD4__seq.10043.31","BRD4"
"seq.10044.12","WN10A__seq.10044.12__ANML",-0.0185725754580723,-0.0125608043599265,0.04893482670574,-0.379536961881051,0.704352564500901,0.0462996056970119,0.0425478338862212,1271,-0.114574493869518,0.0774293429533733,0.8759086196625,"Q9GZT5","WNT10A","WNT10A","WNT10A__seq.10044.12","WNT10A"
"seq.10045.47","CUL3__seq.10045.47__ANML",-0.037668811186996,-0.0255846750950494,0.0254078368592933,-1.48256663468059,0.138438067867285,0.74108649818369,0.740065545889462,1268,-0.0875148359124859,0.0121772135384939,0.405354230069602,"Q13618","CUL3","CUL3","CUL3__seq.10045.47","CUL3"
"seq.10046.55","cIAP.1__seq.10046.55__ANML",-0.0368085576202586,-0.0408293446310058,0.0240185608609992,-1.53250470889068,0.125647775402049,0.386363588143827,0.38394006361043,1266,-0.0839291209423188,0.0103120057018017,0.387562108659144,"Q13490","BIRC2","BIRC2","BIRC2__seq.10046.55","BIRC2_1"
"seq.10047.12","NCF.2__seq.10047.12__ANML",0.0171310155414904,0.0205403960722454,0.0278041857277637,0.616130812433193,0.537918773386378,0.0329888610648537,0.0291757256589581,1268,-0.0374162541427959,0.0716782852257767,0.789113625477197,"P19878","NCF2","NCF2","NCF2__seq.10047.12","NCF2"
"seq.10048.7","PEBB__seq.10048.7__ANML",-0.0118279950861463,-0.0264156515032756,0.0138887235571633,-0.851625783857277,0.39458262952326,0.165196894792454,0.161905084440689,1268,-0.0390754015328166,0.0154194113605241,0.689171531066159,"Q13951","CBFB","CBFB","CBFB__seq.10048.7","CBFB"
"seq.10049.112","TERF1__seq.10049.112__ANML",0.00419409449829019,0.00823290613306267,0.0165096381172708,0.254039153886889,0.799506725521211,0.0935523307039418,0.0899581686528075,1261,-0.0281952898882012,0.0365834788847815,0.921000394595512,"P54274","TERF1","TERF1","TERF1__seq.10049.112","TERF1"
"seq.10053.5","ILK1__seq.10053.5__ANML",-0.173686607941573,-0.0595286400152102,0.0504078194347251,-3.44562827532118,0.000588281677996056,0.739943080750984,0.738921647446785,1273,-0.272578142817691,-0.0747950730654557,0.0191573647104273,"Q13418","ILK","ILK","ILK__seq.10053.5","ILK"
"seq.10054.3","GAN__seq.10054.3__ANML",0.0494184860898755,0.0441598370689418,0.0378379815333306,1.30605502955658,0.191771281319805,0.0109063611847848,0.00699690016179977,1265,-0.0248136198172849,0.123650591997036,0.485088119588465,"Q9H2C0","GAN","GAN","GAN__seq.10054.3","GAN"
"seq.10056.5","FOXM1__seq.10056.5__ANML",-0.00317072149531802,-0.0013180091543221,0.0297953583924048,-0.106416625487756,0.915268569521986,0.866349304189956,0.865824360372949,1273,-0.0616241272694848,0.0552826842788487,0.971049682690114,"Q08050","FOXM1","FOXM1","FOXM1__seq.10056.5","FOXM1"
