"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28","CRBB2__seq.10000.28__ANML",0.0104277561635689,0.0132033454445866,0.0222789605825678,0.468053979669414,0.639826745111769,0.0133757902256911,0.0102510896404994,1263,-0.0332800898294282,0.054135602156566,0.893866106113508,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7","c.Raf__seq.10001.7__ANML",-0.0177139098414659,-0.017756880192739,0.0147791855520528,-1.19857144895278,0.230917878064803,0.725645519468588,0.72478276952981,1272,-0.0467081701234563,0.0112803504405246,0.669833622503842,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15","ZNF41__seq.10003.15__ANML",0.0250083121965018,0.0472905020395483,0.014345254795825,1.74331599908425,0.0815213823500656,0.0858553625515132,0.0829647866228224,1265,-0.00313479771888456,0.0531514221118882,0.47413622112482,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25","ELK1__seq.10006.25__ANML",-0.0287396017205479,-0.05293567209224,0.0144312202585653,-1.99148798269434,0.0466423490088172,0.123756642692043,0.120981525170878,1263,-0.0570514051466883,-0.000427798294407408,0.387004000602772,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43","GUC1A__seq.10008.43__ANML",-0.00594030746724832,-0.0130473052870785,0.0122136401335248,-0.486366668929682,0.62679126433659,0.103221906255913,0.100392953278802,1268,-0.0299014739158291,0.0180208589813324,0.891521308964146,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10","BECN1__seq.10010.10__ANML",0.0171132989468322,0.0414593512427023,0.0111008797232737,1.54161646404952,0.12341712089829,0.101210309557919,0.0983660383856338,1264,-0.0046648792286283,0.0388914771222927,0.543479582624603,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65","OCRL__seq.10011.65__ANML",0.0021086929578607,0.00443756373401388,0.0113838936241603,0.1852347735739,0.85307449606386,0.284052191364914,0.281795460683637,1269,-0.020224629590594,0.0244420155063154,0.966120275036731,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5","SPDEF__seq.10012.5__ANML",-0.0175066968303173,-0.0432424912585141,0.0113162019079715,-1.54704705454089,0.122101037659037,0.0246926758332556,0.0216208417413917,1270,-0.0397072027028598,0.00469380904222528,0.542170951348135,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31","SLUG__seq.10014.31__ANML",0.0177710279187536,0.0350523087452204,0.0140144802065866,1.26804759482991,0.205014100463175,0.0487609065075311,0.045755411741362,1266,-0.0097231340263328,0.0452651898638399,0.647186529874453,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119","KCAB2__seq.10015.119__ANML",0.00576596104169871,0.00915052800892955,0.0128581227922374,0.448429458550488,0.653919900403258,0.481008687591775,0.479371491022664,1268,-0.019459575086176,0.0309914971695734,0.902065229016802,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207","POLH__seq.10022.207__ANML",-0.0223399792370277,-0.0279279249795753,0.0218046499338832,-1.02455115329839,0.305770746469998,0.0764360730698867,0.073518019588275,1266,-0.0651172044784137,0.0204372460043582,0.725761208899648,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32","VDR__seq.10023.32__ANML",0.00451801856353451,0.0116245288880958,0.0108936072981425,0.41474035550234,0.678402309403689,0.0234407613584089,0.0203528270069731,1265,-0.0168535075564411,0.0258895446835101,0.909371214241871,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
"seq.10024.44","HOGA1__seq.10024.44__ANML",0.000230252030607155,0.000378586713697576,0.0172029843826472,0.0133844236259037,0.989323211069119,0.00918775121425457,0.00604480990169076,1261,-0.0335193716623244,0.0339798757235387,0.997689316994488,"Q86XE5","HOGA1","HOGA1","HOGA1__seq.10024.44","HOGA1"
"seq.10025.1","DLDH__seq.10025.1__ANML",0.0389317894048052,0.061264698955884,0.0145550827694264,2.67478997004285,0.00757363770173102,0.344458982116265,0.342394285996946,1270,0.0103771380186038,0.0674864407910066,0.176274602738372,"P09622","DLD","DLD","DLD__seq.10025.1","DLD_1"
"seq.10030.8","MutY_homolog__seq.10030.8__ANML",0.0134022708595261,0.0180937354848736,0.0204964690709665,0.653881935133432,0.513306999948579,0.0497922296903293,0.0467804776449738,1262,-0.0268086353517882,0.0536131770708404,0.843545798734996,"Q9UIF7","MUTYH","MUTYH","MUTYH__seq.10030.8","MUTYH"
"seq.10035.6","DUS4__seq.10035.6__ANML",0.00562922881850229,0.0148773477953134,0.0099921261478025,0.563366468280657,0.573285287343406,0.134285279302654,0.131545675756144,1264,-0.0139737494159423,0.0252322070529469,0.866299232833574,"Q13115","DUSP4","DUSP4","DUSP4__seq.10035.6","DUSP4"
"seq.10036.201","ZHX3__seq.10036.201__ANML",-0.0170281667929588,-0.0395262111650046,0.0118564406649749,-1.43619550538989,0.151192599572919,0.052987908631095,0.0500098831865385,1272,-0.0402884963589889,0.00623216277307128,0.581379131221732,"Q9H4I2","ZHX3","ZHX3","ZHX3__seq.10036.201","ZHX3"
"seq.10037.98","SIG12_Ig.like_V.type_2__seq.10037.98__ANML",0.0108658074647837,0.0139770623126772,0.021917785814152,0.495752972353976,0.620154415308067,0.00684516339903809,0.00371957776064002,1271,-0.0321332103542157,0.0538648252837831,0.888316480269186,"Q96PQ1","SIGLEC12","SIGLEC12","SIGLEC12__seq.10037.98","SIGLEC12_1"
"seq.10039.32","PNP__seq.10039.32__ANML",0.029430806182732,0.0170376737102246,0.0172981941023428,1.701380271756,0.0891156080225517,0.87445574349886,0.874061570009061,1274,-0.00450527172557636,0.0633668840910403,0.493115020973042,"P00491","PNP","PNP","PNP__seq.10039.32","PNP_1"
"seq.10040.63","P73L__seq.10040.63__ANML",0.0123495760685099,0.0180328754185962,0.0194206738321061,0.63589843355969,0.524957830226194,0.00188305745442094,-0.00127804133432186,1263,-0.0257507571040392,0.0504499092410591,0.849634436060343,"Q9H3D4","TP63","TP63","TP63__seq.10040.63","TP63"
"seq.10041.3","HNF4A__seq.10041.3__ANML",-0.0658703971314587,-0.0669547657590452,0.0266159355909893,-2.47484808137869,0.0134586516530619,0.0836846940221152,0.0808077228887466,1274,-0.118086279233048,-0.0136545150298698,0.228014598354781,"P41235","HNF4A","HNF4A","HNF4A__seq.10041.3","HNF4A"
"seq.10042.8","SGK3__seq.10042.8__ANML",-0.00786127212382244,-0.0210879404767041,0.00881490728389255,-0.891815633522013,0.372660826472063,0.302950739210268,0.300753578419757,1269,-0.0251546669942806,0.00943212274663575,0.769074821770249,"Q96BR1","SGK3","SGK3","SGK3__seq.10042.8","SGK3"
"seq.10043.31","BRD4__seq.10043.31__ANML",0.00156033833681548,0.00455252991624079,0.00847235947019573,0.18416809889907,0.853911032534824,0.238684000849771,0.236282373092199,1268,-0.0150610467095919,0.0181817233832228,0.966120275036731,"O60885","BRD4","BRD4","BRD4__seq.10043.31","BRD4"
"seq.10044.12","WN10A__seq.10044.12__ANML",-0.0313829396726104,-0.0362943820059171,0.0238904486081352,-1.31361868449485,0.18921143666224,0.0461915184226681,0.0431921206818587,1272,-0.0782519557464751,0.0154860764012543,0.63615669341007,"Q9GZT5","WNT10A","WNT10A","WNT10A__seq.10044.12","WNT10A"
"seq.10045.47","CUL3__seq.10045.47__ANML",-0.00514142594757323,-0.00596218977662965,0.0124368677345486,-0.413401996170689,0.6793819599254,0.74063768677386,0.73982015387165,1269,-0.0295405101079043,0.0192576582127579,0.909371214241871,"Q13618","CUL3","CUL3","CUL3__seq.10045.47","CUL3"
"seq.10046.55","cIAP.1__seq.10046.55__ANML",-0.0300006869563434,-0.0568332054998475,0.0117280854994455,-2.55802082597043,0.010642493097272,0.385225224410204,0.383284341140781,1267,-0.0530092918943863,-0.00699208201830053,0.206664087983855,"Q13490","BIRC2","BIRC2","BIRC2__seq.10046.55","BIRC2_1"
"seq.10047.12","NCF.2__seq.10047.12__ANML",0.000522809140557948,0.00107222782405494,0.0135838283068995,0.0384876140029246,0.969304960418174,0.0326993547244076,0.0296503377180227,1269,-0.0261264225754661,0.027172040856582,0.992169087075878,"P19878","NCF2","NCF2","NCF2__seq.10047.12","NCF2"
"seq.10048.7","PEBB__seq.10048.7__ANML",0.0136454740863293,0.05206164702207,0.00678358668137545,2.01154267311028,0.044479248571459,0.164719406853934,0.162086528703749,1269,0.000337195355664802,0.0269537528169938,0.3821124125508,"Q13951","CBFB","CBFB","CBFB__seq.10048.7","CBFB"
"seq.10049.112","TERF1__seq.10049.112__ANML",0.00424471504259924,0.0142347985180244,0.00806197580072147,0.526510516469099,0.598626068134604,0.0935059402133594,0.0906327419256048,1262,-0.0115716361385855,0.020061066223784,0.878093832189501,"P54274","TERF1","TERF1","TERF1__seq.10049.112","TERF1"
"seq.10053.5","ILK1__seq.10053.5__ANML",0.0394154946343679,0.0230895665282863,0.0247179060998447,1.59461300949823,0.111046831849942,0.73751771715277,0.736693596955448,1274,-0.00907678046508727,0.087907769733823,0.528742594788776,"Q13418","ILK","ILK","ILK__seq.10053.5","ILK"
"seq.10054.3","GAN__seq.10054.3__ANML",0.00470195070059092,0.00718588815195197,0.0184645768187739,0.254647087054288,0.799037044182287,0.0095726253031394,0.00644331290283329,1266,-0.0315225869076082,0.04092648830879,0.948506577622285,"Q9H2C0","GAN","GAN","GAN__seq.10054.3","GAN"
"seq.10056.5","FOXM1__seq.10056.5__ANML",-0.00528546217976148,-0.00375519480067964,0.0145428164237863,-0.363441442547301,0.716335445465519,0.866348115244896,0.865928486093389,1274,-0.0338159635860903,0.0232450392265673,0.921868402472478,"Q08050","FOXM1","FOXM1","FOXM1__seq.10056.5","FOXM1"
"seq.10058.1","RD23A__seq.10058.1__ANML",0.000325009818634631,0.000292261476329822,0.0144048933688495,0.0225624591805354,0.982002822605951,0.789937117186702,0.789277579093097,1274,-0.0279349103056253,0.0285849299428945,0.995531667504085,"P54725","RAD23A","RAD23A","RAD23A__seq.10058.1","RAD23A"
"seq.10063.10","FANCL__seq.10063.10__ANML",0.0221551716163084,0.0606487291000126,0.0102588951283966,2.15960601400271,0.0309904662806657,0.0185237612204332,0.0154227304501975,1266,0.00202886511903073,0.042281478113586,0.331520626805653,"Q9NW38","FANCL","FANCL","FANCL__seq.10063.10","FANCL"
"seq.10064.12","RBBP9__seq.10064.12__ANML",0.00761456460397512,0.0300083238539461,0.00624071193081603,1.22014358111534,0.222637502124708,0.246472812221854,0.244093878716635,1267,-0.0046287018144924,0.0198578310224426,0.665482212032031,"O75884","RBBP9","RBBP9","RBBP9__seq.10064.12","RBBP9"
"seq.10069.2","PIN1__seq.10069.2__ANML",-0.00179951908388093,-0.00562695490888434,0.00818134712887263,-0.219953884798542,0.825942558425236,0.186642242692294,0.184070360455748,1265,-0.017850021830671,0.0142509836629092,0.955988487150913,"Q13526","PIN1","PIN1","PIN1__seq.10069.2","PIN1_1"
"seq.10070.22","PLCG2__seq.10070.22__ANML",0.00676109730953628,0.00520265352299753,0.0138343335662087,0.488718685087277,0.625124987725416,0.858123337852027,0.857677885223619,1274,-0.0203794827379959,0.0339016773570684,0.890329527972562,"P16885","PLCG2","PLCG2","PLCG2__seq.10070.22","PLCG2"
"seq.10073.22","TYDP1__seq.10073.22__ANML",-0.0195843885804313,-0.0417198135897401,0.0103507923570617,-1.89206660754527,0.0587095784240413,0.394293451540822,0.392384211041345,1269,-0.0398909367593186,0.000722159598456028,0.418743841277023,"Q9NUW8","TDP1","TDP1","TDP1__seq.10073.22","TDP1"
"seq.10074.128","BRD2__seq.10074.128__ANML",0.011982065029853,0.026871118199601,0.0124142044651905,0.965189921226988,0.334634316729268,0.0381377923212927,0.035093924575474,1264,-0.0123726495053107,0.0363367795650166,0.746987863881863,"P25440","BRD2","BRD2","BRD2__seq.10074.128","BRD2_1"
"seq.10075.75","ACBD6__seq.10075.75__ANML",-0.0216365432524231,-0.0109066699398663,0.0180682525193425,-1.19748953194343,0.231338557888767,0.896146788548574,0.895820718810893,1274,-0.0570833431631924,0.0138102566583462,0.669833622503842,"Q9BR61","ACBD6","ACBD6","ACBD6__seq.10075.75","ACBD6_1"
"seq.10076.1","AP4M1__seq.10076.1__ANML",-0.0200044849193047,-0.0191244129134906,0.0179331698106273,-1.11550189567992,0.264845771854781,0.632028113445816,0.630872785701532,1274,-0.0551862758181564,0.0151773059795469,0.699819168647834,"O00189","AP4M1","AP4M1","AP4M1__seq.10076.1","AP4M1"
"seq.10078.5","BAG3__seq.10078.5__ANML",-0.00753116223237816,-0.0231504076490494,0.00766164763620701,-0.982969015279141,0.325810351585284,0.30961013115117,0.307430526198214,1267,-0.0225620744511126,0.00749974998635625,0.742655948466456,"O95817","BAG3","BAG3","BAG3__seq.10078.5","BAG3"
"seq.10080.9","EI2BA__seq.10080.9__ANML",-0.0039201356238693,-0.00237785775887714,0.0232640209868021,-0.168506365520097,0.866211704465389,0.750940523272522,0.750157932615091,1273,-0.0495601725977801,0.0417199013500415,0.968403005638432,"Q14232","EIF2B1","EIF2B1","EIF2B1__seq.10080.9","EIF2B1"
"seq.10081.17","SATB2__seq.10081.17__ANML",-0.0138011658658107,-0.0316383243287965,0.0119747719569429,-1.15252014112961,0.249324456961056,0.0608539825675162,0.0578937114329772,1269,-0.0372936942913231,0.0096913625597018,0.686443185548485,"Q9UPW6","SATB2","SATB2","SATB2__seq.10081.17","SATB2"
"seq.10082.251","NFL__seq.10082.251__ANML",-0.49326359482554,-0.621512193781531,0.0173940620511741,-28.3581600073828,1.77808074387362e-137,0.400173281246279,0.398285549637298,1271,-0.527387825732126,-0.459139363918954,3.23832955477983e-134,"P07196","NEFL","NEFL","NEFL__seq.10082.251","NEFL"
"seq.10085.25","STAR__seq.10085.25__ANML",0.0147819528041331,0.0306139002113007,0.0114436599234457,1.29171549163637,0.196690712518435,0.298605196377771,0.296396078886047,1270,-0.00766860449414835,0.0372325101024146,0.641029467228816,"P49675","STAR","STAR","STAR__seq.10085.25","STAR"
"seq.10086.39","CBS__seq.10086.39__ANML",-0.0298808727723519,-0.0433507017801179,0.0194647845788409,-1.53512476088915,0.12500363953891,0.00934714313301572,0.00620968357049179,1263,-0.0680677443503969,0.00830599880569301,0.547073051596956,"P35520","CBS","CBS","CBS__seq.10086.39","CBS"
"seq.10087.10","Alpha_crystallin_A_chain__seq.10087.10__ANML",-0.00572271814971188,-0.0155638082377936,0.0095419887478481,-0.599740609734262,0.548786780669445,0.164958207320778,0.162311482145884,1262,-0.0244426261143789,0.0129971898149551,0.858591710389582,"P02489","CRYAA","CRYAA","CRYAA__seq.10087.10","CRYAA"
"seq.10088.37","APT__seq.10088.37__ANML",0.00666727615624977,0.00336493268616633,0.0186337232497201,0.357806975390703,0.720547039550408,0.889277929934038,0.888930293921272,1274,-0.0298888799478556,0.0432234322603552,0.923177133859431,"P07741","APRT","APRT","APRT__seq.10088.37","APRT"
"seq.10089.7","ASML__seq.10089.7__ANML",-0.0182285354177656,-0.0154506397622072,0.0188636294223963,-0.966332353630911,0.334061587397876,0.680489935912368,0.679485187283162,1272,-0.0552357831723622,0.0187787123368311,0.746970107221632,"O95671","ASMTL","ASMTL","ASMTL__seq.10089.7","ASMTL"
"seq.10336.3","CHIP__seq.10336.3__ANML",0.0289693353621891,0.0169711531371874,0.0255619411835927,1.13329950781608,0.257301888614507,0.719451381084743,0.718569845754295,1273,-0.0211788286807316,0.0791174994051098,0.691718617883699,"Q9UNE7","STUB1","STUB1","STUB1__seq.10336.3","STUB1_1"
"seq.10339.48","NSE__seq.10339.48__ANML",0.0321186762314922,0.042522613536513,0.0180150751049507,1.7828777312544,0.0748442518139385,0.287842883396811,0.285606911288167,1274,-0.00322379874991837,0.0674611512129027,0.457800482337987,"P09104","ENO2","ENO2","ENO2__seq.10339.48","ENO2_1"
"seq.10342.55","PIAS4__seq.10342.55__ANML",-0.0254801383139619,-0.0525889291208756,0.0136038465210398,-1.87300983398734,0.0612965888414915,0.0166474105970659,0.0135502370871353,1270,-0.0521686224039077,0.00120834577598383,0.426093177204452,"Q8N2W9","PIAS4","PIAS4","PIAS4__seq.10342.55","PIAS4"
"seq.10344.334","IL.10_Ra__seq.10344.334__ANML",-0.000140422333004526,-0.000293705059995972,0.0121664701451028,-0.0115417480444029,0.990793031768377,0.190834365466474,0.188289819445928,1272,-0.0240089772582913,0.0237281325922822,0.997689316994488,"Q13651","IL10RA","IL10RA","IL10RA__seq.10344.334","IL10RA_1"
"seq.10346.5","STAT3__seq.10346.5__ANML",0.00579341602720178,0.0036849498264008,0.0190672053934628,0.303841905913913,0.761297954050762,0.815860544110724,0.815282398252359,1274,-0.0316131573930048,0.0431999894474084,0.935529641135447,"P40763","STAT3","STAT3","STAT3__seq.10346.5","STAT3_1"
"seq.10351.51","IRF1__seq.10351.51__ANML",-0.0413544743383783,-0.0410423546825525,0.0284709737585657,-1.45251352093065,0.146607646059008,0.0111338860088999,0.00799711800258396,1261,-0.0972101694404546,0.0145012207636979,0.57206036504546,"P10914","IRF1","IRF1","IRF1__seq.10351.51","IRF1_1"
"seq.10354.57","STAT3__seq.10354.57__ANML",-0.0468387291756154,-0.0291027382923571,0.0232688308698359,-2.01293865762435,0.0443312901708927,0.738503311960935,0.737681641299382,1273,-0.0924882023187776,-0.00118925603245319,0.381769573483765,"P40763","STAT3","STAT3","STAT3__seq.10354.57","STAT3_2"
"seq.10356.21","c.Jun__seq.10356.21__ANML",-0.0132372360226493,-0.0260833090369511,0.0138246689024669,-0.957508358141384,0.338493252400243,0.0757473248759194,0.0728317012950863,1268,-0.0403589777022062,0.0138845056569075,0.750433153906199,"P05412","JUN","JUN","JUN__seq.10356.21","JUN"
"seq.10361.25","OAS1__seq.10361.25__ANML",-0.00185179605411711,-0.00335953206073723,0.0155365572315949,-0.11918960079208,0.905144114833681,0.0144387957298188,0.0113149884262683,1262,-0.0323321213981214,0.0286285292898872,0.975973389290697,"P00973","OAS1","OAS1","OAS1__seq.10361.25","OAS1"
"seq.10362.35","c.Myc__seq.10362.35__ANML",-0.0121278438664998,-0.0237681526202573,0.0143176635682482,-0.84705467541473,0.397125375772674,0.0254074008564083,0.0223159096616625,1261,-0.0402169095101214,0.0159612217771217,0.783177683406586,"P01106","MYC","MYC","MYC__seq.10362.35","MYC"
"seq.10363.13","SMAD3__seq.10363.13__ANML",0.00536494269594026,0.00383761571340887,0.013111216364208,0.409187259740895,0.682471022663889,0.889882130144057,0.889536391149219,1274,-0.0203570059292165,0.031086891321097,0.91058633701583,"P84022","SMAD3","SMAD3","SMAD3__seq.10363.13","SMAD3"
"seq.10364.6","SMAD2__seq.10364.6__ANML",0.00273002091209065,0.00153274805461836,0.0162953365083145,0.167533877603429,0.866976582398607,0.895211093810188,0.894882086255432,1274,-0.0292386230987525,0.0346986649229338,0.968403005638432,"Q15796","SMAD2","SMAD2","SMAD2__seq.10364.6","SMAD2_1"
"seq.10365.132","IL.23__seq.10365.132__ANML",-0.00232444713408189,-0.00323455036099408,0.0196051173456323,-0.118563285957569,0.905640103343637,0.0711069074187791,0.0681812598830902,1270,-0.0407864263655584,0.0361375320973947,0.975973389290697,"P29460","IL12B|IL23A","IL12B","IL12B__seq.10365.132","IL12B_1"
"seq.10366.11","PDGFRA__seq.10366.11__ANML",0.0287266402219418,0.0368900355092478,0.0212525099379657,1.35168223921751,0.176718630922322,0.0730163067780354,0.0700851330445272,1265,-0.0129674064628254,0.070420686906709,0.615708749638314,"P16234","PDGFRA","PDGFRA","PDGFRA__seq.10366.11","PDGFRA"
"seq.10367.62","IL.12__seq.10367.62__ANML",0.00699249604563675,0.0132233892048305,0.014668260627255,0.47670928566977,0.633651679151955,0.0472443711669987,0.0442245435003332,1262,-0.0217843654871216,0.0357693575783951,0.891608583940804,"P29459","IL12A|IL12B","IL12A","IL12A__seq.10367.62","IL12A_1"
"seq.10370.21","STAT1__seq.10370.21__ANML",-0.00987732815236612,-0.00530292516875529,0.0202002726178305,-0.488970042099707,0.624947070267605,0.852753312190284,0.852290999198731,1274,-0.0495067843413749,0.0297521280366426,0.890329527972562,"P42224","STAT1","STAT1","STAT1__seq.10370.21","STAT1_1"
"seq.10372.18","STAT6__seq.10372.18__ANML",0.0166377231239055,0.0123227447541154,0.0160092119595819,1.03925934430192,0.298881330198304,0.823986462916239,0.823433830146745,1274,-0.0147695937958076,0.0480450400436186,0.724044098652745,"P42226","STAT6","STAT6","STAT6__seq.10372.18","STAT6"
