"apt_name","coef_x2m","coef_x2y","coef_m2y","acme","acme_p","ade","ade_p","total","total_p","prop_m","prop_m_p","prop_m_ci_lower","prop_m_ci_upper","p_adjusted","ade_p_adjusted","prop_m_p_adjusted","Protein_id","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10082.251",-0.49326359482554,-0.176787754334622,0.0518095150018335,-0.0255557476159721,0.006,-0.176787754334622,0,-0.202343501950595,0,0.126298830303985,0.006,0.0299828185982668,0.235462697487389,0.0375555555555556,0,0.0375555555555556,"NFL__seq.10082.251__ANML","P07196","NEFL","NEFL","NEFL__seq.10082.251","NEFL"
"seq.10390.21",-0.0515128165304736,-0.199564934788443,0.0147461670352599,-0.000759616597015073,0.604,-0.199564934788443,0,-0.200324551385458,0,0.00379192960504099,0.604,-0.00957443915204615,0.0215514305531313,0.753044117647059,0,0.753044117647059,"ZNRF3__seq.10390.21__ANML","Q9ULT6","ZNRF3","ZNRF3","ZNRF3__seq.10390.21","ZNRF3_1"
"seq.10939.16",-0.0514671548906376,-0.197707157442087,0.0273530094515593,-0.00140778157416849,0.33,-0.197707157442088,0,-0.199114939016256,0,0.00707019564239502,0.33,-0.00696849440870533,0.0256890142796812,0.5395,0,0.5395,"PKHA4__seq.10939.16__ANML","Q9H4M7","PLEKHA4","PLEKHA4","PLEKHA4__seq.10939.16","PLEKHA4"
"seq.10990.21",-0.040859717415818,-0.198332318385481,0.0669475663420369,-0.00273545864241233,0.054,-0.198332318385481,0,-0.201067777027893,0,0.0136046594976422,0.054,-0.000184698901245735,0.032433684656903,0.144857142857143,0,0.144857142857143,"LRRK2__seq.10990.21__ANML","Q5S007","LRRK2","LRRK2","LRRK2__seq.10990.21","LRRK2"
"seq.11160.56",-0.0449490632425599,-0.199517015410405,0.042424988419593,-0.00190696348753715,0.244,-0.199517015410405,0,-0.201423978897942,0,0.00946741047401996,0.244,-0.00663597261626637,0.0298956833357888,0.43868085106383,0,0.43868085106383,"RN122__seq.11160.56__ANML","Q9H9V4","RNF122","RNF122","RNF122__seq.11160.56","RNF122"
"seq.11180.17",-0.090239215149557,-0.199703995939063,0.0173537775338758,-0.00156599126453697,0.256,-0.199703995939063,0,-0.2012699872036,0,0.00778055032593035,0.256,-0.00536874338229207,0.026384149002815,0.450666666666667,0,0.450666666666667,"SMRC1__seq.11180.17__ANML","Q92922","SMARCC1","SMARCC1","SMARCC1__seq.11180.17","SMARCC1"
"seq.11192.168",0.0681756267041146,-0.198100641756533,-0.0504235555344548,-0.00343765749921117,0.002,-0.198100641756533,0,-0.201538299255744,0,0.0170570929292646,0.002,0.00286576075556601,0.0341014291109102,0.0160952380952381,0,0.0160952380952381,"TINAL__seq.11192.168__ANML","Q9GZM7","TINAGL1","TINAGL1","TINAGL1__seq.11192.168","TINAGL1"
"seq.11219.95",0.0444220160154539,-0.19924412097828,-0.0504141694260744,-0.00223949904165092,0.052,-0.19924412097828,0,-0.201483620019931,0,0.0111150427088286,0.052,-0.000206916173102648,0.0285816471829569,0.141741935483871,0,0.141741935483871,"FGFP3__seq.11219.95__ANML","Q8TAT2","FGFBP3","FGFBP3","FGFBP3__seq.11219.95","FGFBP3"
"seq.11286.78",-0.0631393955342931,-0.1993971755038,0.0334454119134858,-0.00211172309161293,0.048,-0.1993971755038,0,-0.201508898595413,0,0.0104795525474675,0.048,7.98192736094165e-05,0.0237819873944158,0.137491525423729,0,0.137491525423729,"SELS__seq.11286.78__ANML","Q9BQE4","SELENOS","SELENOS","SELENOS__seq.11286.78","SELENOS"
"seq.11293.14",0.379191177164854,-0.174443102154958,-0.0706307134540818,-0.0267825433786467,0.016,-0.174443102154958,0,-0.201225645533605,0,0.133097067760053,0.016,0.0262139137348098,0.250439461988686,0.0676,0,0.0676,"LRRN1_CD__seq.11293.14__ANML","Q6UXK5","LRRN1","LRRN1","LRRN1__seq.11293.14","LRRN1_1"
"seq.11416.23",0.0277107352863591,-0.199005026688726,-0.10957993967345,-0.00303654070098615,0.062,-0.199005026688726,0,-0.202041567389712,0,0.0150292869938445,0.062,-0.000369401979294831,0.0352923531262024,0.1612,0,0.1612,"FBXL4_LRR4_and_LRR5__seq.11416.23__ANML","Q9UKA2","FBXL4","FBXL4","FBXL4__seq.11416.23","FBXL4_1"
"seq.11556.19",-0.0801966743572386,-0.198155694310067,0.0434134865795993,-0.00348161724593647,0.02,-0.198155694310067,0,-0.201637311556003,0,0.0172667311375528,0.02,0.00210389838575219,0.0384876071205311,0.0768181818181818,0,0.0768181818181818,"ARFG1__seq.11556.19__ANML","Q8N6T3","ARFGAP1","ARFGAP1","ARFGAP1__seq.11556.19","ARFGAP1"
"seq.11563.51",-0.0578605288970006,-0.19659252137737,0.0858391043895067,-0.0049666959800217,0.016,-0.19659252137737,0,-0.201559217357391,0,0.0246413736128727,0.016,0.00542893014275885,0.0493671365719069,0.0676,0,0.0676,"SYTL4_C2_2__seq.11563.51__ANML","Q96C24","SYTL4","SYTL4","SYTL4__seq.11563.51","SYTL4_1"
"seq.11814.29",0.0376757131862081,-0.19987328359333,-0.044193341588108,-0.00166501566241364,0.196,-0.19987328359333,0,-0.201538299255744,0,0.00826153474829517,0.196,-0.0044278022699251,0.022475143853291,0.3718,0,0.3718,"Met__seq.11814.29__ANML","P08581","MET","MET","MET__seq.11814.29","MET_1"
"seq.12384.92",0.147139609892292,-0.198306363727132,-0.0219650951295709,-0.00323193552861217,0.046,-0.198306363727132,0,-0.201538299255744,0,0.0160363342379454,0.046,0.000522850706005296,0.0363318885797713,0.137491525423729,0,0.137491525423729,"CSN7B__seq.12384.92__ANML","Q9H9Q2","COPS7B","COPS7B","COPS7B__seq.12384.92","COPS7B"
"seq.12446.49",-0.129867398115023,-0.199420384382576,0.0133761058218906,-0.00173712006000014,0.154,-0.199420384382575,0,-0.201157504442576,0,0.00863562144904238,0.154,-0.00259688152129445,0.024394522285317,0.317390243902439,0,0.317390243902439,"GST_A1.1__seq.12446.49__ANML","P08263","GSTA1","GSTA1","GSTA1__seq.12446.49","GSTA1_1"
"seq.12482.5",-0.0404640065808434,-0.202939158918016,-0.0101999662666376,0.000412731502137604,0.9,-0.202939158918016,0,-0.202526427415878,0,-0.00203791429792064,0.9,-0.0273880803688274,0.0193140028974768,0.931560975609756,0,0.931560975609756,"BPTF__seq.12482.5__ANML","Q12830","BPTF","BPTF","BPTF__seq.12482.5","BPTF"
"seq.12501.10",-0.726521511991347,-0.152147561520145,0.0679824849235668,-0.0493907377355987,0,-0.152147561520145,0,-0.201538299255744,0,0.245068743350483,0,0.114291097218365,0.376709424634542,0,0,0,"TBCA__seq.12501.10__ANML","O75347","TBCA","TBCA","TBCA__seq.12501.10","TBCA"
"seq.12514.16",-0.0608899888613552,-0.199477407550882,0.0340608619917902,-0.00207396550728825,0.332,-0.199477407550882,0,-0.201551373058171,0,0.010290009320302,0.332,-0.00929204085406469,0.0342334975640168,0.5395,0,0.5395,"METTL1__seq.12514.16__ANML","Q9UBP6","METTL1","METTL1","METTL1__seq.12514.16","METTL1"
"seq.12587.65",-0.537843916394052,-0.196202459756648,0.00992135725734465,-0.00533614164323481,0.596,-0.196202459756648,0,-0.201538601399883,0,0.0264770203135781,0.596,-0.0645388908659722,0.109015691734652,0.753044117647059,0,0.753044117647059,"ARL2__seq.12587.65__ANML","P36404","ARL2","ARL2","ARL2__seq.12587.65","ARL2"
"seq.12616.45",0.0925780858826573,-0.201026689408743,-0.00899713868328856,-0.00083293787771967,0.744,-0.201026689408743,0,-0.201859627286462,0,0.00412632228106532,0.744,-0.0162153021151431,0.026957449562652,0.82146835443038,0,0.82146835443038,"NRBP__seq.12616.45__ANML","Q9UHY1","NRBP1","NRBP1","NRBP1__seq.12616.45","NRBP1"
"seq.12881.17",-0.0568298764809959,-0.201844804767974,-0.0118400524444816,0.000672868717948409,0.738,-0.201844804767974,0,-0.201171936050026,0,-0.00334474445670734,0.738,-0.0235398897406617,0.0154820803153305,0.82146835443038,0,0.82146835443038,"RDH16__seq.12881.17__ANML","O75452","RDH16","RDH16","RDH16__seq.12881.17","RDH16"
"seq.12893.159",-0.158283270979638,-0.193965311710751,0.0530300828830692,-0.0083937749790535,0.002,-0.193965311710751,0,-0.202359086689805,0,0.0414796049752897,0.002,0.0142770764328862,0.0739823521640989,0.0160952380952381,0,0.0160952380952381,"IP16_HIN_2__seq.12893.159__ANML","Q16666","IFI16","IFI16","IFI16__seq.12893.159","IFI16_1"
"seq.13022.20",-0.651460197834627,-0.192017960110368,0.0146138462135069,-0.00952033914537604,0.05,-0.192017960110368,0,-0.201538299255744,0,0.0472383620410288,0.05,0.000402871782354145,0.0964329600243088,0.140833333333333,0,0.140833333333333,"P5I11__seq.13022.20__ANML","O14683","TP53I11","TP53I11","TP53I11__seq.13022.20","TP53I11"
"seq.13055.53",0.126242225360718,-0.201797541026863,-5.25019272597911e-05,-6.62796013299969e-06,0.984,-0.201797541026863,0,-0.201804168986996,0,3.28435243249449e-05,0.984,-0.0244237262189593,0.0231144546481946,0.991869047619048,0,0.991869047619048,"PSD1__seq.13055.53__ANML","A5PKW4","PSD","PSD","PSD__seq.13055.53","PSD"
"seq.13408.23",0.0579692626048873,-0.199938572237018,-0.0149568109367131,-0.000867035300921988,0.522,-0.199938572237018,0,-0.20080560753794,0,0.00431778430668661,0.522,-0.0073886431983661,0.0174880379987199,0.729650793650794,0,0.729650793650794,"WFKN2__seq.13408.23__ANML","Q8TEU8","WFIKKN2","WFIKKN2","WFIKKN2__seq.13408.23","WFIKKN2_1"
"seq.13468.5",-0.0416867438673452,-0.197820925231189,0.054227045352164,-0.00226054895027854,0.242,-0.197820925231189,0,-0.200081474181467,0,0.0112981422169466,0.242,-0.00713704463743483,0.0326376582630008,0.43868085106383,0,0.43868085106383,"NEUL4__seq.13468.5__ANML","Q96JN8","NEURL4","NEURL4","NEURL4__seq.13468.5","NEURL4"
"seq.13507.51",-0.0915418638321769,-0.20251625784691,-0.00891956327030645,0.000816513446332875,0.598,-0.20251625784691,0,-0.201699744400577,0,-0.00404816301953895,0.598,-0.0185852764597658,0.0117658826500432,0.753044117647059,0,0.753044117647059,"TRADD__seq.13507.51__ANML","Q15628","TRADD","TRADD","TRADD__seq.13507.51","TRADD"
"seq.13524.25",0.0927998411282316,-0.197062433282792,-0.0486110126816968,-0.00451109425394389,0,-0.197062433282792,0,-0.201573527536736,0,0.0223793982725325,0,0.00708301202972756,0.043168687009116,0,0,0,"H6ST2__seq.13524.25__ANML","Q96MM7","HS6ST2","HS6ST2","HS6ST2__seq.13524.25","HS6ST2"
"seq.13658.31",-0.076527820183627,-0.204573491664892,-0.0281173306498381,0.00215175802401443,0.148,-0.204573491664892,0,-0.202421733640877,0,-0.0106300740800488,0.148,-0.0266947647660033,0.00331987701520331,0.30879012345679,0,0.30879012345679,"PDGF.CC__seq.13658.31__ANML","Q9NRA1","PDGFC","PDGFC","PDGFC__seq.13658.31","PDGFC_1"
"seq.13691.10",0.0735529704133569,-0.19895352194946,-0.0346536388757069,-0.00254887807494,0.076,-0.19895352194946,0,-0.2015024000244,0,0.0126493683183493,0.076,-0.000895476301943748,0.0313410044966117,0.178135135135135,0,0.178135135135135,"SC5A8__seq.13691.10__ANML","Q8N695","SLC5A8","SLC5A8","SLC5A8__seq.13691.10","SLC5A8"
"seq.13723.6",-0.142336603384435,-0.199895157349791,0.00677322075521833,-0.00096407723627072,0.682,-0.199895157349791,0,-0.200859234586061,0,0.0047997655584894,0.682,-0.0195429767803579,0.0302647976450926,0.789438356164384,0,0.789438356164384,"IL.10__seq.13723.6__ANML","P22301","IL10","IL10","IL10__seq.13723.6","IL10_1"
"seq.13732.79",0.269112557635808,-0.170704863659118,-0.112660687519039,-0.030318405763257,0,-0.170704863659118,0,-0.201023269422375,0,0.150820379403711,0,0.0696805971954957,0.253693890899301,0,0,0,"Cardiotrophin.1__seq.13732.79__ANML","Q16619","CTF1","CTF1","CTF1__seq.13732.79","CTF1_1"
"seq.14029.42",-0.0460742349473232,-0.200968894488589,0.0172405049593143,-0.000794343076105932,0.582,-0.200968894488589,0,-0.201763237564695,0,0.00393700599620496,0.582,-0.00860997670901109,0.0201042052298949,0.753044117647059,0,0.753044117647059,"CSN2__seq.14029.42__ANML","P61201","COPS2","COPS2","COPS2__seq.14029.42","COPS2"
"seq.14101.2",0.0432049838415331,-0.196850893073151,-0.10849225635139,-0.00468740618259337,0,-0.196850893073151,0,-0.201538299255744,0,0.0232581410079542,0,0.0082688230213003,0.0467326240948316,0,0,0,"CNTFR_alpha__seq.14101.2__ANML","P26992","CNTFR","CNTFR","CNTFR__seq.14101.2","CNTFR_1"
"seq.14125.5",0.0624993434113706,-0.197404525156074,-0.081052963351479,-0.00506575699101337,0.004,-0.197404525156074,0,-0.202470282147087,0,0.0250197556762097,0.004,0.00812292605129158,0.0453976572032326,0.0293913043478261,0,0.0293913043478261,"ApoM__seq.14125.5__ANML","O95445","APOM","APOM","APOM__seq.14125.5","APOM_2"
"seq.14283.12",-0.0635501494007563,-0.20188587221319,-0.00935003524956891,0.000594196137012428,0.75,-0.20188587221319,0,-0.201291676076178,0,-0.00295191608811265,0.75,-0.0221086611981572,0.0178382779053967,0.82146835443038,0,0.82146835443038,"RAB14__seq.14283.12__ANML","P61106","RAB14","RAB14","RAB14__seq.14283.12","RAB14"
"seq.14318.1",-0.198798105097217,-0.193687015494109,0.040625246737826,-0.00807622207058671,0.182,-0.193687015494109,0,-0.201763237564696,0,0.0400282140991967,0.182,-0.0189914041409038,0.100100735404109,0.353540229885057,0,0.353540229885057,"VPS29__seq.14318.1__ANML","Q9UBQ0","VPS29","VPS29","VPS29__seq.14318.1","VPS29"
"seq.14341.8",-0.123421135817612,-0.18552275826729,0.128963324307655,-0.0159167999648658,0.002,-0.18552275826729,0,-0.201439558232156,0,0.0790152644522879,0.002,0.0270768123275169,0.134180560778186,0.0160952380952381,0,0.0160952380952381,"FA69C__seq.14341.8__ANML","Q0P6D2","DIPK1C","DIPK1C","DIPK1C__seq.14341.8","DIPK1C"
"seq.14663.44",-0.0404104719626707,-0.200508704018243,0.072882262539893,-0.00294520662694434,0.078,-0.200508704018243,0,-0.203453910645188,0,0.0144760384187484,0.078,-0.00118077771243323,0.0333801451894896,0.178135135135135,0,0.178135135135135,"RNF8__seq.14663.44__ANML","O76064","RNF8","RNF8","RNF8__seq.14663.44","RNF8"
"seq.14685.17",-0.0730396211737011,-0.202929382140024,-0.00712811032803276,0.000520634478043854,0.84,-0.202929382140024,0,-0.20240874766198,0,-0.00257219356405143,0.84,-0.0283669152260494,0.022896894074848,0.881739130434783,0,0.881739130434783,"PKB_beta__seq.14685.17__ANML","P31751","AKT2","AKT2","AKT2__seq.14685.17","AKT2_1"
"seq.15326.64",-0.0765148529967951,-0.199112662345831,0.0320030226915926,-0.00244870657670029,0.068,-0.199112662345831,0,-0.201561368922532,0,0.0121486899488236,0.068,-0.00101969428960524,0.0286968351047761,0.169,0,0.169,"GBP1__seq.15326.64__ANML","P32455","GBP1","GBP1","GBP1__seq.15326.64","GBP1"
"seq.15460.9",-0.0407748310871008,-0.201069499071558,0.0208350405559846,-0.000849545259363156,0.564,-0.201069499071558,0,-0.201919044330921,0,0.00420735578547436,0.564,-0.010658457649413,0.0198641261408824,0.744124031007752,0,0.744124031007752,"CD26__seq.15460.9__ANML","P27487","DPP4","DPP4","DPP4__seq.15460.9","DPP4"
"seq.15468.14",-0.0606111287061351,-0.196457816963503,0.0884004739666243,-0.00535805250527443,0,-0.196457816963503,0,-0.201815869468778,0,0.0265492129998397,0,0.0106342211347942,0.0494192620106125,0,0,0,"FHR1__seq.15468.14__ANML","Q03591","CFHR1","CFHR1","CFHR1__seq.15468.14","CFHR1_1"
"seq.15548.35",-0.241570712136779,-0.187661224047744,0.0573961450255765,-0.0138652276277344,0.068,-0.187661224047744,0,-0.201526451675479,0,0.0688010308942559,0.068,-0.00225397424525273,0.147000173957294,0.169,0,0.169,"SERA__seq.15548.35__ANML","O43175","PHGDH","PHGDH","PHGDH__seq.15548.35","PHGDH_1"
"seq.15606.19",-0.153723312117141,-0.199182379210326,0.0144400133694428,-0.00221976668216655,0.532,-0.199182379210326,0,-0.201402145892492,0,0.0110215642059318,0.532,-0.0248441230560867,0.0506408785342632,0.729650793650794,0,0.729650793650794,"Keratin_19__seq.15606.19__ANML","P08727","KRT19","KRT19","KRT19__seq.15606.19","KRT19"
