"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28",0.0230298533086271,0.0296014858933134,0.0263979288620156,0.872411370945284,0.3831502129578,0.0141757114858404,0.00635170919604555,1260,-0.0287588843235041,0.0748185909407583,1210.47693816272,"CRBB2__seq.10000.28__ANML",0.649127744511064,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7",-0.00850238199960864,-0.00860025111781643,0.0177534836924727,-0.478913442955063,0.632082715396628,0.721359692390052,0.719163945285167,1269,-0.0433317901751413,0.026327026175924,215.445416358932,"c.Raf__seq.10001.7__ANML",0.829679744444042,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15",-0.0124747436096985,-0.0240022582216284,0.0168751038891123,-0.739239514711796,0.459899042635945,0.0935496052617339,0.0863669555411455,1262,-0.0455810907293823,0.0206316035099853,79.3019466961679,"ZNF41__seq.10003.15__ANML",0.712670677447655,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25",0.0160438118060308,0.0306549508088815,0.0162721687336043,0.985966411035183,0.324339035575148,0.171789063456411,0.165210739893713,1259,-0.015879742698472,0.0479673663105335,-17.9705256344557,"ELK1__seq.10006.25__ANML",0.599547104469984,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43",0.0112571861755538,0.0251281154342432,0.014437175087652,0.77973607074849,0.435692099243576,0.106498116851616,0.0994348608583482,1265,-0.0170662567428473,0.0395806290939549,-318.191580727289,"GUC1A__seq.10008.43__ANML",0.691976793044692,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10",-0.000189743612387748,-0.000467610999507887,0.0131094056036326,-0.0144738532107947,0.988454228751755,0.103299415275574,0.0961883876409632,1261,-0.0259083919654549,0.0255289047406794,-564.683601222262,"BECN1__seq.10010.10__ANML",0.995973590104639,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65",-0.0048155607314306,-0.0103141410296172,0.0133703326150473,-0.36016760914467,0.718781872363225,0.292848325343754,0.287262609114242,1266,-0.0310460084368696,0.0214148869740084,-511.559294776364,"OCRL__seq.10011.65__ANML",0.879611278374952,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5",-0.0360083997745714,-0.0904423210056547,0.0133377767835071,-2.69973027432112,0.00703193555174434,0.0310958338237691,0.0234486028357955,1267,-0.0621749583981442,-0.00984184115099858,-516.879505459166,"SPDEF__seq.10012.5__ANML",0.0709524245075588,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31",-0.0119564625065789,-0.0239930857425906,0.0165496244404963,-0.722461258838109,0.470144683014408,0.0508481272043553,0.0433330688290929,1263,-0.0444242445472339,0.0205113195340761,30.5027056877274,"SLUG__seq.10014.31__ANML",0.719670685510504,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119",-0.0377945488513034,-0.0610214751600637,0.0151142622326354,-2.50058840250208,0.0125244295692168,0.485978361505274,0.481914949343261,1265,-0.0674463291338557,-0.00814276856875118,-196.76373684266,"KCAB2__seq.10015.119__ANML",0.0976983578410808,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207",-0.0166365738875505,-0.0211684740285057,0.0256474721748506,-0.648663298048683,0.516673952412464,0.0850586178129013,0.0778144263466535,1263,-0.0669529142649905,0.0336797664898896,1144.84105078161,"POLH__seq.10022.207__ANML",0.75475631508418,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32",-0.0163492233368948,-0.0427571219307561,0.0128424597593371,-1.27306011802047,0.203231168121134,0.029756970632127,0.0220688325230314,1262,-0.0415441455997141,0.00884569892592457,-615.522874459272,"VDR__seq.10023.32__ANML",0.471809770478796,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
"seq.10024.44",-0.0265665196536731,-0.0435014705825604,0.0207081908941292,-1.28289910931837,0.199763731071193,0.0165252413752778,0.00870747699829277,1258,-0.0671929153843637,0.0140598760770175,591.990475447787,"HOGA1__seq.10024.44__ANML",0.468450081937355,"Q86XE5","HOGA1","HOGA1","HOGA1__seq.10024.44","HOGA1"
"seq.10025.1",0.0335421206936304,0.0536636084951333,0.0170190373139209,1.97085887262226,0.0489574094628243,0.359012167040654,0.35395306812227,1267,0.000153524916397099,0.0669307164708637,107.933031526417,"DLDH__seq.10025.1__ANML",0.216029740322109,"P09622","DLD","DLD","DLD__seq.10025.1","DLD_1"
"seq.10030.8",-0.0177734583212622,-0.0248805920567876,0.0236556024746368,-0.751342450073662,0.452587116682737,0.0613546401576687,0.0538932303020063,1258,-0.0641822379339205,0.0286353212913961,930.646053339119,"MutY_homolog__seq.10030.8__ANML",0.707835368191012,"Q9UIF7","MUTYH","MUTYH","MUTYH__seq.10030.8","MUTYH"
"seq.10035.6",0.00558377929665209,0.0150185201046098,0.0118056822555598,0.472973876119906,0.636313672999607,0.136995114267082,0.130151300740254,1261,-0.0175771632875526,0.0287447218808568,-835.335395264771,"DUS4__seq.10035.6__ANML",0.831833527033861,"Q13115","DUSP4","DUSP4","DUSP4__seq.10035.6","DUSP4"
"seq.10036.201",-0.011154962220916,-0.0263393560824784,0.0138425523442361,-0.805845767710661,0.420482760711262,0.0764914462714594,0.0692139950994457,1269,-0.0383117678450987,0.0160018434032667,-420.844119193138,"ZHX3__seq.10036.201__ANML",0.680478247686866,"Q9H4I2","ZHX3","ZHX3","ZHX3__seq.10036.201","ZHX3"
"seq.10037.98",-0.0202376678185929,-0.0264406091911166,0.0258827978700381,-0.781896451852296,0.434421404853728,0.0109817933234668,0.00318196519510305,1268,-0.0710154884469115,0.0305401528097256,1180.82735050601,"SIG12_Ig.like_V.type_2__seq.10037.98__ANML",0.691146524210397,"Q96PQ1","SIGLEC12","SIGLEC12","SIGLEC12__seq.10037.98","SIGLEC12_1"
"seq.10039.32",-0.00161312705812077,-0.000949467049748932,0.0203463773931229,-0.079283256520446,0.936819804164398,0.875906218737194,0.874929871126944,1271,-0.0415293052477116,0.0383030511314701,567.24031366996,"PNP__seq.10039.32__ANML",0.978315979549547,"P00491","PNP","PNP","PNP__seq.10039.32","PNP_1"
"seq.10040.63",0.0199945417152267,0.0297035287123037,0.0229041835463063,0.872964612547877,0.382848696145408,0.00817284805179126,0.000301203988710363,1260,-0.0249399968449042,0.0649290802753577,851.067782519783,"P73L__seq.10040.63__ANML",0.649002738529086,"Q9H3D4","TP63","TP63","TP63__seq.10040.63","TP63"
"seq.10041.3",-0.0239690669814223,-0.0247632460417237,0.0311709535610241,-0.768955204867171,0.442062765983393,0.102640949951552,0.0955806899196998,1271,-0.0851212471774825,0.0371831132146378,1661.00118871104,"HNF4A__seq.10041.3__ANML",0.69842273914314,"P41235","HNF4A","HNF4A","HNF4A__seq.10041.3","HNF4A"
"seq.10042.8",-0.00253973145518146,-0.00692979092354669,0.0104034179172158,-0.244124717029647,0.80717378617195,0.304819430343051,0.299328272604844,1266,-0.022949568479598,0.017870105569235,-1151.70584320692,"SGK3__seq.10042.8__ANML",0.924569344695386,"Q96BR1","SGK3","SGK3","SGK3__seq.10042.8","SGK3"
"seq.10043.31",0.0027694474868421,0.00822087475090343,0.00999087344562173,0.277197734704141,0.781673568603983,0.241209058120478,0.235210710753841,1265,-0.0168310582924403,0.0223699532661245,-1254.16104471267,"BRD4__seq.10043.31__ANML",0.913017788565018,"O60885","BRD4","BRD4","BRD4__seq.10043.31","BRD4"
"seq.10044.12",-0.0116750703624207,-0.0137327624663609,0.0281999300405094,-0.414010614411077,0.678936296184959,0.0500886887224758,0.0426031779953084,1269,-0.0669986840776718,0.0436485433528304,1399.31094110215,"WN10A__seq.10044.12__ANML",0.859136862551229,"Q9GZT5","WNT10A","WNT10A","WNT10A__seq.10044.12","WNT10A"
"seq.10045.47",0.0149557168567921,0.0176328787679967,0.0146076466321855,1.02382794664814,0.306112137015374,0.744940668624435,0.742925981962701,1266,-0.0137021424588282,0.0436135761724124,-289.199858697505,"CUL3__seq.10045.47__ANML",0.58194856945642,"Q13618","CUL3","CUL3","CUL3__seq.10045.47","CUL3"
"seq.10046.55",-0.0115250103309643,-0.0221929115086383,0.0138371885665329,-0.832901154417966,0.405057823977768,0.390825984799331,0.38600657012211,1264,-0.038671395623078,0.0156213749611493,-429.673000517482,"cIAP.1__seq.10046.55__ANML",0.67004315559077,"Q13490","BIRC2","BIRC2","BIRC2__seq.10046.55","BIRC2_1"
"seq.10047.12",-0.012216051901184,-0.0254933116172605,0.0159967755917899,-0.763657140221039,0.445213876581416,0.0384405025667247,0.0308452458729389,1266,-0.0435991593897635,0.0191670555873955,-52.8617383393054,"NCF.2__seq.10047.12__ANML",0.700968897967498,"P19878","NCF2","NCF2","NCF2__seq.10047.12","NCF2"
"seq.10048.7",0.0205707960666984,0.0798531731281028,0.00795308623880459,2.58651741588436,0.00980588588274706,0.177958974719512,0.171465759669903,1266,0.00496811671008814,0.0361734754233086,-1838.19704529949,"PEBB__seq.10048.7__ANML",0.0848407109926512,"Q13951","CBFB","CBFB","CBFB__seq.10048.7","CBFB"
