"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28",0.0221467688579428,0.0284664108427162,0.0278516370689824,0.795169375613007,0.426664861795301,0.0141835085218686,0.00557033822301267,1259,-0.0324939657956455,0.0767875035115311,1212.46688558834,"CRBB2__seq.10000.28__ANML",0.719503129208049,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7",-0.00217553485823827,-0.00220057697916577,0.0187281396105407,-0.116163959874253,0.907540993350878,0.721606643201582,0.719191558876044,1268,-0.0389170849264011,0.0345660152099246,216.310486534529,"c.Raf__seq.10001.7__ANML",0.969176947569735,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15",-0.0232713225268655,-0.0447756130245729,0.0177762446283909,-1.30912479060387,0.190730581940168,0.0961748453640015,0.0882905656645598,1261,-0.058145595126151,0.01160295007242,77.6097651450341,"ZNF41__seq.10003.15__ANML",0.492170722209043,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25",0.0255294814512672,0.0487792432076942,0.0171109561222151,1.49199619640905,0.135950861461173,0.173865617416207,0.166641866853074,1258,-0.00803967378327694,0.0590986366858113,-19.1587655786585,"ELK1__seq.10006.25__ANML",0.418774640906826,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43",0.0147327735359129,0.0328862673410276,0.0152350833097714,0.967029404195226,0.333714320222003,0.106859862711764,0.0990872824030851,1264,-0.0151560611428886,0.0446216082147143,-316.708290531017,"GUC1A__seq.10008.43__ANML",0.638924789176686,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10",-0.00705914740881031,-0.0173968173893608,0.0138058767785327,-0.51131467577538,0.60922031620512,0.105068222535249,0.0972553260653191,1260,-0.0341441863147895,0.0200258914971689,-565.19519189541,"BECN1__seq.10010.10__ANML",0.826782787547373,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65",-0.00705716230548614,-0.0151152838365427,0.0140993568029411,-0.500530797547733,0.616788444431491,0.29298930415652,0.286841385062229,1265,-0.0347178594411622,0.02060353483019,-509.813904781912,"OCRL__seq.10011.65__ANML",0.831016056534754,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5",-0.0325876574832864,-0.0818504403799432,0.0140666175082287,-2.31666621092265,0.0206809021701093,0.0315452978093174,0.023130604504343,1266,-0.0601841044502642,-0.00499121051630859,-515.472493153101,"SPDEF__seq.10012.5__ANML",0.165925520164368,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31",-0.0210335215245778,-0.0422080598780897,0.017430478396952,-1.20670936537553,0.227770235982976,0.0528886222208942,0.0446332932545154,1262,-0.0552294276395,0.0131623845903444,29.7609010847562,"SLUG__seq.10014.31__ANML",0.532682558310105,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119",-0.0441044084321284,-0.071209106746557,0.0159347768536006,-2.76780835008446,0.00572583703900042,0.486610620706033,0.482142833386228,1264,-0.0753659316766645,-0.0128428851875924,-196.334214145398,"KCAB2__seq.10015.119__ANML",0.0840990817836677,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
