"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28",0.00237580975392892,0.00300550877511857,0.0238085016696889,0.0997882935637906,0.920528288657408,0.0141835085218686,0.00557033822301267,1259,-0.0443328996483553,0.0490845191562132,1212.46688558834,"CRBB2__seq.10000.28__ANML",0.992753306124236,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7",-0.0169881467326407,-0.0169100042821228,0.0160180845494453,-1.06056043593733,0.289091676844975,0.721606643201582,0.719191558876044,1268,-0.0484130115461361,0.0144367180808546,216.310486534529,"c.Raf__seq.10001.7__ANML",0.874499285670178,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15",0.029134468019011,0.0551546723289156,0.015223245333361,1.91381452384297,0.0558700407930749,0.0961748453640014,0.0882905656645597,1261,-0.000731210514323202,0.0590001465523451,77.6097651450352,"ZNF41__seq.10003.15__ANML",0.58563057147849,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25",-0.0260349069171162,-0.0489226498214769,0.0146409563868561,-1.77822447039655,0.075608474789264,0.173865617416207,0.166641866853074,1258,-0.0547582894225783,0.00268847558834593,-19.1587655786585,"ELK1__seq.10006.25__ANML",0.633840896248318,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43",-0.00931990626660284,-0.0204631094873837,0.0130255486737742,-0.71550968792337,0.474426301919652,0.106859862711764,0.0990872824030851,1264,-0.0348739818824165,0.0162341693492108,-316.708290531017,"GUC1A__seq.10008.43__ANML",0.931338078546123,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10",0.0186476568428366,0.0451902450629699,0.0118166318379575,1.57808562529099,0.114796946269451,0.105068222535249,0.0972553260653192,1260,-0.00453478482333674,0.0418300985090099,-565.19519189541,"BECN1__seq.10010.10__ANML",0.709608820661005,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65",0.00605909479985744,0.0127631877580818,0.0120642006650637,0.502237567831886,0.615587829491057,0.29298930415652,0.286841385062229,1265,-0.0176089494552352,0.0297271390549501,-509.813904781911,"OCRL__seq.10011.65__ANML",0.968168682608452,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5",-0.00922330630571846,-0.022802710568072,0.0120326694339986,-0.766522038713855,0.44350864756253,0.0315452978093174,0.023130604504343,1266,-0.0328294734395207,0.0143828608280838,-515.472493153101,"SPDEF__seq.10012.5__ANML",0.928419054950024,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31",0.0245965638384553,0.0485499772951679,0.0149168636595966,1.64890987809165,0.0994149842890479,0.0528886222208942,0.0446332932545154,1262,-0.00466801844184867,0.0538611461187593,29.7609010847573,"SLUG__seq.10014.31__ANML",0.679466164106057,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119",0.0170269220143201,0.0270380169948902,0.0136470402024493,1.24766409138768,0.212385189766315,0.486610620706033,0.482142833386228,1264,-0.00974642212646007,0.0438002661551002,-196.334214145398,"KCAB2__seq.10015.119__ANML",0.826544305968227,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207",-0.0226080523522571,-0.0282841193410112,0.0231559444133017,-0.976339031945082,0.32908359437163,0.0857491871708564,0.0777802815122823,1262,-0.0680364383739563,0.022820333669442,1145.87911205672,"POLH__seq.10022.207__ANML",0.887276251150687,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32",0.00559869511777575,0.0144188846482608,0.0115803615373218,0.483464622389549,0.628849808665313,0.0299367808435394,0.0214746909064094,1261,-0.0171202026861975,0.028317592921749,-613.758814945429,"VDR__seq.10023.32__ANML",0.971616300345028,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
"seq.10024.44",0.00460637336009208,0.00742058059351627,0.0186920079369846,0.2464354485415,0.805385404723666,0.0165727544697787,0.00796678812066764,1257,-0.0320645988713549,0.0412773455915391,593.929166733063,"HOGA1__seq.10024.44__ANML",0.990770815123997,"Q86XE5","HOGA1","HOGA1","HOGA1__seq.10024.44","HOGA1"
