"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28",0.0267100447642696,0.0356292743817919,0.0243908373017393,1.09508519260078,0.273713703187908,0.0110487299634995,0.00313711980320752,1125,-0.0211466049441533,0.0745666944726926,997.919113534593,"CRBB2__seq.10000.28__ANML",0.547850235460008,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7",-0.0229661540315949,-0.02326949952941,0.0172295270034925,-1.33295325094761,0.182814879319278,0.711829248893843,0.70954217944062,1134,-0.0567714875837401,0.0108391795205502,225.171398856551,"c.Raf__seq.10001.7__ANML",0.440325131972265,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15",0.00376854534961555,0.0074552731630258,0.0157567638514154,0.239170008838904,0.811017204791169,0.0835453039497639,0.0762331654174481,1128,-0.0271473169858625,0.0346844076850935,18.4749151933658,"ZNF41__seq.10003.15__ANML",0.919287433779939,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25",-0.00553226090517892,-0.0105535815560069,0.0157201123197663,-0.351922479473809,0.724962307748759,0.156742472439611,0.149996412219128,1125,-0.0363762987443585,0.0253117769340006,6.19774577813786,"ELK1__seq.10006.25__ANML",0.878588662096622,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43",0.0134808081493226,0.0325970503932845,0.0126316384926253,1.06722561425369,0.286098322160015,0.121920360363485,0.114914405791917,1128,-0.0113033417174947,0.0382649580161399,-487.498578162316,"GUC1A__seq.10008.43__ANML",0.561786058473236,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10",0.00612809366221858,0.0147677543711936,0.0128779589013894,0.475859079000277,0.634267084616253,0.0968129692494418,0.0895938899628032,1126,-0.0191394021192463,0.0313955894436835,-447.363157663235,"BECN1__seq.10010.10__ANML",0.830340373867501,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65",-0.0128725099200244,-0.0278793128390803,0.0127924879057807,-1.00625539104145,0.314507963438074,0.27451464708996,0.268741554095981,1131,-0.0379721859665753,0.0122271661265266,-455.125240485493,"OCRL__seq.10011.65__ANML",0.590370516950825,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5",-0.0348877312903443,-0.0878093362891784,0.012689695785933,-2.74929611228494,0.00606729837012068,0.0343373713675532,0.0266666179185753,1133,-0.0597856755675344,-0.00998978701315413,-472.764922799737,"SPDEF__seq.10012.5__ANML",0.0564863417746252,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31",-0.0163906001267136,-0.0364529926336846,0.0142190182269776,-1.15272375807325,0.24926779021227,0.0565505284046684,0.0490296734495241,1129,-0.0442892724662563,0.0115080722128291,-215.507572301796,"SLUG__seq.10014.31__ANML",0.520319728279766,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119",-0.030464691954362,-0.0496023856270335,0.0144484978449008,-2.10850237037711,0.035207212327626,0.477501964581365,0.473340475803695,1130,-0.0588135918512986,-0.00211579205742544,-178.018336849545,"KCAB2__seq.10015.119__ANML",0.16807637077769,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207",-0.0195802124516947,-0.0244457868930218,0.0251888385381273,-0.777336851878142,0.437122760292154,0.0683704334849006,0.0609503749905325,1130,-0.0690023648375553,0.029841939934166,1086.22246035946,"POLH__seq.10022.207__ANML",0.694637778383105,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32",-0.00665942033340577,-0.0175887754442622,0.0121646889117553,-0.547438605435316,0.584185733384482,0.0261315516761749,0.0183613246948676,1128,-0.0305273827713882,0.0172085421045767,-570.353095679873,"VDR__seq.10023.32__ANML",0.798310461021562,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
"seq.10024.44",-0.0380112256445164,-0.0632193889584585,0.0195342617534718,-1.94587469566188,0.0519185513789083,0.0110379602436888,0.00312626392563831,1125,-0.0763389103600337,0.000316459071000801,498.63032005072,"HOGA1__seq.10024.44__ANML",0.214460850241775,"Q86XE5","HOGA1","HOGA1","HOGA1__seq.10024.44","HOGA1"
"seq.10025.1",0.0243369520686105,0.039152344771502,0.0162131303018134,1.50106436052565,0.133617533273018,0.356385624776317,0.351273065749827,1133,-0.00747418206912497,0.056148086206346,86.6438696678296,"DLDH__seq.10025.1__ANML",0.369413180225403,"P09622","DLD","DLD","DLD__seq.10025.1","DLD_1"
"seq.10030.8",-0.00831451608364314,-0.0115551450736177,0.0229514981995811,-0.362264633504182,0.717222322812622,0.0476065730339969,0.039987425618269,1125,-0.0533470746642592,0.0367180424969729,863.561785656629,"MutY_homolog__seq.10030.8__ANML",0.875599416727729,"Q9UIF7","MUTYH","MUTYH","MUTYH__seq.10030.8","MUTYH"
"seq.10035.6",0.00869330476278342,0.0231887485674447,0.0113482098966874,0.766050755310849,0.443806372661828,0.137884944406803,0.131006366835581,1128,-0.0135726692803943,0.0309592788059611,-731.560524970514,"DUS4__seq.10035.6__ANML",0.700311044145128,"Q13115","DUSP4","DUSP4","DUSP4__seq.10035.6","DUSP4"
"seq.10036.201",-0.0252659524962829,-0.0603425920043477,0.0131544758478478,-1.92071145886186,0.0550186195039253,0.0666234558558855,0.0592157055055353,1134,-0.0510757987938623,0.000543893801296418,-391.966382757824,"ZHX3__seq.10036.201__ANML",0.21986321617449,"Q9H4I2","ZHX3","ZHX3","ZHX3__seq.10036.201","ZHX3"
"seq.10037.98",-0.0264266656638848,-0.0343554906960895,0.0249004206835014,-1.06129394357561,0.288782508576495,0.0078593276554055,-2.17544726628383e-05,1133,-0.0752827846059691,0.0224294532781995,1068.14774445374,"SIG12_Ig.like_V.type_2__seq.10037.98__ANML",0.563858365850917,"Q96PQ1","SIGLEC12","SIGLEC12","SIGLEC12__seq.10037.98","SIGLEC12_1"
"seq.10039.32",0.000378425266193295,0.000223013687969642,0.0191234366582092,0.0197885596065624,0.984215519195452,0.879662513829108,0.878709135857684,1136,-0.0371427985438933,0.0378996490762799,467.079136227943,"PNP__seq.10039.32__ANML",0.995335792998393,"P00491","PNP","PNP","PNP__seq.10039.32","PNP_1"
"seq.10040.63",0.0225852715561675,0.0332618436553416,0.0220969627530036,1.02209845799272,0.30695364761275,0.0052255165561107,-0.00271855651486974,1127,-0.0207705416073715,0.0659410847197065,782.475781572978,"P73L__seq.10040.63__ANML",0.582939865187405,"Q9H3D4","TP63","TP63","TP63__seq.10040.63","TP63"
"seq.10041.3",-0.0108111154357451,-0.0112022203906828,0.0298885640441119,-0.361714113123307,0.717632946639346,0.0912517668514386,0.084052176976142,1136,-0.0694541052343289,0.0478318743628387,1490.59763762515,"HNF4A__seq.10041.3__ANML",0.875599416727729,"P41235","HNF4A","HNF4A","HNF4A__seq.10041.3","HNF4A"
"seq.10042.8",-0.00307882596599311,-0.00813455636163096,0.0104648610793206,-0.294206100076867,0.768654357151506,0.2782344900373,0.272496071671872,1132,-0.0236115304971827,0.0174538785651965,-915.540485601348,"SGK3__seq.10042.8__ANML",0.90165804159074,"Q96BR1","SGK3","SGK3","SGK3__seq.10042.8","SGK3"
"seq.10043.31",0.0049424718599787,0.0146663305769925,0.00960135823138106,0.514767988119091,0.606815826886142,0.233913116727258,0.227811539780838,1130,-0.0138960223764384,0.0237809660963958,-1110.71780608177,"BRD4__seq.10043.31__ANML",0.812705210068804,"O60885","BRD4","BRD4","BRD4__seq.10043.31","BRD4"
"seq.10044.12",0.00853797310624922,0.0101957886582919,0.0266475256868179,0.320403973209146,0.748721142539621,0.0420504527136261,0.0344476785288137,1134,-0.0437460213411685,0.060821967553667,1223.86998713561,"WN10A__seq.10044.12__ANML",0.893222200794752,"Q9GZT5","WNT10A","WNT10A","WNT10A__seq.10044.12","WNT10A"
"seq.10045.47",0.0125277326821885,0.014719513567549,0.0137477353219511,0.9112579191269,0.362353497667807,0.753839142873721,0.751882033585614,1132,-0.0144461741092189,0.039501639473596,-293.182353835918,"CUL3__seq.10045.47__ANML",0.638390624065289,"Q13618","CUL3","CUL3","CUL3__seq.10045.47","CUL3"
"seq.10046.55",0.00213481636955821,0.0040670152375222,0.0135089307728673,0.158030002925619,0.874461391467651,0.377098763529854,0.372137603239384,1130,-0.0243705913417228,0.0286402240808392,-336.423340842658,"cIAP.1__seq.10046.55__ANML",0.948112514467864,"Q13490","BIRC2","BIRC2","BIRC2__seq.10046.55","BIRC2_1"
