"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28",0.0252244620536539,0.0336476141307324,0.0259482253305793,0.972107407435202,0.331206262984503,0.0110736614179459,0.00227538438429775,1124,-0.025687948402255,0.0761368725095628,999.890499832032,"CRBB2__seq.10000.28__ANML",0.633124541023906,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7",-0.0174680681157337,-0.0176987928514097,0.0183322308423685,-0.952861016530645,0.340863727522777,0.712025479439811,0.709483780229218,1133,-0.0534370046205671,0.0185008683890997,226.392124030192,"c.Raf__seq.10001.7__ANML",0.640989224316839,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15",-0.00717996133330906,-0.014204041101759,0.0167246387759233,-0.429304419037456,0.667783756739156,0.0865775698315132,0.0784726680553953,1127,-0.0399948926024513,0.0256349699358332,16.7033813756255,"ZNF41__seq.10003.15__ANML",0.860803989515594,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25",0.00220747906503246,0.00421108308977059,0.0166820189183622,0.132326852992754,0.894749452203968,0.158172780257727,0.150683214245785,1124,-0.0305239229320047,0.0349388810620696,6.27095869395017,"ELK1__seq.10006.25__ANML",0.963383056356179,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43",0.0143681154602419,0.0347425895039957,0.0134372048388225,1.06927859123869,0.285173117005901,0.121949760340657,0.11415872005974,1127,-0.0119966365169502,0.040732867437434,-485.536681464832,"GUC1A__seq.10008.43__ANML",0.592213841900794,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10",-0.000346914609798187,-0.000836010352919987,0.0136785701020548,-0.025361906047919,0.979770793702478,0.0983829141329813,0.0903685400363855,1125,-0.0271852937022397,0.0264914644826433,-447.339502709339,"BECN1__seq.10010.10__ANML",0.991475237133289,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65",-0.0139036857179168,-0.0301126358537948,0.0136036473404333,-1.02205573034753,0.306973277726449,0.274546735585171,0.268126795192119,1130,-0.0405949335436051,0.0127875621077715,-453.175708468914,"OCRL__seq.10011.65__ANML",0.613020923310631,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5",-0.0318384137123852,-0.0801344734433498,0.0134930340960932,-2.35961856211448,0.0184627463620776,0.0347157590248531,0.0261885130798429,1132,-0.0583125809492365,-0.00536424647553387,-471.212886547096,"SPDEF__seq.10012.5__ANML",0.142631078735669,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31",-0.0245688939209139,-0.0546416666987792,0.015107313374671,-1.62629140679019,0.10416698922689,0.0586707132353028,0.0503255954448355,1128,-0.0542104894258374,0.00507270158400951,-216.070092204971,"SLUG__seq.10014.31__ANML",0.35660550588247,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119",-0.036966761745739,-0.0601890074661421,0.0153576125613552,-2.40706435313777,0.0162410705171578,0.478220312878998,0.473598703604233,1129,-0.0670994329279158,-0.00683409056356228,-177.586726504507,"KCAB2__seq.10015.119__ANML",0.132312221106307,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207",-0.0149426951850919,-0.0186558722487469,0.0268131602006276,-0.5572895948588,0.577440048818689,0.0685815318444827,0.0603315896996154,1129,-0.0675519231137618,0.0376665327435781,1087.96411798023,"POLH__seq.10022.207__ANML",0.813665523335426,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32",-0.00612247721025433,-0.0161706081644351,0.0129374869076357,-0.473235432349759,0.636136866530453,0.0261444803828797,0.0175033488867206,1127,-0.031506747050549,0.0192617926300404,-568.368203434844,"VDR__seq.10023.32__ANML",0.842850004341135,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
"seq.10024.44",-0.0408291318147967,-0.0679060651496822,0.0207994803427694,-1.96298807191067,0.0498938702762028,0.0111756226784832,0.00237825277348747,1124,-0.0816393092735509,-1.89543560424679e-05,500.472318294418,"HOGA1__seq.10024.44__ANML",0.244381721040886,"Q86XE5","HOGA1","HOGA1","HOGA1__seq.10024.44","HOGA1"
