"apt_name","coef_x2m","coef_x2y","coef_m2y","acme","acme_p","ade","ade_p","total","total_p","prop_m","prop_m_p","prop_m_ci_lower","prop_m_ci_upper","p_adjusted","ade_p_adjusted","prop_m_p_adjusted","Protein_id","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10082.251",1.65331418064406,-0.489924955495318,-0.0642461031747575,-0.0218088259245901,0.014,-0.489924955495325,0,-0.511733781419915,0,0.0426175224627087,0.014,0.0173479214345384,0.0674386254777594,0.0616756756756757,0,0.0585128205128205,"NFL__seq.10082.251__ANML","P07196","NEFL","NEFL","NEFL__seq.10082.251","NEFL"
"seq.10939.16",1.62047672924419,-0.0435597448081739,-0.0157935157790613,-0.00480490559415869,0.336,-0.0435597448081756,0.01,-0.0483646504023343,0,0.0993474687439648,0.336,-0.098046359033815,0.47580512587063,0.507111111111111,0.0108666666666667,0.507111111111111,"PKHA4__seq.10939.16__ANML","Q9H4M7","PLEKHA4","PLEKHA4","PLEKHA4__seq.10939.16","PLEKHA4"
"seq.10970.3",1.64451641145427,0.0531011620874139,0.044822497996571,0.0150581690477133,0.036,0.0531011620874148,0.01,0.0681593311351282,0,0.220926009644373,0.036,0.0220807457367969,0.619795195224774,0.112846153846154,0.0108666666666667,0.112846153846154,"NAR3__seq.10970.3__ANML","Q13508","ART3","ART3","ART3__seq.10970.3","ART3_1"
"seq.10990.21",1.64215927356536,-0.0316445260968643,-0.0267647143713514,-0.00850007989221397,0.05,-0.0316445260968629,0.008,-0.0401446059890768,0,0.211736538017755,0.05,0.00176835688479812,0.613738404234166,0.138135593220339,0.00893150684931507,0.138135593220339,"LRRK2__seq.10990.21__ANML","Q5S007","LRRK2","LRRK2","LRRK2__seq.10990.21","LRRK2"
"seq.11160.56",1.64157854255803,-0.041448972702991,-0.00723799602340015,-0.00241266534113353,0.598,-0.0414489727029921,0,-0.0438616380441257,0,0.0550062753859384,0.598,-0.118262745775787,0.222237078210971,0.732887218045113,0,0.732887218045113,"RN122__seq.11160.56__ANML","Q9H9V4","RNF122","RNF122","RNF122__seq.11160.56","RNF122"
"seq.11180.17",1.62992294260243,-0.0762256631271583,-0.0531787480066745,-0.0188517254838474,0.052,-0.0762256631271599,0.002,-0.0950773886110072,0.002,0.198277695246511,0.054,-0.0100588967577006,0.460832530227106,0.141266666666667,0.00262903225806452,0.1467,"SMRC1__seq.11180.17__ANML","Q92922","SMARCC1","SMARCC1","SMARCC1__seq.11180.17","SMARCC1"
"seq.11192.168",1.64451641145427,0.0472267766221538,0.0893171734320805,0.0312532168815564,0.008,0.0472267766221535,0.016,0.0784799935037098,0.002,0.3982316446048,0.006,0.157363534193873,0.811489614768019,0.0562068965517241,0.0168258064516129,0.0575294117647059,"TINAL__seq.11192.168__ANML","Q9GZM7","TINAGL1","TINAGL1","TINAGL1__seq.11192.168","TINAGL1"
"seq.11219.95",1.64867429813064,0.0347232618569789,0.0381431620583095,0.0115797701086907,0.034,0.0347232618569791,0.03,0.0463030319656698,0.004,0.250086649126481,0.03,0.0380327001607521,0.733882433978286,0.108666666666667,0.0303726708074534,0.101875,"FGFP3__seq.11219.95__ANML","Q8TAT2","FGFBP3","FGFBP3","FGFBP3__seq.11219.95","FGFBP3"
"seq.11286.78",1.64691218360311,-0.0553863664452178,-0.0359986785220341,-0.0122629387766017,0.1,-0.055386366445219,0.008,-0.0676493052218207,0,0.181272205773463,0.1,-0.0339608806820905,0.539887528172287,0.218763157894737,0.00893150684931507,0.218763157894737,"SELS__seq.11286.78__ANML","Q9BQE4","SELENOS","SELENOS","SELENOS__seq.11286.78","SELENOS"
"seq.11293.14",1.63946476405356,0.379403569942071,0.0307904124976471,0.00950721508699256,0.084,0.379403569942059,0,0.388910785029051,0,0.0244457481071973,0.084,-0.00369068418638564,0.0530703907091505,0.198434782608696,0,0.198434782608696,"LRRN1_CD__seq.11293.14__ANML","Q6UXK5","LRRN1","LRRN1","LRRN1__seq.11293.14","LRRN1_1"
