"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28",0.0121102504862752,0.0159285367931471,0.0228238062122497,0.530597323411182,0.595802570200726,0.0102422305628281,0.00232416840733074,1125,-0.0326717668508119,0.0568922678233623,998.844339883886,"CRBB2__seq.10000.28__ANML",0.88023154003494,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7",-0.0206719833657243,-0.0206524439466848,0.0161389533873292,-1.2808750895801,0.200499434976706,0.711794707355311,0.709507363762893,1134,-0.0523375480867174,0.0109935813552687,225.308516006217,"c.Raf__seq.10001.7__ANML",0.636587643763152,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15",0.0280812591525527,0.0547695420485304,0.0147654473194296,1.90182244703152,0.0574489301996713,0.0864281946404536,0.0791390578955635,1128,-0.000889571466847195,0.0570520897719525,14.8894673133908,"ZNF41__seq.10003.15__ANML",0.421500948345406,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25",-0.0209069996056034,-0.0392916520738856,0.0147176367795628,-1.42054053369732,0.15572746094248,0.158159665731037,0.151424943056885,1125,-0.0497841053474843,0.00797010613627746,4.28864031733194,"ELK1__seq.10006.25__ANML",0.587810649205165,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43",0.0021334345993794,0.00508036690097944,0.0118572290616713,0.179926911109086,0.857242264497812,0.121058966525715,0.114046139130973,1128,-0.0211312703113266,0.0253981395100854,-486.382750351155,"GUC1A__seq.10008.43__ANML",0.96570866322876,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10",0.0178242781814531,0.0423220302460485,0.0120532197004941,1.47879808253412,0.139473969715385,0.098382398627379,0.0911758636252888,1126,-0.0058250190610194,0.0414735754239257,-449.338853193923,"BECN1__seq.10010.10__ANML",0.56954476982992,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65",-0.00156924458927619,-0.0033488071222039,0.0120061617555802,-0.13070326897327,0.896033289803065,0.27387610994967,0.268097935758288,1131,-0.0251260986466779,0.0219876094681255,-454.121429125656,"OCRL__seq.10011.65__ANML",0.973677942809118,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5",-0.0185523228760621,-0.0460460652658437,0.011923182594254,-1.55598748315763,0.119990338426937,0.0299679592333733,0.0222624973031882,1133,-0.0419463222946755,0.00484167654255132,-467.604763368835,"SPDEF__seq.10012.5__ANML",0.538293436376862,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31",0.0147583318663146,0.0323500087733303,0.0133364118931094,1.10661938043019,0.268694255141265,0.0564635766709378,0.0489420285664546,1129,-0.0114086073450803,0.0409252710777095,-215.402602757448,"SLUG__seq.10014.31__ANML",0.696990618640267,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119",0.00618565116679468,0.00992355183525221,0.0135809284734611,0.455465999904369,0.648861525546079,0.475542571506162,0.471365476942936,1130,-0.0204610207526312,0.0328323230862206,-173.751277188198,"KCAB2__seq.10015.119__ANML",0.903117507337338,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207",-0.0175179870354611,-0.0215401106559012,0.0236320613439106,-0.741280533277519,0.458677382396264,0.0683253119949558,0.060904894125889,1130,-0.0638856405166998,0.0288496664457776,1086.27767248966,"POLH__seq.10022.207__ANML",0.814706389150885,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32",-0.00343108171296531,-0.00894085865610729,0.0114053248704322,-0.300831563497174,0.763598377577537,0.0259509607097137,0.0181792928430358,1128,-0.0258091192916659,0.0189469558657353,-570.142088261202,"VDR__seq.10023.32__ANML",0.939023432165935,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
"seq.10024.44",-0.00539006768603743,-0.00883939775877848,0.0183237076340607,-0.294158136207009,0.768691332193148,0.00778571262881415,-0.000152001670155277,1125,-0.0413425545463496,0.0305624191742748,502.356696454549,"HOGA1__seq.10024.44__ANML",0.941149587038172,"Q86XE5","HOGA1","HOGA1","HOGA1__seq.10024.44","HOGA1"
"seq.10025.1",0.0436673699675417,0.069274737726647,0.015144650435534,2.88335278212066,0.00400903771689107,0.359803303491322,0.354717892839444,1133,0.0139526574163201,0.0733820825187633,80.5582140982659,"DLDH__seq.10025.1__ANML",0.120685288295667,"P09622","DLD","DLD","DLD__seq.10025.1","DLD_1"
"seq.10030.8",0.0357833267792003,0.0490037539193315,0.0214558951391252,1.66776200886389,0.095641278307374,0.0498446199731556,0.0422433769329408,1125,-0.00631474657314609,0.0778814001315467,860.891489432641,"MutY_homolog__seq.10030.8__ANML",0.497320993910935,"Q9UIF7","MUTYH","MUTYH","MUTYH__seq.10030.8","MUTYH"
