apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10082.251,NFL__seq.10082.251__ANML,-0.137639267085932,-0.171259489864389,0.0378816305961578,-3.63340397231719,0.0002922575035347,0.434303796376469,0.428801888118415,1131,-0.211965439061363,-0.0633130951105017,0.011659072014887,P07196,NEFL,NEFL,NEFL__seq.10082.251,NEFL
seq.10939.16,PKHA4__seq.10939.16__ANML,0.0131449080278389,0.0264178038910714,0.0306926345709463,0.428275650220066,0.66853264315943,0.0376555830124738,0.0282208338263217,1122,-0.0470765133580405,0.0733663294137183,0.873849259902417,Q9H4M7,PLEKHA4,PLEKHA4,PLEKHA4__seq.10939.16,PLEKHA4
seq.10970.3,NAR3__seq.10970.3__ANML,-0.0237052723180551,-0.032894242964253,0.0399273626783715,-0.593709945457936,0.552824534517592,0.216445221959368,0.208844602419291,1134,-0.102045078914384,0.0546345342782734,0.842153262863248,Q13508,ART3,ART3,ART3__seq.10970.3,ART3_1
seq.10990.21,LRRK2__seq.10990.21__ANML,-0.0096248623915768,-0.0236280967779452,0.024254891008005,-0.396821506573675,0.691573954155901,0.0970747547925032,0.0882929884819085,1131,-0.0572145033847274,0.0379647786015738,0.873849259902417,Q5S007,LRRK2,LRRK2,LRRK2__seq.10990.21,LRRK2
seq.11160.56,RN122__seq.11160.56__ANML,-0.0176231751224956,-0.0374521121617442,0.021469232498556,-0.820857248794564,0.41190056349869,0.4700565871114,0.464902407145198,1131,-0.0597471766967579,0.0245008264517668,0.805965214687977,Q9H9V4,RNF122,RNF122,RNF122__seq.11160.56,RNF122
seq.11180.17,SMRC1__seq.11180.17__ANML,0.0606658548964551,0.07026839002113,0.053386972473339,1.13634192174413,0.256056138425935,0.0302886890961381,0.0207817154598258,1122,-0.0440836855316139,0.165415395324524,0.732230711639078,Q92922,SMARCC1,SMARCC1,SMARCC1__seq.11180.17,SMARCC1
seq.11192.168,TINAL__seq.11192.168__ANML,-0.0355055861084468,-0.0494219203013186,0.0432988862034766,-0.820011534282744,0.412381851908605,0.0727912335304197,0.0637971449667819,1134,-0.12046051785139,0.0494493456344967,0.805965214687977,Q9GZM7,TINAGL1,TINAGL1,TINAGL1__seq.11192.168,TINAGL1
seq.11219.95,FGFP3__seq.11219.95__ANML,-0.0326018394588269,-0.0631415046701241,0.0297385915194955,-1.09628054971784,0.273189390037619,0.154853433488385,0.146633617191632,1131,-0.0909508501217758,0.025747171204122,0.742164509602198,Q8TAT2,FGFBP3,FGFBP3,FGFBP3__seq.11219.95,FGFBP3
seq.11286.78,SELS__seq.11286.78__ANML,-0.0281202698508367,-0.0394017638367439,0.0407537108235521,-0.690005137755102,0.490333015390803,0.175743032592262,0.167697933531494,1127,-0.10808195019293,0.0518414104912568,0.811013307145764,Q9BQE4,SELENOS,SELENOS,SELENOS__seq.11286.78,SELENOS
seq.11293.14,LRRN1_CD__seq.11293.14__ANML,0.0233790544979552,0.0363763924441132,0.0317188205025525,0.737072001024559,0.461231842168352,0.38212559309599,0.376100222106678,1128,-0.0388554688691361,0.0856135778650465,0.811013307145764,Q6UXK5,LRRN1,LRRN1,LRRN1__seq.11293.14,LRRN1_1
seq.11416.23,FBXL4_LRR4_and_LRR5__seq.11416.23__ANML,-0.0141530348346132,-0.0525361468222953,0.016627283624559,-0.851193445314712,0.394842560446078,0.0326305757677435,0.0231970086874643,1128,-0.0467769172762884,0.0184708476070619,0.805965214687977,Q9UKA2,FBXL4,FBXL4,FBXL4__seq.11416.23,FBXL4_1
