apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10000.28,CRBB2__seq.10000.28__ANML,0.0119947061324945,0.0141940514741135,0.037618745164623,0.318849182236265,0.749968179945379,0.0071916806738011,-0.0098929749168983,523,-0.0619077029326986,0.0858971151976876,0.974607909351625,P43320,CRYBB2,CRYBB2,CRYBB2__seq.10000.28,CRYBB2
seq.10001.7,c.Raf__seq.10001.7__ANML,-0.0397919289275182,-0.0390210743385778,0.0251038071114889,-1.58509539014532,0.113543368890647,0.693279469558954,0.688051278699164,528,-0.0891075311835839,0.0095236733285475,0.752381314515041,P04049,RAF1,RAF1,RAF1__seq.10001.7,RAF1
seq.10003.15,ZNF41__seq.10003.15__ANML,0.0481316294654843,0.0905569093100019,0.0223327010298596,2.15520860647938,0.0315977133450608,0.11004870701218,0.0948502978340199,527,0.0042595825796046,0.092003676351364,0.563101349790543,P51814,ZNF41,ZNF41,ZNF41__seq.10003.15,ZNF41
seq.10006.25,ELK1__seq.10006.25__ANML,-0.0182750199244246,-0.0369164685560357,0.0205928731448153,-0.887443913042591,0.37524631516555,0.131929104976382,0.11704788963312,525,-0.0587295720699834,0.0221795322211343,0.877363817606925,P19419,ELK1,ELK1,ELK1__seq.10006.25,ELK1
seq.10008.43,GUC1A__seq.10008.43__ANML,-0.0143393656399474,-0.0337413683653156,0.0175872823028235,-0.815325835626423,0.415254843822652,0.13624301282016,0.121463900872215,526,-0.0488893042832605,0.0202105730033657,0.897665144583982,P43080,GUCA1A,GUCA1A,GUCA1A__seq.10008.43,GUCA1A
seq.10010.10,BECN1__seq.10010.10__ANML,0.0402631338542838,0.0925064309028862,0.0184563239898226,2.18153592646543,0.0295874730229324,0.0971175544977792,0.0816100315788481,524,0.0040056573784412,0.0765206103301264,0.555667351826288,Q14457,BECN1,BECN1,BECN1__seq.10010.10,BECN1_1
seq.10011.65,OCRL__seq.10011.65__ANML,0.0010290064903436,0.0020408435174747,0.0193076056406532,0.05329539609909,0.957516706379048,0.257726750996151,0.245074366069949,528,-0.0369001488789096,0.0389581618595969,0.993973026964755,Q01968,OCRL,OCRL,OCRL__seq.10011.65,OCRL
seq.10012.5,SPDEF__seq.10012.5__ANML,-0.0121139543569808,-0.0310305558923493,0.0170618418689281,-0.710002733001644,0.478015886495268,0.0310259972747337,0.0145093949555529,528,-0.0456313807627497,0.0214034720487881,0.924143614120291,O95238,SPDEF,SPDEF,SPDEF__seq.10012.5,SPDEF
seq.10014.31,SLUG__seq.10014.31__ANML,0.032666373056294,0.0753858252839498,0.0183464426370318,1.78052899423444,0.0755665166754158,0.0946453837393281,0.0791545252861988,526,-0.0033749240877648,0.0687076702003529,0.706715547813237,O43623,SNAI2,SNAI2,SNAI2__seq.10014.31,SNAI2
seq.10015.119,KCAB2__seq.10015.119__ANML,0.0175826606427461,0.0271621613573854,0.0217468388730527,0.808515699471773,0.419157223148766,0.427718917399912,0.417982566278171,529,-0.0251381025379524,0.0603034238234446,0.900224165872276,Q13303,KCNAB2,KCNAB2,KCNAB2__seq.10015.119,KCNAB2
seq.10022.207,POLH__seq.10022.207__ANML,-0.01102566172438,-0.0128094194278141,0.0369825767887144,-0.298131246704924,0.765720496325782,0.0661950130474429,0.0502476793044201,527,-0.0836770324952409,0.0616257090464809,0.979551597192787,Q9Y253,POLH,POLH,POLH__seq.10022.207,POLH
seq.10023.32,VDR__seq.10023.32__ANML,-0.0001071197692745,-0.0002828927637381,0.0165326455885307,-0.0064792878248652,0.994832764350137,0.0352542128412892,0.0187784783357325,527,-0.0325850990982357,0.0323708595596866,0.998005555330743,P11473,VDR,VDR,VDR__seq.10023.32,VDR
seq.10024.44,HOGA1__seq.10024.44__ANML,0.0118784029304013,0.0197351192142736,0.0268402931602056,0.442558613629925,0.658267297239124,0.0032649100239068,-0.0138219772328261,525,-0.0408491611941317,0.0646059670549344,0.955931699586179,Q86XE5,HOGA1,HOGA1,HOGA1__seq.10024.44,HOGA1
seq.10025.1,DLDH__seq.10025.1__ANML,0.0379871255990863,0.0608492978026152,0.0226785506030784,1.67502439921932,0.0945215478667773,0.329376540755205,0.317945459063533,528,-0.0065641401240171,0.0825383913221898,0.73396248158854,P09622,DLD,DLD,DLD__seq.10025.1,DLD_1
seq.10030.8,MutY_homolog__seq.10030.8__ANML,0.0239962307935676,0.0329591283011654,0.0313209159115404,0.766140775108243,0.443937527226439,0.0706176812265511,0.0546550078125034,524,-0.0375337560277916,0.0855262176149269,0.912239869593342,Q9UIF7,MUTYH,MUTYH,MUTYH__seq.10030.8,MUTYH
seq.10035.6,DUS4__seq.10035.6__ANML,-0.00288290532725,-0.0082904087376047,0.0138026229017176,-0.208866484854215,0.834633327198717,0.204714844235204,0.191107303547213,526,-0.0299979402803519,0.0242321296258518,0.984665927491402,Q13115,DUSP4,DUSP4,DUSP4__seq.10035.6,DUSP4
seq.10036.201,ZHX3__seq.10036.201__ANML,-0.0027181217006624,-0.0067994075843316,0.0172099547139125,-0.157938922318323,0.874565196197527,0.0601499146918896,0.044160026662073,529,-0.0365263640836344,0.0310901206823095,0.986611432922933,Q9H4I2,ZHX3,ZHX3,ZHX3__seq.10036.201,ZHX3
seq.10037.98,SIG12_Ig.like_V.type_2__seq.10037.98__ANML,0.0066570890706362,0.0083930608882691,0.034928703534104,0.190590786289458,0.848919466553493,0.0191578126386475,0.0024389117177153,528,-0.0619591986166438,0.0752733767579163,0.985597467145773,Q96PQ1,SIGLEC12,SIGLEC12,SIGLEC12__seq.10037.98,SIGLEC12_1
seq.10039.32,PNP__seq.10039.32__ANML,0.0329921048503035,0.0192921676711931,0.0270487348238299,1.2197282078139,0.22311041666594,0.872906234590773,0.87074803857439,530,-0.0201437831733613,0.0861279928739684,0.828855545659443,P00491,PNP,PNP,PNP__seq.10039.32,PNP_1
seq.10040.63,P73L__seq.10040.63__ANML,0.0069515283009842,0.010652265320043,0.028963527377963,0.240009727070512,0.810416219801354,0.0059010965964233,-0.0111082002298735,526,-0.0499468643313946,0.063849920933363,0.984547685282688,Q9H3D4,TP63,TP63,TP63__seq.10040.63,TP63
seq.10041.3,HNF4A__seq.10041.3__ANML,-0.104218036832832,-0.105117740549141,0.0412164834861125,-2.52855236589864,0.011742539463192,0.121996076543881,0.107086575956891,530,-0.185185759186998,-0.0232503144786667,0.392405504538321,P41235,HNF4A,HNF4A,HNF4A__seq.10041.3,HNF4A
