"apt_name","coef_x2m","coef_x2y","coef_m2y","acme","acme_p","ade","ade_p","total","total_p","prop_m","prop_m_p","prop_m_ci_lower","prop_m_ci_upper","p_adjusted","ade_p_adjusted","prop_m_p_adjusted","Protein_id","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10082.251",-0.510386475665344,1.31544087650824,-0.668422282896432,0.0638132337443325,0,0.255514089761254,0.006,0.319327323505587,0.006,0.199836434426558,0.006,0.0792066533218,0.343992130017874,0,0.00940384615384615,0.0686315789473684,"NFL__seq.10082.251__ANML","P07196","NEFL","NEFL","NEFL__seq.10082.251","NEFL"
"seq.10939.16",-0.0485215769825652,1.60812052975514,-0.294159737530126,0.0026214168208506,0.34,0.314384320579222,0.002,0.317005737400072,0.002,0.00826930402695607,0.342,-0.00771038916982615,0.0290245701231281,0.522830188679245,0.00940384615384615,0.525905660377359,"PKHA4__seq.10939.16__ANML","Q9H4M7","PLEKHA4","PLEKHA4","PLEKHA4__seq.10939.16","PLEKHA4"
"seq.10970.3",0.0673536187727847,1.62251364068868,0.421000936021275,0.00518818319524958,0.062,0.316268074434567,0.008,0.321456257629816,0.008,0.0161396242011384,0.07,-0.000672285259052916,0.0411721310457535,0.168433333333333,0.00973134328358209,0.185569230769231,"NAR3__seq.10970.3__ANML","Q13508","ART3","ART3","ART3__seq.10970.3","ART3_1"
"seq.10990.21",-0.0401533066690031,1.62125921755663,-0.705896496378971,0.00518445036038688,0.044,0.315754013609681,0.002,0.320938463970068,0.002,0.0161540324467634,0.046,0.000228676379636715,0.0407573730091516,0.132814814814815,0.00940384615384615,0.144192307692308,"LRRK2__seq.10990.21__ANML","Q5S007","LRRK2","LRRK2","LRRK2__seq.10990.21","LRRK2"
"seq.11160.56",-0.0437517337029961,1.63194315789608,-0.233059968534243,0.00186651374606145,0.562,0.318473237666012,0.006,0.320339751412073,0.006,0.00582666914684725,0.564,-0.015464564405353,0.0282228555977202,0.693984848484849,0.00940384615384615,0.696454545454545,"RN122__seq.11160.56__ANML","Q9H9V4","RNF122","RNF122","RNF122__seq.11160.56","RNF122"
"seq.11180.17",-0.0929883734600243,1.60729681321328,-0.357316400130377,0.0060541380573178,0.032,0.311164367952692,0.002,0.31721850601001,0.002,0.0190850720957836,0.034,0.00165313586745054,0.0476039061733639,0.106448979591837,0.00940384615384615,0.113102040816327,"SMRC1__seq.11180.17__ANML","Q92922","SMARCC1","SMARCC1","SMARCC1__seq.11180.17","SMARCC1"
"seq.11192.168",0.0756274504466661,1.6119600019945,0.816376262473326,0.0111505223877681,0.002,0.309071461967569,0.012,0.320221984355337,0.012,0.034821226937982,0.01,0.0122357514573286,0.0659146672725754,0.0191764705882353,0.0126193548387097,0.0698571428571429,"TINAL__seq.11192.168__ANML","Q9GZM7","TINAGL1","TINAGL1","TINAGL1__seq.11192.168","TINAGL1"
"seq.11219.95",0.0468851055765804,1.62462490961366,0.756046564084019,0.00645380478746533,0.018,0.314741195118829,0.012,0.321194999906295,0.012,0.0200931047785556,0.018,0.00324518370213456,0.0444111064085341,0.0682325581395349,0.0126193548387097,0.07335,"FGFP3__seq.11219.95__ANML","Q8TAT2","FGFBP3","FGFBP3","FGFBP3__seq.11219.95","FGFBP3"
"seq.11286.78",-0.0668929795992134,1.62888977105507,-0.336768882396328,0.00412301415316986,0.13,0.317707368436113,0.006,0.321830382589283,0.006,0.0128111402037253,0.136,-0.00446900743631232,0.037164137706436,0.261604938271605,0.00940384615384615,0.273679012345679,"SELS__seq.11286.78__ANML","Q9BQE4","SELENOS","SELENOS","SELENOS__seq.11286.78","SELENOS"
"seq.11293.14",0.3891829013006,1.42707913113974,0.568059890312429,0.0411685646148202,0.07,0.278600170359295,0.006,0.319768734974115,0.008,0.128744808707308,0.07,-0.0144253224842705,0.328898473526868,0.172588235294118,0.00940384615384615,0.185569230769231,"LRRN1_CD__seq.11293.14__ANML","Q6UXK5","LRRN1","LRRN1","LRRN1__seq.11293.14","LRRN1_1"
