"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28",0.0158157914680668,0.0202385311078205,0.0244652137659369,0.646460383276408,0.518100108553239,0.0134618093699395,0.00871883729960266,1248,-0.0321816956611872,0.0638132785973209,1199.22124765473,"CRBB2__seq.10000.28__ANML",0.748724916578428,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7",-0.0137694212869657,-0.0138840834050844,0.0160475124620519,-0.858040853342643,0.391033478722006,0.733622411079909,0.732350919008691,1257,-0.0452522820830668,0.0177134395091355,155.786538648826,"c.Raf__seq.10001.7__ANML",0.648901797833671,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15",0.000813920546928939,0.00156169564914992,0.01565997673392,0.0519745693597336,0.958557261017772,0.0845487837765114,0.0801546179386388,1250,-0.0299088179287787,0.0315366590226366,89.7012432904119,"ZNF41__seq.10003.15__ANML",0.982288598468767,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25",-0.0108639846888721,-0.0203080457468074,0.0157522169338575,-0.689679727906825,0.490523833962088,0.123266831958001,0.119051768650107,1248,-0.0417677338558922,0.020039764478148,100.710791472241,"ELK1__seq.10006.25__ANML",0.72823846146603,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43",0.00293931920477349,0.00664033941374229,0.0131432080029373,0.223637882328012,0.823075539882357,0.105166214025951,0.10088129565736,1253,-0.0228458024502512,0.0287244408597981,-350.605898443417,"GUC1A__seq.10008.43__ANML",0.920831907649701,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10",0.00659060860524058,0.0161955391629116,0.0121159359394581,0.543961988423599,0.586564714367499,0.104711456495564,0.100410630826207,1249,-0.0171792236510655,0.0303604408615467,-560.406462045163,"BECN1__seq.10010.10__ANML",0.793616909214459,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65",-0.00841752981159543,-0.0181086131548168,0.0122515868324471,-0.687056291296278,0.492174292734832,0.294077451957467,0.290699832110373,1254,-0.0324533978656822,0.0156183382424913,-526.481908052191,"OCRL__seq.10011.65__ANML",0.729202709492222,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5",-0.0357745083581531,-0.090038828354927,0.0122830502945071,-2.9125101257748,0.00364880852167002,0.0283694530049898,0.0237242073619859,1255,-0.0598720846922482,-0.0116769320240581,-520.070755593776,"SPDEF__seq.10012.5__ANML",0.0399122673879371,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31",-0.00894008001395332,-0.0174586686466848,0.0156496751607044,-0.571262976524997,0.567923923203808,0.0507197447997218,0.0461704784009984,1252,-0.0396425606732677,0.0217624006453611,90.8249974217199,"SLUG__seq.10014.31__ANML",0.784148153739257,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119",-0.0246985528864916,-0.0392501444300245,0.014340976537669,-1.72223647543225,0.0852732679018744,0.472148854036641,0.469623250467439,1254,-0.0528335058962739,0.00343640012329059,-129.082449764435,"KCAB2__seq.10015.119__ANML",0.275239590901708,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207",-0.0142393592659641,-0.0181481427292711,0.0237089289938837,-0.600590573687975,0.548221505704833,0.075131829109075,0.0706960105436509,1251,-0.060753008237036,0.0322742897051079,1131.8762379067,"POLH__seq.10022.207__ANML",0.771790633983535,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32",-0.00876792667892365,-0.0228624204885708,0.0118821111244003,-0.737909836655075,0.460707743272243,0.0264008633701381,0.0217275875143149,1250,-0.032079008094743,0.0145431547368957,-604.007309207123,"VDR__seq.10023.32__ANML",0.703856527036837,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
"seq.10024.44",-0.0317947687828785,-0.0517809625208995,0.0192330816581731,-1.65312919416464,0.098556485450329,0.012641098740641,0.00788656149541123,1246,-0.069527569182866,0.00593803161710909,595.047403386648,"HOGA1__seq.10024.44__ANML",0.299159998544019,"Q86XE5","HOGA1","HOGA1","HOGA1__seq.10024.44","HOGA1"
"seq.10025.1",0.0245612018852597,0.0391577086521888,0.0159032280654147,1.54441612635072,0.122739662077911,0.346060112803337,0.342933706968134,1255,-0.00663864205222122,0.0557610458227407,132.625683588987,"DLDH__seq.10025.1__ANML",0.342546229241662,"P09622","DLD","DLD","DLD__seq.10025.1","DLD_1"
