"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28",0.0144947514923958,0.0185480745349532,0.0260427283298771,0.556575766901004,0.57791717898778,0.0134792396671993,0.00794143267254854,1247,-0.0365976486337598,0.0655871516185515,1201.1990739401,"CRBB2__seq.10000.28__ANML",0.806730735895603,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7",-0.00667635106492499,-0.00673194705102017,0.0170796497262747,-0.390895081100775,0.695941084173576,0.733933248866584,0.732450392769503,1256,-0.0401841391827735,0.0268314370529235,156.310707364928,"c.Raf__seq.10001.7__ANML",0.869994172552216,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15",-0.00989581839213055,-0.0189874264583682,0.0166524177398891,-0.594257155129262,0.552447750190929,0.0871233024347144,0.0820070999663741,1249,-0.0425656161128341,0.0227739793285731,88.1612086304644,"ZNF41__seq.10003.15__ANML",0.792729589362909,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25",-0.000244263315134059,-0.000456601396271326,0.0167202365756306,-0.0146088432438849,0.988346580975226,0.1257426297932,0.120835010233098,1247,-0.0330471634761762,0.0325586368459081,99.161796448084,"ELK1__seq.10006.25__ANML",0.99487490456934,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43",0.00681555786450329,0.015397312901846,0.0139916069025315,0.487117592138053,0.626260270974504,0.105633417741404,0.100632965604175,1252,-0.0206340240537431,0.0342651397827497,-349.263931724988,"GUC1A__seq.10008.43__ANML",0.835587193049315,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10",-0.000304454026069541,-0.00074815504877571,0.0128754272522676,-0.0236461299578172,0.981138656139987,0.106488453636826,0.101476770283827,1248,-0.0255643254392836,0.0249554173871446,-560.901888064259,"BECN1__seq.10010.10__ANML",0.992773884048026,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65",-0.0095313789063758,-0.0205048342341215,0.0130373934504842,-0.73108009991229,0.464866915374266,0.294112823206833,0.290169319425866,1253,-0.0351089073233366,0.016046149510585,-524.545093826698,"OCRL__seq.10011.65__ANML",0.738616243947989,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5",-0.0325843309344532,-0.0820096519760763,0.0130753859217036,-2.49203588556168,0.0128296648207991,0.0287629183986952,0.0233413397932652,1254,-0.0582363754465972,-0.00693228642230926,-518.581910678494,"SPDEF__seq.10012.5__ANML",0.112067276042592,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31",-0.0144145085526304,-0.0281494268655763,0.0166426271967323,-0.866119776777831,0.386590556330336,0.0514287267160302,0.0461209737879824,1251,-0.047065047916299,0.0182360308110382,91.8843461002018,"SLUG__seq.10014.31__ANML",0.676973507735045,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119",-0.0317711863136093,-0.0504897455836133,0.0152586053481886,-2.08218153550848,0.0375283896305191,0.4729196852994,0.46997510253571,1253,-0.0617064194089939,-0.00183595321822468,-128.925258385798,"KCAB2__seq.10015.119__ANML",0.205097013097023,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207",-0.00728608163615737,-0.00928615164491061,0.025245670382108,-0.288607176037643,0.772929854309222,0.075608101668464,0.0704315070378073,1250,-0.0568146436494976,0.0422424803771829,1133.22824803991,"POLH__seq.10022.207__ANML",0.905955958143607,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32",-0.0118490668685901,-0.0308965116916505,0.0126413240389828,-0.937327991280854,0.34877107569551,0.0267993443956982,0.0213450572946332,1249,-0.0366496397179105,0.0129515059807303,-602.521887704742,"VDR__seq.10023.32__ANML",0.641615476374189,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
"seq.10024.44",-0.033264896200398,-0.054175212129298,0.0204933099040845,-1.62320759096938,0.10479819026135,0.012675529343518,0.00712430742014825,1245,-0.0734701316271986,0.00694033922640269,597.003708740689,"HOGA1__seq.10024.44__ANML",0.357319307813442,"Q86XE5","HOGA1","HOGA1","HOGA1__seq.10024.44","HOGA1"
"seq.10025.1",0.0100411216426153,0.0160084721285031,0.0168899165023954,0.594503924349847,0.552282361183118,0.349333283392576,0.345701172534321,1254,-0.0230944884663515,0.0431767317515821,128.293123353696,"DLDH__seq.10025.1__ANML",0.792729589362909,"P09622","DLD","DLD","DLD__seq.10025.1","DLD_1"
"seq.10030.8",-0.0270496740662947,-0.0370933060372211,0.0237953546990838,-1.13676280132678,0.255856028977352,0.0529046006742551,0.0475838400038859,1246,-0.0737330597693801,0.0196337116367906,976.648153900525,"MutY_homolog__seq.10030.8__ANML",0.552433660669831,"Q9UIF7","MUTYH","MUTYH","MUTYH__seq.10030.8","MUTYH"
"seq.10035.6",0.00912320724387194,0.0248346512857503,0.0114533248871449,0.796555352595622,0.425860816435917,0.136765653104305,0.131923793786781,1248,-0.0133466889572109,0.0315931034449547,-860.636484644619,"DUS4__seq.10035.6__ANML",0.7099304457061,"Q13115","DUSP4","DUSP4","DUSP4__seq.10035.6","DUSP4"
"seq.10036.201",-0.0216134319957117,-0.0508459056298013,0.0137774820804095,-1.56875050677397,0.116957965356184,0.0586626993761918,0.0534163927644348,1256,-0.0486428475719355,0.00541598358051204,-388.102245127706,"ZHX3__seq.10036.201__ANML",0.379913084826151,"Q9H4I2","ZHX3","ZHX3","ZHX3__seq.10036.201","ZHX3"
"seq.10037.98",-0.0266710551232475,-0.035257554668766,0.0251427502445507,-1.06078511156623,0.288991667978872,0.00783880820612629,0.00230484139930776,1255,-0.0759975113975567,0.0226554011510616,1134.33953820265,"SIG12_Ig.like_V.type_2__seq.10037.98__ANML",0.583510061315432,"Q96PQ1","SIGLEC12","SIGLEC12","SIGLEC12__seq.10037.98","SIGLEC12_1"
