"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28",0.0081288983069226,0.0102349047551841,0.0225531969261832,0.360432196531984,0.718584945314989,0.0132341706764388,0.00849010418930629,1248,-0.0361174667379306,0.0523752633517758,1199.51079914677,"CRBB2__seq.10000.28__ANML",0.918086599000046,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7",-0.0212060943637157,-0.0210358872910326,0.0148021750651514,-1.43263366838844,0.152211191965907,0.733900880455722,0.732630717593935,1257,-0.0502457862260951,0.00783359749866378,154.464470218332,"c.Raf__seq.10001.7__ANML",0.542379576391641,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15",0.0257594834409471,0.0486149543191551,0.0144595997393185,1.78147970243615,0.0750768559029155,0.0868651961841713,0.0824821491258554,1250,-0.00260827909169191,0.0541272459735861,86.5165618786202,"ZNF41__seq.10003.15__ANML",0.411229244550932,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25",-0.0291154823363409,-0.053516897890518,0.0145377917678722,-2.00274448838128,0.0454206976179768,0.125742480168082,0.121539319015044,1248,-0.0576366912635133,-0.000594273409168414,97.1620112355299,"ELK1__seq.10006.25__ANML",0.336071227928455,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43",-0.00829457534468906,-0.0184260175245955,0.0121373314974873,-0.683393655879482,0.494484473266141,0.105463914166035,0.101180421336822,1253,-0.0321063090675466,0.0155171583781684,-351.025154613843,"GUC1A__seq.10008.43__ANML",0.814873529691687,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10",0.0186269811792452,0.0449966049846327,0.0111719068783009,1.66730544589699,0.0957043757659255,0.106488053318264,0.10219576214125,1249,-0.00329079337876076,0.0405447557372512,-562.901325340696,"BECN1__seq.10010.10__ANML",0.455525579097586,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65",1.57038263656804e-05,3.32148483984297e-05,0.0113209528410066,0.00138714705256948,0.99889343776689,0.293811720855771,0.290432829567999,1254,-0.0221943929108439,0.0222258005635752,-526.007317932575,"OCRL__seq.10011.65__ANML",0.999578051768319,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5",-0.0188953053949453,-0.0467967948967016,0.0113619464707125,-1.66303418552899,0.0965552787498548,0.0239530155705811,0.0192866554856597,1255,-0.0411858086345466,0.00339519784465591,-514.347473885282,"SPDEF__seq.10012.5__ANML",0.456616408441402,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31",0.0103410846400195,0.0198608277229242,0.0144621862267689,0.715042973300852,0.474715800031155,0.0508599149528393,0.0463113202960638,1252,-0.0180317083003542,0.0387138775803931,90.6390805103257,"SLUG__seq.10014.31__ANML",0.800163027123313,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119",0.00903242281121947,0.0141115627416499,0.0132627684525318,0.681036002667695,0.495974445334419,0.471095945367442,0.468565303957717,1254,-0.0169872395326571,0.0350520851550961,-126.569628875606,"KCAB2__seq.10015.119__ANML",0.815246803759306,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207",-0.0210386224805061,-0.026355404144788,0.0219102053432649,-0.960220233032791,0.337129932483132,0.0755465045539652,0.0711126748395958,1251,-0.0640234237122968,0.0219461787512846,1131.31207243143,"POLH__seq.10022.207__ANML",0.720495213051664,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
