"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28",0.00356309980184962,0.00448621519524853,0.0240046555167701,0.148433698594857,0.882024505393006,0.0134792396671993,0.00794143267254854,1247,-0.0435308701162835,0.0506570697199828,1201.1990739401,"CRBB2__seq.10000.28__ANML",0.989275169258162,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7",-0.0190937098145032,-0.0189404574334449,0.015762456372518,-1.21134100950111,0.22599259540378,0.733933248866584,0.732450392769503,1256,-0.0500173561896777,0.0118299365606712,156.31070736493,"c.Raf__seq.10001.7__ANML",0.792617127650809,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15",0.0288945404131275,0.0545316355227941,0.0153954579104191,1.87682240965192,0.0607754070366365,0.0871233024347145,0.0820070999663741,1249,-0.00130927164631865,0.0590983524725737,88.1612086304644,"ZNF41__seq.10003.15__ANML",0.562811343562632,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25",-0.0290391816268363,-0.0533766502644488,0.015453014353094,-1.87919204391485,0.0604513341239603,0.1257426297932,0.120835010233098,1247,-0.0593559588278536,0.00127759557418107,99.161796448084,"ELK1__seq.10006.25__ANML",0.562811343562632,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43",-0.0104510327445649,-0.0232164884275571,0.0129229505313152,-0.808718776663248,0.418830571512469,0.105633417741404,0.100632965604175,1252,-0.0358040598633159,0.014901994374186,-349.263931724988,"GUC1A__seq.10008.43__ANML",0.898463107617296,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10",0.0187225022946758,0.0452273522999042,0.0118840185152186,1.57543530167845,0.115409445841353,0.106488453636826,0.101476770283828,1248,-0.00459235737445161,0.0420373619638032,-560.901888064259,"BECN1__seq.10010.10__ANML",0.674014889598524,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65",0.0030180940884406,0.00638351031560251,0.0120448025617098,0.250572317227937,0.802185866511838,0.294112823206833,0.290169319425866,1253,-0.0206121109037522,0.0266482990806334,-524.545093826698,"OCRL__seq.10011.65__ANML",0.981580641008024,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5",-0.00860113281461922,-0.021301875772418,0.0120674704151192,-0.712753586190105,0.476130852099189,0.0287629183986952,0.0233413397932654,1254,-0.0322757906863838,0.0150735250571453,-518.581910678494,"SPDEF__seq.10012.5__ANML",0.914699702030837,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31",0.0148728371609037,0.0285643979221175,0.0153809292076806,0.966966101987962,0.333747874743788,0.0514287267160302,0.0461209737879823,1251,-0.0153024247498948,0.0450480990717021,91.8843461002018,"SLUG__seq.10014.31__ANML",0.860176258594603,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119",0.0190833399217324,0.0298143426469427,0.0140973534634823,1.35368244622409,0.176081833633228,0.4729196852994,0.46997510253571,1253,-0.00857368064649851,0.0467403604899633,-128.925258385798,"KCAB2__seq.10015.119__ANML",0.746199252365226,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
