"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28","seq_10000_28",0.0133935523223774,0.0133935523223774,0.045012945968891,0.297548894747609,0.766159431345573,0.0290742731152387,0.0150028857690827,552,-0.0750240655710328,0.101811170215788,0.971545968628661,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7","seq_10001_7",-0.0118826087145119,-0.0118826087145119,0.0308526866941135,-0.385140160800942,0.700281662902423,0.472771949507777,0.46514478060373,553,-0.0724854012018416,0.0487201837728177,0.961014506082968,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15","seq_10003_15",-0.0173289526929605,-0.0173289526929605,0.0439674346517231,-0.394131539177289,0.693635863462034,0.0256987358227238,0.0116039616574104,553,-0.103692560012351,0.0690346546264301,0.960889700083357,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25","seq_10006_25",0.121496516650543,0.121496516650543,0.034220376842159,3.55041433970595,0.000417576607537845,0.0752254075247973,0.061774140725158,550,0.0542778906523466,0.188715142648739,0.0573970865266642,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43","seq_10008_43",-0.00660721460767916,-0.00660721460767916,0.0382700941786955,-0.17264693880365,0.862992007961131,0.130731243003008,0.118178625573448,554,-0.0817794489325317,0.0685650197171734,0.984816718004337,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10","seq_10010_10",-4.8724841203095e-05,-4.8724841203095e-05,0.0386978577498378,-0.00125910952275644,0.998995830284352,0.040559490492743,0.0266797001201243,553,-0.0760614969595248,0.0759640472771186,0.999544653704368,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65","seq_10011_65",-0.0697720313993852,-0.0697720313993852,0.033448529520496,-2.08595213002208,0.037439034261582,0.107075756360911,0.0942047762724197,555,-0.135473222734851,-0.00407084006391931,0.616410516530175,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5","seq_10012_5",-0.0330723878343555,-0.0330723878343555,0.0377061292009985,-0.877109067813824,0.380806901751553,0.0990100048940949,0.0860227617213971,555,-0.107136558805955,0.0409917831372438,0.894437792395821,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31","seq_10014_31",0.00636549021029476,0.00636549021029476,0.0418216791944142,0.152205514769119,0.879080358305703,0.0261737097051381,0.0120858067713968,553,-0.0757832889485176,0.0885142693691071,0.986248672479978,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119","seq_10015_119",-0.0128802497147067,-0.0128802497147067,0.0323317172396389,-0.398378150447122,0.690505781317906,0.0866103123992471,0.0733487561364412,551,-0.0763887528674705,0.0506282534380572,0.960889700083357,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207","seq_10022_207",0.0429328419235449,0.0429328419235449,0.0497168080105985,0.863547835057967,0.388211385606516,0.0481577466415213,0.0343629313754563,552,-0.0547244350873655,0.140590118934455,0.896677217547073,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32","seq_10023_32",-0.0568286435297731,-0.0568286435297731,0.0353788966379199,-1.60628648517159,0.108781806526194,0.0471847602064771,0.0334008146036774,553,-0.126322102969324,0.0126648159097777,0.760901619069309,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
