"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28","seq_10000_28",0.00228292677350878,0.00228292677350878,0.0272275564045957,0.0838461865466357,0.933188872098743,0.030175056764438,0.0248978956464694,1654,-0.0511211827536778,0.0556870363006954,0.960208189376408,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7","seq_10001_7",0.0313061134734891,0.0313061134734891,0.0179319879037463,1.74582503855854,0.0810257995605223,0.519387096864076,0.516789189279557,1665,-0.00386550452885107,0.0664777314758292,0.164742659726041,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15","seq_10003_15",-0.000168978622745186,-0.000168978622745186,0.0184618485775148,-0.00915285498284229,0.992698282079205,0.0398307716712269,0.0346156098999781,1657,-0.0363799871200216,0.0360420298745312,0.995689479030695,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25","seq_10006_25",0.0293407903396755,0.0293407903396755,0.0166452077310024,1.76271698219945,0.0781327808381243,0.050775332799191,0.0456133859684916,1655,-0.00330709367287958,0.0619886743522306,0.159858199063404,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43","seq_10008_43",-0.0745441191169891,-0.0745441191169891,0.0176552918556826,-4.22219693258687,2.55047581551636e-05,0.0711858251418235,0.0661470502330088,1659,-0.109173119422513,-0.039915118811465,0.000181447424961296,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10","seq_10010_10",-0.0134793339454796,-0.0134793339454796,0.0179330604304296,-0.751647160158305,0.45236988993335,0.0591110517119961,0.0540067717032006,1659,-0.0486531481310802,0.0216944802401209,0.594623374783527,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65","seq_10011_65",-0.0187115286915543,-0.0187115286915543,0.0166626757697633,-1.12296061869661,0.261615922795109,0.126585750527529,0.121870256679147,1667,-0.0513935023090727,0.013970444925964,0.399805327787365,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5","seq_10012_5",-0.0941200307862414,-0.0941200307862414,0.0188366311566361,-4.99664881706213,6.44662217380313e-07,0.0724090848164221,0.0673980894762948,1666,-0.131065990696677,-0.0571740708758053,7.07283773134876e-06,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31","seq_10014_31",0.012975192079731,0.012975192079731,0.0174849304301782,0.742078564827254,0.458144844440838,0.0745185921218918,0.069494869159948,1658,-0.0213196772874654,0.0472700614469274,0.599745766711861,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119","seq_10015_119",0.0221824758572836,0.0221824758572836,0.0168869956712511,1.31358332110238,0.189168092065929,0.0785511176315222,0.0735522991014943,1659,-0.0109395921911649,0.055304543905732,0.315280153443214,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207","seq_10022_207",0.0300213073372728,0.0300213073372728,0.0264094716480189,1.13676289088217,0.255801984774309,0.0547840450133347,0.049643897826096,1655,-0.0217781884173807,0.0818208030919262,0.39287434628223,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32","seq_10023_32",-0.0392162395332262,-0.0392162395332262,0.0170926499579654,-2.29433350765783,0.0218959098760464,0.0850209003506904,0.0800511888860894,1657,-0.0727417064045492,-0.00569077266190308,0.0573370609083387,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
