"apt_name","coef_x2m","coef_x2y","coef_m2y","acme","acme_p","ade","ade_p","total","total_p","prop_m","prop_m_p","prop_m_ci_lower","prop_m_ci_upper","p_adjusted","ade_p_adjusted","prop_m_p_adjusted","Protein_id","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10046.55",-0.532755441940951,0.964375450635789,0.000798630935267783,-4.05275399986637e-05,0.976,0.964375450635789,0,0.96433492309579,0,-4.20264153335428e-05,0.976,-0.00284178287453954,0.00241425366457556,0.984,0,0.984,"seq_10046_55","Q13490","BIRC2","BIRC2","BIRC2__seq.10046.55","BIRC2_1"
"seq.10082.251",-0.536595110777342,-0.159683767801599,0.00490647706493781,-0.0002884724931054,0.86,-0.159683767801599,0,-0.159972240294705,0,0.00180326594522881,0.86,-0.0179217392536532,0.0212458503913857,0.912265193370166,0,0.912265193370166,"seq_10082_251","P07196","NEFL","NEFL","NEFL__seq.10082.251","NEFL"
"seq.10085.25",-0.521942784174708,-0.0738745041367787,0.0102102196558825,-0.000371373211200482,0.652,-0.0738745041367785,0,-0.074245877347979,0,0.0050019371373297,0.652,-0.0314307195130017,0.0581845527025161,0.749604790419162,0,0.751904191616766,"seq_10085_25","P49675","STAR","STAR","STAR__seq.10085.25","STAR"
"seq.10734.339",-0.534374173530747,-0.183835095294507,-0.154290842002602,0.00943229302500993,0.008,-0.183835095294508,0,-0.174402802269498,0,-0.0540833799816736,0.008,-0.181319508652316,-0.0094869672719306,0.0301176470588235,0,0.03072,"seq_10734_339","Q9H3Q3","GAL3ST2","GAL3ST2","GAL3ST2__seq.10734.339","GAL3ST2"
"seq.10781.19",-0.544520297361271,-0.0464096690713248,0.0896657032348775,-0.00576326642615799,0.006,-0.0464096690713252,0,-0.0521729354974832,0,0.11046467620048,0.006,0.034222199764918,0.260717377431958,0.0288,0,0.03072,"seq_10781_19","Q6UXB4","CLEC4G","CLEC4G","CLEC4G__seq.10781.19","CLEC4G_1"
"seq.10833.64",-0.549483339608459,0.130892633628499,0.0160509295812061,-0.00088771957325049,0.322,0.130892633628498,0,0.130004914055248,0,-0.00682835398724419,0.322,-0.030993656126315,0.00734394512157251,0.464842105263158,0,0.464842105263158,"seq_10833_64","Q96QV1","HHIP","HHIP","HHIP__seq.10833.64","HHIP"
"seq.10990.21",-0.538705144512598,-0.0751114221944784,0.0181640750042785,-0.00151139671714802,0.212,-0.0751114221944782,0,-0.0766228189116262,0,0.019725151575162,0.212,-0.0096324695695715,0.0554444794443016,0.336396694214876,0,0.336396694214876,"seq_10990_21","Q5S007","LRRK2","LRRK2","LRRK2__seq.10990.21","LRRK2"
"seq.11160.56",-0.553873867902351,-0.0952354610348797,-0.0069132124839481,0.000410310366877695,0.548,-0.0952354610348793,0,-0.0948251506680017,0,-0.00432702045804555,0.548,-0.0250508374023354,0.0130587748126343,0.687686274509804,0,0.687686274509804,"seq_11160_56","Q9H9V4","RNF122","RNF122","RNF122__seq.11160.56","RNF122"
"seq.11243.90",-0.563679418692194,-0.0632150602491264,0.0305605316200317,-0.00234139275806955,0.014,-0.0632150602491261,0,-0.0655564530071957,0,0.0357156717709017,0.014,0.00381854484836056,0.0783756670949644,0.0407272727272727,0,0.0407272727272727,"seq_11243_90","Q5T601","ADGRF1","ADGRF1","ADGRF1__seq.11243.90","ADGRF1"
"seq.11286.78",-0.535085626031689,-0.0776053284330991,0.0128468924841775,-0.00051208340744105,0.626,-0.0776053284330991,0,-0.0781174118405402,0,0.00655530432173506,0.626,-0.0341009219147207,0.0772358964649998,0.735418181818182,0,0.735418181818182,"seq_11286_78","Q9BQE4","SELENOS","SELENOS","SELENOS__seq.11286.78","SELENOS"
"seq.11457.53",-0.525627634006236,-0.142564092966753,0.0178900394959734,-0.00138986362618125,0.44,-0.142564092966753,0,-0.143953956592934,0,0.00965491785759968,0.44,-0.013349473548109,0.0367326874007765,0.56576,0,0.56576,"seq_11457_53","Q14376","GALE","GALE","GALE__seq.11457.53","GALE"
"seq.11556.19",-0.537622277932924,-0.156462497812831,-0.0168290788371642,0.000979603096491631,0.578,-0.156462497812832,0,-0.155482894716341,0,-0.0063003914242708,0.578,-0.0352268872500504,0.01766106009124,0.706853503184713,0,0.706853503184713,"seq_11556_19","Q8N6T3","ARFGAP1","ARFGAP1","ARFGAP1__seq.11556.19","ARFGAP1"
"seq.11563.51",-0.531007936890412,-0.0917595248447436,-0.0319862696094886,0.00206002435328207,0.086,-0.0917595248447434,0,-0.0896995004914613,0,-0.0229658397426434,0.086,-0.0603007798478159,0.00352216585848121,0.175659574468085,0,0.175659574468085,"seq_11563_51","Q96C24","SYTL4","SYTL4","SYTL4__seq.11563.51","SYTL4_1"
"seq.12041.33",-0.539722855546413,-0.0970497967145311,-0.0863562803016682,0.00525984333340167,0.002,-0.097049796714531,0,-0.0917899533811293,0,-0.0573030395991357,0.002,-0.150916621063784,-0.0137610227029448,0.0288,0,0.03072,"seq_12041_33","P34931","HSPA1L","HSPA1L","HSPA1L__seq.12041.33","HSPA1L"
"seq.12500.88",-0.537863489891837,0.408306157616478,0.131036860633665,-0.00971367772856513,0.01,0.408306157616476,0,0.398592479887911,0,-0.0243699472987968,0.01,-0.0421085122636755,-0.00456225142776304,0.0336842105263158,0,0.0336842105263158,"seq_12500_88","Q9UBT2","UBA2","UBA2","UBA2__seq.12500.88","UBA2"
"seq.12501.10",-0.534768295613775,-0.31039866562088,0.0416966949929291,-0.00298574046692281,0.124,-0.31039866562088,0,-0.313384406087803,0,0.00952740598741301,0.124,-0.00173379107799693,0.0236375224984992,0.228923076923077,0,0.228923076923077,"seq_12501_10","O75347","TBCA","TBCA","TBCA__seq.12501.10","TBCA"
"seq.12514.16",-0.525215288562338,-0.0532289822319534,-0.00898109244475851,0.000687053572024121,0.614,-0.0532289822319534,0,-0.0525419286599293,0,-0.0130762914408983,0.614,-0.0591798444182144,0.0270936601128423,0.732223602484472,0,0.732223602484472,"seq_12514_16","Q9UBP6","METTL1","METTL1","METTL1__seq.12514.16","METTL1"
"seq.12540.25",-0.540750042576281,-0.0826474887883876,-0.0219424289043582,0.000907887138116523,0.032,-0.0826474887883872,0,-0.0817396016502707,0,-0.0111070658504184,0.032,-0.0396241773508682,-0.000804887557587495,0.0740240963855422,0,0.0740240963855422,"seq_12540_25","P84095","RHOG","RHOG","RHOG__seq.12540.25","RHOG"
"seq.12583.77",-0.542845535137708,0.0945628807217384,0.0303211043424091,-0.00193667732326765,0.33,0.0945628807217389,0,0.0926262033984712,0,-0.0209085253655082,0.33,-0.0906468834982784,0.0179027516028292,0.472835820895522,0,0.472835820895522,"seq_12583_77","P10398","ARAF","ARAF","ARAF__seq.12583.77","ARAF"
"seq.12587.65",-0.531765159271666,-0.534655353799268,-0.17018894216884,0.00761661103689489,0.002,-0.534655353799268,0,-0.527038742762373,0,-0.0144517099387682,0.002,-0.0396400413306565,-0.00558017388364569,0.0288,0,0.03072,"seq_12587_65","P36404","ARL2","ARL2","ARL2__seq.12587.65","ARL2"
"seq.12616.45",-0.53418309000072,-0.195195430662137,-0.000519006841307964,3.8809085840556e-05,0.952,-0.195195430662137,0,-0.195156621576297,0,-0.000198861230160123,0.952,-0.013700261788177,0.0138190519297516,0.977454545454545,0,0.977454545454545,"seq_12616_45","Q9UHY1","NRBP1","NRBP1","NRBP1__seq.12616.45","NRBP1"
"seq.12650.43",-0.5516652420333,0.170252214898227,-0.00286093414746024,0.000184530252511192,0.824,0.170252214898228,0,0.170436745150739,0,0.00108269054509336,0.824,-0.0115531781558047,0.0140719079070379,0.878933333333333,0,0.878933333333333,"seq_12650_43","P08754","GNAI3","GNAI3","GNAI3__seq.12650.43","GNAI3"
"seq.12657.2",-0.531026967621357,-0.0967025661808498,0.0153385135027929,-0.00114443590982275,0.564,-0.0967025661808503,0,-0.097847002090673,0,0.0116961775564899,0.564,-0.0284937862178163,0.0552060841748273,0.694153846153846,0,0.694153846153846,"seq_12657_2","Q13630","TSTA3","TSTA3","TSTA3__seq.12657.2","TSTA3"
"seq.12732.13",-0.536966004398769,-0.0599713457760892,-0.0245775624846786,0.00125032986206344,0.07,-0.0599713457760895,0,-0.0587210159140261,0,-0.0212927150969945,0.07,-0.079952906024287,0.00279677343466943,0.146086956521739,0,0.146086956521739,"seq_12732_13","Q5T2T1","MPP7","MPP7","MPP7__seq.12732.13","MPP7"
"seq.12754.14",-0.558797247862084,-0.121408095159661,-0.00651791115977099,0.000437575198100938,0.71,-0.121408095159662,0,-0.120970519961561,0,-0.00361720523512654,0.71,-0.03106681775921,0.0225670059178379,0.79719298245614,0,0.79719298245614,"seq_12754_14","Q9Y534","CSDC2","CSDC2","CSDC2__seq.12754.14","CSDC2"
"seq.13468.5",-0.54801679821147,-0.0868346582903244,-0.0107578303705535,0.000623954161492057,0.4,-0.086834658290325,0,-0.0862107041288329,0,-0.00723754860602487,0.4,-0.0341788596816689,0.0122563456058676,0.533333333333333,0,0.533333333333333,"seq_13468_5","Q96JN8","NEURL4","NEURL4","NEURL4__seq.13468.5","NEURL4"
"seq.13507.51",-0.527019658633018,-0.27283697044482,-0.0879102616929877,0.00681949319945607,0.006,-0.27283697044482,0,-0.266017477245364,0,-0.0256355081255283,0.006,-0.045488888326486,-0.00406495225908751,0.0288,0,0.03072,"seq_13507_51","Q15628","TRADD","TRADD","TRADD__seq.13507.51","TRADD"
"seq.13516.46",-0.547060772075374,0.0833387283405139,-0.0289233616457992,0.00177523626867925,0.106,0.0833387283405145,0,0.0851139646091937,0,0.0208571681137209,0.106,-0.00373394930612685,0.0696256862255569,0.201504950495049,0,0.201504950495049,"seq_13516_46","Q5J8M3","EMC4","EMC4","EMC4__seq.13516.46","EMC4"
"seq.13652.2",-0.576169017481366,-0.0433472998979868,-0.00535633014403264,0.000400124263747412,0.652,-0.0433472998979862,0,-0.0429471756342388,0.002,-0.00931666070791442,0.654,-0.0630037054122176,0.0461993158344865,0.749604790419162,0,0.751904191616766,"seq_13652_2","O75674","TOM1L1","TOM1L1","TOM1L1__seq.13652.2","TOM1L1"
"seq.13691.10",-0.534157486250489,-0.148842706815674,0.118320816321868,-0.00654064273492406,0.006,-0.148842706815675,0,-0.155383349550599,0,0.042093588237356,0.006,0.0120391401150007,0.10412564389774,0.0288,0,0.03072,"seq_13691_10","Q8N695","SLC5A8","SLC5A8","SLC5A8__seq.13691.10","SLC5A8"
"seq.13723.6",-0.528105559799957,-0.180436961982843,0.0378612644487912,-0.00230492727682262,0.146,-0.180436961982844,0,-0.182741889259667,0,0.012613020945337,0.146,-0.00484503383059182,0.0381990728128463,0.259555555555556,0,0.259555555555556,"seq_13723_6","P22301","IL10","IL10","IL10__seq.13723.6","IL10_1"
"seq.13732.79",-0.546905663106832,-0.139639377469294,0.0106368167993561,-0.00064160260853549,0.438,-0.139639377469294,0,-0.140280980077829,0,0.00457369636410811,0.438,-0.00848847246981293,0.0202012032934556,0.56576,0,0.56576,"seq_13732_79","Q16619","CTF1","CTF1","CTF1__seq.13732.79","CTF1_1"
"seq.14110.200",-0.536157793960996,-0.0473502375404441,0.0148521787763637,-0.000950064409482515,0.342,-0.0473502375404442,0.01,-0.0483003019499268,0.008,0.0196699476220139,0.346,-0.0204505311293857,0.111212079213306,0.482823529411765,0.01,0.488470588235294,"seq_14110_200","P09486","SPARC","SPARC","SPARC__seq.14110.200","SPARC_1"
"seq.14318.1",-0.582747515973639,1.02893492462567,0.0242653694248717,-0.00146805485020469,0.218,1.02893492462567,0,1.02746686977547,0,-0.00142880991435325,0.218,-0.00515271235629833,0.000804455318179055,0.343081967213115,0,0.343081967213115,"seq_14318_1","Q9UBQ0","VPS29","VPS29","VPS29__seq.14318.1","VPS29"
"seq.14337.1",-0.534609544330564,0.0719129947733627,-0.0544184775315281,0.00311814893678407,0.028,0.0719129947733634,0.006,0.0750311437101475,0.004,0.0415580621938775,0.032,0.00308938673267029,0.156660193300151,0.0663703703703704,0.00603141361256544,0.0740240963855422,"seq_14337_1","O43617","TRAPPC3","TRAPPC3","TRAPPC3__seq.14337.1","TRAPPC3"
"seq.14341.8",-0.516657535179045,-0.102115873089019,0.00614922301880351,-0.000405240857954141,0.606,-0.102115873089019,0,-0.102521113946973,0,0.00395275511894791,0.606,-0.0119944666002569,0.0212608991815602,0.7272,0,0.7272,"seq_14341_8","Q0P6D2","DIPK1C","DIPK1C","DIPK1C__seq.14341.8","DIPK1C"
