"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28","seq_10000_28",-0.0214372499435091,-0.0214372499435091,0.0244502571881498,-0.876769916101293,0.380717930347341,0.0359414580590053,0.0310749333647043,1981,-0.069388170514173,0.0265136706271548,0.809331719036833,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7","seq_10001_7",0.000600192903064966,0.000600192903064966,0.0161743786573711,0.0371076327430632,0.970402896858013,0.518964191356658,0.516554192315359,1996,-0.031120241655211,0.0323206274613409,0.995588382173918,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15","seq_10003_15",0.00961443783988918,0.00961443783988918,0.0168083732405559,0.572002876321851,0.567384729637987,0.0407746812684753,0.0359471758898566,1987,-0.023349447820438,0.0425783235002163,0.88850892937596,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25","seq_10006_25",0.0160754497881937,0.0160754497881937,0.015230803784019,1.05545643001855,0.291345068033035,0.0521841805211952,0.0474092897429645,1985,-0.0137945903155165,0.045945489891904,0.747867801487196,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43","seq_10008_43",0.00476206187312156,0.00476206187312156,0.0165894429713325,0.287053753483505,0.774101077213651,0.0630025170141098,0.0582892499970781,1988,-0.0277724568331135,0.0372965805793566,0.948423536411276,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10","seq_10010_10",-0.0176625790666368,-0.0176625790666368,0.0153630391401605,-1.14968001483932,0.250413976106786,0.0664474701043794,0.0617515318252262,1988,-0.047791926094979,0.0124667679617055,0.719634988269885,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65","seq_10011_65",-0.0337545963882231,-0.0337545963882231,0.0151223453472376,-2.23210061754006,0.0257188362730236,0.119168571906543,0.114757798606125,1997,-0.0634118234367731,-0.0040973693396732,0.325846473476482,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5","seq_10012_5",-0.0142023864387723,-0.0142023864387723,0.0170170635885915,-0.834596777806824,0.40404455315217,0.0693298028843945,0.0646717938898219,1998,-0.0475754349821429,0.0191706621045983,0.820093510615198,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31","seq_10014_31",-0.0175605776521618,-0.0175605776521618,0.0152009005554359,-1.15523271717491,0.248134040148263,0.0820285875019364,0.0774087011783426,1987,-0.0473719544387247,0.0122507991344011,0.719156792688435,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119","seq_10015_119",0.000216233492472352,0.000216233492472352,0.015261257665765,0.0141687859027124,0.988696745158886,0.0754388839822418,0.0707858335745026,1987,-0.0297135131598236,0.0301459801447683,0.996972200431846,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
