"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10046.55","seq_10046_55",0.0488111095349606,0.0488111095349606,0.0398990880334466,1.22336404015158,0.22133648954486,0.63918613836678,0.637199675665096,1998,-0.0294370673519803,0.127059286421902,0.789382520729421,"Q13490","BIRC2","BIRC2","BIRC2__seq.10046.55","BIRC2_1"
"seq.10082.251","seq_10082_251",0.0124337595032155,0.0124337595032155,0.0490340405709745,0.253574034659008,0.799850786964587,0.0748196489999894,0.0697184039568817,1995,-0.0837295356102839,0.108597054616715,0.961633649396469,"P07196","NEFL","NEFL","NEFL__seq.10082.251","NEFL"
"seq.10085.25","seq_10085_25",-0.0477488265682818,-0.0477488265682818,0.0427629089010368,-1.11659444587326,0.264302229785713,0.143603157027689,0.138881169422328,1995,-0.131613467961843,0.036115814825279,0.789382520729421,"P49675","STAR","STAR","STAR__seq.10085.25","STAR"
"seq.10734.339","seq_10734_339",-0.142721599120855,-0.142721599120855,0.125592080155337,-1.13639012065356,0.255929472153153,0.0542528583736626,0.0490512490947177,2000,-0.389026610869041,0.103583412627331,0.789382520729421,"Q9H3Q3","GAL3ST2","GAL3ST2","GAL3ST2__seq.10734.339","GAL3ST2"
"seq.10781.19","seq_10781_19",-0.0375188721405109,-0.0375188721405109,0.0314992069952804,-1.19110529182949,0.233753943870345,0.107564284264432,0.102643586082431,1995,-0.0992936617123373,0.0242559174313155,0.789382520729421,"Q6UXB4","CLEC4G","CLEC4G","CLEC4G__seq.10781.19","CLEC4G_1"
"seq.10833.64","seq_10833_64",0.0695551491653972,0.0695551491653972,0.0365173364153277,1.90471584165712,0.0569607052105256,0.0898964856710899,0.0848783710557426,1995,-0.00206096399956157,0.141171262330356,0.789382520729421,"Q96QV1","HHIP","HHIP","HHIP__seq.10833.64","HHIP"
"seq.10990.21","seq_10990_21",-0.0598551583503554,-0.0598551583503554,0.0358754424453338,-1.66841589317153,0.0953910652246667,0.15556387656401,0.150879662061843,1983,-0.130212677177411,0.0105023604767005,0.789382520729421,"Q5S007","LRRK2","LRRK2","LRRK2__seq.10990.21","LRRK2"
"seq.11160.56","seq_11160_56",-0.0455452205476234,-0.0455452205476234,0.027268564113768,-1.67024638178977,0.0950276503899935,0.103301865287007,0.0983527034797598,1993,-0.0990231013237382,0.00793266022849146,0.789382520729421,"Q9H9V4","RNF122","RNF122","RNF122__seq.11160.56","RNF122"
"seq.11243.90","seq_11243_90",-0.0151581556027791,-0.0151581556027791,0.0274104106561203,-0.553007242136831,0.580320722661136,0.123357331532925,0.1184993620855,1985,-0.0689143510845013,0.0385980398789431,0.887066492579501,"Q5T601","ADGRF1","ADGRF1","ADGRF1__seq.11243.90","ADGRF1"
"seq.11286.78","seq_11286_78",-0.0765994523768163,-0.0765994523768163,0.0520999461766825,-1.47024052802378,0.141654310274828,0.101693262534395,0.096740192804008,1995,-0.178775459926793,0.0255765551731603,0.789382520729421,"Q9BQE4","SELENOS","SELENOS","SELENOS__seq.11286.78","SELENOS"
