"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28","seq_10000_28",-0.0093111684952838,-0.0093111684952838,0.0306311679407405,-0.303976933341142,0.761189813056542,0.0393881593923716,0.0353463143407265,1426,-0.0693981545375898,0.0507758175470222,0.947024424707498,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7","seq_10001_7",0.0041569335880559,0.0041569335880559,0.0186607147739575,0.222763899368808,0.823750924389512,0.546710275106678,0.544817624898355,1437,-0.0324482268552462,0.040762094031358,0.960106340478917,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15","seq_10003_15",0.00749930945837511,0.00749930945837511,0.0177307240774154,0.422955623562345,0.672391277983628,0.0481446205431105,0.0441480269274761,1429,-0.0272817303062745,0.0422803492230247,0.926350406032608,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25","seq_10006_25",-0.00922214566545446,-0.00922214566545446,0.0164047094506342,-0.5621645231332,0.574092158195689,0.0476228577131596,0.0436212730817024,1428,-0.0414020604813675,0.0229577691504586,0.890221662932225,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43","seq_10008_43",0.00433185230173564,0.00433185230173564,0.0187033911496167,0.231607854804684,0.816875742337129,0.0339049595320233,0.0298514139076822,1430,-0.0323571742062998,0.0410208788097711,0.960106340478917,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10","seq_10010_10",-0.0254673039567327,-0.0254673039567327,0.0165071546450448,-1.5428039843546,0.123099594140029,0.0795117160724396,0.0756495274685479,1430,-0.0578481395763043,0.00691353166283891,0.655744247117019,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65","seq_10011_65",-0.0239026281964472,-0.0239026281964472,0.016481253013589,-1.45029192724238,0.147195659054227,0.150583677875695,0.147032111372039,1435,-0.0562325591223179,0.00842730272942349,0.679075451621022,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5","seq_10012_5",-0.0111665616883676,-0.0111665616883676,0.0186596527740266,-0.598433519830066,0.549645016091077,0.0652631282505384,0.0613602603100396,1437,-0.0477696388953986,0.0254365155186634,0.881864526315452,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31","seq_10014_31",-0.0264915933281614,-0.0264915933281614,0.0149266705129612,-1.77478248114059,0.076146802738904,0.127993370131784,0.124329476728976,1428,-0.0557721476127559,0.00278896095643301,0.572476220797642,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119","seq_10015_119",0.00630282541141575,0.00630282541141575,0.0170788285264928,0.369043192958977,0.712150201680593,0.078947908144048,0.0750806495358355,1429,-0.0271994394436453,0.0398050902664769,0.937125320427168,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207","seq_10022_207",-0.00635343577680968,-0.00635343577680968,0.0279356976303242,-0.227430718247503,0.82012148382692,0.0617797079667768,0.0578265325789965,1424,-0.061152974584156,0.0484461030305367,0.960106340478917,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32","seq_10023_32",-0.0159557019825446,-0.0159557019825446,0.0168010530002117,-0.949684640739102,0.342433098265715,0.105252437132177,0.101495624411948,1429,-0.0489130752932419,0.0170016713281527,0.803507462093956,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
"seq.10024.44","seq_10024_44",-0.0444173980625087,-0.0444173980625087,0.0248182943790356,-1.7897038927876,0.0737139518255509,0.0641339208360636,0.0601906648845302,1424,-0.0931017410831676,0.00426694495815021,0.569218148109216,"Q86XE5","HOGA1","HOGA1","HOGA1__seq.10024.44","HOGA1"
"seq.10025.1","seq_10025_1",-0.0181915634923779,-0.0181915634923779,0.019942082662781,-0.912219841828752,0.361805902452683,0.17567259985324,0.172233125304644,1438,-0.05731025301544,0.0209271260306841,0.811543895008902,"P09622","DLD","DLD","DLD__seq.10025.1","DLD_1"
"seq.10030.8","seq_10030_8",-0.00107959775112535,-0.00107959775112535,0.0290814703288343,-0.0371232175993154,0.970391937637617,0.0482298459294122,0.0442391953882356,1431,-0.0581264827595002,0.0559672872572495,0.994276408676517,"Q9UIF7","MUTYH","MUTYH","MUTYH__seq.10030.8","MUTYH"
