"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10046.55","seq_10046_55",-0.000207192790468897,-0.000207192790468897,0.00162670067154836,-0.127369954468441,0.898665415826147,0.675647444890697,0.674067439403039,1437,-0.00339815518373989,0.0029837696028021,0.941152045076681,"Q13490","BIRC2","BIRC2","BIRC2__seq.10046.55","BIRC2_1"
"seq.10082.251","seq_10082_251",-0.00414770999383017,-0.00414770999383017,0.00205575061396008,-2.01761340391394,0.0438175100760685,0.0898560630183735,0.0854132404529121,1434,-0.00818031081729027,-0.000115109170370067,0.211784632034331,"P07196","NEFL","NEFL","NEFL__seq.10082.251","NEFL"
"seq.10833.64","seq_10833_64",0.000531688676704513,0.000531688676704513,0.00156659239357215,0.339391841097961,0.734364156883,0.0913116279401384,0.0868851710129157,1437,-0.00254136434460821,0.00360474169801724,0.934059673228377,"Q96QV1","HHIP","HHIP","HHIP__seq.10833.64","HHIP"
"seq.10990.21","seq_10990_21",-0.00118988592590542,-0.00118988592590542,0.00152172893137392,-0.781930277707943,0.434385086765548,0.15713710093138,0.153008311362814,1429,-0.00417494814006229,0.00179517628825145,0.792465675299131,"Q5S007","LRRK2","LRRK2","LRRK2__seq.10990.21","LRRK2"
"seq.11160.56","seq_11160_56",-0.00145718185907659,-0.00145718185907659,0.0011683477791667,-1.24721584194383,0.21252216158123,0.101835618680398,0.0974482141659267,1433,-0.00374903718516695,0.000834673467013758,0.541874025739929,"Q9H9V4","RNF122","RNF122","RNF122__seq.11160.56","RNF122"
"seq.11219.95","seq_11219_95",-0.00258666927462547,-0.00258666927462547,0.00176927741700874,-1.46199191249423,0.143962528840373,0.118350480555089,0.114046752078022,1434,-0.00605731864245651,0.000883980093205579,0.463879259596756,"Q8TAT2","FGFBP3","FGFBP3","FGFBP3__seq.11219.95","FGFBP3"
"seq.11243.90","seq_11243_90",-0.00242012892257686,-0.00242012892257686,0.00113229551653979,-2.13736510233,0.0327381038242853,0.147964533054106,0.143779095672617,1425,-0.00464127392063522,-0.0001989839245185,0.21106640768867,"Q5T601","ADGRF1","ADGRF1","ADGRF1__seq.11243.90","ADGRF1"
"seq.11457.53","seq_11457_53",-0.00443293597899862,-0.00443293597899862,0.00216666143156205,-2.04597539533563,0.0409407443599261,0.108898244284233,0.104551406451473,1435,-0.00868309914101026,-0.000182772816986985,0.21106640768867,"Q14376","GALE","GALE","GALE__seq.11457.53","GALE"
"seq.11556.19","seq_11556_19",-0.00527012120627313,-0.00527012120627313,0.00226433264827114,-2.3274500812842,0.0200797180271537,0.0745092593944328,0.0699978142800602,1436,-0.00971187542348976,-0.000828366989056513,0.202651204618033,"Q8N6T3","ARFGAP1","ARFGAP1","ARFGAP1__seq.11556.19","ARFGAP1"
"seq.11557.3","seq_11557_3",0.000547685544802608,0.000547685544802608,0.000889347699808393,0.615828370524381,0.538106010036925,0.0532609065171258,0.0486167764159483,1427,-0.00119688361812619,0.00229225470773141,0.830057143142066,"Q9HCE7","SMURF1","SMURF1","SMURF1__seq.11557.3","SMURF1"
"seq.11563.51","seq_11563_51",-0.00074307810632265,-0.00074307810632265,0.00155646376813633,-0.477414329542918,0.633139968257386,0.0949888807638773,0.0905649437285051,1432,-0.00379627163844791,0.00231011542580261,0.867516418752467,"Q96C24","SYTL4","SYTL4","SYTL4__seq.11563.51","SYTL4_1"
"seq.12041.33","seq_12041_33",-0.00110562131388546,-0.00110562131388546,0.00234828900088325,-0.470819951662513,0.637840973071775,0.0406138964092351,0.0359274325396362,1433,-0.00571207390432239,0.00350083127655147,0.867516418752467,"P34931","HSPA1L","HSPA1L","HSPA1L__seq.12041.33","HSPA1L"
"seq.12500.88","seq_12500_88",-0.00488423479780098,-0.00488423479780098,0.00319553935369942,-1.52845396572776,0.126620095455315,0.31821570395586,0.31489224290272,1436,-0.0111526602481929,0.00138419065259089,0.426974740488852,"Q9UBT2","UBA2","UBA2","UBA2__seq.12500.88","UBA2"
"seq.12501.10","seq_12501_10",-0.000593669159340386,-0.000593669159340386,0.00240459482659845,-0.246889477085083,0.805029025608374,0.204189204943625,0.200312603993455,1437,-0.00531056133067403,0.00412322301199326,0.941152045076681,"O75347","TBCA","TBCA","TBCA__seq.12501.10","TBCA"
"seq.12514.16","seq_12514_16",-0.00128318395829151,-0.00128318395829151,0.0012762398785181,-1.00544104591174,0.314854266284477,0.186559088867802,0.182585546384952,1433,-0.00378668267255002,0.001220314755967,0.671380420753664,"Q9UBP6","METTL1","METTL1","METTL1__seq.12514.16","METTL1"
"seq.12540.25","seq_12540_25",-0.000214886553851933,-0.000214886553851933,0.000884659498121851,-0.242903121831779,0.80811520969832,0.209317841739628,0.205455472508768,1433,-0.00195025304206751,0.00152047993436365,0.941152045076681,"P84095","RHOG","RHOG","RHOG__seq.12540.25","RHOG"
"seq.12583.77","seq_12583_77",-0.00330458479146801,-0.00330458479146801,0.00274554541038804,-1.20361687661941,0.228936483761453,0.308485279236204,0.305107328750966,1433,-0.00869030382480986,0.00208113424187383,0.553263169090177,"P10398","ARAF","ARAF","ARAF__seq.12583.77","ARAF"
"seq.12587.65","seq_12587_65",-0.00663392258799053,-0.00663392258799053,0.00316378788704668,-2.09682912535048,0.0361830063938079,0.161775287078058,0.157694916431011,1438,-0.0128400565291154,-0.000427788646865623,0.21106640768867,"P36404","ARL2","ARL2","ARL2__seq.12587.65","ARL2"
"seq.12616.45","seq_12616_45",0.000936074206970445,0.000936074206970445,0.00187680558406971,0.498759282749278,0.618025524318964,0.228783132547449,0.225015848477549,1433,-0.00274550669777877,0.00461765511171966,0.864885489029157,"Q9UHY1","NRBP1","NRBP1","NRBP1__seq.12616.45","NRBP1"
"seq.12650.43","seq_12650_43",0.0011495905763098,0.0011495905763098,0.00150615045173965,0.763264104845557,0.445431978406965,0.239910690085484,0.236184762095707,1428,-0.00180491424944055,0.00410409540206014,0.792465675299131,"P08754","GNAI3","GNAI3","GNAI3__seq.12650.43","GNAI3"
"seq.12657.2","seq_12657_2",-0.00155640839595982,-0.00155640839595982,0.00248831240906047,-0.625487535364372,0.531751212093758,0.0335106761176348,0.0287663386231211,1426,-0.00643755407350524,0.00332473728158561,0.829074470468763,"Q13630","TSTA3","TSTA3","TSTA3__seq.12657.2","TSTA3"
"seq.12732.13","seq_12732_13",-0.00173971043037216,-0.00173971043037216,0.00120565145795025,-1.44296298810095,0.149249748663739,0.115779663050161,0.111454336454319,1431,-0.00410474422351134,0.000625323362767022,0.470461164266135,"Q5T2T1","MPP7","MPP7","MPP7__seq.12732.13","MPP7"
