"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28","seq_10000_28",-0.0578448924217625,-0.0578448924217625,0.0397637389249157,-1.4547146215548,0.146204350144239,0.0423904993654154,0.0340392537203463,688,-0.135917734125984,0.0202279492824592,0.804823745130935,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7","seq_10001_7",-0.0193336336079546,-0.0193336336079546,0.0252250740744627,-0.766445067748187,0.443672523186997,0.599244163194987,0.595774415690182,693,-0.0688603689885758,0.0301931017726666,0.900730016849219,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15","seq_10003_15",0.00597977926591277,0.00597977926591277,0.027038541721844,0.221157610030493,0.825035048421764,0.0409813685055325,0.0326541444983446,691,-0.0471077747275397,0.0590673332593653,0.979374782797979,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25","seq_10006_25",-0.0223265479110817,-0.0223265479110817,0.0286547563138981,-0.779156788719676,0.436154114041558,0.0559477721287642,0.0477505024222122,691,-0.0785873824868729,0.0339342866647094,0.898327034433913,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43","seq_10008_43",-0.0378678900566494,-0.0378678900566494,0.0269552063940122,-1.40484511612055,0.160517358274353,0.0369254372970064,0.0285508758821977,690,-0.0907919577961133,0.0150561776828145,0.806352049520109,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10","seq_10010_10",-0.0520835053354592,-0.0520835053354592,0.0260696884534935,-1.99785683777436,0.0461242735658475,0.064379687404336,0.0562438585991564,690,-0.103268940070839,-0.000898070600079195,0.656279947123436,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65","seq_10011_65",-0.0253936362429167,-0.0253936362429167,0.0246832982963481,-1.02877808054824,0.303942899509497,0.13139653033554,0.123876153974809,693,-0.0738566528206078,0.0230693803347743,0.863245233109819,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5","seq_10012_5",-0.00730770973384265,-0.00730770973384265,0.0280855432993384,-0.260194707859356,0.794790651737855,0.0343596966017496,0.0260232335508294,695,-0.0624503929208554,0.0478349734531701,0.973712987189395,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31","seq_10014_31",-0.0257554831931829,-0.0257554831931829,0.0202786619928854,-1.27007803582993,0.204484339399623,0.11644179353444,0.108769797530398,691,-0.0655706690318687,0.014059702645503,0.825725468766443,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119","seq_10015_119",0.0240861984772115,0.0240861984772115,0.0264385422265912,0.911025966211792,0.36259984305479,0.0498092945677513,0.0415467666944275,690,-0.0278234467052351,0.0759958436596581,0.875877407234148,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
