"apt_name","coef_x2m","coef_x2y","coef_m2y","acme","acme_p","ade","ade_p","total","total_p","prop_m","prop_m_p","prop_m_ci_lower","prop_m_ci_upper","p_adjusted","ade_p_adjusted","prop_m_p_adjusted","Protein_id","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10046.55",0.964321061389039,-0.335435613083693,-0.201445207505697,-0.0230077023927243,0.418,-0.0397456383392507,0.306,-0.062753340731975,0,0.366637092533323,0.418,-0.534774873643611,2.1683161317174,0.57463829787234,0.306,0.57463829787234,"seq_10046_55","Q13490","BIRC2","BIRC2","BIRC2__seq.10046.55","BIRC2_1"
"seq.10082.251",-0.160020270461481,-0.531854338326348,0.0283957261126654,-0.00053742655497101,0.882,-0.0630059568542697,0.004,-0.0635433834092407,0.004,0.00845763203243055,0.882,-0.13845339528235,0.161447641220979,0.912516129032258,0.00512,0.912516129032258,"seq_10082_251","P07196","NEFL","NEFL","NEFL__seq.10082.251","NEFL"
"seq.10085.25",-0.0745610993144177,-0.517169290000448,0.113748171914186,-0.00100660337054093,0.592,-0.0614763331559947,0.002,-0.0624829365265356,0,0.0161100522238329,0.592,-0.0556619940333663,0.111417638993234,0.723974522292994,0.00314754098360656,0.723974522292994,"seq_10085_25","P49675","STAR","STAR","STAR__seq.10085.25","STAR"
"seq.10734.339",-0.173296975282784,-0.58018515797567,-0.16757421546279,0.00344387285967319,0.018,-0.0689378548533722,0,-0.065493981993699,0,-0.0525830428207056,0.018,-0.185732891123343,-0.0072372222053659,0.0548571428571428,0,0.0548571428571428,"seq_10734_339","Q9H3Q3","GAL3ST2","GAL3ST2","GAL3ST2__seq.10734.339","GAL3ST2"
"seq.10781.19",-0.0526653693937401,-0.487202618873272,1.48651262854657,-0.00913941513801553,0,-0.0569431799785632,0.004,-0.0660825951165787,0.002,0.138302908986736,0.002,0.0539969220188625,0.365544509354763,0,0.00512,0.0147692307692308,"seq_10781_19","Q6UXB4","CLEC4G","CLEC4G","CLEC4G__seq.10781.19","CLEC4G_1"
"seq.10833.64",0.129773501732904,-0.579958989752569,0.218712406493699,0.00333592902137367,0.376,-0.0682842203118584,0.004,-0.0649482912904847,0.004,-0.0513628450431983,0.38,-0.261999042889486,0.0737990118436852,0.559627906976744,0.00512,0.561230769230769,"seq_10833_64","Q96QV1","HHIP","HHIP","HHIP__seq.10833.64","HHIP"
"seq.10990.21",-0.0763562925718796,-0.507843388009915,0.32238210962907,-0.00289822707046974,0.222,-0.0598754687505794,0.004,-0.0627736958210492,0.002,0.0461694509549319,0.224,-0.0276944202886474,0.20164803063192,0.39456880733945,0.00512,0.39456880733945,"seq_10990_21","Q5S007","LRRK2","LRRK2","LRRK2__seq.10990.21","LRRK2"
"seq.11160.56",-0.0947475010935804,-0.581212661968913,-0.259624461062127,0.00289992475926223,0.42,-0.0686421738127015,0,-0.0657422490534393,0,-0.0441105195063374,0.42,-0.238501671983835,0.0601291688040947,0.57463829787234,0,0.57463829787234,"seq_11160_56","Q9H9V4","RNF122","RNF122","RNF122__seq.11160.56","RNF122"
"seq.11243.90",-0.0654125263951459,-0.523193722185359,0.65251907124133,-0.00502073734074453,0.06,-0.0616320527519714,0.004,-0.0666527900927159,0.002,0.0753267392671867,0.058,-0.00245280895932685,0.25827231338155,0.138795180722892,0.00512,0.134168674698795,"seq_11243_90","Q5T601","ADGRF1","ADGRF1","ADGRF1__seq.11243.90","ADGRF1"
"seq.11286.78",-0.0784822034372355,-0.521764251478844,0.13612364394765,-0.00126384006444392,0.408,-0.0618191808279131,0.004,-0.063083020892357,0.002,0.0200345520326381,0.406,-0.03152244253728,0.111667141236112,0.567652173913043,0.00512,0.568992700729927,"seq_11286_78","Q9BQE4","SELENOS","SELENOS","SELENOS__seq.11286.78","SELENOS"
"seq.11457.53",-0.143766124504282,-0.50381093130705,0.133678053787041,-0.00227751291043803,0.442,-0.0597919895708883,0.002,-0.0620695024813264,0.002,0.03669294612315,0.444,-0.0720232821602662,0.188811388393698,0.583890410958904,0.00314754098360656,0.586520547945205,"seq_11457_53","Q14376","GALE","GALE","GALE__seq.11457.53","GALE"
"seq.11556.19",-0.155306837591869,-0.544286519050981,-0.0385209845018984,0.000708263651462803,0.786,-0.064544931260629,0.004,-0.0638366676091662,0.006,-0.0110949345883635,0.792,-0.151536202478441,0.0907709443643536,0.862354285714286,0.00512,0.86076404494382,"seq_11556_19","Q8N6T3","ARFGAP1","ARFGAP1","ARFGAP1__seq.11556.19","ARFGAP1"
"seq.11563.51",-0.0895735446841559,-0.56734274929896,-0.368735507973974,0.00391268404746927,0.12,-0.0673305318660766,0,-0.0634178478186073,0,-0.0616968910496716,0.12,-0.258916291343204,0.0176590108171296,0.245106382978723,0,0.245106382978723,"seq_11563_51","Q96C24","SYTL4","SYTL4","SYTL4__seq.11563.51","SYTL4_1"
"seq.12041.33",-0.0910726921463613,-0.594645023333116,-0.486433574027828,0.00521935464497172,0.008,-0.0701981525118156,0.002,-0.0649787978668439,0.004,-0.0803239643747695,0.012,-0.253407767981274,-0.020960724035357,0.0289811320754717,0.00314754098360656,0.0404210526315789,"seq_12041_33","P34931","HSPA1L","HSPA1L","HSPA1L__seq.12041.33","HSPA1L"
"seq.12500.88",0.399301208136824,-0.715577355489813,0.423635698615842,0.0197984415561104,0,-0.0839788600038903,0,-0.0641804184477799,0.002,-0.308481029493744,0.002,-0.875615475052619,-0.106451393399803,0,0,0.0147692307692308,"seq_12500_88","Q9UBT2","UBA2","UBA2","UBA2__seq.12500.88","UBA2"
"seq.12501.10",-0.313250028117891,-0.478101728063756,0.170094507851452,-0.00631151066927023,0.328,-0.0567046711443016,0.002,-0.0630161818135719,0.002,0.100156983295851,0.33,-0.0991850299598544,0.391626184744945,0.512,0.00314754098360656,0.515121951219512,"seq_12501_10","O75347","TBCA","TBCA","TBCA__seq.12501.10","TBCA"
"seq.12514.16",-0.0526251196046477,-0.53030889373114,-0.0899596779186564,0.000560491554533,0.816,-0.062877849760685,0.002,-0.062317358206152,0.002,-0.00899414819028173,0.818,-0.0959024290935773,0.0606683953059193,0.8704,0.00314754098360656,0.872533333333333,"seq_12514_16","Q9UBP6","METTL1","METTL1","METTL1__seq.12514.16","METTL1"
"seq.12540.25",-0.081134256354389,-0.623498687794889,-0.97432040299463,0.00927755505777625,0.016,-0.0733239247060292,0,-0.0640463696482529,0.002,-0.144856845262725,0.018,-0.500783852279497,-0.0206038100800031,0.0495483870967742,0,0.0548571428571428,"seq_12540_25","P84095","RHOG","RHOG","RHOG__seq.12540.25","RHOG"
"seq.12583.77",0.0924596117171817,-0.544250167216131,0.0228606431520182,0.000249542927221552,0.89,-0.0643583895589201,0,-0.0641088466316986,0,-0.00389248817179883,0.89,-0.05467819864644,0.062814360141955,0.91379679144385,0,0.91379679144385,"seq_12583_77","P10398","ARAF","ARAF","ARAF__seq.12583.77","ARAF"
"seq.12587.65",-0.523092896200283,-0.792887158031601,-0.454101063868214,0.027846229688656,0,-0.0932395183772216,0,-0.0653932886885656,0,-0.425827026704119,0,-1.27292873671748,-0.173220560713066,0,0,0,"seq_12587_65","P36404","ARL2","ARL2","ARL2__seq.12587.65","ARL2"
"seq.12616.45",-0.195159887434763,-0.558351013495626,-0.113489795637582,0.00262384367581072,0.59,-0.0662627248346561,0,-0.0636388811588454,0,-0.0412301980806591,0.59,-0.260393268084667,0.151497749580647,0.723974522292994,0,0.723974522292994,"seq_12616_45","Q9UHY1","NRBP1","NRBP1","NRBP1__seq.12616.45","NRBP1"
"seq.12650.43",0.170453488713652,-0.527399758832333,-0.133639325567362,-0.00269794658651483,0.614,-0.0625582589178478,0.004,-0.0652562055043626,0,0.0413439084553341,0.614,-0.13407202692866,0.263576581580357,0.72559509202454,0.00512,0.72559509202454,"seq_12650_43","P08754","GNAI3","GNAI3","GNAI3__seq.12650.43","GNAI3"
"seq.12657.2",-0.0977543359457103,-0.523134353136097,0.086975636978364,-0.00100846752896821,0.586,-0.0621461525064476,0,-0.0631546200354158,0,0.0159682304857931,0.586,-0.0629720234907058,0.0943148797200026,0.723974522292994,0,0.723974522292994,"seq_12657_2","Q13630","TSTA3","TSTA3","TSTA3__seq.12657.2","TSTA3"
"seq.12732.13",-0.0582881336903048,-0.587445672015614,-0.705021737520606,0.00481476411900182,0.044,-0.0689485205427293,0,-0.0641337564237274,0.002,-0.0750737893347615,0.046,-0.253081288174312,-0.00216237874142062,0.106936708860759,0,0.1104,"seq_12732_13","Q5T2T1","MPP7","MPP7","MPP7__seq.12732.13","MPP7"
"seq.12754.14",-0.120948032995896,-0.553411082304959,0.0406965942223745,-0.000580110428447047,0.86,-0.0653317100444954,0.002,-0.0659118204729424,0,0.00880131096796498,0.86,-0.0938277204459813,0.123081686861441,0.904393442622951,0.00314754098360656,0.904393442622951,"seq_12754_14","Q9Y534","CSDC2","CSDC2","CSDC2__seq.12754.14","CSDC2"
"seq.13468.5",-0.0860804879308178,-0.575128692041325,-0.287655843564405,0.00292542082685912,0.38,-0.0680768973245376,0.004,-0.0651514764976785,0.002,-0.0449018346800377,0.378,-0.203159420055679,0.0521151043874951,0.561230769230769,0.00512,0.561230769230769,"seq_13468_5","Q96JN8","NEURL4","NEURL4","NEURL4__seq.13468.5","NEURL4"
"seq.13507.51",-0.266900306346905,-0.633108931232602,-0.344630551739933,0.0108574244262845,0.006,-0.0748994888250803,0,-0.0640420643987959,0,-0.169535828181213,0.006,-0.513403165461186,-0.0416955243247056,0.0235102040816327,0,0.0267906976744186,"seq_13507_51","Q15628","TRADD","TRADD","TRADD__seq.13507.51","TRADD"
"seq.13516.46",0.085334725188386,-0.48942842679723,-0.444481710093612,-0.00446079734229184,0.038,-0.05763542484162,0.004,-0.0620962221839119,0.004,0.0718368555349502,0.042,0.00278468941712069,0.238118799971335,0.096,0.00512,0.104727272727273,"seq_13516_46","Q5J8M3","EMC4","EMC4","EMC4__seq.13516.46","EMC4"
"seq.13652.2",-0.0429571527804001,-0.584501101513734,-0.170103521680209,0.000856092311757729,0.612,-0.0685969750748788,0.002,-0.067740882763121,0.002,-0.0126377495662604,0.614,-0.0869983679676987,0.0414771701845236,0.72559509202454,0.00314754098360656,0.72559509202454,"seq_13652_2","O75674","TOM1L1","TOM1L1","TOM1L1__seq.13652.2","TOM1L1"
"seq.13691.10",-0.156958626886158,-0.421839581861055,0.687997639050763,-0.012718741527932,0,-0.0497289510022015,0.02,-0.0624476925301335,0,0.203670320113024,0,0.0785969663422489,0.713792552385043,0,0.0203174603174603,0,"seq_13691_10","Q8N695","SLC5A8","SLC5A8","SLC5A8__seq.13691.10","SLC5A8"
"seq.13723.6",-0.182992060150076,-0.497211042532152,0.194989844118188,-0.00422405739549937,0.166,-0.0589433372107234,0.002,-0.0631673946062227,0.002,0.0668708504099557,0.168,-0.0264087861516843,0.238997897191489,0.315564356435644,0.00314754098360656,0.319366336633663,"seq_13723_6","P22301","IL10","IL10","IL10__seq.13723.6","IL10_1"
