"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28","seq_10000_28",0.030495998402334,0.030495998402334,0.0201632986513406,1.5124508608271,0.13053109874335,0.0296796066281415,0.0262436278980712,2824,-0.00904028586733872,0.0700322826720067,0.199779602483502,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7","seq_10001_7",0.0393950678090477,0.0393950678090477,0.0129388221282773,3.04471824548475,0.00235031339844411,0.486213531277928,0.484407603444107,2845,0.0140246490306627,0.0647654865874326,0.00617332302450897,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15","seq_10003_15",-0.00985582856773538,-0.00985582856773538,0.013971146553502,-0.705441642172521,0.480593332741769,0.0525296792453683,0.0491911650778045,2838,-0.0372504559504438,0.017538798814973,0.575558512086764,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25","seq_10006_25",0.0390184398723138,0.0390184398723138,0.0119744786012172,3.25846670838324,0.00113340344940331,0.0396148439963529,0.0362224555964813,2831,0.0155388547004087,0.0624980250442189,0.0032545700153343,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43","seq_10008_43",-0.0748606730366398,-0.0748606730366398,0.0128908973129268,-5.80725074596401,7.0562295588355e-09,0.0575804164300555,0.0542561850947116,2835,-0.100137158871566,-0.0495841872017134,5.53332963790276e-08,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10","seq_10010_10",-0.0101020457322991,-0.0101020457322991,0.0121827935091485,-0.829206021157058,0.407057672582285,0.0561706724146824,0.0528402937005494,2834,-0.0339900844388399,0.0137859929742417,0.506989316948737,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65","seq_10011_65",-0.0253417379199175,-0.0253417379199175,0.0118194649014287,-2.14406812247941,0.0321119066316099,0.11122541977506,0.108102529472091,2846,-0.048517319628122,-0.0021661562117131,0.0607150894916371,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5","seq_10012_5",-0.0933370083067406,-0.0933370083067406,0.013674830935283,-6.82545976242512,1.06711260859557e-11,0.0693737978081436,0.0661004027951578,2843,-0.120150599836804,-0.0665234167766776,1.32597261626976e-10,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31","seq_10014_31",-0.00270274759098251,-0.00270274759098251,0.0117993204091349,-0.229059598118048,0.818839152036654,0.0739786517017552,0.0707053348113408,2829,-0.0258388891730465,0.0204333939910815,0.863401826977425,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119","seq_10015_119",0.0444761485058346,0.0444761485058346,0.0123029095177923,3.61509189688129,0.00030546860190693,0.0615845969330618,0.0582744896912031,2835,0.0203525897956883,0.0685997072159809,0.000996569084143299,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207","seq_10022_207",0.0307521376646024,0.0307521376646024,0.0186503640461374,1.64887599987472,0.0992840328531756,0.0578664494887169,0.0545373556706558,2830,-0.00581754456330736,0.0673218198925121,0.158475937628261,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32","seq_10023_32",-0.0371345091729102,-0.0371345091729102,0.0121427889532262,-3.05815322295,0.00224784378414053,0.0687110525289547,0.0654283985019155,2837,-0.060944096132289,-0.0133249222135315,0.00593531785700027,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
"seq.10024.44","seq_10024_44",-0.0261180429124849,-0.0261180429124849,0.0171800498109526,-1.52025420181461,0.128558929714472,0.0493695540433527,0.0460068711782781,2827,-0.0598047444673864,0.00756865864241661,0.197002903443401,"Q86XE5","HOGA1","HOGA1","HOGA1__seq.10024.44","HOGA1"
"seq.10025.1","seq_10025_1",-0.0319588486514354,-0.0319588486514354,0.0138600443205335,-2.30582586262649,0.0211918474223293,0.166442627156531,0.163516837852061,2849,-0.059135581980832,-0.00478211532203885,0.0427889713058949,"P09622","DLD","DLD","DLD__seq.10025.1","DLD_1"
"seq.10030.8","seq_10030_8",0.00640162338843989,0.00640162338843989,0.0197975730592595,0.323353946934713,0.746451085266561,0.0409275229798596,0.0375397713831795,2831,-0.0324175033829458,0.0452207501598256,0.805256353645328,"Q9UIF7","MUTYH","MUTYH","MUTYH__seq.10030.8","MUTYH"
"seq.10035.6","seq_10035_6",-0.023716854918078,-0.023716854918078,0.00906908756738586,-2.61513131744016,0.00896656062907791,0.144870590068069,0.141855324165629,2836,-0.0414995292614106,-0.00593418057474536,0.0200803548056663,"Q13115","DUSP4","DUSP4","DUSP4__seq.10035.6","DUSP4"
"seq.10036.201","seq_10036_201",-0.0376412410564295,-0.0376412410564295,0.0120797438760339,-3.11606284394071,0.00185109072894253,0.107659458400903,0.104526240207086,2848,-0.0613271701491032,-0.0139553119637558,0.00500007265863787,"Q9H4I2","ZHX3","ZHX3","ZHX3__seq.10036.201","ZHX3"
"seq.10037.98","seq_10037_98",-0.0335247117862192,-0.0335247117862192,0.0184930217424569,-1.81283038830004,0.0699633731554048,0.122301689595047,0.119215549263103,2844,-0.0697858004421712,0.00273637686973274,0.117764134343143,"Q96PQ1","SIGLEC12","SIGLEC12","SIGLEC12__seq.10037.98","SIGLEC12_1"
"seq.10039.32","seq_10039_32",-0.043376467306342,-0.043376467306342,0.0267587022948162,-1.62102282944959,0.105123247691923,0.694018332207534,0.692945841258384,2853,-0.0958448192362168,0.00909188462353275,0.166338588061612,"P00491","PNP","PNP","PNP__seq.10039.32","PNP_1"
"seq.10040.63","seq_10040_63",-0.0242322341793809,-0.0242322341793809,0.0166154027472258,-1.45841991000952,0.144835882876232,0.0298499803313736,0.0264194639959117,2828,-0.0568117688690877,0.00834730051032584,0.218364945544327,"Q9H3D4","TP63","TP63","TP63__seq.10040.63","TP63"
"seq.10041.3","seq_10041_3",0.0308371933553314,0.0308371933553314,0.020904324471831,1.47515856811758,0.140280299317487,0.0974225080465663,0.0942577903328445,2852,-0.0101519250399203,0.0718263117505831,0.212197255093001,"P41235","HNF4A","HNF4A","HNF4A__seq.10041.3","HNF4A"
"seq.10042.8","seq_10042_8",0.0185201341041081,0.0185201341041081,0.00949533822692834,1.95044490901713,0.0512212861580608,0.00954660472636551,0.00606154703715489,2842,-9.83160995745615e-05,0.0371385843077908,0.0908197578974044,"Q96BR1","SGK3","SGK3","SGK3__seq.10042.8","SGK3"
"seq.10043.31","seq_10043_31",0.0130634252185562,0.0130634252185562,0.0089090546176676,1.46630880370292,0.142675202521431,0.00870443857073014,0.00520410113630476,2832,-0.00440546692033694,0.0305323173574493,0.21555139991054,"O60885","BRD4","BRD4","BRD4__seq.10043.31","BRD4"
"seq.10044.12","seq_10044_12",-0.062223646779058,-0.062223646779058,0.0242582509925045,-2.56505082737763,0.0103668071208808,0.138403264658327,0.135381178599605,2851,-0.109789138378956,-0.0146581551791594,0.0228716504771704,"Q9GZT5","WNT10A","WNT10A","WNT10A__seq.10044.12","WNT10A"
"seq.10045.47","seq_10045_47",0.06312334637323,0.06312334637323,0.0168219577407276,3.75243757867743,0.000178622873132994,0.375698633764593,0.373503481281346,2844,0.030138877447701,0.096107815298759,0.000610637086238321,"Q13618","CUL3","CUL3","CUL3__seq.10045.47","CUL3"
"seq.10046.55","seq_10046_55",-0.00256849090923013,-0.00256849090923013,0.00912043138030229,-0.281619454401838,0.778255882404442,0.187299701013329,0.184432021764964,2834,-0.0204518456315608,0.0153148638131005,0.832295082694709,"Q13490","BIRC2","BIRC2","BIRC2__seq.10046.55","BIRC2_1"
"seq.10047.12","seq_10047_12",0.110184130443359,0.110184130443359,0.0248804799550688,4.42853717622564,9.848301609715e-06,0.120874828676637,0.117758468622318,2821,0.0613983541761738,0.158969906710544,4.39295948794884e-05,"P19878","NCF2","NCF2","NCF2__seq.10047.12","NCF2"
"seq.10048.7","seq_10048_7",0.020434133995106,0.020434133995106,0.00843341346536488,2.42299681843263,0.0154551378719991,0.0794947618312859,0.0762569664103618,2843,0.00389790733646565,0.0369703606537463,0.0325030829669496,"Q13951","CBFB","CBFB","CBFB__seq.10048.7","CBFB"
"seq.10049.112","seq_10049_112",0.0107848961185659,0.0107848961185659,0.0080621040388374,1.33772723182585,0.181092669537339,0.117108302030004,0.113994045599775,2835,-0.00502328647652979,0.0265930787136617,0.262382676527349,"P54274","TERF1","TERF1","TERF1__seq.10049.112","TERF1"
"seq.10053.5","seq_10053_5",0.04195727881965,0.04195727881965,0.0386656010405183,1.08513194391268,0.277954903894465,0.701031346957186,0.699983437202392,2853,-0.033858070543053,0.117772628182353,0.371951042408372,"Q13418","ILK","ILK","ILK__seq.10053.5","ILK"
"seq.10054.3","seq_10054_3",0.0277292702129988,0.0277292702129988,0.0162777403232744,1.70350857442729,0.0885826865269067,0.0386604847003158,0.0352647251973145,2831,-0.00418816043718619,0.0596467008631838,0.143949335567369,"Q9H2C0","GAN","GAN","GAN__seq.10054.3","GAN"
"seq.10056.5","seq_10056_5",0.0802248198342724,0.0802248198342724,0.0163691565049204,4.9009745743562,1.00699541685248e-06,0.663393833484309,0.662212759215833,2850,0.048128231646489,0.112321408022056,5.36646789449181e-06,"Q08050","FOXM1","FOXM1","FOXM1__seq.10056.5","FOXM1"
"seq.10058.1","seq_10058_1",-0.0285059539595706,-0.0285059539595706,0.0181530573288316,-1.570311460114,0.116453560033217,0.569282891807848,0.567773192865709,2853,-0.0641003931083197,0.0070884851891785,0.181313140594568,"P54725","RAD23A","RAD23A","RAD23A__seq.10058.1","RAD23A"
"seq.10063.10","seq_10063_10",-0.0213252938265477,-0.0213252938265477,0.00910074162213431,-2.34324791450859,0.0191853700960954,0.0627614571998362,0.0594589958087153,2838,-0.0391700300971141,-0.00348055755598137,0.039182904723873,"Q9NW38","FANCL","FANCL","FANCL__seq.10063.10","FANCL"
"seq.10064.12","seq_10064_12",-0.0104390422981304,-0.0104390422981304,0.00615470221241715,-1.69610842862057,0.0899751370527342,0.00558893538233824,0.00208131257945399,2835,-0.0225071892636911,0.00162910466743024,0.145821773844086,"O75884","RBBP9","RBBP9","RBBP9__seq.10064.12","RBBP9"
