"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28","seq_10000_28",0.035004958111849,0.035004958111849,0.0167555681372166,2.08915375624285,0.036783158102434,0.0288936238800893,0.0257998336552826,2825,0.0021505717398,0.0678593444838981,0.242942254556874,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7","seq_10001_7",0.0226995314087842,0.0226995314087842,0.0107358992617757,2.11435771287499,0.0345714650598577,0.484539380337701,0.482909322158867,2846,0.00164860290843747,0.043750459909131,0.23586780604119,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15","seq_10003_15",0.0711607711314592,0.0711607711314592,0.0115747239694633,6.14794541271108,8.95008987166324e-10,0.0523635387853983,0.0493594077001812,2839,0.048465053114792,0.0938564891481263,8.04955613766256e-08,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25","seq_10006_25",-0.00105581483727005,-0.00105581483727005,0.00994022553703752,-0.106216386472929,0.915418192800793,0.0360129398944533,0.0329494216949654,2832,-0.0205466289802683,0.0184349993057282,0.970604962487429,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43","seq_10008_43",-0.012759390219719,-0.012759390219719,0.0107541570869283,-1.1864612090545,0.235539594496935,0.0463697250793251,0.0433433948697743,2836,-0.033846150259573,0.00832736982013505,0.556932585067563,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10","seq_10010_10",-0.00125678249684067,-0.00125678249684067,0.0100914362706386,-0.124539506878454,0.900896951280842,0.0559416813606575,0.0529446708252945,2835,-0.021044081996393,0.0185305170027117,0.964584698718538,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65","seq_10011_65",-0.0269733023686951,-0.0269733023686951,0.00980326344659962,-2.75146154294681,0.00597056318084956,0.109789818323144,0.106975666010151,2847,-0.0461955176682744,-0.00775108706911572,0.0886737511435927,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5","seq_10012_5",-0.0226887847637363,-0.0226887847637363,0.0114209872636111,-1.98658699463103,0.0470640019205741,0.0541240648780737,0.0511307866023715,2844,-0.0450830390652661,-0.000294530462206521,0.274710108320346,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31","seq_10014_31",-0.0169400672828414,-0.0169400672828414,0.00979253911402713,-1.7298952892183,0.0837580137738602,0.073961477164662,0.07101647832879,2830,-0.0361413033937534,0.00226116882807054,0.35832330923532,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119","seq_10015_119",0.00694291001820544,0.00694291001820544,0.0102173617360135,0.679520819325942,0.496863377366057,0.0572586543808837,0.0542668800118528,2836,-0.0130913012571333,0.0269771212935442,0.773594721973012,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207","seq_10022_207",0.00445145691277158,0.00445145691277158,0.0154793242319573,0.287574369918647,0.773693614740805,0.0569613381037765,0.0539633345866215,2831,-0.0259004376299129,0.034803351455456,0.912879752299594,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32","seq_10023_32",-0.00853274006224013,-0.00853274006224013,0.0100816094225916,-0.846366855188754,0.397419480940884,0.0656410156306525,0.0626779321707075,2838,-0.0283007621420508,0.0112352820175706,0.703401583735263,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
"seq.10024.44","seq_10024_44",-0.0167703668180782,-0.0167703668180782,0.0142433511280598,-1.1774172150429,0.239128101418972,0.0485923799132506,0.0455645621689859,2828,-0.0446987751289618,0.0111580414928053,0.561407740521177,"Q86XE5","HOGA1","HOGA1","HOGA1__seq.10024.44","HOGA1"
"seq.10025.1","seq_10025_1",0.045608631742103,0.045608631742103,0.011505516052978,3.96406658615701,7.54940589977094e-05,0.164887033870721,0.162249835030313,2850,0.0230486537414431,0.068168609742763,0.00284960735646794,"P09622","DLD","DLD","DLD__seq.10025.1","DLD_1"
"seq.10030.8","seq_10030_8",0.00177266784962234,0.00177266784962234,0.0163871457679724,0.108174289453561,0.913865102376719,0.04089210140294,0.0378440890133308,2832,-0.0303592803951818,0.0339046160944264,0.970233663672806,"Q9UIF7","MUTYH","MUTYH","MUTYH__seq.10030.8","MUTYH"
"seq.10035.6","seq_10035_6",-0.000190874040382621,-0.000190874040382621,0.00753745166131578,-0.0253234181735768,0.9797987759142,0.142808476309788,0.140089151772173,2837,-0.0149703132181122,0.0145885651373469,0.994404302387147,"Q13115","DUSP4","DUSP4","DUSP4__seq.10035.6","DUSP4"
"seq.10036.201","seq_10036_201",-0.0294742364283815,-0.0294742364283815,0.0100333628387352,-2.93762289893397,0.00333392371504228,0.104617151270105,0.10178863402245,2849,-0.0491476241867034,-0.00980084867005957,0.0619649388711177,"Q9H4I2","ZHX3","ZHX3","ZHX3__seq.10036.201","ZHX3"
"seq.10037.98","seq_10037_98",-0.0116873389781277,-0.0116873389781277,0.0153388527151407,-0.761943490505738,0.446156890522889,0.121287474627435,0.118507716199192,2845,-0.0417637333442429,0.0183890553879875,0.738425090895167,"Q96PQ1","SIGLEC12","SIGLEC12","SIGLEC12__seq.10037.98","SIGLEC12_1"
"seq.10039.32","seq_10039_32",0.0156711223641408,0.0156711223641408,0.0221954650970573,0.706050641228441,0.480214274448963,0.693736512150631,0.692770719792311,2854,-0.0278496466159126,0.0591918913441942,0.762004136214484,"P00491","PNP","PNP","PNP__seq.10039.32","PNP_1"
"seq.10040.63","seq_10040_63",-0.0293124082347504,-0.0293124082347504,0.0137772037935415,-2.12760213712534,0.0334563371601986,0.0291203134059761,0.026031618750852,2829,-0.0563267892770309,-0.00229802719246984,0.231635900756454,"Q9H3D4","TP63","TP63","TP63__seq.10040.63","TP63"
"seq.10041.3","seq_10041_3",-0.00989373708628217,-0.00989373708628217,0.0173446622619496,-0.570419702434153,0.568437988799987,0.096733836103135,0.0938844160277506,2853,-0.0439030785572656,0.0241156043847012,0.810468078180113,"P41235","HNF4A","HNF4A","HNF4A__seq.10041.3","HNF4A"
"seq.10042.8","seq_10042_8",0.0105789999641012,0.0105789999641012,0.00787629973535875,1.34314339468435,0.179332754899832,0.00822080676295801,0.00508116105802192,2843,-0.0048648387840143,0.0260228387122167,0.495426287237497,"Q96BR1","SGK3","SGK3","SGK3__seq.10042.8","SGK3"
"seq.10043.31","seq_10043_31",0.00984229484020179,0.00984229484020179,0.0073933239073625,1.33124085506392,0.18321688647316,0.00795184449251734,0.00480026193001559,2833,-0.00465454729805335,0.0243391369784569,0.500967738210662,"O60885","BRD4","BRD4","BRD4__seq.10043.31","BRD4"
"seq.10044.12","seq_10044_12",-0.0327807876855535,-0.0327807876855535,0.0201386114305974,-1.62775809039884,0.103686647934109,0.136414887443361,0.133689688981576,2852,-0.0722684989176031,0.006706923546496,0.390612157354928,"Q9GZT5","WNT10A","WNT10A","WNT10A__seq.10044.12","WNT10A"
