"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28","seq_10000_28",-0.0188178868051786,-0.0188178868051786,0.0323044057423834,-0.582517658899063,0.560368294402542,0.0385840156342117,0.0319839059017233,874,-0.0822211609414388,0.0445853873310815,0.866670590919572,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7","seq_10001_7",0.0366026691636185,0.0366026691636185,0.0180644098962987,2.02623110158268,0.0430406202654912,0.571534335749776,0.568629483788757,885,0.00114858896258663,0.0720567493646503,0.383783254142109,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15","seq_10003_15",0.0720061336562431,0.0720061336562431,0.0183180471179749,3.93088483682225,9.12769211417679e-05,0.054621725572942,0.0481759646109393,880,0.0360539730950647,0.107958294217422,0.00886603160690372,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25","seq_10006_25",0.0114531797888077,0.0114531797888077,0.0159260127257914,0.719149230005313,0.472239898100416,0.0326536955572858,0.0260581525724491,880,-0.0198042224293127,0.0427105820069281,0.827318196345348,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43","seq_10008_43",0.00762117385378736,0.00762117385378736,0.0184572631790652,0.41290920435222,0.679773492865573,0.024468797001739,0.017832530314676,882,-0.028604107843078,0.0438464555506527,0.91587754679595,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10","seq_10010_10",0.00626476708348935,0.00626476708348935,0.0158886875007361,0.394291037771315,0.693461277647976,0.0849972203861287,0.0787867942801522,884,-0.0249191839474259,0.0374487181144046,0.921153082222143,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65","seq_10011_65",-0.0149299083047795,-0.0149299083047795,0.01724936954959,-0.865533564102601,0.386980301573977,0.180124038097938,0.174571830680994,886,-0.048784298770804,0.0189244821612449,0.783559860594535,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5","seq_10012_5",-0.016093002004324,-0.016093002004324,0.0194519667698469,-0.827320044020958,0.408278701935001,0.103847857459866,0.097772249713831,885,-0.054270368100698,0.0220843640920501,0.797188513427093,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31","seq_10014_31",-0.0175918988352122,-0.0175918988352122,0.0156665588294325,-1.12289488883561,0.261788743747977,0.128598285083576,0.122650150510768,879,-0.0483401285652602,0.0131563308948359,0.690778431401165,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119","seq_10015_119",-0.00465655367354939,-0.00465655367354939,0.0161324899317292,-0.288644449384774,0.772921145709019,0.127288521907391,0.121365140834365,884,-0.0363190038296414,0.0270058964825426,0.944874921415985,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
